LumiCycle: 2013-5-28WT$CLIH-DH+FCNP_3 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
05/30/2013,14:31,002.60486,03221.823,03406.414
05/30/2013,14:41,002.61181,03221.823,03402.114
05/30/2013,14:51,002.61875,03203.705,03397.814
05/30/2013,15:01,002.62569,03203.705,03393.514
05/30/2013,15:11,002.63264,03206.157,03389.214
05/30/2013,15:21,002.63958,03206.926,03384.914
05/30/2013,15:31,002.64653,03206.926,03380.614
05/30/2013,15:41,002.65347,03216.184,03376.314
05/30/2013,15:51,002.66042,03222.616,03372.014
05/30/2013,16:01,002.66736,03227.282,03367.715
05/30/2013,16:11,002.67431,03237.164,03363.415
05/30/2013,16:21,002.68125,03248.624,03359.115
05/30/2013,16:31,002.68819,03259.251,03354.815
05/30/2013,16:41,002.69514,03554.451,03350.515
05/30/2013,16:51,002.70208,03563.694,03346.215
05/30/2013,17:01,002.70903,03590.167,03341.915
05/30/2013,17:11,002.71597,03693.651,03337.615
05/30/2013,17:21,002.72292,03730.303,03333.315
05/30/2013,17:31,002.72986,03731.902,03329.016
05/30/2013,17:41,002.73681,03730.303,03324.716
05/30/2013,17:51,002.74375,03686.433,03320.416
05/30/2013,18:01,002.75069,03274.237,03316.116
05/30/2013,18:11,002.75764,03204.202,03311.816
05/30/2013,18:21,002.76458,03185.873,03307.516
05/30/2013,18:31,002.77153,03178.007,03303.216
05/30/2013,18:41,002.77847,03184.064,03298.917
05/30/2013,18:51,002.78542,03171.559,03294.617
05/30/2013,19:01,002.79236,03168.621,03290.317
05/30/2013,19:11,002.79931,03164.647,03286.017
05/30/2013,19:21,002.80625,03164.647,03281.717
05/30/2013,19:31,002.81319,03173.219,03277.417
05/30/2013,19:41,002.82014,03187.815,03273.117
05/30/2013,19:51,002.82708,03187.815,03268.817
05/30/2013,20:01,002.83403,03189.110,03264.517
05/30/2013,20:11,002.84097,03197.296,03260.218
05/30/2013,20:21,002.84792,03202.561,03255.918
05/30/2013,20:31,002.85486,03208.652,03251.618
05/30/2013,20:41,002.86181,03262.267,03247.318
05/30/2013,20:51,002.86875,03616.606,03243.018
05/30/2013,21:01,002.87569,03540.711,03238.718
05/30/2013,21:11,002.88264,03620.958,03234.418
05/30/2013,21:21,002.88958,03682.165,03230.118
05/30/2013,21:31,002.89653,03700.101,03225.818
05/30/2013,21:41,002.90347,03700.101,03221.519
05/30/2013,21:51,002.91042,03697.159,03217.219
05/30/2013,22:01,002.91736,03670.282,03212.919
05/30/2013,22:11,002.92431,03605.174,03208.619
05/30/2013,22:21,002.93125,03209.148,03204.319
05/30/2013,22:31,002.93819,03138.937,03200.019
05/30/2013,22:41,002.94514,03138.937,03195.719
05/30/2013,22:51,002.95208,03141.394,03191.419
05/30/2013,23:01,002.95903,03144.991,03187.119
05/30/2013,23:11,002.96597,03144.991,03182.820
05/30/2013,23:21,002.97292,03139.794,03178.520
05/30/2013,23:31,002.97986,03138.616,03174.220
05/30/2013,23:41,002.98681,03139.794,03169.920
05/30/2013,23:51,002.99375,03137.239,03165.620
05/31/2013,00:01,003.00069,03141.548,03161.320
05/31/2013,00:11,003.00764,03148.849,03157.020
05/31/2013,00:21,003.01458,03163.002,03152.720
05/31/2013,00:31,003.02153,03177.476,03148.420
05/31/2013,00:41,003.02847,03182.437,03144.121
05/31/2013,00:51,003.03542,03191.378,03139.821
05/31/2013,01:01,003.04236,03192.940,03135.521
05/31/2013,01:11,003.04931,03236.177,03131.221
05/31/2013,01:21,003.05625,03452.921,03126.921
05/31/2013,01:31,003.06319,03467.954,03122.621
05/31/2013,01:41,003.07014,03540.348,03118.321
05/31/2013,01:51,003.07708,03655.757,03114.021
05/31/2013,02:01,003.08403,03685.236,03109.722
05/31/2013,02:11,003.09097,03685.236,03105.422
05/31/2013,02:21,003.09792,03657.923,03101.122
05/31/2013,02:31,003.10486,03593.474,03096.822
05/31/2013,02:41,003.11181,03337.757,03092.522
05/31/2013,02:51,003.11875,03126.259,03088.222
05/31/2013,03:01,003.12569,03102.112,03083.922
05/31/2013,03:11,003.13264,03102.112,03079.622
05/31/2013,03:21,003.13958,03105.575,03075.323
05/31/2013,03:31,003.14653,03108.649,03071.023
05/31/2013,03:41,003.15347,03108.649,03066.723
05/31/2013,03:51,003.16042,03108.649,03062.423
05/31/2013,04:01,003.16736,03107.760,03058.123
05/31/2013,04:11,003.17431,03109.200,03053.823
05/31/2013,04:21,003.18125,03112.029,03049.523
05/31/2013,04:31,003.18819,03125.869,03045.223
05/31/2013,04:41,003.19514,03127.222,03040.923
05/31/2013,04:51,003.20208,03130.608,03036.624
05/31/2013,05:01,003.20903,03140.577,03032.324
05/31/2013,05:11,003.21597,03148.781,03028.024
05/31/2013,05:21,003.22292,03155.320,03023.724
05/31/2013,05:31,003.22986,03157.718,03019.424
05/31/2013,05:41,003.23681,03211.925,03015.124
05/31/2013,05:51,003.24375,03211.925,03010.824
05/31/2013,06:01,003.25069,03211.925,03006.524
05/31/2013,06:11,003.25764,03481.573,03002.224
05/31/2013,06:21,003.26458,03571.152,02997.925
05/31/2013,06:31,003.27153,03641.998,02993.625
05/31/2013,06:41,003.27847,03659.961,02989.325
05/31/2013,06:51,003.28542,03659.961,02985.025
05/31/2013,07:01,003.29236,03644.147,02980.725
05/31/2013,07:11,003.29931,03527.926,02976.425
05/31/2013,07:21,003.30625,03122.633,02972.125
05/31/2013,07:31,003.31319,03082.034,02967.825
05/31/2013,07:41,003.32014,03082.034,02963.525
05/31/2013,07:51,003.32708,03082.034,02959.226
05/31/2013,08:01,003.33403,03083.027,02954.926
05/31/2013,08:11,003.34097,03066.554,02950.626
05/31/2013,08:21,003.34792,03071.800,02946.326
05/31/2013,08:31,003.35486,03065.830,02942.026
05/31/2013,08:41,003.36181,03071.462,02937.726
05/31/2013,08:51,003.36875,03071.462,02933.426
05/31/2013,09:01,003.37569,03080.238,02929.126
05/31/2013,09:11,003.38264,03082.031,02924.827
05/31/2013,09:21,003.38958,03083.421,02920.527
05/31/2013,09:31,003.39653,03089.189,02916.227
05/31/2013,09:41,003.40347,03103.148,02911.927
05/31/2013,09:51,003.41042,03111.411,02907.627
05/31/2013,10:01,003.41736,03123.997,02903.327
05/31/2013,10:11,003.42431,03144.331,02899.027
05/31/2013,10:21,003.43125,03149.182,02894.727
05/31/2013,10:31,003.43819,03208.360,02890.427
05/31/2013,10:41,003.44514,03208.360,02886.128
05/31/2013,10:51,003.45208,03208.360,02881.828
05/31/2013,11:01,003.45903,03332.414,02877.528
05/31/2013,11:11,003.46597,03529.565,02873.228
05/31/2013,11:21,003.47292,03612.726,02868.928
05/31/2013,11:31,003.47986,03623.381,02864.628
05/31/2013,11:41,003.48681,03623.381,02860.328
05/31/2013,11:51,003.49375,03581.041,02856.028
05/31/2013,12:01,003.50069,03457.607,02851.729
05/31/2013,12:11,003.50764,03108.975,02847.429
05/31/2013,12:21,003.51458,03034.455,02843.129
05/31/2013,12:31,003.52153,03017.998,02838.829
05/31/2013,12:41,003.52847,03012.115,02834.529
05/31/2013,12:51,003.53542,03008.335,02830.229
