LumiCycle: 20151109C3p_Env_15 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
11/11/2015,12:06,002.50417,00083.848,00082.814
11/11/2015,12:16,002.51111,00088.864,00082.876
11/11/2015,12:26,002.51806,00089.900,00082.937
11/11/2015,12:36,002.52500,00089.949,00082.998
11/11/2015,12:46,002.53194,00090.342,00083.059
11/11/2015,12:56,002.53889,00092.532,00083.120
11/11/2015,13:06,002.54583,00092.532,00083.181
11/11/2015,13:16,002.55278,00091.074,00083.242
11/11/2015,13:26,002.55972,00087.223,00083.303
11/11/2015,13:36,002.56667,00086.232,00083.364
11/11/2015,13:46,002.57361,00080.096,00083.425
11/11/2015,13:56,002.58056,00079.425,00083.487
11/11/2015,14:06,002.58750,00077.515,00083.548
11/11/2015,14:16,002.59444,00077.515,00083.609
11/11/2015,14:36,002.60833,00077.347,00083.731
11/11/2015,14:46,002.61528,00077.102,00083.792
11/11/2015,14:56,002.62222,00077.102,00083.853
11/11/2015,15:06,002.62917,00077.102,00083.914
11/11/2015,15:16,002.63611,00076.600,00083.975
11/11/2015,15:26,002.64306,00076.600,00084.036
11/11/2015,15:36,002.65000,00077.651,00084.098
11/11/2015,15:46,002.65694,00079.218,00084.159
11/11/2015,15:56,002.66389,00081.080,00084.220
11/11/2015,16:06,002.67083,00083.672,00084.281
11/11/2015,16:16,002.67778,00083.672,00084.342
11/11/2015,16:26,002.68472,00085.481,00084.403
11/11/2015,16:36,002.69167,00085.653,00084.464
11/11/2015,16:46,002.69861,00086.691,00084.525
11/11/2015,16:56,002.70556,00087.483,00084.586
11/11/2015,17:06,002.71250,00087.483,00084.647
11/11/2015,17:16,002.71944,00082.703,00084.709
11/11/2015,17:26,002.72639,00078.727,00084.770
11/11/2015,17:36,002.73333,00078.184,00084.831
11/11/2015,17:46,002.74028,00077.342,00084.892
11/11/2015,17:56,002.74722,00074.634,00084.953
11/11/2015,18:06,002.75417,00074.600,00085.014
11/11/2015,18:16,002.76111,00074.450,00085.075
11/11/2015,18:26,002.76806,00074.264,00085.136
11/11/2015,18:36,002.77500,00074.264,00085.197
11/11/2015,18:46,002.78194,00075.102,00085.258
11/11/2015,18:56,002.78889,00075.467,00085.320
11/11/2015,19:06,002.79583,00075.716,00085.381
11/11/2015,19:16,002.80278,00075.716,00085.442
11/11/2015,19:26,002.80972,00076.661,00085.503
11/11/2015,19:36,002.81667,00078.930,00085.564
11/11/2015,19:46,002.82361,00079.929,00085.625
11/11/2015,19:56,002.83056,00082.655,00085.686
11/11/2015,20:06,002.83750,00084.814,00085.747
11/11/2015,20:16,002.84444,00085.342,00085.808
11/11/2015,20:26,002.85139,00085.038,00085.869
11/11/2015,20:36,002.85833,00085.134,00085.931
11/11/2015,20:46,002.86528,00085.134,00085.992
11/11/2015,20:56,002.87222,00085.134,00086.053
11/11/2015,21:06,002.87917,00080.352,00086.114
11/11/2015,21:16,002.88611,00078.199,00086.175
11/11/2015,21:26,002.89306,00077.344,00086.236
11/11/2015,21:36,002.90000,00074.577,00086.297
11/11/2015,21:46,002.90694,00074.289,00086.358
11/11/2015,21:56,002.91389,00073.351,00086.419
11/11/2015,22:06,002.92083,00073.351,00086.480
11/11/2015,22:16,002.92778,00074.151,00086.542
11/11/2015,22:26,002.93472,00074.436,00086.603
11/11/2015,22:36,002.94167,00074.151,00086.664
11/11/2015,22:46,002.94861,00075.816,00086.725
11/11/2015,22:56,002.95556,00075.816,00086.786
11/11/2015,23:06,002.96250,00075.816,00086.847
11/11/2015,23:16,002.96944,00077.713,00086.908
