LumiCycle: 20151109C3p_Env_17 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
11/11/2015,12:06,002.50417,00057.642,00047.819
11/11/2015,12:16,002.51111,00058.520,00047.836
11/11/2015,12:26,002.51806,00058.520,00047.853
11/11/2015,12:36,002.52500,00059.434,00047.871
11/11/2015,12:46,002.53194,00059.610,00047.888
11/11/2015,12:56,002.53889,00064.058,00047.905
11/11/2015,13:06,002.54583,00065.870,00047.922
11/11/2015,13:16,002.55278,00067.150,00047.940
11/11/2015,13:26,002.55972,00067.150,00047.957
11/11/2015,13:36,002.56667,00067.311,00047.974
11/11/2015,13:46,002.57361,00066.599,00047.991
11/11/2015,13:56,002.58056,00065.710,00048.009
11/11/2015,14:06,002.58750,00064.757,00048.026
11/11/2015,14:16,002.59444,00062.248,00048.043
11/11/2015,14:36,002.60833,00059.065,00048.078
11/11/2015,14:46,002.61528,00055.788,00048.095
11/11/2015,14:56,002.62222,00055.325,00048.112
11/11/2015,15:06,002.62917,00053.809,00048.129
11/11/2015,15:16,002.63611,00052.855,00048.147
11/11/2015,15:26,002.64306,00052.855,00048.164
11/11/2015,15:36,002.65000,00054.087,00048.181
11/11/2015,15:46,002.65694,00054.592,00048.198
11/11/2015,15:56,002.66389,00054.832,00048.215
11/11/2015,16:06,002.67083,00055.391,00048.233
11/11/2015,16:16,002.67778,00055.391,00048.250
11/11/2015,16:26,002.68472,00056.264,00048.267
11/11/2015,16:36,002.69167,00058.787,00048.284
11/11/2015,16:46,002.69861,00061.089,00048.302
11/11/2015,16:56,002.70556,00063.015,00048.319
11/11/2015,17:06,002.71250,00063.500,00048.336
11/11/2015,17:16,002.71944,00063.500,00048.353
11/11/2015,17:26,002.72639,00063.500,00048.371
11/11/2015,17:36,002.73333,00063.158,00048.388
11/11/2015,17:46,002.74028,00062.388,00048.405
11/11/2015,17:56,002.74722,00060.879,00048.422
11/11/2015,18:06,002.75417,00058.254,00048.440
11/11/2015,18:16,002.76111,00056.339,00048.457
11/11/2015,18:26,002.76806,00055.479,00048.474
11/11/2015,18:36,002.77500,00055.479,00048.491
11/11/2015,18:46,002.78194,00054.833,00048.509
11/11/2015,18:56,002.78889,00055.481,00048.526
11/11/2015,19:06,002.79583,00054.833,00048.543
11/11/2015,19:16,002.80278,00054.566,00048.560
11/11/2015,19:26,002.80972,00054.366,00048.578
11/11/2015,19:36,002.81667,00053.938,00048.595
11/11/2015,19:46,002.82361,00053.938,00048.612
11/11/2015,19:56,002.83056,00055.608,00048.629
11/11/2015,20:06,002.83750,00056.219,00048.647
11/11/2015,20:16,002.84444,00057.712,00048.664
11/11/2015,20:26,002.85139,00060.600,00048.681
11/11/2015,20:36,002.85833,00060.700,00048.698
11/11/2015,20:46,002.86528,00063.174,00048.716
11/11/2015,20:56,002.87222,00063.301,00048.733
11/11/2015,21:06,002.87917,00063.174,00048.750
11/11/2015,21:16,002.88611,00062.702,00048.767
11/11/2015,21:26,002.89306,00062.446,00048.785
11/11/2015,21:36,002.90000,00060.204,00048.802
11/11/2015,21:46,002.90694,00059.847,00048.819
11/11/2015,21:56,002.91389,00056.729,00048.836
11/11/2015,22:06,002.92083,00054.306,00048.854
11/11/2015,22:16,002.92778,00054.034,00048.871
11/11/2015,22:26,002.93472,00054.306,00048.888
11/11/2015,22:36,002.94167,00054.366,00048.905
11/11/2015,22:46,002.94861,00054.366,00048.923
11/11/2015,22:56,002.95556,00054.970,00048.940
11/11/2015,23:06,002.96250,00054.406,00048.957
11/11/2015,23:16,002.96944,00054.406,00048.974
11/11/2015,23:26,002.97639,00054.406,00048.992
11/11/2015,23:36,002.98333,00056.123,00049.009
11/11/2015,23:46,002.99028,00056.680,00049.026
11/11/2015,23:56,002.99722,00057.486,00049.043
11/12/2015,00:06,003.00417,00060.321,00049.061
11/12/2015,00:16,003.01111,00060.735,00049.078
11/12/2015,00:26,003.01806,00061.803,00049.095
11/12/2015,00:36,003.02500,00061.803,00049.112
11/12/2015,00:46,003.03194,00061.774,00049.129
11/12/2015,00:56,003.03889,00061.774,00049.147
11/12/2015,01:06,003.04583,00061.774,00049.164
11/12/2015,01:16,003.05278,00060.761,00049.181
11/12/2015,01:26,003.05972,00060.632,00049.198
11/12/2015,01:36,003.06667,00056.536,00049.216
11/12/2015,01:46,003.07361,00056.364,00049.233
11/12/2015,01:56,003.08056,00055.445,00049.250
11/12/2015,02:06,003.08750,00055.445,00049.267
11/12/2015,02:16,003.09444,00055.445,00049.285
11/12/2015,02:26,003.10139,00054.273,00049.302
11/12/2015,02:36,003.10833,00054.230,00049.319
11/12/2015,02:46,003.11528,00054.116,00049.336
11/12/2015,02:56,003.12222,00054.116,00049.354
11/12/2015,03:06,003.12917,00054.116,00049.371
11/12/2015,03:16,003.13611,00054.562,00049.388
11/12/2015,03:26,003.14306,00054.288,00049.405
11/12/2015,03:36,003.15000,00054.853,00049.423
11/12/2015,03:46,003.15694,00055.051,00049.440
11/12/2015,03:56,003.16389,00055.995,00049.457
11/12/2015,04:06,003.17083,00058.106,00049.474
11/12/2015,04:16,003.17778,00061.762,00049.492
11/12/2015,04:26,003.18472,00061.762,00049.509
11/12/2015,04:36,003.19167,00061.216,00049.526
11/12/2015,04:46,003.19861,00061.216,00049.543
11/12/2015,04:56,003.20556,00059.576,00049.561
11/12/2015,05:06,003.21250,00059.576,00049.578
11/12/2015,05:16,003.21944,00057.636,00049.595
11/12/2015,05:26,003.22639,00056.895,00049.612
11/12/2015,05:36,003.23333,00053.121,00049.630
11/12/2015,05:46,003.24028,00053.121,00049.647
11/12/2015,05:56,003.24722,00054.111,00049.664
11/12/2015,06:06,003.25417,00054.111,00049.681
11/12/2015,06:16,003.26111,00053.084,00049.699
11/12/2015,06:26,003.26806,00052.644,00049.716
11/12/2015,06:36,003.27500,00052.098,00049.733
11/12/2015,06:46,003.28194,00052.098,00049.750
11/12/2015,06:56,003.28889,00052.925,00049.768
11/12/2015,07:06,003.29583,00053.612,00049.785
11/12/2015,07:16,003.30278,00053.281,00049.802
11/12/2015,07:26,003.30972,00054.154,00049.819
11/12/2015,07:36,003.31667,00056.109,00049.837
11/12/2015,07:46,003.32361,00057.465,00049.854
11/12/2015,07:56,003.33056,00057.893,00049.871
11/12/2015,08:06,003.33750,00059.319,00049.888
11/12/2015,08:16,003.34444,00059.829,00049.906
11/12/2015,08:26,003.35139,00061.303,00049.923
11/12/2015,08:36,003.35833,00059.829,00049.940
11/12/2015,08:46,003.36528,00059.733,00049.957
11/12/2015,08:56,003.37222,00059.733,00049.974
11/12/2015,09:06,003.37917,00059.008,00049.992
11/12/2015,09:16,003.38611,00057.617,00050.009
11/12/2015,09:26,003.39306,00055.096,00050.026
11/12/2015,09:36,003.40000,00053.883,00050.043
11/12/2015,09:46,003.40694,00052.537,00050.061
11/12/2015,09:56,003.41389,00052.236,00050.078
11/12/2015,10:06,003.42083,00052.236,00050.095
11/12/2015,10:16,003.42778,00052.236,00050.112
11/12/2015,10:26,003.43472,00051.534,00050.130
11/12/2015,10:36,003.44167,00051.534,00050.147
11/12/2015,10:46,003.44861,00052.024,00050.164
11/12/2015,10:56,003.45556,00052.024,00050.181
11/12/2015,11:06,003.46250,00052.024,00050.199
11/12/2015,11:16,003.46944,00053.985,00050.216
11/12/2015,11:26,003.47639,00054.262,00050.233
11/12/2015,11:36,003.48333,00055.996,00050.250
11/12/2015,11:46,003.49028,00056.073,00050.268
11/12/2015,11:56,003.49722,00056.615,00050.285
11/12/2015,12:06,003.50417,00058.399,00050.302
11/12/2015,12:16,003.51111,00059.135,00050.319
11/12/2015,12:26,003.51806,00059.202,00050.337
11/12/2015,12:36,003.52500,00059.339,00050.354
11/12/2015,12:46,003.53194,00060.079,00050.371
11/12/2015,12:56,003.53889,00059.339,00050.388
11/12/2015,13:06,003.54583,00058.207,00050.406
11/12/2015,13:16,003.55278,00055.353,00050.423
11/12/2015,13:26,003.55972,00054.482,00050.440
11/12/2015,13:36,003.56667,00052.959,00050.457
11/12/2015,13:46,003.57361,00051.660,00050.475
11/12/2015,13:56,003.58056,00051.485,00050.492
11/12/2015,14:16,003.59444,00051.485,00050.526
11/12/2015,14:26,003.60139,00052.404,00050.544
11/12/2015,14:36,003.60833,00052.404,00050.561
11/12/2015,14:46,003.61528,00052.404,00050.578
11/12/2015,14:56,003.62222,00052.629,00050.595
11/12/2015,15:06,003.62917,00053.141,00050.613
11/12/2015,15:16,003.63611,00053.553,00050.630
11/12/2015,15:26,003.64306,00054.720,00050.647
11/12/2015,15:36,003.65000,00056.262,00050.664
11/12/2015,15:46,003.65694,00056.985,00050.682
11/12/2015,15:56,003.66389,00058.846,00050.699
11/12/2015,16:06,003.67083,00060.117,00050.716
11/12/2015,16:16,003.67778,00059.591,00050.733
11/12/2015,16:26,003.68472,00060.117,00050.751
11/12/2015,16:46,003.69861,00059.591,00050.785
11/12/2015,16:56,003.70556,00057.219,00050.802
11/12/2015,17:06,003.71250,00055.695,00050.819
11/12/2015,17:16,003.71944,00055.201,00050.837
11/12/2015,17:26,003.72639,00053.236,00050.854
11/12/2015,17:36,003.73333,00052.756,00050.871
11/12/2015,17:46,003.74028,00052.623,00050.888
11/12/2015,17:56,003.74722,00052.623,00050.906
11/12/2015,18:06,003.75417,00052.623,00050.923
11/12/2015,18:16,003.76111,00052.425,00050.940
11/12/2015,18:26,003.76806,00052.425,00050.957
11/12/2015,18:36,003.77500,00052.588,00050.975
11/12/2015,18:46,003.78194,00053.659,00050.992
11/12/2015,18:56,003.78889,00053.758,00051.009
11/12/2015,19:06,003.79583,00053.828,00051.026
11/12/2015,19:16,003.80278,00053.828,00051.044
11/12/2015,19:26,003.80972,00055.448,00051.061
11/12/2015,19:36,003.81667,00056.077,00051.078
11/12/2015,19:46,003.82361,00058.132,00051.095
11/12/2015,19:56,003.83056,00058.846,00051.113
11/12/2015,20:06,003.83750,00059.317,00051.130
11/12/2015,20:16,003.84444,00060.380,00051.147
11/12/2015,20:26,003.85139,00060.380,00051.164
11/12/2015,20:36,003.85833,00059.077,00051.182
11/12/2015,20:46,003.86528,00057.592,00051.199
11/12/2015,20:56,003.87222,00057.543,00051.216
11/12/2015,21:06,003.87917,00055.310,00051.233
11/12/2015,21:16,003.88611,00053.400,00051.251
11/12/2015,21:26,003.89306,00052.632,00051.268
11/12/2015,21:36,003.90000,00052.608,00051.285
11/12/2015,21:46,003.90694,00052.430,00051.302
11/12/2015,21:56,003.91389,00051.828,00051.320
11/12/2015,22:06,003.92083,00051.674,00051.337
11/12/2015,22:16,003.92778,00051.828,00051.354
11/12/2015,22:26,003.93472,00052.457,00051.371
11/12/2015,22:36,003.94167,00053.567,00051.389
11/12/2015,22:46,003.94861,00053.567,00051.406
11/12/2015,22:56,003.95556,00053.212,00051.423
11/12/2015,23:06,003.96250,00053.212,00051.440
11/12/2015,23:16,003.96944,00055.263,00051.458
11/12/2015,23:26,003.97639,00055.581,00051.475
11/12/2015,23:36,003.98333,00055.581,00051.492
11/12/2015,23:46,003.99028,00058.771,00051.509
11/12/2015,23:56,003.99722,00058.771,00051.527
11/13/2015,00:06,004.00417,00058.771,00051.544
11/13/2015,00:16,004.01111,00059.162,00051.561
11/13/2015,00:26,004.01806,00059.162,00051.578
11/13/2015,00:36,004.02500,00058.167,00051.596
11/13/2015,00:46,004.03194,00058.124,00051.613
11/13/2015,00:56,004.03889,00057.576,00051.630
11/13/2015,01:06,004.04583,00052.263,00051.647
11/13/2015,01:16,004.05278,00052.002,00051.665
11/13/2015,01:26,004.05972,00052.002,00051.682
11/13/2015,01:36,004.06667,00052.013,00051.699
11/13/2015,01:46,004.07361,00052.042,00051.716
11/13/2015,01:56,004.08056,00052.042,00051.733
11/13/2015,02:06,004.08750,00052.136,00051.751
11/13/2015,02:16,004.09444,00052.112,00051.768
11/13/2015,02:26,004.10139,00052.950,00051.785
11/13/2015,02:36,004.10833,00053.595,00051.802
11/13/2015,02:46,004.11528,00053.595,00051.820
11/13/2015,02:56,004.12222,00053.595,00051.837
11/13/2015,03:06,004.12917,00054.054,00051.854
11/13/2015,03:16,004.13611,00055.734,00051.871
11/13/2015,03:26,004.14306,00056.215,00051.889
11/13/2015,03:36,004.15000,00056.990,00051.906
11/13/2015,03:46,004.15694,00059.072,00051.923
11/13/2015,03:56,004.16389,00059.803,00051.940
11/13/2015,04:06,004.17083,00059.072,00051.958
11/13/2015,04:16,004.17778,00060.706,00051.975
11/13/2015,04:26,004.18472,00058.881,00051.992
11/13/2015,04:36,004.19167,00060.204,00052.009
11/13/2015,04:46,004.19861,00058.368,00052.027
11/13/2015,04:56,004.20556,00056.751,00052.044
11/13/2015,05:06,004.21250,00053.897,00052.061
11/13/2015,05:16,004.21944,00053.552,00052.078
11/13/2015,05:26,004.22639,00051.813,00052.096
11/13/2015,05:36,004.23333,00051.813,00052.113
11/13/2015,05:46,004.24028,00051.813,00052.130
11/13/2015,05:56,004.24722,00052.756,00052.147
11/13/2015,06:06,004.25417,00053.359,00052.165
11/13/2015,06:16,004.26111,00053.359,00052.182
11/13/2015,06:26,004.26806,00053.374,00052.199
11/13/2015,06:36,004.27500,00054.078,00052.216
11/13/2015,06:46,004.28194,00054.078,00052.234
11/13/2015,06:56,004.28889,00056.113,00052.251
11/13/2015,07:06,004.29583,00056.113,00052.268
11/13/2015,07:16,004.30278,00058.265,00052.285
11/13/2015,07:26,004.30972,00058.865,00052.303
11/13/2015,07:36,004.31667,00058.865,00052.320
11/13/2015,07:46,004.32361,00059.009,00052.337
11/13/2015,07:56,004.33056,00059.896,00052.354
11/13/2015,08:06,004.33750,00060.708,00052.372
11/13/2015,08:16,004.34444,00061.032,00052.389
11/13/2015,08:26,004.35139,00061.032,00052.406
11/13/2015,08:36,004.35833,00059.686,00052.423
11/13/2015,08:46,004.36528,00057.836,00052.441
11/13/2015,08:56,004.37222,00054.959,00052.458
11/13/2015,09:06,004.37917,00053.673,00052.475
11/13/2015,09:16,004.38611,00052.376,00052.492
11/13/2015,09:26,004.39306,00052.376,00052.510
11/13/2015,09:36,004.40000,00053.157,00052.527
11/13/2015,09:46,004.40694,00053.157,00052.544
11/13/2015,09:56,004.41389,00052.957,00052.561
11/13/2015,10:06,004.42083,00052.957,00052.578
11/13/2015,10:16,004.42778,00053.433,00052.596
11/13/2015,10:26,004.43472,00054.254,00052.613
11/13/2015,10:36,004.44167,00055.277,00052.630
11/13/2015,10:46,004.44861,00055.893,00052.647
11/13/2015,10:56,004.45556,00055.893,00052.665
11/13/2015,11:06,004.46250,00058.379,00052.682
11/13/2015,11:16,004.46944,00058.411,00052.699
11/13/2015,11:26,004.47639,00059.388,00052.716
11/13/2015,11:36,004.48333,00059.388,00052.734
11/13/2015,11:46,004.49028,00060.534,00052.751
11/13/2015,11:56,004.49722,00060.534,00052.768
11/13/2015,12:06,004.50417,00060.079,00052.785
11/13/2015,12:16,004.51111,00060.079,00052.803
11/13/2015,12:26,004.51806,00059.858,00052.820
11/13/2015,12:36,004.52500,00057.582,00052.837
11/13/2015,12:46,004.53194,00057.285,00052.854
11/13/2015,12:56,004.53889,00055.491,00052.872
11/13/2015,13:06,004.54583,00055.273,00052.889
11/13/2015,13:16,004.55278,00054.749,00052.906
11/13/2015,13:26,004.55972,00053.341,00052.923
11/13/2015,13:36,004.56667,00053.341,00052.941
11/13/2015,13:46,004.57361,00053.607,00052.958
11/13/2015,13:56,004.58056,00053.754,00052.975
11/13/2015,14:06,004.58750,00053.853,00052.992
