LumiCycle: 20151109C3p_Env_4 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
11/10/2015,14:25,001.60069,00062.357,00058.589
11/10/2015,14:35,001.60764,00062.357,00058.622
11/10/2015,14:45,001.61458,00062.829,00058.655
11/10/2015,14:55,001.62153,00063.301,00058.689
11/10/2015,15:05,001.62847,00065.044,00058.722
11/10/2015,15:15,001.63542,00066.282,00058.755
11/10/2015,15:25,001.64236,00066.897,00058.789
11/10/2015,15:35,001.64931,00066.953,00058.822
11/10/2015,15:45,001.65625,00068.630,00058.855
11/10/2015,15:55,001.66319,00068.870,00058.889
11/10/2015,16:05,001.67014,00070.295,00058.922
11/10/2015,16:15,001.67708,00070.984,00058.956
11/10/2015,16:25,001.68403,00070.295,00058.989
11/10/2015,16:35,001.69097,00069.127,00059.022
11/10/2015,16:45,001.69792,00067.960,00059.056
11/10/2015,16:55,001.70486,00064.386,00059.089
11/10/2015,17:05,001.71181,00063.215,00059.122
11/10/2015,17:15,001.71875,00062.801,00059.156
11/10/2015,17:25,001.72569,00060.398,00059.189
11/10/2015,17:35,001.73264,00060.398,00059.222
11/10/2015,17:45,001.73958,00060.398,00059.256
11/10/2015,17:55,001.74653,00060.015,00059.289
11/10/2015,18:05,001.75347,00060.015,00059.322
11/10/2015,18:15,001.76042,00061.232,00059.356
11/10/2015,18:25,001.76736,00061.589,00059.389
11/10/2015,18:35,001.77431,00062.986,00059.423
11/10/2015,18:45,001.78125,00063.271,00059.456
11/10/2015,18:55,001.78819,00064.386,00059.489
11/10/2015,19:05,001.79514,00066.941,00059.523
11/10/2015,19:15,001.80208,00067.412,00059.556
11/10/2015,19:25,001.80903,00068.103,00059.589
11/10/2015,19:35,001.81597,00068.830,00059.623
11/10/2015,19:45,001.82292,00070.630,00059.656
11/10/2015,19:55,001.82986,00070.630,00059.689
11/10/2015,20:05,001.83681,00068.283,00059.723
11/10/2015,20:15,001.84375,00066.529,00059.756
11/10/2015,20:25,001.85069,00064.343,00059.789
11/10/2015,20:35,001.85764,00061.603,00059.823
11/10/2015,20:45,001.86458,00061.603,00059.856
11/10/2015,20:55,001.87153,00061.157,00059.889
11/10/2015,21:05,001.87847,00061.157,00059.923
11/10/2015,21:15,001.88542,00060.446,00059.956
11/10/2015,21:25,001.89236,00060.446,00059.990
11/10/2015,21:35,001.89931,00060.818,00060.023
11/10/2015,21:45,001.90625,00061.613,00060.056
11/10/2015,21:55,001.91319,00061.357,00060.090
11/10/2015,22:05,001.92014,00061.613,00060.123
11/10/2015,22:15,001.92708,00062.514,00060.156
11/10/2015,22:25,001.93403,00065.841,00060.190
11/10/2015,22:35,001.94097,00065.841,00060.223
11/10/2015,22:45,001.94792,00066.585,00060.256
11/10/2015,22:55,001.95486,00067.474,00060.290
11/10/2015,23:05,001.96181,00069.502,00060.323
11/10/2015,23:15,001.96875,00069.502,00060.356
11/10/2015,23:25,001.97569,00069.502,00060.390
11/10/2015,23:35,001.98264,00068.959,00060.423
11/10/2015,23:45,001.98958,00066.044,00060.457
11/10/2015,23:55,001.99653,00064.614,00060.490
11/11/2015,00:05,002.00347,00061.413,00060.523
11/11/2015,00:15,002.01042,00060.789,00060.557
11/11/2015,00:25,002.01736,00059.797,00060.590
11/11/2015,00:35,002.02431,00059.631,00060.623
11/11/2015,00:45,002.03125,00059.631,00060.657
11/11/2015,00:55,002.03819,00059.631,00060.690
11/11/2015,01:05,002.04514,00059.631,00060.723
11/11/2015,01:15,002.05208,00059.003,00060.757
11/11/2015,01:25,002.05903,00059.003,00060.790
11/11/2015,01:35,002.06597,00060.402,00060.823
11/11/2015,01:45,002.07292,00060.559,00060.857
11/11/2015,01:55,002.07986,00060.903,00060.890
11/11/2015,02:05,002.08681,00064.000,00060.923
11/11/2015,02:15,002.09375,00066.755,00060.957
11/11/2015,02:25,002.10069,00066.755,00060.990
11/11/2015,02:35,002.10764,00066.755,00061.024
11/11/2015,02:45,002.11458,00066.983,00061.057
11/11/2015,02:55,002.12153,00066.987,00061.090
11/11/2015,03:05,002.12847,00066.987,00061.124
11/11/2015,03:15,002.13542,00065.501,00061.157
11/11/2015,03:25,002.14236,00062.516,00061.190
11/11/2015,03:35,002.14931,00060.247,00061.224
11/11/2015,03:45,002.15625,00058.407,00061.257
11/11/2015,03:55,002.16319,00057.611,00061.290
11/11/2015,04:05,002.17014,00056.307,00061.324
11/11/2015,04:15,002.17708,00056.101,00061.357
11/11/2015,04:25,002.18403,00056.101,00061.390
11/11/2015,04:35,002.19097,00056.509,00061.424
11/11/2015,04:45,002.19792,00056.737,00061.457
11/11/2015,04:55,002.20486,00056.878,00061.491
11/11/2015,05:05,002.21181,00057.149,00061.524
11/11/2015,05:15,002.21875,00057.227,00061.557
11/11/2015,05:25,002.22569,00058.046,00061.591
11/11/2015,05:35,002.23264,00059.969,00061.624
11/11/2015,05:45,002.23958,00061.870,00061.657
11/11/2015,05:55,002.24653,00062.144,00061.691
11/11/2015,06:05,002.25347,00064.700,00061.724
11/11/2015,06:15,002.26042,00065.570,00061.757
11/11/2015,06:25,002.26736,00065.570,00061.791
11/11/2015,06:35,002.27431,00065.512,00061.824
11/11/2015,06:45,002.28125,00063.914,00061.857
11/11/2015,06:55,002.28819,00061.829,00061.891
11/11/2015,07:05,002.29514,00060.115,00061.924
11/11/2015,07:15,002.30208,00059.477,00061.957
11/11/2015,07:25,002.30903,00058.629,00061.991
11/11/2015,07:35,002.31597,00058.040,00062.024
11/11/2015,07:45,002.32292,00056.441,00062.058
11/11/2015,07:55,002.32986,00054.035,00062.091
11/11/2015,08:05,002.33681,00056.441,00062.124
11/11/2015,08:15,002.34375,00055.980,00062.158
11/11/2015,08:25,002.35069,00056.481,00062.191
11/11/2015,08:35,002.35764,00056.227,00062.224
11/11/2015,08:45,002.36458,00056.850,00062.258
