LumiCycle: 20151116C3p_8 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
11/18/2015,12:35,002.52431,00068.910,00069.234
11/18/2015,12:45,002.53125,00067.369,00069.250
11/18/2015,12:55,002.53819,00067.840,00069.266
11/18/2015,13:05,002.54514,00066.285,00069.282
11/18/2015,13:15,002.55208,00067.783,00069.298
11/18/2015,13:25,002.55903,00067.884,00069.314
11/18/2015,13:35,002.56597,00069.753,00069.330
11/18/2015,13:45,002.57292,00070.829,00069.346
11/18/2015,13:55,002.57986,00072.511,00069.362
11/18/2015,14:05,002.58681,00074.921,00069.378
11/18/2015,14:15,002.59375,00078.310,00069.394
11/18/2015,14:25,002.60069,00081.233,00069.410
11/18/2015,14:35,002.60764,00081.655,00069.426
11/18/2015,14:45,002.61458,00080.200,00069.443
11/18/2015,14:55,002.62153,00083.513,00069.459
11/18/2015,15:05,002.62847,00083.658,00069.475
11/18/2015,15:15,002.63542,00086.727,00069.491
11/18/2015,15:25,002.64236,00085.657,00069.507
11/18/2015,15:35,002.64931,00084.240,00069.523
11/18/2015,15:45,002.65625,00083.823,00069.539
11/18/2015,15:55,002.66319,00080.800,00069.555
11/18/2015,16:05,002.67014,00076.366,00069.571
11/18/2015,16:15,002.67708,00072.507,00069.587
11/18/2015,16:25,002.68403,00071.581,00069.603
11/18/2015,16:35,002.69097,00069.524,00069.619
11/18/2015,16:45,002.69792,00068.011,00069.635
11/18/2015,16:55,002.70486,00070.081,00069.651
11/18/2015,17:05,002.71181,00068.268,00069.667
11/18/2015,17:15,002.71875,00068.625,00069.683
11/18/2015,17:25,002.72569,00066.256,00069.699
11/18/2015,17:35,002.73264,00069.582,00069.715
11/18/2015,17:45,002.73958,00069.496,00069.731
11/18/2015,17:55,002.74653,00071.009,00069.747
11/18/2015,18:05,002.75347,00072.706,00069.763
11/18/2015,18:15,002.76042,00075.690,00069.779
11/18/2015,18:25,002.76736,00078.094,00069.795
11/18/2015,18:35,002.77431,00082.114,00069.811
11/18/2015,18:45,002.78125,00084.448,00069.828
11/18/2015,18:55,002.78819,00084.914,00069.844
11/18/2015,19:05,002.79514,00084.368,00069.860
11/18/2015,19:15,002.80208,00084.325,00069.876
11/18/2015,19:25,002.80903,00085.161,00069.892
11/18/2015,19:35,002.81597,00083.720,00069.908
11/18/2015,19:45,002.82292,00084.891,00069.924
11/18/2015,19:55,002.82986,00081.340,00069.940
11/18/2015,20:05,002.83681,00079.750,00069.956
11/18/2015,20:15,002.84375,00073.078,00069.972
11/18/2015,20:25,002.85069,00071.763,00069.988
11/18/2015,20:35,002.85764,00071.766,00070.004
11/18/2015,20:45,002.86458,00069.939,00070.020
11/18/2015,20:55,002.87153,00070.623,00070.036
11/18/2015,21:05,002.87847,00066.428,00070.052
11/18/2015,21:15,002.88542,00068.982,00070.068
11/18/2015,21:25,002.89236,00069.171,00070.084
11/18/2015,21:35,002.89931,00070.381,00070.100
11/18/2015,21:45,002.90625,00070.391,00070.116
11/18/2015,21:55,002.91319,00069.565,00070.132
11/18/2015,22:05,002.92014,00072.137,00070.148
11/18/2015,22:15,002.92708,00072.596,00070.164
11/18/2015,22:25,002.93403,00076.580,00070.180
11/18/2015,22:35,002.94097,00079.229,00070.196
11/18/2015,22:45,002.94792,00081.428,00070.212
11/18/2015,22:55,002.95486,00082.359,00070.229
11/18/2015,23:05,002.96181,00082.999,00070.245
11/18/2015,23:15,002.96875,00085.842,00070.261
11/18/2015,23:25,002.97569,00083.940,00070.277
11/18/2015,23:35,002.98264,00084.796,00070.293
11/18/2015,23:45,002.98958,00084.905,00070.309
11/18/2015,23:55,002.99653,00083.740,00070.325
11/19/2015,00:05,003.00347,00077.848,00070.341
11/19/2015,00:15,003.01042,00075.957,00070.357
11/19/2015,00:25,003.01736,00073.779,00070.373
11/19/2015,00:35,003.02431,00070.283,00070.389
11/19/2015,00:45,003.03125,00067.654,00070.405
11/19/2015,00:55,003.03819,00068.941,00070.421
11/19/2015,01:05,003.04514,00067.331,00070.437
11/19/2015,01:15,003.05208,00067.897,00070.453
11/19/2015,01:25,003.05903,00067.741,00070.469
11/19/2015,01:35,003.06597,00069.984,00070.485
11/19/2015,01:45,003.07292,00068.170,00070.501
11/19/2015,01:55,003.07986,00068.341,00070.517
11/19/2015,02:05,003.08681,00071.119,00070.533
11/19/2015,02:15,003.09375,00071.254,00070.549
11/19/2015,02:25,003.10069,00075.611,00070.565
11/19/2015,02:35,003.10764,00076.352,00070.581
11/19/2015,02:45,003.11458,00079.483,00070.597
11/19/2015,02:55,003.12153,00080.529,00070.614
11/19/2015,03:05,003.12847,00084.471,00070.630
11/19/2015,03:15,003.13542,00083.430,00070.646
11/19/2015,03:25,003.14236,00084.340,00070.662
11/19/2015,03:35,003.14931,00085.357,00070.678
11/19/2015,03:45,003.15625,00084.686,00070.694
11/19/2015,03:55,003.16319,00083.549,00070.710
11/19/2015,04:05,003.17014,00080.246,00070.726
11/19/2015,04:15,003.17708,00075.838,00070.742
11/19/2015,04:25,003.18403,00075.286,00070.758
11/19/2015,04:35,003.19097,00071.511,00070.774
11/19/2015,04:45,003.19792,00068.641,00070.790
11/19/2015,04:55,003.20486,00066.829,00070.806
11/19/2015,05:05,003.21181,00066.773,00070.822
11/19/2015,05:15,003.21875,00067.631,00070.838
11/19/2015,05:25,003.22569,00067.026,00070.854
11/19/2015,05:35,003.23264,00067.811,00070.870
11/19/2015,05:45,003.23958,00067.797,00070.886
11/19/2015,05:55,003.24653,00067.697,00070.902
11/19/2015,06:05,003.25347,00067.542,00070.918
11/19/2015,06:15,003.26042,00069.186,00070.934
11/19/2015,06:25,003.26736,00071.557,00070.950
11/19/2015,06:35,003.27431,00075.765,00070.966
11/19/2015,06:45,003.28125,00075.479,00070.982
11/19/2015,06:55,003.28819,00081.612,00070.998
11/19/2015,07:05,003.29514,00081.043,00071.015
11/19/2015,07:15,003.30208,00084.086,00071.031
11/19/2015,07:25,003.30903,00084.485,00071.047
11/19/2015,07:35,003.31597,00084.529,00071.063
11/19/2015,07:45,003.32292,00083.885,00071.079
11/19/2015,07:55,003.32986,00083.829,00071.095
11/19/2015,08:05,003.33681,00084.285,00071.111
11/19/2015,08:15,003.34375,00080.769,00071.127
11/19/2015,08:25,003.35069,00080.300,00071.143
11/19/2015,08:35,003.35764,00073.336,00071.159
11/19/2015,08:45,003.36458,00072.234,00071.175
11/19/2015,08:55,003.37153,00069.461,00071.191
11/19/2015,09:05,003.37847,00071.334,00071.207
11/19/2015,09:15,003.38542,00070.319,00071.223
11/19/2015,09:25,003.39236,00066.902,00071.239
11/19/2015,09:35,003.39931,00068.782,00071.255
11/19/2015,09:45,003.40625,00069.171,00071.271
11/19/2015,09:55,003.41319,00070.233,00071.287
11/19/2015,10:05,003.42014,00068.132,00071.303
11/19/2015,10:15,003.42708,00070.504,00071.319
11/19/2015,10:25,003.43403,00070.200,00071.335
11/19/2015,10:35,003.44097,00071.237,00071.351
11/19/2015,10:45,003.44792,00077.271,00071.367
11/19/2015,10:55,003.45486,00078.843,00071.383
11/19/2015,11:05,003.46181,00078.867,00071.400
11/19/2015,11:15,003.46875,00080.540,00071.416
11/19/2015,11:25,003.47569,00083.860,00071.432
11/19/2015,11:35,003.48264,00084.877,00071.448
11/19/2015,11:45,003.48958,00084.628,00071.464
11/19/2015,11:55,003.49653,00083.342,00071.480
11/19/2015,12:05,003.50347,00084.828,00071.496
11/19/2015,12:15,003.51042,00082.598,00071.512
11/19/2015,12:25,003.51736,00082.927,00071.528
11/19/2015,12:35,003.52431,00081.314,00071.544
11/19/2015,12:45,003.53125,00075.708,00071.560
11/19/2015,12:55,003.53819,00075.214,00071.576
11/19/2015,13:05,003.54514,00074.300,00071.592
11/19/2015,13:15,003.55208,00069.482,00071.608
11/19/2015,13:25,003.55903,00071.623,00071.624
11/19/2015,13:35,003.56597,00068.603,00071.640
11/19/2015,13:45,003.57292,00069.718,00071.656
11/19/2015,13:55,003.57986,00067.317,00071.672
11/19/2015,14:05,003.58681,00067.417,00071.688
11/19/2015,14:15,003.59375,00070.876,00071.704
11/19/2015,14:25,003.60069,00071.171,00071.720
11/19/2015,14:35,003.60764,00069.276,00071.736
11/19/2015,14:45,003.61458,00070.647,00071.752
11/19/2015,14:55,003.62153,00073.268,00071.768
11/19/2015,15:05,003.62847,00076.952,00071.784
11/19/2015,15:15,003.63542,00078.511,00071.801
11/19/2015,15:25,003.64236,00080.560,00071.817
11/19/2015,15:35,003.64931,00083.729,00071.833
11/19/2015,15:45,003.65625,00084.129,00071.849
11/19/2015,15:55,003.66319,00083.073,00071.865
11/19/2015,16:05,003.67014,00084.300,00071.881
11/19/2015,16:15,003.67708,00085.485,00071.897
11/19/2015,16:25,003.68403,00085.328,00071.913
11/19/2015,16:35,003.69097,00086.529,00071.929
11/19/2015,16:45,003.69792,00081.402,00071.945
11/19/2015,16:55,003.70486,00079.918,00071.961
11/19/2015,17:05,003.71181,00075.307,00071.977
11/19/2015,17:15,003.71875,00074.064,00071.993
11/19/2015,17:25,003.72569,00071.794,00072.009
11/19/2015,17:35,003.73264,00072.251,00072.025
11/19/2015,17:45,003.73958,00071.147,00072.041
11/19/2015,17:55,003.74653,00069.139,00072.057
11/19/2015,18:05,003.75347,00070.352,00072.073
11/19/2015,18:15,003.76042,00068.339,00072.089
11/19/2015,18:25,003.76736,00069.143,00072.105
11/19/2015,18:35,003.77431,00069.674,00072.121
11/19/2015,18:45,003.78125,00069.910,00072.137
11/19/2015,18:55,003.78819,00070.110,00072.153
11/19/2015,19:05,003.79514,00070.286,00072.169
11/19/2015,19:15,003.80208,00073.294,00072.186
11/19/2015,19:25,003.80903,00077.876,00072.202
11/19/2015,19:35,003.81597,00080.046,00072.218
11/19/2015,19:45,003.82292,00080.446,00072.234
11/19/2015,19:55,003.82986,00081.331,00072.250
11/19/2015,20:05,003.83681,00082.471,00072.266
11/19/2015,20:15,003.84375,00084.015,00072.282
11/19/2015,20:25,003.85069,00085.186,00072.298
11/19/2015,20:35,003.85764,00081.402,00072.314
11/19/2015,20:45,003.86458,00083.044,00072.330
11/19/2015,20:55,003.87153,00078.604,00072.346
11/19/2015,21:05,003.87847,00082.031,00072.362
11/19/2015,21:15,003.88542,00075.792,00072.378
11/19/2015,21:25,003.89236,00073.793,00072.394
11/19/2015,21:35,003.89931,00072.114,00072.410
11/19/2015,21:45,003.90625,00071.038,00072.426
11/19/2015,21:55,003.91319,00069.747,00072.442
11/19/2015,22:05,003.92014,00067.954,00072.458
11/19/2015,22:15,003.92708,00067.826,00072.474
11/19/2015,22:25,003.93403,00066.570,00072.490
11/19/2015,22:35,003.94097,00067.840,00072.506
11/19/2015,22:45,003.94792,00068.371,00072.522
11/19/2015,22:55,003.95486,00068.525,00072.538
11/19/2015,23:05,003.96181,00071.611,00072.554
11/19/2015,23:15,003.96875,00069.668,00072.570
11/19/2015,23:25,003.97569,00074.246,00072.587
11/19/2015,23:35,003.98264,00074.463,00072.603
11/19/2015,23:45,003.98958,00076.177,00072.619
11/19/2015,23:55,003.99653,00080.714,00072.635
11/20/2015,00:05,004.00347,00081.485,00072.651
11/20/2015,00:15,004.01042,00082.112,00072.667
11/20/2015,00:25,004.01736,00084.872,00072.683
11/20/2015,00:35,004.02431,00083.444,00072.699
11/20/2015,00:45,004.03125,00082.088,00072.715
11/20/2015,00:55,004.03819,00083.887,00072.731
11/20/2015,01:05,004.04514,00082.859,00072.747
11/20/2015,01:15,004.05208,00081.031,00072.763
11/20/2015,01:25,004.05903,00077.477,00072.779
11/20/2015,01:35,004.06597,00075.321,00072.795
11/20/2015,01:45,004.07292,00073.708,00072.811
11/20/2015,01:55,004.07986,00072.466,00072.827
11/20/2015,02:05,004.08681,00070.096,00072.843
11/20/2015,02:15,004.09375,00069.690,00072.859
11/20/2015,02:25,004.10069,00068.882,00072.875
11/20/2015,02:35,004.10764,00068.454,00072.891
11/20/2015,02:45,004.11458,00069.671,00072.907
11/20/2015,02:55,004.12153,00066.259,00072.923
11/20/2015,03:05,004.12847,00066.931,00072.939
11/20/2015,03:15,004.13542,00067.929,00072.955
11/20/2015,03:25,004.14236,00068.368,00072.972
11/20/2015,03:35,004.14931,00070.995,00072.988
11/20/2015,03:45,004.15625,00073.494,00073.004
11/20/2015,03:55,004.16319,00073.137,00073.020
