LumiCycle: 20151130C3p_13 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
12/01/2015,11:45,001.48958,00042.314,00043.303
12/01/2015,11:55,001.49653,00043.286,00043.325
12/01/2015,12:05,001.50347,00044.918,00043.348
12/01/2015,12:15,001.51042,00046.237,00043.370
12/01/2015,12:25,001.51736,00046.821,00043.392
12/01/2015,12:35,001.52431,00047.465,00043.415
12/01/2015,12:45,001.53125,00048.671,00043.437
12/01/2015,12:55,001.53819,00049.057,00043.460
12/01/2015,13:05,001.54514,00048.671,00043.482
12/01/2015,13:15,001.55208,00048.610,00043.504
12/01/2015,13:25,001.55903,00047.754,00043.527
12/01/2015,13:35,001.56597,00045.992,00043.549
12/01/2015,13:45,001.57292,00045.323,00043.572
12/01/2015,13:55,001.57986,00043.990,00043.594
12/01/2015,14:05,001.58681,00043.419,00043.616
12/01/2015,14:15,001.59375,00041.799,00043.639
12/01/2015,14:25,001.60069,00041.799,00043.661
12/01/2015,14:35,001.60764,00041.799,00043.684
12/01/2015,14:45,001.61458,00042.115,00043.706
12/01/2015,14:55,001.62153,00042.115,00043.728
12/01/2015,15:05,001.62847,00042.119,00043.751
12/01/2015,15:15,001.63542,00042.377,00043.773
12/01/2015,15:25,001.64236,00042.619,00043.796
12/01/2015,15:35,001.64931,00045.061,00043.818
12/01/2015,15:45,001.65625,00046.145,00043.840
12/01/2015,15:55,001.66319,00048.443,00043.863
12/01/2015,16:05,001.67014,00048.443,00043.885
12/01/2015,16:15,001.67708,00048.739,00043.908
12/01/2015,16:25,001.68403,00048.921,00043.930
12/01/2015,16:35,001.69097,00049.824,00043.952
12/01/2015,16:45,001.69792,00049.450,00043.975
12/01/2015,16:55,001.70486,00049.450,00043.997
12/01/2015,17:05,001.71181,00048.243,00044.020
12/01/2015,17:15,001.71875,00046.940,00044.042
12/01/2015,17:25,001.72569,00045.398,00044.064
12/01/2015,17:35,001.73264,00045.217,00044.087
12/01/2015,17:45,001.73958,00045.098,00044.109
12/01/2015,17:55,001.74653,00044.734,00044.132
12/01/2015,18:05,001.75347,00042.833,00044.154
12/01/2015,18:15,001.76042,00042.833,00044.176
12/01/2015,18:25,001.76736,00040.978,00044.199
12/01/2015,18:35,001.77431,00042.429,00044.221
12/01/2015,18:45,001.78125,00042.429,00044.244
12/01/2015,18:55,001.78819,00042.776,00044.266
12/01/2015,19:05,001.79514,00044.741,00044.288
12/01/2015,19:15,001.80208,00044.852,00044.311
12/01/2015,19:25,001.80903,00046.006,00044.333
12/01/2015,19:35,001.81597,00047.051,00044.356
12/01/2015,19:45,001.82292,00047.868,00044.378
12/01/2015,19:55,001.82986,00048.293,00044.400
12/01/2015,20:05,001.83681,00049.153,00044.423
12/01/2015,20:15,001.84375,00049.438,00044.445
12/01/2015,20:25,001.85069,00049.927,00044.468
12/01/2015,20:35,001.85764,00049.667,00044.490
12/01/2015,20:45,001.86458,00049.667,00044.512
12/01/2015,20:55,001.87153,00048.746,00044.535
12/01/2015,21:05,001.87847,00047.603,00044.557
12/01/2015,21:15,001.88542,00044.827,00044.580
12/01/2015,21:25,001.89236,00044.118,00044.602
12/01/2015,21:35,001.89931,00042.243,00044.624
12/01/2015,21:45,001.90625,00041.943,00044.647
12/01/2015,21:55,001.91319,00042.243,00044.669
12/01/2015,22:05,001.92014,00042.495,00044.692
12/01/2015,22:15,001.92708,00042.495,00044.714
12/01/2015,22:25,001.93403,00042.653,00044.736
12/01/2015,22:35,001.94097,00042.653,00044.759
12/01/2015,22:45,001.94792,00045.075,00044.781
12/01/2015,22:55,001.95486,00046.094,00044.804
12/01/2015,23:05,001.96181,00047.044,00044.826
12/01/2015,23:15,001.96875,00048.914,00044.848
12/01/2015,23:25,001.97569,00048.914,00044.871
12/01/2015,23:35,001.98264,00049.253,00044.893
12/01/2015,23:45,001.98958,00048.139,00044.916
12/01/2015,23:55,001.99653,00048.410,00044.938
12/02/2015,00:05,002.00347,00048.410,00044.960
12/02/2015,00:15,002.01042,00048.410,00044.983
12/02/2015,00:25,002.01736,00048.129,00045.005
12/02/2015,00:35,002.02431,00045.698,00045.028
12/02/2015,00:45,002.03125,00044.818,00045.050
12/02/2015,00:55,002.03819,00043.684,00045.072
12/02/2015,01:05,002.04514,00043.166,00045.095
12/02/2015,01:15,002.05208,00042.876,00045.117
12/02/2015,01:25,002.05903,00042.895,00045.140
12/02/2015,01:35,002.06597,00042.748,00045.162
12/02/2015,01:45,002.07292,00042.895,00045.184
12/02/2015,01:55,002.07986,00043.547,00045.207
12/02/2015,02:05,002.08681,00043.547,00045.229
12/02/2015,02:15,002.09375,00043.547,00045.252
12/02/2015,02:25,002.10069,00044.856,00045.274
12/02/2015,02:35,002.10764,00045.608,00045.296
12/02/2015,02:45,002.11458,00046.816,00045.319
12/02/2015,02:55,002.12153,00047.197,00045.341
12/02/2015,03:05,002.12847,00047.197,00045.364
12/02/2015,03:15,002.13542,00048.800,00045.386
12/02/2015,03:25,002.14236,00050.349,00045.408
12/02/2015,03:35,002.14931,00050.349,00045.431
12/02/2015,03:45,002.15625,00047.586,00045.453
12/02/2015,03:55,002.16319,00047.279,00045.476
12/02/2015,04:05,002.17014,00046.216,00045.498
12/02/2015,04:15,002.17708,00045.346,00045.520
12/02/2015,04:25,002.18403,00044.798,00045.543
12/02/2015,04:35,002.19097,00043.761,00045.565
12/02/2015,04:45,002.19792,00043.000,00045.588
12/02/2015,04:55,002.20486,00042.434,00045.610
12/02/2015,05:05,002.21181,00042.434,00045.632
12/02/2015,05:15,002.21875,00042.434,00045.655
12/02/2015,05:25,002.22569,00041.963,00045.677
12/02/2015,05:35,002.23264,00043.690,00045.700
12/02/2015,05:45,002.23958,00043.614,00045.722
12/02/2015,05:55,002.24653,00044.425,00045.744
12/02/2015,06:05,002.25347,00045.398,00045.767
12/02/2015,06:15,002.26042,00045.983,00045.789
12/02/2015,06:25,002.26736,00046.055,00045.812
12/02/2015,06:35,002.27431,00047.554,00045.834
12/02/2015,06:45,002.28125,00047.778,00045.856
12/02/2015,06:55,002.28819,00048.567,00045.879
12/02/2015,07:05,002.29514,00048.582,00045.901
12/02/2015,07:15,002.30208,00048.567,00045.924
12/02/2015,07:25,002.30903,00048.093,00045.946
12/02/2015,07:35,002.31597,00047.822,00045.968
12/02/2015,07:45,002.32292,00047.354,00045.991
12/02/2015,07:55,002.32986,00047.822,00046.013
12/02/2015,08:05,002.33681,00046.288,00046.036
12/02/2015,08:15,002.34375,00046.288,00046.058
12/02/2015,08:25,002.35069,00042.072,00046.080
12/02/2015,08:35,002.35764,00038.348,00046.103
12/02/2015,08:45,002.36458,00038.348,00046.125
12/02/2015,08:55,002.37153,00038.348,00046.148
12/02/2015,09:05,002.37847,00038.454,00046.170
12/02/2015,09:15,002.38542,00038.454,00046.192
12/02/2015,09:25,002.39236,00038.883,00046.215
12/02/2015,09:35,002.39931,00039.217,00046.237
12/02/2015,09:45,002.40625,00040.825,00046.260
12/02/2015,09:55,002.41319,00041.401,00046.282
12/02/2015,10:05,002.42014,00041.401,00046.304
12/02/2015,10:15,002.42708,00041.444,00046.327
12/02/2015,10:25,002.43403,00043.043,00046.349
12/02/2015,10:35,002.44097,00043.690,00046.372
12/02/2015,10:45,002.44792,00044.186,00046.394
12/02/2015,10:55,002.45486,00045.347,00046.416
12/02/2015,11:05,002.46181,00045.347,00046.439
12/02/2015,11:15,002.46875,00045.583,00046.461
12/02/2015,11:25,002.47569,00045.198,00046.484
12/02/2015,11:35,002.48264,00044.880,00046.506
12/02/2015,11:45,002.48958,00044.111,00046.528
12/02/2015,11:55,002.49653,00043.771,00046.551
12/02/2015,12:05,002.50347,00043.457,00046.573
12/02/2015,12:15,002.51042,00041.839,00046.596
12/02/2015,12:25,002.51736,00040.450,00046.618
12/02/2015,12:35,002.52431,00040.421,00046.640
12/02/2015,12:45,002.53125,00040.421,00046.663
12/02/2015,12:55,002.53819,00040.525,00046.685
12/02/2015,13:05,002.54514,00040.819,00046.708
12/02/2015,13:15,002.55208,00040.819,00046.730
12/02/2015,13:25,002.55903,00041.767,00046.752
12/02/2015,13:35,002.56597,00041.767,00046.775
12/02/2015,13:45,002.57292,00042.952,00046.797
12/02/2015,13:55,002.57986,00043.904,00046.820
12/02/2015,14:05,002.58681,00044.909,00046.842
12/02/2015,14:15,002.59375,00045.055,00046.864
12/02/2015,14:25,002.60069,00045.055,00046.887
12/02/2015,14:35,002.60764,00047.454,00046.909
12/02/2015,14:45,002.61458,00047.950,00046.932
12/02/2015,14:55,002.62153,00047.950,00046.954
12/02/2015,15:05,002.62847,00047.511,00046.976
12/02/2015,15:15,002.63542,00047.218,00046.999
12/02/2015,15:25,002.64236,00047.511,00047.021
12/02/2015,15:35,002.64931,00046.012,00047.044
12/02/2015,15:45,002.65625,00046.012,00047.066
12/02/2015,15:55,002.66319,00044.970,00047.088
12/02/2015,16:05,002.67014,00044.713,00047.111
12/02/2015,16:15,002.67708,00043.571,00047.133
12/02/2015,16:25,002.68403,00042.500,00047.156
12/02/2015,16:35,002.69097,00042.063,00047.178
12/02/2015,16:45,002.69792,00042.500,00047.200
12/02/2015,16:55,002.70486,00042.063,00047.223
12/02/2015,17:05,002.71181,00042.791,00047.245
12/02/2015,17:15,002.71875,00042.724,00047.268
12/02/2015,17:25,002.72569,00043.314,00047.290
12/02/2015,17:35,002.73264,00043.314,00047.312
12/02/2015,17:45,002.73958,00044.836,00047.335
