LumiCycle: 20151130C3p_4 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
12/01/2015,11:53,001.49514,00050.366,00062.780
12/01/2015,12:03,001.50208,00050.769,00062.788
12/01/2015,12:13,001.50903,00051.260,00062.796
12/01/2015,12:23,001.51597,00051.400,00062.805
12/01/2015,12:33,001.52292,00051.682,00062.813
12/01/2015,12:43,001.52986,00052.336,00062.821
12/01/2015,12:53,001.53681,00053.906,00062.830
12/01/2015,13:03,001.54375,00052.996,00062.838
12/01/2015,13:13,001.55069,00053.906,00062.846
12/01/2015,13:23,001.55764,00052.996,00062.854
12/01/2015,13:33,001.56458,00052.793,00062.863
12/01/2015,13:43,001.57153,00052.279,00062.871
12/01/2015,13:53,001.57847,00051.194,00062.879
12/01/2015,14:03,001.58542,00050.523,00062.887
12/01/2015,14:13,001.59236,00050.523,00062.896
12/01/2015,14:23,001.59931,00050.523,00062.904
12/01/2015,14:33,001.60625,00050.241,00062.912
12/01/2015,14:43,001.61319,00049.028,00062.920
12/01/2015,14:53,001.62014,00049.028,00062.929
12/01/2015,15:03,001.62708,00049.030,00062.937
12/01/2015,15:13,001.63403,00050.912,00062.945
12/01/2015,15:23,001.64097,00050.912,00062.954
12/01/2015,15:33,001.64792,00050.912,00062.962
12/01/2015,15:43,001.65486,00052.922,00062.970
12/01/2015,15:53,001.66181,00053.692,00062.978
12/01/2015,16:03,001.66875,00054.064,00062.987
12/01/2015,16:13,001.67569,00054.278,00062.995
12/01/2015,16:23,001.68264,00054.133,00063.003
12/01/2015,16:33,001.68958,00054.133,00063.011
12/01/2015,16:43,001.69653,00054.133,00063.020
12/01/2015,16:53,001.70347,00054.035,00063.028
12/01/2015,17:03,001.71042,00055.140,00063.036
12/01/2015,17:13,001.71736,00054.035,00063.045
12/01/2015,17:23,001.72431,00053.693,00063.053
12/01/2015,17:33,001.73125,00052.593,00063.061
12/01/2015,17:43,001.73819,00052.122,00063.069
12/01/2015,17:53,001.74514,00050.741,00063.078
12/01/2015,18:03,001.75208,00050.629,00063.086
12/01/2015,18:13,001.75903,00050.741,00063.094
12/01/2015,18:23,001.76597,00049.381,00063.102
12/01/2015,18:33,001.77292,00050.352,00063.111
12/01/2015,18:43,001.77986,00049.781,00063.119
12/01/2015,18:53,001.78681,00050.352,00063.127
12/01/2015,19:03,001.79375,00050.684,00063.136
12/01/2015,19:13,001.80069,00051.041,00063.144
12/01/2015,19:23,001.80764,00051.041,00063.152
12/01/2015,19:33,001.81458,00053.296,00063.160
12/01/2015,19:43,001.82153,00053.547,00063.169
12/01/2015,19:53,001.82847,00054.992,00063.177
12/01/2015,20:03,001.83542,00056.162,00063.185
12/01/2015,20:13,001.84236,00055.506,00063.193
12/01/2015,20:23,001.84931,00056.162,00063.202
12/01/2015,20:33,001.85625,00056.234,00063.210
12/01/2015,20:43,001.86319,00056.234,00063.218
12/01/2015,20:53,001.87014,00055.460,00063.226
12/01/2015,21:03,001.87708,00054.020,00063.235
12/01/2015,21:13,001.88403,00053.834,00063.243
12/01/2015,21:23,001.89097,00051.480,00063.251
12/01/2015,21:33,001.89792,00051.423,00063.260
12/01/2015,21:43,001.90486,00050.937,00063.268
12/01/2015,21:53,001.91181,00049.885,00063.276
12/01/2015,22:03,001.91875,00049.885,00063.284
12/01/2015,22:13,001.92569,00049.885,00063.293
12/01/2015,22:23,001.93264,00050.783,00063.301
12/01/2015,22:33,001.93958,00051.945,00063.309
12/01/2015,22:43,001.94653,00051.945,00063.317
12/01/2015,22:53,001.95347,00051.945,00063.326
12/01/2015,23:03,001.96042,00052.038,00063.334
12/01/2015,23:13,001.96736,00053.107,00063.342
12/01/2015,23:23,001.97431,00054.906,00063.351
12/01/2015,23:33,001.98125,00054.749,00063.359
12/01/2015,23:43,001.98819,00054.906,00063.367
12/01/2015,23:53,001.99514,00055.565,00063.375
12/02/2015,00:03,002.00208,00056.136,00063.384
12/02/2015,00:13,002.00903,00055.565,00063.392
12/02/2015,00:23,002.01597,00055.106,00063.400
12/02/2015,00:33,002.02292,00054.694,00063.408
12/02/2015,00:43,002.02986,00054.694,00063.417
12/02/2015,00:53,002.03681,00053.949,00063.425
12/02/2015,01:03,002.04375,00050.852,00063.433
12/02/2015,01:13,002.05069,00050.852,00063.441
12/02/2015,01:23,002.05764,00050.852,00063.450
12/02/2015,01:33,002.06458,00049.939,00063.458
12/02/2015,01:43,002.07153,00049.939,00063.466
12/02/2015,01:53,002.07847,00050.239,00063.475
12/02/2015,02:03,002.08542,00050.712,00063.483
12/02/2015,02:13,002.09236,00050.980,00063.491
12/02/2015,02:23,002.09931,00051.226,00063.499
12/02/2015,02:33,002.10625,00051.437,00063.508
12/02/2015,02:43,002.11319,00052.393,00063.516
12/02/2015,02:53,002.12014,00052.496,00063.524
12/02/2015,03:03,002.12708,00052.967,00063.532
12/02/2015,03:13,002.13403,00053.961,00063.541
12/02/2015,03:23,002.14097,00055.334,00063.549
12/02/2015,03:33,002.14792,00055.334,00063.557
12/02/2015,03:43,002.15486,00055.334,00063.566
12/02/2015,03:53,002.16181,00054.909,00063.574
12/02/2015,04:03,002.16875,00054.859,00063.582
12/02/2015,04:13,002.17569,00053.721,00063.590
12/02/2015,04:23,002.18264,00051.956,00063.599
12/02/2015,04:33,002.18958,00049.787,00063.607
12/02/2015,04:43,002.19653,00049.787,00063.615
12/02/2015,04:53,002.20347,00049.324,00063.623
12/02/2015,05:03,002.21042,00048.300,00063.632
12/02/2015,05:13,002.21736,00048.300,00063.640
12/02/2015,05:23,002.22431,00048.742,00063.648
12/02/2015,05:33,002.23125,00048.844,00063.657
12/02/2015,05:43,002.23819,00048.844,00063.665
12/02/2015,05:53,002.24514,00049.899,00063.673
