LumiCycle: 20151130C3p_8 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
12/01/2015,11:55,001.49653,00040.757,00051.563
12/01/2015,12:05,001.50347,00040.362,00051.589
12/01/2015,12:15,001.51042,00040.876,00051.614
12/01/2015,12:25,001.51736,00041.182,00051.640
12/01/2015,12:35,001.52431,00041.182,00051.666
12/01/2015,12:45,001.53125,00040.949,00051.692
12/01/2015,12:55,001.53819,00040.949,00051.717
12/01/2015,13:05,001.54514,00042.372,00051.743
12/01/2015,13:15,001.55208,00042.372,00051.769
12/01/2015,13:25,001.55903,00042.814,00051.794
12/01/2015,13:35,001.56597,00043.794,00051.820
12/01/2015,13:45,001.57292,00044.247,00051.846
12/01/2015,13:55,001.57986,00044.247,00051.871
12/01/2015,14:05,001.58681,00044.361,00051.897
12/01/2015,14:15,001.59375,00044.361,00051.923
12/01/2015,14:25,001.60069,00042.657,00051.949
12/01/2015,14:35,001.60764,00041.620,00051.974
12/01/2015,14:45,001.61458,00041.620,00052.000
12/01/2015,14:55,001.62153,00041.435,00052.026
12/01/2015,15:05,001.62847,00041.435,00052.051
12/01/2015,15:15,001.63542,00040.162,00052.077
12/01/2015,15:25,001.64236,00039.691,00052.103
12/01/2015,15:35,001.64931,00039.691,00052.128
12/01/2015,15:45,001.65625,00040.150,00052.154
12/01/2015,15:55,001.66319,00040.578,00052.180
12/01/2015,16:05,001.67014,00040.578,00052.205
12/01/2015,16:15,001.67708,00041.301,00052.231
12/01/2015,16:25,001.68403,00041.386,00052.257
12/01/2015,16:35,001.69097,00042.752,00052.283
12/01/2015,16:45,001.69792,00043.652,00052.308
12/01/2015,16:55,001.70486,00043.652,00052.334
12/01/2015,17:05,001.71181,00043.652,00052.360
12/01/2015,17:15,001.71875,00045.969,00052.385
12/01/2015,17:25,001.72569,00045.969,00052.411
12/01/2015,17:35,001.73264,00045.141,00052.437
12/01/2015,17:45,001.73958,00045.141,00052.462
12/01/2015,17:55,001.74653,00045.131,00052.488
12/01/2015,18:05,001.75347,00044.546,00052.514
12/01/2015,18:15,001.76042,00043.328,00052.540
12/01/2015,18:25,001.76736,00043.328,00052.565
12/01/2015,18:35,001.77431,00040.644,00052.591
12/01/2015,18:45,001.78125,00040.421,00052.617
12/01/2015,18:55,001.78819,00040.007,00052.642
12/01/2015,19:05,001.79514,00039.468,00052.668
12/01/2015,19:15,001.80208,00038.685,00052.694
12/01/2015,19:25,001.80903,00039.468,00052.719
12/01/2015,19:35,001.81597,00039.126,00052.745
12/01/2015,19:45,001.82292,00040.097,00052.771
12/01/2015,19:55,001.82986,00040.344,00052.797
12/01/2015,20:05,001.83681,00040.830,00052.822
12/01/2015,20:15,001.84375,00041.686,00052.848
12/01/2015,20:25,001.85069,00042.591,00052.874
12/01/2015,20:35,001.85764,00042.643,00052.899
12/01/2015,20:45,001.86458,00043.100,00052.925
12/01/2015,20:55,001.87153,00043.576,00052.951
12/01/2015,21:05,001.87847,00043.661,00052.976
12/01/2015,21:15,001.88542,00045.017,00053.002
12/01/2015,21:25,001.89236,00045.017,00053.028
12/01/2015,21:35,001.89931,00044.285,00053.054
12/01/2015,21:45,001.90625,00043.771,00053.079
12/01/2015,21:55,001.91319,00042.857,00053.105
12/01/2015,22:05,001.92014,00042.852,00053.131
12/01/2015,22:15,001.92708,00041.839,00053.156
12/01/2015,22:25,001.93403,00040.196,00053.182
12/01/2015,22:35,001.94097,00039.819,00053.208
12/01/2015,22:45,001.94792,00039.968,00053.233
12/01/2015,22:55,001.95486,00039.968,00053.259
12/01/2015,23:05,001.96181,00040.650,00053.285
12/01/2015,23:15,001.96875,00040.650,00053.311
12/01/2015,23:25,001.97569,00039.588,00053.336
12/01/2015,23:35,001.98264,00039.588,00053.362
12/01/2015,23:45,001.98958,00041.158,00053.388
12/01/2015,23:55,001.99653,00041.329,00053.413
12/02/2015,00:05,002.00347,00043.299,00053.439
12/02/2015,00:15,002.01042,00043.299,00053.465
12/02/2015,00:25,002.01736,00043.576,00053.490
12/02/2015,00:35,002.02431,00043.933,00053.516
12/02/2015,00:45,002.03125,00044.256,00053.542
12/02/2015,00:55,002.03819,00045.810,00053.567
12/02/2015,01:05,002.04514,00045.810,00053.593
12/02/2015,01:15,002.05208,00044.807,00053.619
12/02/2015,01:25,002.05903,00044.803,00053.645
12/02/2015,01:35,002.06597,00042.776,00053.670
12/02/2015,01:45,002.07292,00042.738,00053.696
12/02/2015,01:55,002.07986,00041.853,00053.722
12/02/2015,02:05,002.08681,00041.535,00053.747
12/02/2015,02:15,002.09375,00039.859,00053.773
12/02/2015,02:25,002.10069,00039.859,00053.799
12/02/2015,02:35,002.10764,00041.382,00053.824
12/02/2015,02:45,002.11458,00041.382,00053.850
12/02/2015,02:55,002.12153,00042.029,00053.876
12/02/2015,03:05,002.12847,00042.029,00053.902
12/02/2015,03:15,002.13542,00042.320,00053.927
12/02/2015,03:25,002.14236,00042.424,00053.953
12/02/2015,03:35,002.14931,00042.976,00053.979
12/02/2015,03:45,002.15625,00042.976,00054.004
12/02/2015,03:55,002.16319,00044.437,00054.030
12/02/2015,04:05,002.17014,00045.474,00054.056
12/02/2015,04:15,002.17708,00045.969,00054.081
12/02/2015,04:25,002.18403,00045.969,00054.107
12/02/2015,04:35,002.19097,00045.560,00054.133
12/02/2015,04:45,002.19792,00045.560,00054.159
12/02/2015,04:55,002.20486,00045.560,00054.184
12/02/2015,05:05,002.21181,00045.460,00054.210
12/02/2015,05:15,002.21875,00044.047,00054.236
12/02/2015,05:25,002.22569,00043.276,00054.261
12/02/2015,05:35,002.23264,00042.914,00054.287
12/02/2015,05:45,002.23958,00042.357,00054.313
12/02/2015,05:55,002.24653,00041.502,00054.338
12/02/2015,06:05,002.25347,00041.786,00054.364
12/02/2015,06:15,002.26042,00041.786,00054.390
12/02/2015,06:25,002.26736,00041.786,00054.416
12/02/2015,06:35,002.27431,00041.858,00054.441
12/02/2015,06:45,002.28125,00043.801,00054.467
12/02/2015,06:55,002.28819,00043.801,00054.493
12/02/2015,07:05,002.29514,00043.299,00054.518
12/02/2015,07:15,002.30208,00043.299,00054.544
12/02/2015,07:25,002.30903,00044.694,00054.570
12/02/2015,07:35,002.31597,00045.351,00054.595
12/02/2015,07:45,002.32292,00045.883,00054.621
12/02/2015,07:55,002.32986,00046.273,00054.647
12/02/2015,08:05,002.33681,00063.119,00054.673
12/02/2015,08:15,002.34375,00074.850,00054.698
12/02/2015,08:25,002.35069,00074.850,00054.724
12/02/2015,08:35,002.35764,00072.294,00054.750
12/02/2015,08:45,002.36458,00072.255,00054.775
12/02/2015,08:55,002.37153,00071.284,00054.801
12/02/2015,09:05,002.37847,00070.196,00054.827
12/02/2015,09:15,002.38542,00070.895,00054.852
12/02/2015,09:25,002.39236,00070.026,00054.878
12/02/2015,09:35,002.39931,00069.212,00054.904
12/02/2015,09:45,002.40625,00069.139,00054.929
12/02/2015,09:55,002.41319,00069.139,00054.955
12/02/2015,10:05,002.42014,00068.527,00054.981
12/02/2015,10:15,002.42708,00068.527,00055.007
12/02/2015,10:25,002.43403,00069.270,00055.032
12/02/2015,10:35,002.44097,00069.757,00055.058
12/02/2015,10:45,002.44792,00069.270,00055.084
12/02/2015,10:55,002.45486,00069.757,00055.109
12/02/2015,11:05,002.46181,00068.999,00055.135
12/02/2015,11:15,002.46875,00070.112,00055.161
12/02/2015,11:25,002.47569,00070.397,00055.186
12/02/2015,11:35,002.48264,00070.848,00055.212
12/02/2015,11:45,002.48958,00070.397,00055.238
12/02/2015,11:55,002.49653,00070.997,00055.264
12/02/2015,12:05,002.50347,00070.997,00055.289
12/02/2015,12:15,002.51042,00072.136,00055.315
12/02/2015,12:25,002.51736,00072.136,00055.341
12/02/2015,12:35,002.52431,00072.136,00055.366
12/02/2015,12:45,002.53125,00072.882,00055.392
12/02/2015,12:55,002.53819,00073.182,00055.418
12/02/2015,13:05,002.54514,00073.182,00055.443
12/02/2015,13:15,002.55208,00073.096,00055.469
12/02/2015,13:25,002.55903,00072.011,00055.495
12/02/2015,13:35,002.56597,00072.011,00055.521
12/02/2015,13:45,002.57292,00072.011,00055.546
12/02/2015,13:55,002.57986,00072.122,00055.572
12/02/2015,14:05,002.58681,00072.122,00055.598
12/02/2015,14:15,002.59375,00072.122,00055.623
12/02/2015,14:25,002.60069,00071.854,00055.649
12/02/2015,14:35,002.60764,00070.020,00055.675
12/02/2015,14:45,002.61458,00070.020,00055.700
12/02/2015,14:55,002.62153,00070.283,00055.726
12/02/2015,15:05,002.62847,00071.780,00055.752
12/02/2015,15:15,002.63542,00071.780,00055.778
12/02/2015,15:25,002.64236,00070.270,00055.803
12/02/2015,15:35,002.64931,00070.270,00055.829
12/02/2015,15:45,002.65625,00070.710,00055.855
12/02/2015,15:55,002.66319,00070.710,00055.880
12/02/2015,16:05,002.67014,00071.038,00055.906
12/02/2015,16:15,002.67708,00072.137,00055.932
12/02/2015,16:25,002.68403,00072.137,00055.957
12/02/2015,16:35,002.69097,00071.609,00055.983
12/02/2015,16:45,002.69792,00071.609,00056.009
12/02/2015,16:55,002.70486,00071.651,00056.035
12/02/2015,17:05,002.71181,00072.965,00056.060
12/02/2015,17:15,002.71875,00072.965,00056.086
12/02/2015,17:25,002.72569,00072.965,00056.112
12/02/2015,17:35,002.73264,00073.865,00056.137
12/02/2015,17:45,002.73958,00073.865,00056.163
12/02/2015,17:55,002.74653,00070.950,00056.189
12/02/2015,18:05,002.75347,00070.950,00056.214
12/02/2015,18:15,002.76042,00071.812,00056.240
12/02/2015,18:25,002.76736,00071.812,00056.266
12/02/2015,18:35,002.77431,00071.852,00056.291
12/02/2015,18:45,002.78125,00070.824,00056.317
12/02/2015,18:55,002.78819,00071.722,00056.343
12/02/2015,19:05,002.79514,00071.722,00056.369
12/02/2015,19:15,002.80208,00071.893,00056.394
12/02/2015,19:25,002.80903,00072.823,00056.420
12/02/2015,19:35,002.81597,00072.823,00056.446
12/02/2015,19:45,002.82292,00072.823,00056.471
12/02/2015,19:55,002.82986,00072.608,00056.497
12/02/2015,20:05,002.83681,00072.608,00056.523
12/02/2015,20:15,002.84375,00071.995,00056.548
12/02/2015,20:25,002.85069,00071.937,00056.574
12/02/2015,20:35,002.85764,00071.395,00056.600
12/02/2015,20:45,002.86458,00071.395,00056.626
12/02/2015,20:55,002.87153,00071.227,00056.651
12/02/2015,21:05,002.87847,00072.566,00056.677
12/02/2015,21:15,002.88542,00071.227,00056.703
12/02/2015,21:25,002.89236,00072.566,00056.728
12/02/2015,21:35,002.89931,00072.037,00056.754
12/02/2015,21:45,002.90625,00072.623,00056.780
12/02/2015,21:55,002.91319,00072.914,00056.805
12/02/2015,22:05,002.92014,00072.914,00056.831
