LumiCycle: 20151204C3p-APG (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
12/06/2015,02:37,002.10903,00079.373,00030.725
12/06/2015,02:47,002.11597,00079.529,00030.726
12/06/2015,02:57,002.12292,00079.361,00030.726
12/06/2015,03:07,002.12986,00079.529,00030.727
12/06/2015,03:17,002.13681,00080.450,00030.727
12/06/2015,03:27,002.14375,00081.422,00030.728
12/06/2015,03:37,002.15069,00081.422,00030.729
12/06/2015,03:47,002.15764,00080.493,00030.729
12/06/2015,03:57,002.16458,00080.493,00030.730
12/06/2015,04:07,002.17153,00078.959,00030.730
12/06/2015,04:17,002.17847,00079.418,00030.731
12/06/2015,04:27,002.18542,00079.418,00030.732
12/06/2015,04:37,002.19236,00079.418,00030.732
12/06/2015,04:47,002.19931,00080.357,00030.733
12/06/2015,04:57,002.20625,00078.516,00030.733
12/06/2015,05:07,002.21319,00077.814,00030.734
12/06/2015,05:17,002.22014,00075.900,00030.734
12/06/2015,05:27,002.22708,00075.900,00030.735
12/06/2015,05:37,002.23403,00076.347,00030.736
12/06/2015,05:47,002.24097,00076.347,00030.736
12/06/2015,05:57,002.24792,00076.443,00030.737
12/06/2015,06:07,002.25486,00077.174,00030.737
12/06/2015,06:17,002.26181,00077.174,00030.738
12/06/2015,06:27,002.26875,00077.688,00030.739
12/06/2015,06:37,002.27569,00078.473,00030.739
12/06/2015,06:47,002.28264,00078.473,00030.740
12/06/2015,06:57,002.28958,00077.688,00030.740
12/06/2015,07:07,002.29653,00077.688,00030.741
12/06/2015,07:17,002.30347,00079.173,00030.742
12/06/2015,07:27,002.31042,00079.901,00030.742
12/06/2015,07:37,002.31736,00079.173,00030.743
12/06/2015,07:47,002.32431,00079.114,00030.743
12/06/2015,07:57,002.33125,00078.405,00030.744
12/06/2015,08:07,002.33819,00076.918,00030.744
12/06/2015,08:17,002.34514,00075.991,00030.745
12/06/2015,08:27,002.35208,00075.378,00030.746
12/06/2015,08:37,002.35903,00075.290,00030.746
12/06/2015,08:47,002.36597,00075.091,00030.747
12/06/2015,08:57,002.37292,00073.908,00030.747
12/06/2015,09:07,002.37986,00073.908,00030.748
12/06/2015,09:17,002.38681,00072.437,00030.749
12/06/2015,09:27,002.39375,00072.437,00030.749
12/06/2015,09:37,002.40069,00073.922,00030.750
12/06/2015,09:47,002.40764,00075.335,00030.750
12/06/2015,09:57,002.41458,00077.357,00030.751
12/06/2015,10:07,002.42153,00078.227,00030.752
12/06/2015,10:17,002.42847,00078.227,00030.752
12/06/2015,10:27,002.43542,00078.700,00030.753
12/06/2015,10:37,002.44236,00078.871,00030.753
12/06/2015,10:47,002.44931,00079.300,00030.754
12/06/2015,10:57,002.45625,00079.786,00030.755
12/06/2015,11:07,002.46319,00079.786,00030.755
12/06/2015,11:17,002.47014,00078.362,00030.756
12/06/2015,11:27,002.47708,00077.591,00030.756
12/06/2015,11:37,002.48403,00077.362,00030.757
12/06/2015,11:47,002.49097,00073.565,00030.757
12/06/2015,11:57,002.49792,00073.464,00030.758
12/06/2015,12:07,002.50486,00071.280,00030.759
12/06/2015,12:17,002.51181,00071.237,00030.759
12/06/2015,12:27,002.51875,00069.225,00030.760
12/06/2015,12:37,002.52569,00069.225,00030.760
12/06/2015,12:47,002.53264,00069.741,00030.761
12/06/2015,12:57,002.53958,00069.741,00030.762
12/06/2015,13:07,002.54653,00069.741,00030.762
12/06/2015,13:17,002.55347,00072.549,00030.763
12/06/2015,13:27,002.56042,00072.549,00030.763
12/06/2015,13:37,002.56736,00012.463,00030.764
12/06/2015,13:47,002.57431,00012.463,00030.765
12/06/2015,13:57,002.58125,00012.849,00030.765
12/06/2015,14:07,002.58819,00012.849,00030.766
12/06/2015,14:17,002.59514,00012.448,00030.766
12/06/2015,14:27,002.60208,00012.448,00030.767
12/06/2015,14:37,002.60903,00012.549,00030.768
12/06/2015,14:47,002.61597,00012.549,00030.768
12/06/2015,14:57,002.62292,00011.835,00030.769
12/06/2015,15:07,002.62986,00011.749,00030.769
12/06/2015,15:17,002.63681,00011.835,00030.770
12/06/2015,15:27,002.64375,00011.764,00030.770
12/06/2015,15:37,002.65069,00012.534,00030.771
12/06/2015,15:47,002.65764,00012.534,00030.772
12/06/2015,15:57,002.66458,00012.534,00030.772
