Hours,A1,A2,A3,A4
0,45.311,46.3644,45.83,52.2406
0.166666667,44.8683,45.8612,45.4521,51.7738
0.333333333,44.5123,45.3097,45.0514,51.6192
0.5,43.9811,44.9862,44.9333,50.876
0.666666667,43.5114,44.4956,44.5397,50.4268
0.833333333,43.263,44.0884,43.8573,50.1781
1,42.5242,43.5102,43.4536,49.7557
1.166666667,42.0883,43.0698,43.1366,49.4131
1.333333333,41.9603,42.7232,42.7153,48.9618
1.5,41.6845,42.367,42.5235,48.6942
1.666666667,41.3864,42.1182,42.2928,48.467
1.833333333,41.531,41.9308,42.0514,48.4581
2,41.4398,41.6151,41.7418,48.0586
2.166666667,40.9356,41.3232,41.2554,47.8453
2.333333333,40.918,40.9971,41.1479,47.6456
2.5,40.7932,40.9374,40.8565,47.3156
2.666666667,40.4931,40.823,40.7428,46.9294
2.833333333,40.2978,40.7655,40.6162,46.7814
3,40.2681,40.2731,40.5624,46.5046
3.166666667,40.0356,40.1582,40.5817,46.2277
3.333333333,39.8013,39.8844,40.314,45.9534
3.5,39.6549,39.6653,40.1642,45.8511
3.666666667,39.6057,39.8195,40.0365,45.474
3.833333333,39.2655,39.6363,39.6898,45.3351
4,39.094,39.2842,39.4104,45.149
4.166666667,39.1381,39.2124,39.3172,44.6702
4.333333333,38.7601,39.1294,39.0476,44.6185
4.5,38.5966,39.0457,39.0011,44.4556
4.666666667,38.5564,38.6609,38.9965,44.0306
4.833333333,38.1878,38.614,38.6762,43.7728
5,38.2544,38.6398,38.6111,43.4944
5.166666667,38.2916,38.5259,38.2828,43.4197
5.333333333,37.9322,38.1024,38.1689,43.0355
5.5,37.758,38.0981,37.9958,42.6349
5.666666667,37.8166,38.004,37.7605,42.681
5.833333333,37.7419,37.9441,37.6642,42.3292
6,37.3289,37.714,37.4826,42.1832
6.166666667,37.4412,37.6416,37.336,42.1017
6.333333333,37.3496,37.627,37.1052,41.7958
6.5,36.9422,37.254,37.0493,41.7599
6.666666667,36.9302,37.2487,36.8096,41.5666
6.833333333,36.6131,36.9598,36.7384,41.3107
7,36.3811,36.7572,36.5889,41.1396
7.166666667,36.4016,36.41,36.3577,40.9012
7.333333333,36.2401,36.4909,36.2795,40.8616
7.5,36.0857,36.329,35.959,40.7186
7.666666667,36.0686,35.916,35.9492,40.4767
7.833333333,35.8955,35.7574,35.7274,40.3204
8,35.9249,35.7832,35.6217,40.4072
8.166666667,35.5137,35.6753,35.46,40.0253
8.333333333,36.0077,35.7354,35.5883,39.9233
8.5,35.967,35.62,35.3302,39.8165
8.666666667,35.6588,35.5747,35.3231,39.3594
8.833333333,35.5634,35.3835,35.1193,39.2368
9,35.6522,35.5558,34.9144,38.9646
9.166666667,35.3232,35.2814,34.6529,39.0557
9.333333333,35.1594,35.0783,34.6117,38.6505
9.5,35.1601,35.0527,34.5975,38.4871
9.666666667,34.8105,34.7548,34.2436,38.4881
9.833333333,34.8621,34.5785,34.0166,37.9863
10,34.2831,34.3385,33.8004,37.734
10.16666667,34.2186,33.9701,33.7924,37.8304
10.33333333,33.7832,33.9227,33.5891,37.4873
10.5,33.61,33.9849,33.5945,37.3763
10.66666667,33.1337,33.704,33.2786,37.3679
10.83333333,32.8642,33.566,32.9052,36.8977
11,32.7056,33.3683,32.8638,37.055
11.16666667,32.7227,33.2017,32.8066,36.6153
11.33333333,32.5888,33.109,32.4199,36.6127
11.5,32.4025,33.1043,32.2853,36.259
11.66666667,32.2668,32.9743,32.1912,36.1291
11.83333333,32.1563,32.7782,32.1221,36.0933
12,32.1763,32.8125,31.9669,35.806
12.16666667,31.8768,32.4956,31.6606,35.7201
12.33333333,31.6316,32.4556,31.5106,35.5202
12.5,31.5275,32.3469,31.3652,35.3163
12.66666667,31.452,32.2993,31.3091,35.2593
12.83333333,31.34,32.0567,31.1895,35.1903
13,31.2064,31.8727,31.173,34.9324
13.16666667,30.9933,31.6539,31.0025,34.9218
13.33333333,30.893,31.6044,30.9307,34.8355
13.5,30.8866,31.4309,30.6803,34.5768
13.66666667,30.6516,31.1849,30.5512,34.4159
13.83333333,30.7149,31.3254,30.4847,34.1853
14,30.4787,31.2687,30.3379,33.8736
14.16666667,30.5344,31.0472,30.3072,33.7198
14.33333333,30.2173,30.6328,29.9018,33.572
14.5,30.1354,30.6157,29.8962,33.3883
14.66666667,29.9364,30.5238,29.6625,33.1031
14.83333333,29.8729,30.451,29.5142,33.0387
15,29.7495,30.392,29.2515,32.9738
15.16666667,29.6379,30.2045,29.2694,32.8042
15.33333333,29.5848,30.2446,29.0773,32.4802
15.5,29.4159,29.9578,28.8573,32.3168
15.66666667,29.4081,29.8217,28.7301,32.1996
15.83333333,29.2378,29.8559,28.6761,32.1101
16,29.02,29.6146,28.5698,32.0223
16.16666667,28.9109,29.6135,28.5327,32.0218
16.33333333,29.1242,29.4669,28.3145,31.9366
16.5,28.8042,29.4965,28.0903,31.7726
16.66666667,28.8109,29.3528,27.946,31.6681
16.83333333,28.4322,29.106,27.9244,31.4503
17,28.4151,29.0953,27.7508,31.2714
17.16666667,28.1983,28.8375,27.7382,31.3385
17.33333333,28.1333,28.6691,27.4559,31.1124
17.5,28.0756,28.7069,27.231,30.9928
17.66666667,27.8919,28.5192,27.2434,30.8815
17.83333333,27.642,28.4252,26.8417,30.8785
18,27.7354,28.2482,26.7679,30.7009
18.16666667,27.5927,28.1829,26.6413,30.5265
18.33333333,27.3674,27.7831,26.5165,30.364
18.5,27.3707,27.6419,26.4675,30.213
