LumiCycle: 20160322C3pCLIH_12 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
03/24/2016,00:06,002.00417,00334.318,00292.195
03/24/2016,00:16,002.01111,00334.318,00292.785
03/24/2016,00:26,002.01806,00333.091,00293.376
03/24/2016,00:36,002.02500,00333.091,00293.966
03/24/2016,00:46,002.03194,00332.667,00294.556
03/24/2016,00:56,002.03889,00334.825,00295.146
03/24/2016,01:06,002.04583,00337.106,00295.737
03/24/2016,01:16,002.05278,00337.106,00296.327
03/24/2016,01:26,002.05972,00334.227,00296.917
03/24/2016,01:36,002.06667,00334.227,00297.508
03/24/2016,01:46,002.07361,00333.776,00298.098
03/24/2016,01:56,002.08056,00306.872,00298.688
03/24/2016,02:06,002.08750,00274.145,00299.278
03/24/2016,02:16,002.09444,00266.164,00299.869
03/24/2016,02:26,002.10139,00266.164,00300.459
03/24/2016,02:36,002.10833,00266.193,00301.049
03/24/2016,02:46,002.11528,00266.478,00301.639
03/24/2016,02:56,002.12222,00266.478,00302.230
03/24/2016,03:06,002.12917,00266.478,00302.820
03/24/2016,03:16,002.13611,00275.615,00303.410
03/24/2016,03:26,002.14306,00279.945,00304.001
03/24/2016,03:36,002.15000,00316.420,00304.591
03/24/2016,03:46,002.15694,00329.365,00305.181
03/24/2016,03:56,002.16389,00334.941,00305.771
03/24/2016,04:06,002.17083,00338.858,00306.362
03/24/2016,04:16,002.17778,00341.041,00306.952
03/24/2016,04:26,002.18472,00342.027,00307.542
03/24/2016,04:36,002.19167,00344.980,00308.132
03/24/2016,04:46,002.19861,00344.267,00308.723
03/24/2016,04:56,002.20556,00346.479,00309.313
03/24/2016,05:06,002.21250,00344.383,00309.903
03/24/2016,05:16,002.21944,00344.383,00310.494
03/24/2016,05:26,002.22639,00344.112,00311.084
03/24/2016,05:36,002.23333,00344.112,00311.674
03/24/2016,05:46,002.24028,00345.554,00312.264
03/24/2016,05:56,002.24722,00345.554,00312.855
03/24/2016,06:06,002.25417,00343.367,00313.445
03/24/2016,06:16,002.26111,00339.415,00314.035
03/24/2016,06:26,002.26806,00339.415,00314.625
03/24/2016,06:36,002.27500,00340.300,00315.216
03/24/2016,06:46,002.28194,00342.952,00315.806
03/24/2016,06:56,002.28889,00342.952,00316.396
03/24/2016,07:06,002.29583,00342.952,00316.987
03/24/2016,07:16,002.30278,00340.121,00317.577
03/24/2016,07:26,002.30972,00340.121,00318.167
03/24/2016,07:36,002.31667,00338.359,00318.757
03/24/2016,07:46,002.32361,00338.359,00319.348
03/24/2016,07:56,002.33056,00338.359,00319.938
03/24/2016,08:06,002.33750,00338.687,00320.528
03/24/2016,08:16,002.34444,00341.385,00321.118
03/24/2016,08:26,002.35139,00341.385,00321.709
03/24/2016,08:36,002.35833,00341.885,00322.299
03/24/2016,08:46,002.36528,00341.398,00322.889
03/24/2016,08:56,002.37222,00341.398,00323.480
03/24/2016,09:06,002.37917,00338.501,00324.070
03/24/2016,09:16,002.38611,00337.773,00324.660
03/24/2016,09:26,002.39306,00337.773,00325.250
03/24/2016,09:36,002.40000,00341.114,00325.841
03/24/2016,09:46,002.40694,00341.114,00326.431
03/24/2016,09:56,002.41389,00282.521,00327.021
03/24/2016,10:06,002.42083,00265.173,00327.611
03/24/2016,10:16,002.42778,00259.967,00328.202
03/24/2016,10:26,002.43472,00258.329,00328.792
03/24/2016,10:36,002.44167,00258.329,00329.382
03/24/2016,10:46,002.44861,00256.927,00329.973
03/24/2016,10:56,002.45556,00256.927,00330.563
03/24/2016,11:06,002.46250,00259.192,00331.153
03/24/2016,11:16,002.46944,00261.366,00331.743
03/24/2016,11:26,002.47639,00267.537,00332.334
03/24/2016,11:36,002.48333,00289.891,00332.924
03/24/2016,11:46,002.49028,00317.062,00333.514
03/24/2016,11:56,002.49722,00324.725,00334.104
03/24/2016,12:06,002.50417,00334.847,00334.695
03/24/2016,12:16,002.51111,00336.716,00335.285
03/24/2016,12:26,002.51806,00342.411,00335.875
03/24/2016,12:36,002.52500,00344.937,00336.466
03/24/2016,12:46,002.53194,00348.366,00337.056
03/24/2016,12:56,002.53889,00350.518,00337.646
03/24/2016,13:06,002.54583,00348.948,00338.236
03/24/2016,13:16,002.55278,00348.948,00338.827
03/24/2016,13:26,002.55972,00348.586,00339.417
03/24/2016,13:36,002.56667,00347.831,00340.007
03/24/2016,13:46,002.57361,00348.586,00340.597
03/24/2016,13:56,002.58056,00349.327,00341.188
03/24/2016,14:06,002.58750,00349.327,00341.778
03/24/2016,14:16,002.59444,00345.408,00342.368
03/24/2016,14:26,002.60139,00345.094,00342.959
03/24/2016,14:36,002.60833,00345.408,00343.549
03/24/2016,14:46,002.61528,00349.386,00344.139
03/24/2016,14:56,002.62222,00349.386,00344.729
03/24/2016,15:06,002.62917,00346.139,00345.320
03/24/2016,15:16,002.63611,00346.139,00345.910
03/24/2016,15:26,002.64306,00348.643,00346.500
03/24/2016,15:36,002.65000,00348.643,00347.090
03/24/2016,15:46,002.65694,00344.616,00347.681
03/24/2016,15:56,002.66389,00344.616,00348.271
03/24/2016,16:06,002.67083,00342.054,00348.861
03/24/2016,16:16,002.67778,00345.094,00349.452
03/24/2016,16:26,002.68472,00345.094,00350.042
03/24/2016,16:36,002.69167,00347.778,00350.632
03/24/2016,16:46,002.69861,00347.778,00351.222
03/24/2016,16:56,002.70556,00347.635,00351.813
03/24/2016,17:06,002.71250,00286.932,00352.403
03/24/2016,17:16,002.71944,00269.404,00352.993
