LumiCycle: 20160322C3pCLIH_22 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
03/24/2016,00:10,002.00694,00363.442,00359.862
03/24/2016,00:20,002.01389,00362.557,00359.986
03/24/2016,00:30,002.02083,00363.442,00360.110
03/24/2016,00:40,002.02778,00364.977,00360.233
03/24/2016,00:50,002.03472,00364.977,00360.357
03/24/2016,01:00,002.04167,00364.370,00360.481
03/24/2016,01:10,002.04861,00362.799,00360.605
03/24/2016,01:20,002.05556,00364.270,00360.729
03/24/2016,01:30,002.06250,00364.270,00360.853
03/24/2016,01:40,002.06944,00365.269,00360.977
03/24/2016,01:50,002.07639,00365.269,00361.101
03/24/2016,02:00,002.08333,00365.269,00361.225
03/24/2016,02:10,002.09028,00365.907,00361.349
03/24/2016,02:20,002.09722,00366.333,00361.472
03/24/2016,02:30,002.10417,00368.431,00361.596
03/24/2016,02:40,002.11111,00368.502,00361.720
03/24/2016,02:50,002.11806,00370.743,00361.844
03/24/2016,03:00,002.12500,00370.743,00361.968
03/24/2016,03:10,002.13194,00359.268,00362.092
03/24/2016,03:20,002.13889,00324.441,00362.216
03/24/2016,03:30,002.14583,00296.200,00362.340
03/24/2016,03:40,002.15278,00289.986,00362.464
03/24/2016,03:50,002.15972,00287.643,00362.588
03/24/2016,04:00,002.16667,00287.643,00362.711
03/24/2016,04:10,002.17361,00287.643,00362.835
03/24/2016,04:20,002.18056,00290.300,00362.959
03/24/2016,04:30,002.18750,00290.742,00363.083
03/24/2016,04:40,002.19444,00313.471,00363.207
03/24/2016,04:50,002.20139,00348.726,00363.331
03/24/2016,05:00,002.20833,00363.612,00363.455
03/24/2016,05:10,002.21528,00369.857,00363.579
03/24/2016,05:20,002.22222,00377.404,00363.703
03/24/2016,05:30,002.22917,00380.587,00363.827
03/24/2016,05:40,002.23611,00380.587,00363.950
03/24/2016,05:50,002.24306,00379.188,00364.074
03/24/2016,06:00,002.25000,00379.188,00364.198
03/24/2016,06:10,002.25694,00376.909,00364.322
03/24/2016,06:20,002.26389,00379.874,00364.446
03/24/2016,06:30,002.27083,00379.759,00364.570
03/24/2016,06:40,002.27778,00381.644,00364.694
03/24/2016,06:50,002.28472,00381.672,00364.818
03/24/2016,07:00,002.29167,00387.243,00364.942
03/24/2016,07:10,002.29861,00387.497,00365.065
03/24/2016,07:20,002.30556,00387.868,00365.189
03/24/2016,07:30,002.31250,00387.868,00365.313
03/24/2016,07:40,002.31944,00387.956,00365.437
03/24/2016,07:50,002.32639,00387.956,00365.561
03/24/2016,08:00,002.33333,00388.567,00365.685
03/24/2016,08:10,002.34028,00386.541,00365.809
03/24/2016,08:20,002.34722,00386.729,00365.933
03/24/2016,08:30,002.35417,00384.674,00366.057
03/24/2016,08:40,002.36111,00383.143,00366.181
03/24/2016,08:50,002.36806,00383.143,00366.304
03/24/2016,09:00,002.37500,00384.431,00366.428
03/24/2016,09:10,002.38194,00387.140,00366.552
03/24/2016,09:20,002.38889,00387.411,00366.676
03/24/2016,09:30,002.39583,00388.829,00366.800
03/24/2016,09:40,002.40278,00387.411,00366.924
03/24/2016,09:50,002.40972,00386.383,00367.048
03/24/2016,10:00,002.41667,00386.383,00367.172
03/24/2016,10:10,002.42361,00384.285,00367.296
03/24/2016,10:20,002.43056,00387.854,00367.420
03/24/2016,10:30,002.43750,00384.285,00367.543
03/24/2016,10:40,002.44444,00384.016,00367.667
03/24/2016,10:50,002.45139,00382.875,00367.791
03/24/2016,11:00,002.45833,00382.875,00367.915
03/24/2016,11:10,002.46528,00385.314,00368.039
03/24/2016,11:20,002.47222,00386.108,00368.163
03/24/2016,11:30,002.47917,00386.108,00368.287
03/24/2016,11:40,002.48611,00385.587,00368.411
03/24/2016,11:50,002.49306,00385.587,00368.535
03/24/2016,12:00,002.50000,00387.040,00368.659
03/24/2016,12:10,002.50694,00388.871,00368.782
03/24/2016,12:20,002.51389,00387.040,00368.906
03/24/2016,12:30,002.52083,00370.575,00369.030
03/24/2016,12:40,002.52778,00293.916,00369.154
03/24/2016,12:50,002.53472,00288.086,00369.278
03/24/2016,13:00,002.54167,00288.086,00369.402
03/24/2016,13:10,002.54861,00288.086,00369.526
03/24/2016,13:20,002.55556,00287.230,00369.650
03/24/2016,13:30,002.56250,00287.230,00369.774
03/24/2016,13:40,002.56944,00287.230,00369.897
03/24/2016,13:50,002.57639,00289.471,00370.021
03/24/2016,14:00,002.58333,00292.457,00370.145
03/24/2016,14:10,002.59028,00320.045,00370.269
03/24/2016,14:20,002.59722,00369.956,00370.393
03/24/2016,14:30,002.60417,00385.969,00370.517
03/24/2016,14:40,002.61111,00393.694,00370.641
03/24/2016,14:50,002.61806,00397.876,00370.765
03/24/2016,15:00,002.62500,00398.533,00370.889
03/24/2016,15:10,002.63194,00399.903,00371.013
03/24/2016,15:20,002.63889,00403.857,00371.136
03/24/2016,15:30,002.64583,00403.857,00371.260
03/24/2016,15:40,002.65278,00402.758,00371.384
03/24/2016,15:50,002.65972,00402.758,00371.508
03/24/2016,16:00,002.66667,00401.844,00371.632
03/24/2016,16:10,002.67361,00401.844,00371.756
03/24/2016,16:20,002.68056,00401.102,00371.880
03/24/2016,16:30,002.68750,00401.102,00372.004
03/24/2016,16:40,002.69444,00398.647,00372.128
03/24/2016,16:50,002.70139,00399.746,00372.252
03/24/2016,17:00,002.70833,00399.746,00372.375
03/24/2016,17:10,002.71528,00399.746,00372.499
03/24/2016,17:20,002.72222,00401.927,00372.623
03/24/2016,17:30,002.72917,00399.134,00372.747
03/24/2016,17:40,002.73611,00396.991,00372.871
03/24/2016,17:50,002.74306,00396.991,00372.995
03/24/2016,18:00,002.75000,00397.224,00373.119
03/24/2016,18:10,002.75694,00397.224,00373.243
03/24/2016,18:20,002.76389,00397.167,00373.367
03/24/2016,18:30,002.77083,00397.053,00373.491
03/24/2016,18:40,002.77778,00396.948,00373.614
03/24/2016,18:50,002.78472,00396.948,00373.738
03/24/2016,19:00,002.79167,00396.819,00373.862
03/24/2016,19:10,002.79861,00397.219,00373.986
03/24/2016,19:20,002.80556,00400.657,00374.110
03/24/2016,19:30,002.81250,00400.729,00374.234
03/24/2016,19:40,002.81944,00400.657,00374.358
03/24/2016,19:50,002.82639,00399.660,00374.482
03/24/2016,20:00,002.83333,00399.371,00374.606
03/24/2016,20:10,002.84028,00399.371,00374.729
03/24/2016,20:20,002.84722,00399.748,00374.853
03/24/2016,20:30,002.85417,00400.445,00374.977
03/24/2016,20:40,002.86111,00400.445,00375.101
03/24/2016,20:50,002.86806,00386.658,00375.225
03/24/2016,21:00,002.87500,00305.087,00375.349
03/24/2016,21:10,002.88194,00295.438,00375.473
03/24/2016,21:20,002.88889,00293.194,00375.597
03/24/2016,21:30,002.89583,00293.194,00375.721
03/24/2016,21:40,002.90278,00295.210,00375.845
03/24/2016,21:50,002.90972,00296.480,00375.968
03/24/2016,22:00,002.91667,00298.809,00376.092
03/24/2016,22:10,002.92361,00299.991,00376.216
03/24/2016,22:20,002.93056,00300.263,00376.340
03/24/2016,22:30,002.93750,00303.303,00376.464
03/24/2016,22:40,002.94444,00321.858,00376.588
03/24/2016,22:50,002.95139,00359.796,00376.712
03/24/2016,23:00,002.95833,00390.354,00376.836
03/24/2016,23:10,002.96528,00404.663,00376.960
03/24/2016,23:20,002.97222,00407.299,00377.084
03/24/2016,23:30,002.97917,00417.716,00377.207
03/24/2016,23:40,002.98611,00417.716,00377.331
03/24/2016,23:50,002.99306,00419.486,00377.455
03/24/2016,00:00,003.00000,00422.818,00377.579
03/25/2016,00:10,003.00694,00422.818,00377.703
03/25/2016,00:20,003.01389,00421.247,00377.827
03/25/2016,00:30,003.02083,00419.661,00377.951
03/25/2016,00:40,003.02778,00421.247,00378.075
03/25/2016,00:50,003.03472,00420.496,00378.199
03/25/2016,01:00,003.04167,00420.496,00378.323
03/25/2016,01:10,003.04861,00420.496,00378.446
03/25/2016,01:20,003.05556,00421.089,00378.570
03/25/2016,01:30,003.06250,00421.089,00378.694
03/25/2016,01:40,003.06944,00418.419,00378.818
03/25/2016,01:50,003.07639,00418.419,00378.942
03/25/2016,02:00,003.08333,00422.997,00379.066
03/25/2016,02:10,003.09028,00422.997,00379.190
03/25/2016,02:20,003.09722,00422.997,00379.314
03/25/2016,02:30,003.10417,00422.554,00379.438
03/25/2016,02:40,003.11111,00422.554,00379.561
03/25/2016,02:50,003.11806,00420.042,00379.685
03/25/2016,03:00,003.12500,00420.042,00379.809
03/25/2016,03:10,003.13194,00420.042,00379.933
03/25/2016,03:20,003.13889,00421.498,00380.057
03/25/2016,03:30,003.14583,00421.498,00380.181
03/25/2016,03:40,003.15278,00424.367,00380.305
03/25/2016,03:50,003.15972,00424.367,00380.429
03/25/2016,04:00,003.16667,00423.525,00380.553
