LumiCycle: 20160322C3pCLIH_3 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
03/24/2016,00:11,002.00764,00240.198,00322.510
03/24/2016,00:21,002.01458,00240.198,00322.650
03/24/2016,00:31,002.02153,00240.198,00322.790
03/24/2016,00:41,002.02847,00240.945,00322.930
03/24/2016,00:51,002.03542,00240.945,00323.070
03/24/2016,01:01,002.04236,00240.945,00323.210
03/24/2016,01:11,002.04931,00244.459,00323.350
03/24/2016,01:21,002.05625,00244.459,00323.490
03/24/2016,01:31,002.06319,00241.247,00323.630
03/24/2016,01:41,002.07014,00241.247,00323.770
03/24/2016,01:51,002.07708,00241.462,00323.910
03/24/2016,02:01,002.08403,00241.462,00324.050
03/24/2016,02:11,002.09097,00240.980,00324.190
03/24/2016,02:21,002.09792,00240.980,00324.330
03/24/2016,02:31,002.10486,00242.111,00324.470
03/24/2016,02:41,002.11181,00242.369,00324.610
03/24/2016,02:51,002.11875,00242.665,00324.750
03/24/2016,03:01,002.12569,00243.299,00324.890
03/24/2016,03:11,002.13264,00243.299,00325.030
03/24/2016,03:21,002.13958,00244.142,00325.170
03/24/2016,03:31,002.14653,00244.142,00325.310
03/24/2016,03:41,002.15347,00244.142,00325.451
03/24/2016,03:51,002.16042,00244.545,00325.591
03/24/2016,04:01,002.16736,00244.545,00325.731
03/24/2016,04:11,002.17431,00225.617,00325.871
03/24/2016,04:21,002.18125,00215.867,00326.011
03/24/2016,04:31,002.18819,00203.081,00326.151
03/24/2016,04:41,002.19514,00203.081,00326.291
03/24/2016,04:51,002.20208,00200.777,00326.431
03/24/2016,05:01,002.20903,00196.915,00326.571
03/24/2016,05:11,002.21597,00193.202,00326.711
03/24/2016,05:21,002.22292,00193.202,00326.851
03/24/2016,05:31,002.22986,00193.102,00326.991
03/24/2016,05:41,002.23681,00194.977,00327.131
03/24/2016,05:51,002.24375,00195.055,00327.271
03/24/2016,06:01,002.25069,00234.391,00327.411
03/24/2016,06:11,002.25764,00244.443,00327.551
03/24/2016,06:21,002.26458,00250.560,00327.691
03/24/2016,06:31,002.27153,00253.118,00327.831
03/24/2016,06:41,002.27847,00253.520,00327.971
03/24/2016,06:51,002.28542,00254.624,00328.111
03/24/2016,07:01,002.29236,00257.548,00328.251
03/24/2016,07:11,002.29931,00259.082,00328.392
03/24/2016,07:21,002.30625,00258.106,00328.532
03/24/2016,07:31,002.31319,00259.006,00328.672
03/24/2016,07:41,002.32014,00258.106,00328.812
03/24/2016,07:51,002.32708,00257.817,00328.952
03/24/2016,08:01,002.33403,00257.817,00329.092
03/24/2016,08:11,002.34097,00257.302,00329.232
03/24/2016,08:21,002.34792,00258.676,00329.372
03/24/2016,08:31,002.35486,00259.593,00329.512
03/24/2016,08:41,002.36181,00259.593,00329.652
03/24/2016,08:51,002.36875,00260.777,00329.792
03/24/2016,09:01,002.37569,00260.523,00329.932
03/24/2016,09:11,002.38264,00260.777,00330.072
03/24/2016,09:21,002.38958,00260.523,00330.212
03/24/2016,09:31,002.39653,00259.974,00330.352
03/24/2016,09:41,002.40347,00259.974,00330.492
03/24/2016,09:51,002.41042,00258.707,00330.632
03/24/2016,10:01,002.41736,00257.663,00330.772
03/24/2016,10:11,002.42431,00257.663,00330.912
03/24/2016,10:21,002.43125,00258.667,00331.052
03/24/2016,10:31,002.43819,00258.953,00331.192
03/24/2016,10:41,002.44514,00260.029,00331.333
03/24/2016,10:51,002.45208,00258.953,00331.473
03/24/2016,11:01,002.45903,00259.809,00331.613
03/24/2016,11:11,002.46597,00256.244,00331.753
03/24/2016,11:21,002.47292,00256.905,00331.893
03/24/2016,11:31,002.47986,00256.905,00332.033
03/24/2016,11:41,002.48681,00257.834,00332.173
03/24/2016,11:51,002.49375,00258.521,00332.313
03/24/2016,12:01,002.50069,00258.521,00332.453
03/24/2016,12:11,002.50764,00257.935,00332.593
03/24/2016,12:21,002.51458,00257.935,00332.733
03/24/2016,12:31,002.52153,00258.841,00332.873
