LumiCycle: 20160322C3pCLIH_8 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
03/24/2016,00:05,002.00347,00345.330,00306.739
03/24/2016,00:15,002.01042,00344.994,00306.965
03/24/2016,00:25,002.01736,00345.694,00307.191
03/24/2016,00:35,002.02431,00344.638,00307.417
03/24/2016,00:45,002.03125,00344.638,00307.643
03/24/2016,00:55,002.03819,00344.638,00307.870
03/24/2016,01:05,002.04514,00343.622,00308.096
03/24/2016,01:15,002.05208,00344.680,00308.322
03/24/2016,01:25,002.05903,00344.680,00308.548
03/24/2016,01:35,002.06597,00344.680,00308.775
03/24/2016,01:45,002.07292,00344.678,00309.001
03/24/2016,01:55,002.07986,00344.678,00309.227
03/24/2016,02:05,002.08681,00347.224,00309.453
03/24/2016,02:15,002.09375,00347.224,00309.679
03/24/2016,02:25,002.10069,00344.811,00309.906
03/24/2016,02:35,002.10764,00344.526,00310.132
03/24/2016,02:45,002.11458,00344.811,00310.358
03/24/2016,02:55,002.12153,00344.483,00310.584
03/24/2016,03:05,002.12847,00345.739,00310.810
03/24/2016,03:15,002.13542,00341.657,00311.037
03/24/2016,03:25,002.14236,00345.739,00311.263
03/24/2016,03:35,002.14931,00342.468,00311.489
03/24/2016,03:45,002.15625,00342.468,00311.715
03/24/2016,03:55,002.16319,00342.468,00311.941
03/24/2016,04:05,002.17014,00345.725,00312.168
03/24/2016,04:15,002.17708,00345.725,00312.394
03/24/2016,04:25,002.18403,00346.436,00312.620
03/24/2016,04:35,002.19097,00344.252,00312.846
03/24/2016,04:45,002.19792,00346.784,00313.073
03/24/2016,04:55,002.20486,00344.043,00313.299
03/24/2016,05:05,002.21181,00278.152,00313.525
03/24/2016,05:15,002.21875,00269.699,00313.751
03/24/2016,05:25,002.22569,00266.250,00313.977
03/24/2016,05:35,002.23264,00265.279,00314.204
03/24/2016,05:45,002.23958,00265.279,00314.430
03/24/2016,05:55,002.24653,00267.816,00314.656
03/24/2016,06:05,002.25347,00269.804,00314.882
03/24/2016,06:15,002.26042,00270.835,00315.108
03/24/2016,06:25,002.26736,00273.372,00315.335
03/24/2016,06:35,002.27431,00275.328,00315.561
03/24/2016,06:45,002.28125,00287.702,00315.787
03/24/2016,06:55,002.28819,00322.384,00316.013
03/24/2016,07:05,002.29514,00341.697,00316.240
03/24/2016,07:15,002.30208,00351.460,00316.466
03/24/2016,07:25,002.30903,00358.272,00316.692
03/24/2016,07:35,002.31597,00362.499,00316.918
03/24/2016,07:45,002.32292,00364.241,00317.144
03/24/2016,07:55,002.32986,00365.069,00317.371
03/24/2016,08:05,002.33681,00365.069,00317.597
03/24/2016,08:15,002.34375,00366.511,00317.823
03/24/2016,08:25,002.35069,00366.511,00318.049
03/24/2016,08:35,002.35764,00367.211,00318.275
03/24/2016,08:45,002.36458,00367.211,00318.502
03/24/2016,08:55,002.37153,00366.718,00318.728
03/24/2016,09:05,002.37847,00366.718,00318.954
03/24/2016,09:15,002.38542,00367.311,00319.180
03/24/2016,09:25,002.39236,00367.311,00319.406
03/24/2016,09:35,002.39931,00368.930,00319.633
03/24/2016,09:45,002.40625,00368.818,00319.859
03/24/2016,09:55,002.41319,00368.892,00320.085
03/24/2016,10:05,002.42014,00368.818,00320.311
03/24/2016,10:15,002.42708,00368.813,00320.538
03/24/2016,10:25,002.43403,00367.839,00320.764
03/24/2016,10:35,002.44097,00368.014,00320.990
03/24/2016,10:45,002.44792,00367.839,00321.216
03/24/2016,10:55,002.45486,00367.568,00321.442
03/24/2016,11:05,002.46181,00367.568,00321.669
03/24/2016,11:15,002.46875,00367.739,00321.895
03/24/2016,11:25,002.47569,00368.829,00322.121
03/24/2016,11:35,002.48264,00369.066,00322.347
03/24/2016,11:45,002.48958,00369.392,00322.573
03/24/2016,11:55,002.49653,00370.623,00322.800
03/24/2016,12:05,002.50347,00373.098,00323.026
03/24/2016,12:15,002.51042,00373.098,00323.252
03/24/2016,12:25,002.51736,00366.442,00323.478
03/24/2016,12:35,002.52431,00292.467,00323.705
03/24/2016,12:45,002.53125,00282.168,00323.931
03/24/2016,12:55,002.53819,00280.869,00324.157
03/24/2016,13:05,002.54514,00279.776,00324.383
03/24/2016,13:15,002.55208,00279.677,00324.609
03/24/2016,13:25,002.55903,00279.677,00324.836
03/24/2016,13:35,002.56597,00282.786,00325.062
03/24/2016,13:45,002.57292,00284.543,00325.288
03/24/2016,13:55,002.57986,00284.543,00325.514
03/24/2016,14:05,002.58681,00284.543,00325.740
03/24/2016,14:15,002.59375,00300.454,00325.967
03/24/2016,14:25,002.60069,00340.928,00326.193
03/24/2016,14:35,002.60764,00369.370,00326.419
03/24/2016,14:45,002.61458,00373.198,00326.645
03/24/2016,14:55,002.62153,00382.161,00326.871
03/24/2016,15:05,002.62847,00384.098,00327.098
03/24/2016,15:15,002.63542,00384.574,00327.324
03/24/2016,15:25,002.64236,00391.653,00327.550
03/24/2016,15:35,002.64931,00392.652,00327.776
03/24/2016,15:45,002.65625,00392.652,00328.003
03/24/2016,15:55,002.66319,00392.652,00328.229
03/24/2016,16:05,002.67014,00386.187,00328.455
03/24/2016,16:15,002.67708,00386.187,00328.681
03/24/2016,16:25,002.68403,00388.199,00328.907
03/24/2016,16:35,002.69097,00388.199,00329.134
03/24/2016,16:45,002.69792,00387.685,00329.360
03/24/2016,16:55,002.70486,00386.743,00329.586
03/24/2016,17:05,002.71181,00386.743,00329.812
03/24/2016,17:15,002.71875,00386.743,00330.038
03/24/2016,17:25,002.72569,00385.638,00330.265
03/24/2016,17:35,002.73264,00384.812,00330.491
03/24/2016,17:45,002.73958,00385.638,00330.717
03/24/2016,17:55,002.74653,00387.590,00330.943
03/24/2016,18:05,002.75347,00387.590,00331.170
03/24/2016,18:15,002.76042,00387.391,00331.396
03/24/2016,18:25,002.76736,00387.391,00331.622
03/24/2016,18:35,002.77431,00386.271,00331.848
03/24/2016,18:45,002.78125,00386.271,00332.074
03/24/2016,18:55,002.78819,00384.556,00332.301
03/24/2016,19:05,002.79514,00384.556,00332.527
03/24/2016,19:15,002.80208,00386.743,00332.753
03/24/2016,19:25,002.80903,00386.743,00332.979
03/24/2016,19:35,002.81597,00384.343,00333.205
