LumiCycle: 20160829C3pCLIH_12 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
08/31/2016,00:07,002.00486,00336.898,00299.473
08/31/2016,00:17,002.01181,00339.494,00299.698
08/31/2016,00:27,002.01875,00340.349,00299.923
08/31/2016,00:37,002.02569,00342.332,00300.148
08/31/2016,00:47,002.03264,00342.332,00300.373
08/31/2016,00:57,002.03958,00342.332,00300.598
08/31/2016,01:07,002.04653,00340.351,00300.824
08/31/2016,01:17,002.05347,00341.554,00301.049
08/31/2016,01:27,002.06042,00340.056,00301.274
08/31/2016,01:37,002.06736,00340.056,00301.499
08/31/2016,01:47,002.07431,00339.842,00301.724
08/31/2016,01:57,002.08125,00339.842,00301.950
08/31/2016,02:07,002.08819,00338.050,00302.175
08/31/2016,02:17,002.09514,00340.926,00302.400
08/31/2016,02:27,002.10208,00340.727,00302.625
08/31/2016,02:37,002.10903,00340.727,00302.850
08/31/2016,02:47,002.11597,00340.313,00303.075
08/31/2016,02:57,002.12292,00340.313,00303.301
08/31/2016,03:07,002.12986,00341.212,00303.526
08/31/2016,03:17,002.13681,00341.212,00303.751
08/31/2016,03:27,002.14375,00340.356,00303.976
08/31/2016,03:37,002.15069,00340.356,00304.201
08/31/2016,03:47,002.15764,00339.300,00304.427
08/31/2016,03:57,002.16458,00340.364,00304.652
08/31/2016,04:07,002.17153,00342.395,00304.877
08/31/2016,04:17,002.17847,00342.395,00305.102
08/31/2016,04:27,002.18542,00342.010,00305.327
08/31/2016,04:37,002.19236,00342.010,00305.552
08/31/2016,04:47,002.19931,00342.629,00305.778
08/31/2016,04:57,002.20625,00342.629,00306.003
08/31/2016,05:07,002.21319,00341.335,00306.228
08/31/2016,05:17,002.22014,00340.983,00306.453
08/31/2016,05:27,002.22708,00266.714,00306.678
08/31/2016,05:37,002.23403,00263.200,00306.904
08/31/2016,05:47,002.24097,00259.824,00307.129
08/31/2016,05:57,002.24792,00258.911,00307.354
08/31/2016,06:07,002.25486,00258.911,00307.579
08/31/2016,06:17,002.26181,00258.657,00307.804
08/31/2016,06:27,002.26875,00256.927,00308.029
08/31/2016,06:37,002.27569,00255.702,00308.255
08/31/2016,06:47,002.28264,00255.702,00308.480
08/31/2016,06:57,002.28958,00255.702,00308.705
08/31/2016,07:07,002.29653,00255.459,00308.930
08/31/2016,07:17,002.30347,00255.459,00309.155
08/31/2016,07:27,002.31042,00255.773,00309.381
08/31/2016,07:37,002.31736,00256.415,00309.606
08/31/2016,07:47,002.32431,00256.415,00309.831
08/31/2016,07:57,002.33125,00256.415,00310.056
08/31/2016,08:07,002.33819,00257.485,00310.281
08/31/2016,08:17,002.34514,00331.996,00310.506
08/31/2016,08:27,002.35208,00348.000,00310.732
08/31/2016,08:37,002.35903,00352.843,00310.957
08/31/2016,08:47,002.36597,00359.141,00311.182
08/31/2016,08:57,002.37292,00359.639,00311.407
08/31/2016,09:07,002.37986,00359.639,00311.632
08/31/2016,09:17,002.38681,00359.639,00311.857
08/31/2016,09:27,002.39375,00360.457,00312.083
08/31/2016,09:37,002.40069,00360.300,00312.308
08/31/2016,09:47,002.40764,00360.457,00312.533
08/31/2016,09:57,002.41458,00360.300,00312.758
08/31/2016,10:07,002.42153,00355.218,00312.983
08/31/2016,10:17,002.42847,00353.829,00313.209
08/31/2016,10:27,002.43542,00353.829,00313.434
08/31/2016,10:37,002.44236,00353.829,00313.659
08/31/2016,10:47,002.44931,00353.578,00313.884
08/31/2016,10:57,002.45625,00353.578,00314.109
08/31/2016,11:07,002.46319,00352.105,00314.334
08/31/2016,11:17,002.47014,00349.857,00314.560
08/31/2016,11:27,002.47708,00348.323,00314.785
08/31/2016,11:37,002.48403,00348.323,00315.010
08/31/2016,11:47,002.49097,00348.843,00315.235
08/31/2016,11:57,002.49792,00348.843,00315.460
08/31/2016,12:07,002.50486,00348.814,00315.686
08/31/2016,12:17,002.51181,00348.814,00315.911
08/31/2016,12:27,002.51875,00349.949,00316.136
08/31/2016,12:37,002.52569,00349.949,00316.361
08/31/2016,12:47,002.53264,00349.151,00316.586
08/31/2016,12:57,002.53958,00349.151,00316.811
08/31/2016,13:07,002.54653,00348.352,00317.037
08/31/2016,13:17,002.55347,00349.657,00317.262
08/31/2016,13:27,002.56042,00349.657,00317.487
08/31/2016,13:37,002.56736,00349.657,00317.712
08/31/2016,13:47,002.57431,00349.280,00317.937
08/31/2016,13:57,002.58125,00349.280,00318.163
08/31/2016,14:07,002.58819,00347.381,00318.388
08/31/2016,14:17,002.59514,00349.419,00318.613
08/31/2016,14:27,002.60208,00350.290,00318.838
08/31/2016,14:37,002.60903,00350.290,00319.063
08/31/2016,14:47,002.61597,00347.873,00319.288
08/31/2016,14:57,002.62292,00344.164,00319.514
08/31/2016,15:07,002.62986,00344.164,00319.739
08/31/2016,15:17,002.63681,00343.850,00319.964
08/31/2016,15:27,002.64375,00346.988,00320.189
08/31/2016,15:37,002.65069,00346.945,00320.414
08/31/2016,15:47,002.65764,00346.945,00320.640
08/31/2016,15:57,002.66458,00343.437,00320.865
08/31/2016,16:07,002.67153,00343.437,00321.090
08/31/2016,16:17,002.67847,00344.978,00321.315
08/31/2016,16:27,002.68542,00347.849,00321.540
08/31/2016,16:37,002.69236,00347.849,00321.765
08/31/2016,16:47,002.69931,00342.079,00321.991
08/31/2016,16:57,002.70625,00342.079,00322.216
08/31/2016,17:07,002.71319,00342.079,00322.441
08/31/2016,17:17,002.72014,00342.079,00322.666
08/31/2016,17:27,002.72708,00342.079,00322.891
08/31/2016,17:37,002.73403,00343.251,00323.117
08/31/2016,17:47,002.74097,00344.393,00323.342
08/31/2016,17:57,002.74792,00346.035,00323.567
08/31/2016,18:07,002.75486,00346.035,00323.792
08/31/2016,18:17,002.76181,00343.622,00324.017
08/31/2016,18:27,002.76875,00342.766,00324.242
08/31/2016,18:37,002.77569,00342.153,00324.468
08/31/2016,18:47,002.78264,00339.843,00324.693
08/31/2016,18:57,002.78958,00342.153,00324.918
08/31/2016,19:07,002.79653,00341.571,00325.143
08/31/2016,19:17,002.80347,00341.571,00325.368
08/31/2016,19:27,002.81042,00260.491,00325.594
08/31/2016,19:37,002.81736,00258.324,00325.819
08/31/2016,19:47,002.82431,00256.744,00326.044
08/31/2016,19:57,002.83125,00254.461,00326.269
08/31/2016,20:07,002.83819,00253.050,00326.494
08/31/2016,20:17,002.84514,00254.204,00326.719
08/31/2016,20:27,002.85208,00251.645,00326.945
08/31/2016,20:37,002.85903,00250.914,00327.170
08/31/2016,20:47,002.86597,00250.914,00327.395
08/31/2016,20:57,002.87292,00251.371,00327.620
08/31/2016,21:07,002.87986,00251.371,00327.845
08/31/2016,21:17,002.88681,00251.343,00328.070
08/31/2016,21:27,002.89375,00249.571,00328.296
08/31/2016,21:37,002.90069,00249.571,00328.521
08/31/2016,21:47,002.90764,00252.286,00328.746
08/31/2016,21:57,002.91458,00252.286,00328.971
08/31/2016,22:07,002.92153,00253.356,00329.196
08/31/2016,22:17,002.92847,00310.829,00329.422
08/31/2016,22:27,002.93542,00340.465,00329.647
08/31/2016,22:37,002.94236,00350.871,00329.872
08/31/2016,22:47,002.94931,00357.871,00330.097
08/31/2016,22:57,002.95625,00358.813,00330.322
08/31/2016,23:07,002.96319,00358.813,00330.547
08/31/2016,23:17,002.97014,00362.914,00330.773
08/31/2016,23:27,002.97708,00362.963,00330.998
08/31/2016,23:37,002.98403,00362.914,00331.223
08/31/2016,23:47,002.99097,00363.242,00331.448
08/31/2016,23:57,002.99792,00361.100,00331.673
09/01/2016,00:07,003.00486,00360.653,00331.899
09/01/2016,00:17,003.01181,00359.344,00332.124
09/01/2016,00:27,003.01875,00355.975,00332.349
09/01/2016,00:37,003.02569,00355.586,00332.574
09/01/2016,00:47,003.03264,00355.586,00332.799
09/01/2016,00:57,003.03958,00355.586,00333.024
09/01/2016,01:07,003.04653,00355.271,00333.250
09/01/2016,01:17,003.05347,00353.246,00333.475
09/01/2016,01:27,003.06042,00353.246,00333.700
09/01/2016,01:37,003.06736,00353.663,00333.925
09/01/2016,01:47,003.07431,00353.663,00334.150
09/01/2016,01:57,003.08125,00353.663,00334.376
09/01/2016,02:07,003.08819,00354.367,00334.601
09/01/2016,02:17,003.09514,00354.881,00334.826
09/01/2016,02:27,003.10208,00354.367,00335.051
09/01/2016,02:37,003.10903,00355.194,00335.276
09/01/2016,02:47,003.11597,00354.034,00335.501
09/01/2016,02:57,003.12292,00355.703,00335.727
09/01/2016,03:07,003.12986,00355.703,00335.952
09/01/2016,03:17,003.13681,00355.703,00336.177
09/01/2016,03:27,003.14375,00355.332,00336.402
09/01/2016,03:37,003.15069,00354.534,00336.627
09/01/2016,03:47,003.15764,00351.068,00336.853
09/01/2016,03:57,003.16458,00350.825,00337.078
09/01/2016,04:07,003.17153,00350.825,00337.303
09/01/2016,04:17,003.17847,00351.420,00337.528
09/01/2016,04:27,003.18542,00354.629,00337.753
09/01/2016,04:37,003.19236,00354.629,00337.978
09/01/2016,04:47,003.19931,00354.486,00338.204
09/01/2016,04:57,003.20625,00354.486,00338.429
09/01/2016,05:07,003.21319,00354.486,00338.654
09/01/2016,05:17,003.22014,00352.665,00338.879
09/01/2016,05:27,003.22708,00352.665,00339.104
09/01/2016,05:37,003.23403,00353.721,00339.329
09/01/2016,05:47,003.24097,00356.659,00339.555
09/01/2016,05:57,003.24792,00356.659,00339.780
09/01/2016,06:07,003.25486,00352.706,00340.005
09/01/2016,06:17,003.26181,00268.068,00340.230
09/01/2016,06:27,003.26875,00262.724,00340.455
09/01/2016,06:37,003.27569,00260.081,00340.681
09/01/2016,06:47,003.28264,00259.871,00340.906
09/01/2016,06:57,003.28958,00257.600,00341.131
09/01/2016,07:07,003.29653,00256.600,00341.356
09/01/2016,07:17,003.30347,00256.356,00341.581
09/01/2016,07:27,003.31042,00256.600,00341.806
09/01/2016,07:37,003.31736,00256.728,00342.032
09/01/2016,07:47,003.32431,00257.182,00342.257
09/01/2016,07:57,003.33125,00256.728,00342.482
09/01/2016,08:07,003.33819,00255.773,00342.707
09/01/2016,08:17,003.34514,00255.773,00342.932
09/01/2016,08:27,003.35208,00255.773,00343.158
09/01/2016,08:37,003.35903,00258.011,00343.383
09/01/2016,08:47,003.36597,00256.158,00343.608
09/01/2016,08:57,003.37292,00257.485,00343.833
09/01/2016,09:07,003.37986,00257.485,00344.058
09/01/2016,09:17,003.38681,00257.485,00344.283
09/01/2016,09:27,003.39375,00258.583,00344.509
09/01/2016,09:47,003.40764,00295.854,00344.959
09/01/2016,09:57,003.41458,00298.686,00345.184
09/01/2016,10:07,003.42153,00303.670,00345.409
09/01/2016,10:17,003.42847,00308.106,00345.635
09/01/2016,10:27,003.43542,00312.242,00345.860
09/01/2016,10:37,003.44236,00314.910,00346.085
09/01/2016,10:47,003.44931,00321.157,00346.310
09/01/2016,10:57,003.45625,00321.157,00346.535
09/01/2016,11:07,003.46319,00319.602,00346.760
09/01/2016,11:17,003.47014,00319.602,00346.986
09/01/2016,11:27,003.47708,00322.769,00347.211
09/01/2016,11:37,003.48403,00326.477,00347.436
09/01/2016,11:47,003.49097,00327.604,00347.661
09/01/2016,11:57,003.49792,00327.932,00347.886
09/01/2016,12:07,003.50486,00327.604,00348.112
09/01/2016,12:17,003.51181,00327.143,00348.337
09/01/2016,12:27,003.51875,00327.143,00348.562
09/01/2016,12:37,003.52569,00331.214,00348.787
09/01/2016,12:47,003.53264,00332.063,00349.012
09/01/2016,12:57,003.53958,00332.063,00349.237
09/01/2016,13:07,003.54653,00331.156,00349.463
09/01/2016,13:17,003.55347,00330.871,00349.688
09/01/2016,13:27,003.56042,00331.156,00349.913
09/01/2016,13:37,003.56736,00330.678,00350.138
09/01/2016,13:47,003.57431,00332.283,00350.363
