LumiCycle: 20160829C3pCLIH_13 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
08/31/2016,00:06,002.00417,00297.289,00283.125
08/31/2016,00:16,002.01111,00297.289,00283.350
08/31/2016,00:26,002.01806,00297.689,00283.576
08/31/2016,00:36,002.02500,00294.847,00283.801
08/31/2016,00:46,002.03194,00297.266,00284.026
08/31/2016,00:56,002.03889,00295.018,00284.252
08/31/2016,01:06,002.04583,00296.540,00284.477
08/31/2016,01:16,002.05278,00296.540,00284.702
08/31/2016,01:26,002.05972,00296.540,00284.928
08/31/2016,01:36,002.06667,00295.418,00285.153
08/31/2016,01:46,002.07361,00295.418,00285.379
08/31/2016,01:56,002.08056,00295.418,00285.604
08/31/2016,02:06,002.08750,00297.568,00285.829
08/31/2016,02:16,002.09444,00299.325,00286.055
08/31/2016,02:26,002.10139,00299.325,00286.280
08/31/2016,02:36,002.10833,00295.726,00286.505
08/31/2016,02:46,002.11528,00293.613,00286.731
08/31/2016,02:56,002.12222,00293.613,00286.956
08/31/2016,03:06,002.12917,00297.968,00287.182
08/31/2016,03:16,002.13611,00298.739,00287.407
08/31/2016,03:26,002.14306,00297.968,00287.632
08/31/2016,03:36,002.15000,00299.153,00287.858
08/31/2016,03:46,002.15694,00298.082,00288.083
08/31/2016,03:56,002.16389,00298.982,00288.308
08/31/2016,04:06,002.17083,00298.286,00288.534
08/31/2016,04:16,002.17778,00298.982,00288.759
08/31/2016,04:26,002.18472,00298.286,00288.984
08/31/2016,04:36,002.19167,00301.074,00289.210
08/31/2016,04:46,002.19861,00298.043,00289.435
08/31/2016,04:56,002.20556,00299.548,00289.661
08/31/2016,05:06,002.21250,00299.548,00289.886
08/31/2016,05:16,002.21944,00299.548,00290.111
08/31/2016,05:26,002.22639,00301.003,00290.337
08/31/2016,05:36,002.23333,00296.561,00290.562
08/31/2016,05:46,002.24028,00301.003,00290.787
08/31/2016,05:56,002.24722,00301.374,00291.013
08/31/2016,06:06,002.25417,00301.374,00291.238
08/31/2016,06:16,002.26111,00301.374,00291.464
08/31/2016,06:26,002.26806,00298.578,00291.689
08/31/2016,06:36,002.27500,00299.889,00291.914
