LumiCycle: 20160919C3pCLIH_2 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
09/19/2016,12:08,000.50556,00493.603,00418.079
09/19/2016,12:18,000.51250,00493.603,00417.900
09/19/2016,12:28,000.51944,00491.677,00417.721
09/19/2016,12:38,000.52639,00491.035,00417.542
09/19/2016,12:48,000.53333,00486.143,00417.363
09/19/2016,12:58,000.54028,00483.276,00417.184
09/19/2016,13:08,000.54722,00483.276,00417.005
09/19/2016,13:18,000.55417,00483.162,00416.826
09/19/2016,13:28,000.56111,00483.162,00416.647
09/19/2016,13:38,000.56806,00483.175,00416.468
09/19/2016,13:48,000.57500,00489.652,00416.289
09/19/2016,13:58,000.58194,00516.225,00416.110
09/19/2016,14:08,000.58889,00518.250,00415.931
09/19/2016,14:18,000.59583,00524.540,00415.752
09/19/2016,14:28,000.60278,00524.540,00415.573
09/19/2016,14:38,000.60972,00520.889,00415.394
09/19/2016,14:48,000.61667,00512.046,00415.215
09/19/2016,14:58,000.62361,00471.209,00415.036
09/19/2016,15:08,000.63056,00456.538,00414.857
09/19/2016,15:18,000.63750,00453.099,00414.678
09/19/2016,15:28,000.64444,00449.828,00414.500
09/19/2016,15:38,000.65139,00449.614,00414.321
09/19/2016,15:48,000.65833,00449.243,00414.142
09/19/2016,15:58,000.66528,00448.972,00413.963
09/19/2016,16:08,000.67222,00444.936,00413.784
09/19/2016,16:18,000.67917,00444.551,00413.605
09/19/2016,16:28,000.68611,00442.611,00413.426
09/19/2016,16:38,000.69306,00442.611,00413.247
09/19/2016,16:48,000.70000,00437.704,00413.068
09/19/2016,16:58,000.70694,00437.704,00412.889
09/19/2016,17:08,000.71389,00495.257,00412.710
09/19/2016,17:18,000.72083,00495.257,00412.531
09/19/2016,17:28,000.72778,00494.287,00412.352
09/19/2016,17:38,000.73472,00489.081,00412.173
09/19/2016,17:48,000.74167,00493.432,00411.994
09/19/2016,17:58,000.74861,00488.368,00411.815
09/19/2016,18:08,000.75556,00482.790,00411.636
09/19/2016,18:18,000.76250,00469.583,00411.457
09/19/2016,18:28,000.76944,00458.928,00411.278
09/19/2016,18:38,000.77639,00420.588,00411.099
09/19/2016,18:48,000.78333,00420.532,00410.920
09/19/2016,18:58,000.79028,00417.276,00410.741
09/19/2016,19:08,000.79722,00418.163,00410.562
09/19/2016,19:18,000.80417,00417.276,00410.383
09/19/2016,19:28,000.81111,00417.578,00410.204
09/19/2016,19:38,000.81806,00414.897,00410.025
09/19/2016,19:48,000.82500,00417.578,00409.846
09/19/2016,19:58,000.83194,00418.133,00409.667
09/19/2016,20:08,000.83889,00433.553,00409.488
09/19/2016,20:18,000.84583,00450.427,00409.310
09/19/2016,20:28,000.85278,00467.529,00409.131
09/19/2016,20:38,000.85972,00470.225,00408.952
09/19/2016,20:48,000.86667,00470.225,00408.773
09/19/2016,20:58,000.87361,00468.142,00408.594
09/19/2016,21:08,000.88056,00461.638,00408.415
09/19/2016,21:18,000.88750,00458.087,00408.236
09/19/2016,21:28,000.89444,00457.103,00408.057
09/19/2016,21:38,000.90139,00432.370,00407.878
09/19/2016,21:48,000.90833,00410.261,00407.699
09/19/2016,21:58,000.91528,00405.768,00407.520
09/19/2016,22:08,000.92222,00404.799,00407.341
09/19/2016,22:18,000.92917,00405.768,00407.162
09/19/2016,22:28,000.93611,00404.579,00406.983
09/19/2016,22:38,000.94306,00404.579,00406.804
09/19/2016,22:48,000.95000,00404.579,00406.625
09/19/2016,22:58,000.95694,00403.972,00406.446
09/19/2016,23:08,000.96389,00403.972,00406.267
09/19/2016,23:18,000.97083,00403.972,00406.088
09/19/2016,23:28,000.97778,00443.179,00405.909
09/19/2016,23:38,000.98472,00455.382,00405.730
09/19/2016,23:48,000.99167,00455.382,00405.551
09/19/2016,23:58,000.99861,00455.171,00405.372
09/20/2016,00:08,001.00556,00452.040,00405.193
09/20/2016,00:18,001.01250,00448.072,00405.014
09/20/2016,00:28,001.01944,00445.349,00404.835
09/20/2016,00:38,001.02639,00442.226,00404.656
09/20/2016,00:48,001.03333,00427.506,00404.477
09/20/2016,00:58,001.04028,00399.264,00404.298
09/20/2016,01:08,001.04722,00399.264,00404.120
09/20/2016,01:18,001.05417,00399.440,00403.941
09/20/2016,01:28,001.06111,00399.635,00403.762
09/20/2016,01:38,001.06806,00400.291,00403.583
09/20/2016,01:48,001.07500,00400.291,00403.404
09/20/2016,01:58,001.08194,00401.732,00403.225
09/20/2016,02:08,001.08889,00403.251,00403.046
09/20/2016,02:18,001.09583,00403.251,00402.867
09/20/2016,02:28,001.10278,00403.671,00402.688
09/20/2016,02:38,001.10972,00405.943,00402.509
09/20/2016,02:48,001.11667,00450.383,00402.330
09/20/2016,02:58,001.12361,00459.848,00402.151
09/20/2016,03:08,001.13056,00459.848,00401.972
09/20/2016,03:18,001.13750,00456.239,00401.793
09/20/2016,03:28,001.14444,00453.741,00401.614
09/20/2016,03:38,001.15139,00449.941,00401.435
09/20/2016,03:48,001.15833,00448.355,00401.256
09/20/2016,03:58,001.16528,00441.347,00401.077
09/20/2016,04:08,001.17222,00438.177,00400.898
09/20/2016,04:18,001.17917,00397.195,00400.719
09/20/2016,04:28,001.18611,00397.195,00400.540
09/20/2016,04:38,001.19306,00396.433,00400.361
09/20/2016,04:48,001.20000,00399.152,00400.182
09/20/2016,04:58,001.20694,00396.433,00400.003
09/20/2016,05:08,001.21389,00399.637,00399.824
09/20/2016,05:18,001.22083,00394.178,00399.645
09/20/2016,05:28,001.22778,00394.421,00399.466
09/20/2016,05:38,001.23472,00394.421,00399.287
09/20/2016,05:48,001.24167,00395.349,00399.108
09/20/2016,05:58,001.24861,00402.329,00398.929
09/20/2016,06:08,001.25556,00438.289,00398.751
09/20/2016,06:18,001.26250,00449.456,00398.572
09/20/2016,06:28,001.26944,00449.456,00398.393
09/20/2016,06:38,001.27639,00449.441,00398.214
09/20/2016,06:48,001.28333,00446.441,00398.035
09/20/2016,06:58,001.29028,00446.441,00397.856
09/20/2016,07:08,001.29722,00446.985,00397.677
09/20/2016,07:18,001.30417,00446.985,00397.498
09/20/2016,07:28,001.31111,00433.929,00397.319
09/20/2016,07:38,001.31806,00433.929,00397.140
09/20/2016,07:48,001.32500,00405.885,00396.961
09/20/2016,07:58,001.33194,00396.067,00396.782
09/20/2016,08:08,001.33889,00396.024,00396.603
09/20/2016,08:18,001.34583,00393.009,00396.424
09/20/2016,08:28,001.35278,00393.009,00396.245
09/20/2016,08:38,001.35972,00392.406,00396.066
09/20/2016,08:48,001.36667,00395.007,00395.887
09/20/2016,08:58,001.37361,00390.893,00395.708
09/20/2016,09:08,001.38056,00394.306,00395.529
09/20/2016,09:18,001.38750,00394.306,00395.350
09/20/2016,09:28,001.39444,00397.205,00395.171
09/20/2016,09:38,001.40139,00398.298,00394.992
09/20/2016,09:48,001.40833,00416.435,00394.813
09/20/2016,09:58,001.41528,00442.370,00394.634
09/20/2016,10:08,001.42222,00445.672,00394.455
09/20/2016,10:18,001.42917,00445.672,00394.276
09/20/2016,10:28,001.43611,00445.672,00394.097
09/20/2016,10:38,001.44306,00443.050,00393.918
09/20/2016,10:48,001.45000,00443.050,00393.739
09/20/2016,10:58,001.45694,00435.758,00393.560
09/20/2016,11:08,001.46389,00407.021,00393.382
09/20/2016,11:18,001.47083,00395.706,00393.203
09/20/2016,11:28,001.47778,00390.568,00393.024
09/20/2016,11:38,001.48472,00390.568,00392.845
09/20/2016,11:48,001.49167,00391.539,00392.666
09/20/2016,11:58,001.49861,00392.353,00392.487
09/20/2016,12:08,001.50556,00392.353,00392.308
09/20/2016,12:18,001.51250,00392.010,00392.129
09/20/2016,12:28,001.51944,00388.529,00391.950
09/20/2016,12:38,001.52639,00385.616,00391.771
09/20/2016,12:48,001.53333,00379.334,00391.592
09/20/2016,12:58,001.54028,00378.371,00391.413
09/20/2016,13:08,001.54722,00375.800,00391.234
09/20/2016,13:18,001.55417,00373.861,00391.055
09/20/2016,13:28,001.56111,00373.814,00390.876
09/20/2016,13:38,001.56806,00373.814,00390.697
09/20/2016,13:48,001.57500,00376.086,00390.518
09/20/2016,13:58,001.58194,00376.086,00390.339
09/20/2016,14:08,001.58889,00374.657,00390.160
09/20/2016,14:18,001.59583,00374.657,00389.981
09/20/2016,14:28,001.60278,00373.077,00389.802
09/20/2016,14:38,001.60972,00371.571,00389.623
09/20/2016,14:48,001.61667,00371.571,00389.444
09/20/2016,14:58,001.62361,00373.786,00389.265
09/20/2016,15:08,001.63056,00373.786,00389.086
09/20/2016,15:18,001.63750,00372.986,00388.907
09/20/2016,15:28,001.64444,00371.438,00388.728
09/20/2016,15:38,001.65139,00372.986,00388.549
09/20/2016,15:48,001.65833,00373.171,00388.370
09/20/2016,15:58,001.66528,00373.171,00388.192
09/20/2016,16:08,001.67222,00368.943,00388.013
09/20/2016,16:18,001.67917,00366.457,00387.834
09/20/2016,16:28,001.68611,00364.929,00387.655
09/20/2016,16:38,001.69306,00364.314,00387.476
09/20/2016,16:48,001.70000,00364.314,00387.297
09/20/2016,16:58,001.70694,00364.514,00387.118
09/20/2016,17:08,001.71389,00364.971,00386.939
09/20/2016,17:18,001.72083,00364.971,00386.760
09/20/2016,17:28,001.72778,00363.714,00386.581
09/20/2016,17:38,001.73472,00363.714,00386.402
09/20/2016,17:48,001.74167,00360.414,00386.223
09/20/2016,17:58,001.74861,00361.586,00386.044
09/20/2016,18:08,001.75556,00361.586,00385.865
09/20/2016,18:18,001.76250,00361.586,00385.686
09/20/2016,18:28,001.76944,00362.014,00385.507
09/20/2016,18:38,001.77639,00359.386,00385.328
09/20/2016,18:48,001.78333,00361.743,00385.149
09/20/2016,18:58,001.79028,00358.429,00384.970
09/20/2016,19:08,001.79722,00358.429,00384.791
09/20/2016,19:18,001.80417,00357.529,00384.612
09/20/2016,19:28,001.81111,00357.529,00384.433
09/20/2016,19:38,001.81806,00360.830,00384.254
09/20/2016,19:48,001.82500,00362.686,00384.075
09/20/2016,19:58,001.83194,00363.214,00383.896
09/20/2016,20:08,001.83889,00364.586,00383.717
09/20/2016,20:18,001.84583,00367.114,00383.538
09/20/2016,20:28,001.85278,00366.729,00383.359
09/20/2016,20:38,001.85972,00367.129,00383.180
09/20/2016,20:48,001.86667,00368.515,00383.001
09/20/2016,20:58,001.87361,00369.900,00382.823
09/20/2016,21:08,001.88056,00369.900,00382.644
09/20/2016,21:18,001.88750,00369.900,00382.465
09/20/2016,21:28,001.89444,00368.871,00382.286
09/20/2016,21:38,001.90139,00368.871,00382.107
09/20/2016,21:48,001.90833,00368.014,00381.928
09/20/2016,21:58,001.91528,00370.514,00381.749
09/20/2016,22:08,001.92222,00369.457,00381.570
09/20/2016,22:18,001.92917,00370.371,00381.391
09/20/2016,22:28,001.93611,00369.457,00381.212
09/20/2016,22:38,001.94306,00368.443,00381.033
09/20/2016,22:48,001.95000,00363.829,00380.854
09/20/2016,22:58,001.95694,00366.686,00380.675
09/20/2016,23:08,001.96389,00364.143,00380.496
09/20/2016,23:18,001.97083,00364.143,00380.317
09/20/2016,23:28,001.97778,00363.886,00380.138
09/20/2016,23:38,001.98472,00363.886,00379.959
09/20/2016,23:48,001.99167,00362.857,00379.780
09/20/2016,23:58,001.99861,00364.243,00379.601
09/21/2016,00:08,002.00556,00364.243,00379.422
09/21/2016,00:18,002.01250,00364.243,00379.243
09/21/2016,00:28,002.01944,00362.757,00379.064
09/21/2016,00:38,002.02639,00362.557,00378.885
09/21/2016,00:48,002.03333,00361.529,00378.706
09/21/2016,00:58,002.04028,00359.786,00378.527
09/21/2016,01:08,002.04722,00359.786,00378.348
09/21/2016,01:18,002.05417,00360.160,00378.169
09/21/2016,01:28,002.06111,00360.160,00377.990
09/21/2016,01:38,002.06806,00360.186,00377.811
09/21/2016,01:48,002.07500,00359.871,00377.633
09/21/2016,01:58,002.08194,00358.186,00377.454
09/21/2016,02:08,002.08889,00356.443,00377.275
09/21/2016,02:18,002.09583,00355.943,00377.096
09/21/2016,02:28,002.10278,00355.943,00376.917
09/21/2016,02:38,002.10972,00355.943,00376.738
09/21/2016,02:48,002.11667,00355.943,00376.559
09/21/2016,02:58,002.12361,00359.071,00376.380
09/21/2016,03:08,002.13056,00355.186,00376.201
09/21/2016,03:18,002.13750,00356.643,00376.022
09/21/2016,03:28,002.14444,00355.186,00375.843
09/21/2016,03:38,002.15139,00353.759,00375.664
09/21/2016,03:48,002.15833,00352.271,00375.485
09/21/2016,03:58,002.16528,00353.759,00375.306
09/21/2016,04:08,002.17222,00352.271,00375.127
09/21/2016,04:18,002.17917,00351.971,00374.948
09/21/2016,04:28,002.18611,00351.486,00374.769
09/21/2016,04:38,002.19306,00351.486,00374.590
09/21/2016,04:48,002.20000,00349.143,00374.411
09/21/2016,04:58,002.20694,00350.123,00374.232
09/21/2016,05:08,002.21389,00349.371,00374.053
09/21/2016,05:18,002.22083,00350.123,00373.874
09/21/2016,05:28,002.22778,00351.271,00373.695
09/21/2016,05:38,002.23472,00351.271,00373.516
09/21/2016,05:48,002.24167,00350.843,00373.337
09/21/2016,05:58,002.24861,00347.671,00373.158
09/21/2016,06:08,002.25556,00346.900,00372.979
09/21/2016,06:18,002.26250,00346.514,00372.800
09/21/2016,06:28,002.26944,00346.514,00372.621
09/21/2016,06:38,002.27639,00346.514,00372.443
09/21/2016,06:48,002.28333,00343.871,00372.264
09/21/2016,06:58,002.29028,00343.871,00372.085
09/21/2016,07:08,002.29722,00343.871,00371.906
09/21/2016,07:18,002.30417,00346.871,00371.727
09/21/2016,07:28,002.31111,00344.514,00371.548
09/21/2016,07:38,002.31806,00344.514,00371.369
09/21/2016,07:48,002.32500,00343.414,00371.190
09/21/2016,07:58,002.33194,00343.414,00371.011
09/21/2016,08:08,002.33889,00344.643,00370.832
09/21/2016,08:18,002.34583,00344.643,00370.653
09/21/2016,08:28,002.35278,00341.571,00370.474
09/21/2016,08:38,002.35972,00340.686,00370.295
09/21/2016,08:48,002.36667,00341.571,00370.116
09/21/2016,08:58,002.37361,00337.543,00369.937
09/21/2016,09:08,002.38056,00338.971,00369.758
09/21/2016,09:18,002.38750,00338.914,00369.579
09/21/2016,09:28,002.39444,00338.914,00369.400
09/21/2016,09:38,002.40139,00338.017,00369.221
09/21/2016,09:48,002.40833,00338.017,00369.042
09/21/2016,09:58,002.41528,00338.017,00368.863
09/21/2016,10:08,002.42222,00335.306,00368.684
09/21/2016,10:18,002.42917,00334.479,00368.505
09/21/2016,10:28,002.43611,00334.479,00368.326
09/21/2016,10:38,002.44306,00336.668,00368.147
09/21/2016,10:48,002.45000,00336.668,00367.968
09/21/2016,10:58,002.45694,00333.086,00367.789
09/21/2016,11:08,002.46389,00333.086,00367.610
09/21/2016,11:18,002.47083,00334.029,00367.431
09/21/2016,11:28,002.47778,00334.029,00367.252
09/21/2016,11:38,002.48472,00333.500,00367.074
09/21/2016,11:48,002.49167,00333.500,00366.895
09/21/2016,11:58,002.49861,00333.500,00366.716
09/21/2016,12:08,002.50556,00330.285,00366.537
09/21/2016,12:18,002.51250,00330.285,00366.358
09/21/2016,12:28,002.51944,00433.780,00366.179
09/21/2016,12:38,002.52639,00433.780,00366.000
09/21/2016,12:48,002.53333,00425.423,00365.821
09/21/2016,12:58,002.54028,00423.701,00365.642
09/21/2016,13:08,002.54722,00418.154,00365.463
09/21/2016,13:18,002.55417,00411.135,00365.284
09/21/2016,13:28,002.56111,00410.114,00365.105
09/21/2016,13:38,002.56806,00404.714,00364.926
09/21/2016,13:48,002.57500,00402.532,00364.747
09/21/2016,13:58,002.58194,00398.147,00364.568
09/21/2016,14:08,002.58889,00390.050,00364.389
09/21/2016,14:18,002.59583,00382.134,00364.210
09/21/2016,14:28,002.60278,00378.607,00364.031
09/21/2016,14:38,002.60972,00377.975,00363.852
09/21/2016,14:48,002.61667,00371.822,00363.673
09/21/2016,14:58,002.62361,00365.883,00363.494
09/21/2016,15:08,002.63056,00365.883,00363.315
09/21/2016,15:18,002.63750,00362.407,00363.136
09/21/2016,15:28,002.64444,00362.407,00362.957
09/21/2016,15:38,002.65139,00362.228,00362.778
09/21/2016,15:48,002.65833,00361.095,00362.599
09/21/2016,15:58,002.66528,00359.198,00362.420
09/21/2016,16:08,002.67222,00357.130,00362.241
09/21/2016,16:18,002.67917,00359.198,00362.062
