LumiCycle: 20160919C3pCLIH_5 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
09/19/2016,12:07,000.50486,00660.143,00534.261
09/19/2016,12:17,000.51181,00654.143,00534.340
09/19/2016,12:27,000.51875,00652.357,00534.418
09/19/2016,12:37,000.52569,00645.743,00534.497
09/19/2016,12:47,000.53264,00645.643,00534.576
09/19/2016,12:57,000.53958,00637.986,00534.654
09/19/2016,13:07,000.54653,00636.429,00534.733
09/19/2016,13:17,000.55347,00636.429,00534.811
09/19/2016,13:27,000.56042,00627.835,00534.890
09/19/2016,13:37,000.56736,00627.835,00534.969
09/19/2016,13:47,000.57431,00627.835,00535.047
09/19/2016,13:57,000.58125,00626.100,00535.126
09/19/2016,14:07,000.58819,00626.100,00535.204
09/19/2016,14:17,000.59514,00627.857,00535.283
09/19/2016,14:27,000.60208,00667.943,00535.362
09/19/2016,14:37,000.60903,00690.500,00535.440
09/19/2016,14:47,000.61597,00693.600,00535.519
09/19/2016,14:57,000.62292,00693.600,00535.598
09/19/2016,15:07,000.62986,00684.686,00535.676
09/19/2016,15:17,000.63681,00679.929,00535.755
09/19/2016,15:27,000.64375,00672.303,00535.833
09/19/2016,15:37,000.65069,00610.957,00535.912
09/19/2016,15:47,000.65764,00599.586,00535.991
09/19/2016,15:57,000.66458,00597.700,00536.069
09/19/2016,16:07,000.67153,00596.014,00536.148
09/19/2016,16:17,000.67847,00591.800,00536.226
09/19/2016,16:27,000.68542,00591.800,00536.305
09/19/2016,16:37,000.69236,00592.914,00536.384
09/19/2016,16:47,000.69931,00592.914,00536.462
09/19/2016,16:57,000.70625,00586.429,00536.541
09/19/2016,17:07,000.71319,00586.429,00536.619
09/19/2016,17:17,000.72014,00586.886,00536.698
09/19/2016,17:27,000.72708,00587.171,00536.777
09/19/2016,17:37,000.73403,00600.857,00536.855
09/19/2016,17:47,000.74097,00647.100,00536.934
09/19/2016,17:57,000.74792,00650.091,00537.013
09/19/2016,18:07,000.75486,00654.753,00537.091
09/19/2016,18:17,000.76181,00651.514,00537.170
09/19/2016,18:27,000.76875,00654.753,00537.248
09/19/2016,18:37,000.77569,00651.514,00537.327
09/19/2016,18:47,000.78264,00646.634,00537.406
09/19/2016,18:57,000.78958,00631.599,00537.484
09/19/2016,19:07,000.79653,00625.084,00537.563
09/19/2016,19:17,000.80347,00571.700,00537.641
09/19/2016,19:27,000.81042,00568.157,00537.720
09/19/2016,19:37,000.81736,00563.086,00537.799
09/19/2016,19:47,000.82431,00560.286,00537.877
09/19/2016,19:57,000.83125,00563.086,00537.956
09/19/2016,20:07,000.83819,00562.157,00538.034
09/19/2016,20:17,000.84514,00562.157,00538.113
09/19/2016,20:27,000.85208,00558.946,00538.192
09/19/2016,20:37,000.85903,00558.946,00538.270
09/19/2016,20:47,000.86597,00602.391,00538.349
09/19/2016,20:57,000.87292,00611.800,00538.427
09/19/2016,21:07,000.87986,00627.399,00538.506
09/19/2016,21:17,000.88681,00628.029,00538.585
09/19/2016,21:27,000.89375,00628.029,00538.663
09/19/2016,21:37,000.90069,00628.029,00538.742
09/19/2016,21:47,000.90764,00626.786,00538.820
09/19/2016,21:57,000.91458,00620.286,00538.899
09/19/2016,22:07,000.92153,00614.945,00538.978
09/19/2016,22:17,000.92847,00612.289,00539.056
09/19/2016,22:27,000.93542,00558.117,00539.135
09/19/2016,22:37,000.94236,00549.730,00539.214
09/19/2016,22:47,000.94931,00543.154,00539.292
09/19/2016,22:57,000.95625,00543.154,00539.371
09/19/2016,23:07,000.96319,00545.550,00539.449
09/19/2016,23:17,000.97014,00546.304,00539.528
09/19/2016,23:27,000.97708,00547.661,00539.607
09/19/2016,23:37,000.98403,00547.661,00539.685
09/19/2016,23:47,000.99097,00542.341,00539.764
09/19/2016,23:57,000.99792,00542.341,00539.842
09/20/2016,00:07,001.00486,00593.176,00539.921
09/20/2016,00:17,001.01181,00593.419,00540.000
09/20/2016,00:27,001.01875,00600.971,00540.078
09/20/2016,00:37,001.02569,00602.695,00540.157
09/20/2016,00:47,001.03264,00605.857,00540.235
09/20/2016,00:57,001.03958,00602.695,00540.314
09/20/2016,01:07,001.04653,00605.857,00540.393
09/20/2016,01:17,001.05347,00601.543,00540.471
09/20/2016,01:27,001.06042,00592.064,00540.550
09/20/2016,01:37,001.06736,00592.064,00540.628
09/20/2016,01:47,001.07431,00561.286,00540.707
09/20/2016,01:57,001.08125,00536.811,00540.786
09/20/2016,02:07,001.08819,00533.385,00540.864
09/20/2016,02:17,001.09514,00534.070,00540.943
09/20/2016,02:27,001.10208,00533.385,00541.022
09/20/2016,02:37,001.10903,00533.599,00541.100
09/20/2016,02:47,001.11597,00533.599,00541.179
09/20/2016,02:57,001.12292,00536.393,00541.257
09/20/2016,03:07,001.12986,00545.577,00541.336
09/20/2016,03:17,001.13681,00546.014,00541.415
09/20/2016,03:27,001.14375,00558.987,00541.493
09/20/2016,03:37,001.15069,00586.437,00541.572
09/20/2016,03:47,001.15764,00598.835,00541.650
09/20/2016,03:57,001.16458,00598.835,00541.729
09/20/2016,04:07,001.17153,00598.835,00541.808
