LumiCycle: 20161013C3pCLIHp-11 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
10/14/2016,00:10,001.00694,00341.126,00312.187
10/14/2016,00:20,001.01389,00338.259,00312.072
10/14/2016,00:30,001.02083,00338.259,00311.956
10/14/2016,00:40,001.02778,00337.232,00311.841
10/14/2016,00:50,001.03472,00337.232,00311.726
10/14/2016,01:00,001.04167,00333.937,00311.611
10/14/2016,01:10,001.04861,00331.598,00311.495
10/14/2016,01:20,001.05556,00331.969,00311.380
10/14/2016,01:30,001.06250,00330.243,00311.265
10/14/2016,01:40,001.06944,00331.969,00311.150
10/14/2016,01:50,001.07639,00365.531,00311.034
10/14/2016,02:00,001.08333,00378.439,00310.919
10/14/2016,02:10,001.09028,00378.552,00310.804
10/14/2016,02:20,001.09722,00382.419,00310.689
10/14/2016,02:30,001.10417,00383.760,00310.574
10/14/2016,02:40,001.11111,00382.419,00310.458
10/14/2016,02:50,001.11806,00375.886,00310.343
10/14/2016,03:00,001.12500,00361.936,00310.228
10/14/2016,03:10,001.13194,00337.902,00310.113
10/14/2016,03:20,001.13889,00322.284,00309.997
10/14/2016,03:30,001.14583,00317.563,00309.882
10/14/2016,03:40,001.15278,00317.563,00309.767
10/14/2016,03:50,001.15972,00318.960,00309.652
10/14/2016,04:00,001.16667,00318.960,00309.536
10/14/2016,04:10,001.17361,00317.620,00309.421
10/14/2016,04:20,001.18056,00314.680,00309.306
10/14/2016,04:30,001.18750,00314.680,00309.191
10/14/2016,04:40,001.19444,00316.379,00309.075
10/14/2016,04:50,001.20139,00316.379,00308.960
10/14/2016,05:00,001.20833,00315.823,00308.845
10/14/2016,05:10,001.21528,00315.823,00308.730
10/14/2016,05:20,001.22222,00315.837,00308.614
10/14/2016,05:30,001.22917,00355.056,00308.499
10/14/2016,05:40,001.23611,00363.220,00308.384
10/14/2016,05:50,001.24306,00363.505,00308.269
10/14/2016,06:00,001.25000,00366.144,00308.153
10/14/2016,06:10,001.25694,00366.144,00308.038
10/14/2016,06:20,001.26389,00358.684,00307.923
10/14/2016,06:30,001.27083,00353.046,00307.808
10/14/2016,06:40,001.27778,00323.667,00307.692
10/14/2016,06:50,001.28472,00310.103,00307.577
10/14/2016,07:00,001.29167,00308.662,00307.462
10/14/2016,07:10,001.29861,00304.701,00307.347
10/14/2016,07:20,001.30556,00305.100,00307.231
10/14/2016,07:30,001.31250,00305.100,00307.116
10/14/2016,07:40,001.31944,00305.325,00307.001
10/14/2016,07:50,001.32639,00305.325,00306.886
10/14/2016,08:00,001.33333,00304.102,00306.771
10/14/2016,08:10,001.34028,00304.102,00306.655
10/14/2016,08:20,001.34722,00305.215,00306.540
10/14/2016,08:30,001.35417,00306.146,00306.425
10/14/2016,08:40,001.36111,00308.999,00306.310
10/14/2016,08:50,001.36806,00309.098,00306.194
10/14/2016,09:00,001.37500,00351.987,00306.079
10/14/2016,09:10,001.38194,00352.286,00305.964
10/14/2016,09:20,001.38889,00352.286,00305.849
10/14/2016,09:30,001.39583,00352.286,00305.733
10/14/2016,09:40,001.40278,00351.474,00305.618
10/14/2016,09:50,001.40972,00344.119,00305.503
10/14/2016,10:00,001.41667,00335.295,00305.388
10/14/2016,10:10,001.42361,00306.064,00305.272
10/14/2016,10:20,001.43056,00304.881,00305.157
10/14/2016,10:30,001.43750,00303.103,00305.042
10/14/2016,10:40,001.44444,00303.103,00304.927
10/14/2016,10:50,001.45139,00303.103,00304.811
10/14/2016,11:00,001.45833,00300.020,00304.696
10/14/2016,11:10,001.46528,00300.020,00304.581
10/14/2016,11:20,001.47222,00299.164,00304.466
10/14/2016,11:30,001.47917,00301.481,00304.350
10/14/2016,11:40,001.48611,00300.955,00304.235
10/14/2016,11:50,001.49306,00301.041,00304.120
10/14/2016,12:00,001.50000,00300.955,00304.005
10/14/2016,12:10,001.50694,00301.041,00303.889
10/14/2016,12:20,001.51389,00322.769,00303.774
10/14/2016,12:30,001.52083,00344.412,00303.659
10/14/2016,12:40,001.52778,00349.522,00303.544
10/14/2016,12:50,001.53472,00349.522,00303.428
10/14/2016,13:00,001.54167,00349.337,00303.313
10/14/2016,13:10,001.54861,00342.441,00303.198
10/14/2016,13:20,001.55556,00340.127,00303.083
10/14/2016,13:30,001.56250,00293.483,00302.968
10/14/2016,13:40,001.56944,00293.189,00302.852
10/14/2016,13:50,001.57639,00293.189,00302.737
10/14/2016,14:00,001.58333,00293.240,00302.622
10/14/2016,14:10,001.59028,00295.416,00302.507
10/14/2016,14:20,001.59722,00293.240,00302.391
10/14/2016,14:30,001.60417,00292.899,00302.276
10/14/2016,14:40,001.61111,00290.628,00302.161
10/14/2016,14:50,001.61806,00290.628,00302.046
10/14/2016,15:00,001.62500,00291.422,00301.930
10/14/2016,15:10,001.63194,00291.422,00301.815
10/14/2016,15:20,001.63889,00291.422,00301.700
10/14/2016,15:30,001.64583,00290.885,00301.585
10/14/2016,15:40,001.65278,00292.612,00301.469
10/14/2016,15:50,001.65972,00316.042,00301.354
10/14/2016,16:00,001.66667,00339.913,00301.239
10/14/2016,16:10,001.67361,00339.913,00301.124
10/14/2016,16:20,001.68056,00339.200,00301.008
10/14/2016,16:30,001.68750,00339.200,00300.893
10/14/2016,16:40,001.69444,00339.200,00300.778
10/14/2016,16:50,001.70139,00333.505,00300.663
