LumiCycle: 20161013C3pCLIHp-3 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
10/14/2016,00:11,001.00764,00238.994,00238.581
10/14/2016,00:21,001.01458,00238.994,00238.470
10/14/2016,00:31,001.02153,00234.620,00238.360
10/14/2016,00:41,001.02847,00234.620,00238.249
10/14/2016,00:51,001.03542,00239.869,00238.139
10/14/2016,01:01,001.04236,00260.303,00238.029
10/14/2016,01:11,001.04931,00261.049,00237.918
10/14/2016,01:21,001.05625,00261.608,00237.808
10/14/2016,01:31,001.06319,00261.608,00237.697
10/14/2016,01:41,001.07014,00266.599,00237.587
10/14/2016,01:51,001.07708,00266.599,00237.477
10/14/2016,02:01,001.08403,00265.928,00237.366
10/14/2016,02:11,001.09097,00256.704,00237.256
10/14/2016,02:21,001.09792,00244.472,00237.145
10/14/2016,02:31,001.10486,00237.675,00237.035
10/14/2016,02:41,001.11181,00231.623,00236.925
10/14/2016,02:51,001.11875,00231.049,00236.814
10/14/2016,03:01,001.12569,00228.583,00236.704
10/14/2016,03:11,001.13264,00228.812,00236.594
10/14/2016,03:21,001.13958,00226.274,00236.483
10/14/2016,03:31,001.14653,00227.665,00236.373
10/14/2016,03:41,001.15347,00224.840,00236.262
10/14/2016,03:51,001.16042,00225.170,00236.152
10/14/2016,04:01,001.16736,00224.840,00236.042
10/14/2016,04:11,001.17431,00225.170,00235.931
10/14/2016,04:21,001.18125,00225.170,00235.821
10/14/2016,04:31,001.18819,00235.067,00235.710
10/14/2016,04:41,001.19514,00247.039,00235.600
10/14/2016,04:51,001.20208,00247.039,00235.490
10/14/2016,05:01,001.20903,00251.886,00235.379
10/14/2016,05:11,001.21597,00250.609,00235.269
10/14/2016,05:21,001.22292,00252.847,00235.158
10/14/2016,05:31,001.22986,00250.609,00235.048
10/14/2016,05:41,001.23681,00249.821,00234.938
10/14/2016,05:51,001.24375,00245.074,00234.827
10/14/2016,06:01,001.25069,00224.568,00234.717
10/14/2016,06:11,001.25764,00223.463,00234.606
10/14/2016,06:21,001.26458,00222.159,00234.496
10/14/2016,06:31,001.27153,00219.964,00234.386
10/14/2016,06:41,001.27847,00218.674,00234.275
10/14/2016,06:51,001.28542,00218.630,00234.165
10/14/2016,07:01,001.29236,00217.412,00234.054
10/14/2016,07:11,001.29931,00218.358,00233.944
10/14/2016,07:21,001.30625,00217.645,00233.834
10/14/2016,07:31,001.31319,00217.645,00233.723
10/14/2016,07:41,001.32014,00216.508,00233.613
10/14/2016,07:51,001.32708,00216.508,00233.502
10/14/2016,08:01,001.33403,00220.623,00233.392
10/14/2016,08:11,001.34097,00240.672,00233.282
10/14/2016,08:21,001.34792,00241.916,00233.171
10/14/2016,08:31,001.35486,00244.558,00233.061
10/14/2016,08:41,001.36181,00245.836,00232.950
10/14/2016,08:51,001.36875,00248.788,00232.840
10/14/2016,09:01,001.37569,00249.133,00232.730
10/14/2016,09:11,001.38264,00248.788,00232.619
10/14/2016,09:21,001.38958,00247.799,00232.509
10/14/2016,09:31,001.39653,00243.726,00232.398
10/14/2016,09:41,001.40347,00218.516,00232.288
10/14/2016,09:51,001.41042,00218.516,00232.178
10/14/2016,10:01,001.41736,00220.413,00232.067
10/14/2016,10:11,001.42431,00220.413,00231.957
10/14/2016,10:21,001.43125,00219.388,00231.846
10/14/2016,10:31,001.43819,00219.219,00231.736
10/14/2016,10:41,001.44514,00219.219,00231.626
10/14/2016,10:51,001.45208,00218.631,00231.515
10/14/2016,11:01,001.45903,00217.670,00231.405
10/14/2016,11:11,001.46597,00217.670,00231.295
10/14/2016,11:21,001.47292,00215.814,00231.184
10/14/2016,11:31,001.47986,00215.983,00231.074
10/14/2016,11:41,001.48681,00215.635,00230.963
10/14/2016,11:51,001.49375,00215.983,00230.853
10/14/2016,12:01,001.50069,00242.280,00230.743
10/14/2016,12:11,001.50764,00243.170,00230.632
10/14/2016,12:21,001.51458,00245.992,00230.522
10/14/2016,12:31,001.52153,00247.914,00230.411
10/14/2016,12:41,001.52847,00247.914,00230.301
10/14/2016,12:51,001.53542,00247.398,00230.191
10/14/2016,13:01,001.54236,00244.517,00230.080
10/14/2016,13:11,001.54931,00242.439,00229.970
10/14/2016,13:21,001.55625,00220.370,00229.859
10/14/2016,13:31,001.56319,00217.771,00229.749
10/14/2016,13:41,001.57014,00217.140,00229.639
10/14/2016,13:51,001.57708,00216.258,00229.528
10/14/2016,14:01,001.58403,00214.230,00229.418
10/14/2016,14:11,001.59097,00214.218,00229.307
10/14/2016,14:21,001.59792,00214.218,00229.197
10/14/2016,14:31,001.60486,00215.986,00229.087
10/14/2016,14:41,001.61181,00217.169,00228.976
10/14/2016,14:51,001.61875,00217.169,00228.866
10/14/2016,15:01,001.62569,00214.547,00228.755
10/14/2016,15:11,001.63264,00214.050,00228.645
10/14/2016,15:21,001.63958,00213.531,00228.535
10/14/2016,15:31,001.64653,00213.029,00228.424
10/14/2016,15:41,001.65347,00212.072,00228.314
10/14/2016,15:51,001.66042,00213.029,00228.203
10/14/2016,16:01,001.66736,00241.878,00228.093
10/14/2016,16:11,001.67431,00241.878,00227.983
10/14/2016,16:21,001.68125,00244.559,00227.872
10/14/2016,16:31,001.68819,00245.076,00227.762
10/14/2016,16:41,001.69514,00245.076,00227.651
10/14/2016,16:51,001.70208,00242.694,00227.541
10/14/2016,17:01,001.70903,00241.835,00227.431
10/14/2016,17:11,001.71597,00214.595,00227.320
10/14/2016,17:21,001.72292,00214.472,00227.210
10/14/2016,17:31,001.72986,00211.905,00227.099
10/14/2016,17:41,001.73681,00211.905,00226.989
10/14/2016,17:51,001.74375,00210.801,00226.879
10/14/2016,18:01,001.75069,00210.223,00226.768
10/14/2016,18:11,001.75764,00210.223,00226.658
10/14/2016,18:21,001.76458,00210.223,00226.547
10/14/2016,18:31,001.77153,00210.660,00226.437
10/14/2016,18:41,001.77847,00210.660,00226.327
10/14/2016,18:51,001.78542,00210.660,00226.216
10/14/2016,19:01,001.79236,00209.658,00226.106
10/14/2016,19:11,001.79931,00208.202,00225.995
10/14/2016,19:21,001.80625,00208.202,00225.885
10/14/2016,19:31,001.81319,00208.202,00225.775
10/14/2016,19:41,001.82014,00231.513,00225.664
10/14/2016,19:51,001.82708,00232.653,00225.554
10/14/2016,20:01,001.83403,00233.645,00225.444
10/14/2016,20:11,001.84097,00234.581,00225.333
10/14/2016,20:21,001.84792,00235.799,00225.223
10/14/2016,20:31,001.85486,00237.204,00225.112
10/14/2016,20:41,001.86181,00237.204,00225.002
10/14/2016,20:51,001.86875,00219.823,00224.892
10/14/2016,21:01,001.87569,00217.577,00224.781
10/14/2016,21:11,001.88264,00212.129,00224.671
10/14/2016,21:21,001.88958,00208.664,00224.560
10/14/2016,21:31,001.89653,00208.664,00224.450
10/14/2016,21:41,001.90347,00208.664,00224.340
10/14/2016,21:51,001.91042,00206.925,00224.229
10/14/2016,22:01,001.91736,00204.880,00224.119
10/14/2016,22:11,001.92431,00204.880,00224.008
10/14/2016,22:21,001.93125,00205.567,00223.898
10/14/2016,22:31,001.93819,00205.567,00223.788
10/14/2016,22:41,001.94514,00204.545,00223.677
10/14/2016,22:51,001.95208,00204.545,00223.567
10/14/2016,23:01,001.95903,00203.785,00223.456
10/14/2016,23:11,001.96597,00205.190,00223.346
10/14/2016,23:21,001.97292,00203.054,00223.236
10/14/2016,23:31,001.97986,00205.294,00223.125
10/14/2016,23:41,001.98681,00222.466,00223.015
10/14/2016,23:51,001.99375,00231.570,00222.904
10/15/2016,00:01,002.00069,00231.637,00222.794
10/15/2016,00:11,002.00764,00234.728,00222.684
10/15/2016,00:21,002.01458,00234.928,00222.573
10/15/2016,00:31,002.02153,00234.728,00222.463
10/15/2016,00:41,002.02847,00228.693,00222.352
10/15/2016,00:51,002.03542,00212.579,00222.242
10/15/2016,01:01,002.04236,00210.557,00222.132
10/15/2016,01:11,002.04931,00207.097,00222.021
10/15/2016,01:21,002.05625,00207.097,00221.911
10/15/2016,01:31,002.06319,00204.283,00221.800
10/15/2016,01:41,002.07014,00204.283,00221.690
10/15/2016,01:51,002.07708,00203.065,00221.580
10/15/2016,02:01,002.08403,00202.799,00221.469
10/15/2016,02:11,002.09097,00202.512,00221.359
10/15/2016,02:21,002.09792,00200.935,00221.248
10/15/2016,02:31,002.10486,00202.061,00221.138
10/15/2016,02:41,002.11181,00200.935,00221.028
10/15/2016,02:51,002.11875,00201.638,00220.917
10/15/2016,03:01,002.12569,00201.638,00220.807
10/15/2016,03:11,002.13264,00201.638,00220.697
10/15/2016,03:21,002.13958,00201.638,00220.586
10/15/2016,03:31,002.14653,00201.638,00220.476
10/15/2016,03:41,002.15347,00213.812,00220.365
10/15/2016,03:51,002.16042,00226.285,00220.255
10/15/2016,04:01,002.16736,00227.518,00220.145
10/15/2016,04:11,002.17431,00232.635,00220.034
10/15/2016,04:21,002.18125,00232.635,00219.924
10/15/2016,04:31,002.18819,00230.480,00219.813
10/15/2016,04:41,002.19514,00209.701,00219.703
10/15/2016,04:51,002.20208,00207.029,00219.593
10/15/2016,05:01,002.20903,00205.640,00219.482
10/15/2016,05:11,002.21597,00202.624,00219.372
10/15/2016,05:21,002.22292,00202.624,00219.261
10/15/2016,05:31,002.22986,00202.624,00219.151
10/15/2016,05:41,002.23681,00203.430,00219.041
10/15/2016,05:51,002.24375,00199.828,00218.930
10/15/2016,06:01,002.25069,00200.232,00218.820
10/15/2016,06:11,002.25764,00200.232,00218.709
10/15/2016,06:21,002.26458,00200.232,00218.599
10/15/2016,06:31,002.27153,00201.359,00218.489
10/15/2016,06:41,002.27847,00201.359,00218.378
10/15/2016,06:51,002.28542,00201.634,00218.268
10/15/2016,07:01,002.29236,00201.634,00218.157
10/15/2016,07:11,002.29931,00200.714,00218.047
10/15/2016,07:21,002.30625,00200.714,00217.937
10/15/2016,07:31,002.31319,00201.803,00217.826
10/15/2016,07:41,002.32014,00202.190,00217.716
10/15/2016,07:51,002.32708,00205.693,00217.605
10/15/2016,08:01,002.33403,00212.020,00217.495
10/15/2016,08:11,002.34097,00213.268,00217.385
10/15/2016,08:21,002.34792,00216.348,00217.274
10/15/2016,08:31,002.35486,00219.735,00217.164
10/15/2016,08:41,002.36181,00220.695,00217.053
10/15/2016,08:51,002.36875,00222.560,00216.943
10/15/2016,09:01,002.37569,00225.792,00216.833
10/15/2016,09:11,002.38264,00226.618,00216.722
10/15/2016,09:21,002.38958,00226.618,00216.612
10/15/2016,09:31,002.39653,00226.618,00216.501
10/15/2016,09:41,002.40347,00228.573,00216.391
10/15/2016,09:51,002.41042,00226.331,00216.281
10/15/2016,10:01,002.41736,00228.744,00216.170
10/15/2016,10:11,002.42431,00227.809,00216.060
10/15/2016,10:21,002.43125,00227.809,00215.949
10/15/2016,10:31,002.43819,00227.690,00215.839
10/15/2016,10:41,002.44514,00226.385,00215.729
10/15/2016,10:51,002.45208,00226.385,00215.618
10/15/2016,11:01,002.45903,00226.930,00215.508
10/15/2016,11:11,002.46597,00228.406,00215.398
10/15/2016,11:21,002.47292,00227.144,00215.287
10/15/2016,11:31,002.47986,00228.406,00215.177
10/15/2016,11:41,002.48681,00227.144,00215.066
10/15/2016,11:51,002.49375,00226.021,00214.956
10/15/2016,12:01,002.50069,00225.256,00214.846
10/15/2016,12:11,002.50764,00222.265,00214.735
10/15/2016,12:21,002.51458,00222.265,00214.625
10/15/2016,12:31,002.52153,00224.164,00214.514
10/15/2016,12:41,002.52847,00224.164,00214.404
10/15/2016,12:51,002.53542,00222.474,00214.294
10/15/2016,13:01,002.54236,00221.786,00214.183
10/15/2016,13:11,002.54931,00220.475,00214.073
10/15/2016,13:21,002.55625,00220.475,00213.962
10/15/2016,13:31,002.56319,00220.115,00213.852
10/15/2016,13:41,002.57014,00220.115,00213.742
10/15/2016,13:51,002.57708,00220.115,00213.631
10/15/2016,14:01,002.58403,00219.881,00213.521
10/15/2016,14:11,002.59097,00221.069,00213.410
10/15/2016,14:21,002.59792,00219.881,00213.300
10/15/2016,14:31,002.60486,00220.107,00213.190
10/15/2016,14:41,002.61181,00219.821,00213.079
10/15/2016,14:51,002.61875,00219.821,00212.969
10/15/2016,15:01,002.62569,00218.502,00212.858
10/15/2016,15:11,002.63264,00216.366,00212.748
10/15/2016,15:21,002.63958,00217.090,00212.638
10/15/2016,15:31,002.64653,00217.090,00212.527
10/15/2016,15:41,002.65347,00217.090,00212.417
10/15/2016,15:51,002.66042,00216.258,00212.306
10/15/2016,16:01,002.66736,00215.549,00212.196
10/15/2016,16:11,002.67431,00215.125,00212.086
10/15/2016,16:21,002.68125,00215.125,00211.975
10/15/2016,16:31,002.68819,00215.302,00211.865
10/15/2016,16:41,002.69514,00215.302,00211.754
10/15/2016,16:51,002.70208,00212.660,00211.644
10/15/2016,17:01,002.70903,00212.315,00211.534
10/15/2016,17:11,002.71597,00211.613,00211.423
10/15/2016,17:21,002.72292,00212.315,00211.313
10/15/2016,17:31,002.72986,00208.349,00211.202
10/15/2016,17:41,002.73681,00213.047,00211.092
10/15/2016,17:51,002.74375,00207.756,00210.982
10/15/2016,18:01,002.75069,00207.756,00210.871
10/15/2016,18:11,002.75764,00207.756,00210.761
10/15/2016,18:21,002.76458,00206.054,00210.650
10/15/2016,18:31,002.77153,00207.254,00210.540
10/15/2016,18:41,002.77847,00206.054,00210.430
10/15/2016,18:51,002.78542,00207.254,00210.319
10/15/2016,19:01,002.79236,00206.011,00210.209
10/15/2016,19:11,002.79931,00205.839,00210.099
10/15/2016,19:21,002.80625,00205.839,00209.988
10/15/2016,19:31,002.81319,00206.847,00209.878
10/15/2016,19:41,002.82014,00206.847,00209.767
10/15/2016,19:51,002.82708,00206.847,00209.657
10/15/2016,20:01,002.83403,00205.864,00209.547
10/15/2016,20:11,002.84097,00204.029,00209.436
10/15/2016,20:21,002.84792,00204.029,00209.326
10/15/2016,20:31,002.85486,00204.254,00209.215
10/15/2016,20:41,002.86181,00204.254,00209.105
10/15/2016,20:51,002.86875,00203.900,00208.995
10/15/2016,21:01,002.87569,00203.900,00208.884
10/15/2016,21:11,002.88264,00203.900,00208.774
10/15/2016,21:21,002.88958,00204.674,00208.663
10/15/2016,21:31,002.89653,00204.674,00208.553
10/15/2016,21:41,002.90347,00205.510,00208.443
10/15/2016,21:51,002.91042,00205.510,00208.332
10/15/2016,22:01,002.91736,00204.187,00208.222
10/15/2016,22:11,002.92431,00204.187,00208.111
10/15/2016,22:21,002.93125,00202.925,00208.001
10/15/2016,22:31,002.93819,00202.667,00207.891
10/15/2016,22:41,002.94514,00202.667,00207.780
10/15/2016,22:51,002.95208,00200.760,00207.670
10/15/2016,23:01,002.95903,00201.236,00207.559
10/15/2016,23:11,002.96597,00201.236,00207.449
10/15/2016,23:21,002.97292,00202.656,00207.339
10/15/2016,23:31,002.97986,00202.656,00207.228
10/15/2016,23:41,002.98681,00202.656,00207.118
10/15/2016,23:51,002.99375,00202.286,00207.007
10/16/2016,00:01,003.00069,00200.625,00206.897
10/16/2016,00:11,003.00764,00200.625,00206.787
10/16/2016,00:21,003.01458,00200.648,00206.676
10/16/2016,00:31,003.02153,00200.648,00206.566
10/16/2016,00:41,003.02847,00199.330,00206.455
10/16/2016,00:51,003.03542,00199.330,00206.345
10/16/2016,01:01,003.04236,00199.773,00206.235
10/16/2016,01:11,003.04931,00199.773,00206.124
10/16/2016,01:21,003.05625,00199.816,00206.014
10/16/2016,01:31,003.06319,00199.082,00205.903
10/16/2016,01:41,003.07014,00198.963,00205.793
10/16/2016,01:51,003.07708,00198.813,00205.683
10/16/2016,02:01,003.08403,00198.813,00205.572
10/16/2016,02:11,003.09097,00198.813,00205.462
10/16/2016,02:21,003.09792,00200.321,00205.351
10/16/2016,02:31,003.10486,00200.660,00205.241
10/16/2016,02:41,003.11181,00200.746,00205.131
10/16/2016,02:51,003.11875,00200.660,00205.020
10/16/2016,03:01,003.12569,00200.746,00204.910
10/16/2016,03:11,003.13264,00200.287,00204.800
10/16/2016,03:21,003.13958,00200.287,00204.689
10/16/2016,03:31,003.14653,00197.577,00204.579
10/16/2016,03:41,003.15347,00197.577,00204.468
10/16/2016,03:51,003.16042,00198.552,00204.358
10/16/2016,04:01,003.16736,00198.552,00204.248
10/16/2016,04:11,003.17431,00198.167,00204.137
10/16/2016,04:21,003.18125,00198.167,00204.027
10/16/2016,04:31,003.18819,00198.167,00203.916
10/16/2016,04:41,003.19514,00198.411,00203.806
10/16/2016,04:51,003.20208,00198.020,00203.696
10/16/2016,05:01,003.20903,00196.031,00203.585
10/16/2016,05:11,003.21597,00196.031,00203.475
10/16/2016,05:21,003.22292,00197.436,00203.364
10/16/2016,05:31,003.22986,00197.436,00203.254
10/16/2016,05:41,003.23681,00199.197,00203.144
10/16/2016,05:51,003.24375,00197.921,00203.033
10/16/2016,06:01,003.25069,00198.122,00202.923
10/16/2016,06:11,003.25764,00197.921,00202.812
10/16/2016,06:21,003.26458,00197.520,00202.702
10/16/2016,06:31,003.27153,00197.032,00202.592
10/16/2016,06:41,003.27847,00197.032,00202.481
10/16/2016,06:51,003.28542,00195.971,00202.371
10/16/2016,07:01,003.29236,00195.971,00202.260
10/16/2016,07:11,003.29931,00196.069,00202.150
10/16/2016,07:21,003.30625,00196.069,00202.040
10/16/2016,07:31,003.31319,00197.018,00201.929
10/16/2016,07:41,003.32014,00197.117,00201.819
10/16/2016,07:51,003.32708,00197.665,00201.708
10/16/2016,08:01,003.33403,00197.665,00201.598
10/16/2016,08:11,003.34097,00197.446,00201.488
10/16/2016,08:21,003.34792,00197.446,00201.377
10/16/2016,08:31,003.35486,00195.440,00201.267
10/16/2016,08:41,003.36181,00197.794,00201.156
10/16/2016,08:51,003.36875,00196.315,00201.046
10/16/2016,09:01,003.37569,00196.315,00200.936
10/16/2016,09:11,003.38264,00196.315,00200.825
10/16/2016,09:21,003.38958,00195.871,00200.715
10/16/2016,09:31,003.39653,00195.871,00200.604
10/16/2016,09:41,003.40347,00195.871,00200.494
10/16/2016,09:51,003.41042,00330.093,00200.384
10/16/2016,10:01,003.41736,00330.093,00200.273
10/16/2016,10:11,003.42431,00283.254,00200.163
10/16/2016,10:21,003.43125,00264.387,00200.052
10/16/2016,10:31,003.43819,00250.036,00199.942
10/16/2016,10:41,003.44514,00243.857,00199.832
10/16/2016,10:51,003.45208,00243.541,00199.721
10/16/2016,11:01,003.45903,00240.489,00199.611
10/16/2016,11:11,003.46597,00239.642,00199.501
10/16/2016,11:21,003.47292,00239.252,00199.390
10/16/2016,11:31,003.47986,00236.800,00199.280
10/16/2016,11:41,003.48681,00236.800,00199.169
10/16/2016,11:51,003.49375,00237.875,00199.059
10/16/2016,12:01,003.50069,00237.887,00198.949
10/16/2016,12:11,003.50764,00242.163,00198.838
10/16/2016,12:21,003.51458,00242.493,00198.728
10/16/2016,12:31,003.52153,00243.167,00198.617
10/16/2016,12:41,003.52847,00243.167,00198.507
10/16/2016,12:51,003.53542,00243.038,00198.397
10/16/2016,13:01,003.54236,00243.038,00198.286
10/16/2016,13:11,003.54931,00244.832,00198.176
10/16/2016,13:21,003.55625,00245.448,00198.065
10/16/2016,13:31,003.56319,00244.832,00197.955
10/16/2016,13:41,003.57014,00245.448,00197.845
10/16/2016,13:51,003.57708,00244.401,00197.734
10/16/2016,14:01,003.58403,00245.750,00197.624
10/16/2016,14:11,003.59097,00246.408,00197.513
10/16/2016,14:21,003.59792,00246.500,00197.403
10/16/2016,14:31,003.60486,00246.408,00197.293
10/16/2016,14:41,003.61181,00243.870,00197.182
10/16/2016,14:51,003.61875,00240.760,00197.072
10/16/2016,15:01,003.62569,00238.546,00196.961
10/16/2016,15:11,003.63264,00238.546,00196.851
10/16/2016,15:21,003.63958,00239.510,00196.741
10/16/2016,15:31,003.64653,00239.510,00196.630
10/16/2016,15:41,003.65347,00236.569,00196.520
10/16/2016,15:51,003.66042,00235.977,00196.409
10/16/2016,16:01,003.66736,00235.556,00196.299
10/16/2016,16:11,003.67431,00235.556,00196.189
10/16/2016,16:21,003.68125,00233.208,00196.078
10/16/2016,16:31,003.68819,00231.097,00195.968
10/16/2016,16:41,003.69514,00229.485,00195.857
10/16/2016,16:51,003.70208,00228.616,00195.747
10/16/2016,17:01,003.70903,00228.430,00195.637
10/16/2016,17:11,003.71597,00228.143,00195.526
10/16/2016,17:21,003.72292,00227.240,00195.416
10/16/2016,17:31,003.72986,00223.199,00195.305
10/16/2016,17:41,003.73681,00222.380,00195.195
10/16/2016,17:51,003.74375,00222.130,00195.085
10/16/2016,18:01,003.75069,00222.029,00194.974
10/16/2016,18:11,003.75764,00218.799,00194.864
10/16/2016,18:21,003.76458,00217.512,00194.753
10/16/2016,18:31,003.77153,00215.978,00194.643
10/16/2016,18:41,003.77847,00215.805,00194.533
10/16/2016,18:51,003.78542,00215.431,00194.422
10/16/2016,19:01,003.79236,00213.213,00194.312
10/16/2016,19:11,003.79931,00211.984,00194.202
10/16/2016,19:21,003.80625,00211.891,00194.091
10/16/2016,19:31,003.81319,00210.389,00193.981
10/16/2016,19:41,003.82014,00209.697,00193.870
10/16/2016,19:51,003.82708,00207.656,00193.760
10/16/2016,20:01,003.83403,00209.166,00193.650
10/16/2016,20:11,003.84097,00207.420,00193.539
10/16/2016,20:21,003.84792,00206.197,00193.429
10/16/2016,20:31,003.85486,00204.139,00193.318
10/16/2016,20:41,003.86181,00204.139,00193.208
10/16/2016,20:51,003.86875,00202.386,00193.098
10/16/2016,21:01,003.87569,00200.886,00192.987
10/16/2016,21:11,003.88264,00200.404,00192.877
10/16/2016,21:21,003.88958,00199.157,00192.766
10/16/2016,21:31,003.89653,00199.157,00192.656
10/16/2016,21:41,003.90347,00198.638,00192.546
10/16/2016,21:51,003.91042,00198.638,00192.435
10/16/2016,22:01,003.91736,00196.502,00192.325
10/16/2016,22:11,003.92431,00196.459,00192.214
10/16/2016,22:21,003.93125,00195.111,00192.104
10/16/2016,22:31,003.93819,00194.953,00191.994
10/16/2016,22:41,003.94514,00194.136,00191.883
10/16/2016,22:51,003.95208,00192.186,00191.773
10/16/2016,23:01,003.95903,00191.901,00191.662
10/16/2016,23:11,003.96597,00191.585,00191.552
10/16/2016,23:21,003.97292,00189.622,00191.442
10/16/2016,23:31,003.97986,00190.036,00191.331
10/16/2016,23:41,003.98681,00189.720,00191.221
10/16/2016,23:51,003.99375,00189.720,00191.110
10/17/2016,00:01,004.00069,00189.477,00191.000
10/17/2016,00:11,004.00764,00188.975,00190.890
