LumiCycle: 20170410C3pCLIH-drug_C5_Thap3n (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
04/10/2017,14:16,000.00000,02536.779,01533.781
04/10/2017,14:26,000.00694,02518.751,01532.500
04/10/2017,14:36,000.01389,02519.453,01531.219
04/10/2017,14:46,000.02083,02496.544,01529.938
04/10/2017,14:56,000.02778,02468.040,01528.657
04/10/2017,15:06,000.03472,02452.639,01527.376
04/10/2017,15:16,000.04167,02434.833,01526.095
04/10/2017,15:26,000.04861,02422.902,01524.814
04/10/2017,15:36,000.05556,02389.707,01523.533
04/10/2017,15:46,000.06250,02366.956,01522.252
04/10/2017,15:56,000.06944,02359.888,01520.971
04/10/2017,16:06,000.07639,02350.810,01519.690
04/10/2017,16:16,000.08333,02319.965,01518.409
04/10/2017,16:26,000.09028,02297.434,01517.128
04/10/2017,16:36,000.09722,02270.069,01515.847
04/10/2017,16:46,000.10417,02254.687,01514.566
04/10/2017,16:56,000.11111,02246.226,01513.285
04/10/2017,17:06,000.11806,02241.580,01512.004
04/10/2017,17:16,000.12500,02225.625,01510.723
04/10/2017,17:26,000.13194,02211.736,01509.442
04/10/2017,17:36,000.13889,02201.333,01508.161
04/10/2017,17:46,000.14583,02197.972,01506.880
04/10/2017,17:56,000.15278,02195.740,01505.599
04/10/2017,18:06,000.15972,02165.673,01504.318
04/10/2017,18:16,000.16667,02167.422,01503.037
04/10/2017,18:26,000.17361,02170.794,01501.756
04/10/2017,18:36,000.18056,02166.028,01500.475
04/10/2017,18:46,000.18750,02143.553,01499.194
04/10/2017,18:56,000.19444,02125.000,01497.913
04/10/2017,19:06,000.20139,02126.665,01496.632
04/10/2017,19:16,000.20833,02120.312,01495.351
04/10/2017,19:26,000.21528,02115.965,01494.070
04/10/2017,19:36,000.22222,02091.784,01492.789
04/10/2017,19:46,000.22917,02095.626,01491.508
04/10/2017,19:56,000.23611,02078.573,01490.227
04/10/2017,20:06,000.24306,02072.841,01488.946
04/10/2017,20:16,000.25000,02080.005,01487.665
04/10/2017,20:26,000.25694,02062.141,01486.384
04/10/2017,20:36,000.26389,02061.495,01485.103
04/10/2017,20:46,000.27083,02040.831,01483.822
04/10/2017,20:56,000.27778,02039.169,01482.541
04/10/2017,21:06,000.28472,02050.277,01481.260
04/10/2017,21:16,000.29167,02029.068,01479.979
04/10/2017,21:26,000.29861,02019.294,01478.698
04/10/2017,21:36,000.30556,02008.642,01477.417
04/10/2017,21:46,000.31250,01996.074,01476.136
04/10/2017,21:56,000.31944,01995.601,01474.855
04/10/2017,22:06,000.32639,01976.341,01473.574
04/10/2017,22:16,000.33333,01974.797,01472.293
04/10/2017,22:26,000.34028,01971.741,01471.012
04/10/2017,22:36,000.34722,01945.039,01469.731
04/10/2017,22:46,000.35417,01939.269,01468.450
04/10/2017,22:56,000.36111,01933.755,01467.169
04/10/2017,23:06,000.36806,01922.510,01465.888
04/10/2017,23:16,000.37500,01930.893,01464.607
04/10/2017,23:26,000.38194,01918.663,01463.326
04/10/2017,23:36,000.38889,01904.936,01462.045
04/10/2017,23:46,000.39583,01887.168,01460.764
04/10/2017,23:56,000.40278,01876.941,01459.483
04/11/2017,00:06,000.40972,01868.083,01458.202
04/11/2017,00:16,000.41667,01852.618,01456.921
04/11/2017,00:26,000.42361,01847.096,01455.640
04/11/2017,00:36,000.43056,01828.396,01454.359
04/11/2017,00:46,000.43750,01842.222,01453.078
04/11/2017,00:56,000.44444,01833.793,01451.797
