LumiCycle: 20170410C3pCLIH-drug_D1_Thap0 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
04/10/2017,14:08,000.00000,01520.178,00788.254
04/10/2017,14:18,000.00694,01510.748,00787.851
04/10/2017,14:28,000.01389,01500.249,00787.449
04/10/2017,14:38,000.02083,01504.878,00787.047
04/10/2017,14:48,000.02778,01489.802,00786.644
04/10/2017,14:58,000.03472,01479.868,00786.242
04/10/2017,15:08,000.04167,01456.841,00785.840
04/10/2017,15:18,000.04861,01458.920,00785.438
04/10/2017,15:28,000.05556,01441.602,00785.035
04/10/2017,15:38,000.06250,01430.804,00784.633
04/10/2017,15:48,000.06944,01419.605,00784.231
04/10/2017,15:58,000.07639,01408.165,00783.828
04/10/2017,16:08,000.08333,01408.329,00783.426
04/10/2017,16:18,000.09028,01389.052,00783.024
04/10/2017,16:28,000.09722,01386.699,00782.622
04/10/2017,16:38,000.10417,01379.187,00782.219
04/10/2017,16:48,000.11111,01375.747,00781.817
04/10/2017,16:58,000.11806,01359.163,00781.415
04/10/2017,17:08,000.12500,01372.136,00781.013
04/10/2017,17:18,000.13194,01356.700,00780.610
04/10/2017,17:28,000.13889,01335.436,00780.208
04/10/2017,17:38,000.14583,01327.548,00779.806
04/10/2017,17:48,000.15278,01336.388,00779.403
04/10/2017,17:58,000.15972,01318.676,00779.001
04/10/2017,18:08,000.16667,01315.734,00778.599
04/10/2017,18:18,000.17361,01299.413,00778.197
04/10/2017,18:28,000.18056,01299.876,00777.794
04/10/2017,18:38,000.18750,01291.659,00777.392
04/10/2017,18:48,000.19444,01287.531,00776.990
04/10/2017,18:58,000.20139,01281.509,00776.588
04/10/2017,19:08,000.20833,01274.004,00776.185
04/10/2017,19:18,000.21528,01286.947,00775.783
04/10/2017,19:28,000.22222,01262.953,00775.381
04/10/2017,19:38,000.22917,01262.608,00774.978
04/10/2017,19:48,000.23611,01252.830,00774.576
04/10/2017,19:58,000.24306,01246.835,00774.174
04/10/2017,20:08,000.25000,01241.038,00773.772
04/10/2017,20:18,000.25694,01245.260,00773.369
04/10/2017,20:28,000.26389,01235.009,00772.967
04/10/2017,20:38,000.27083,01227.403,00772.565
04/10/2017,20:48,000.27778,01212.981,00772.162
04/10/2017,20:58,000.28472,01217.943,00771.760
04/10/2017,21:08,000.29167,01208.758,00771.358
04/10/2017,21:18,000.29861,01205.779,00770.956
04/10/2017,21:28,000.30556,01197.186,00770.553
04/10/2017,21:38,000.31250,01199.392,00770.151
04/10/2017,21:48,000.31944,01191.190,00769.749
04/10/2017,21:58,000.32639,01183.523,00769.346
04/10/2017,22:08,000.33333,01174.502,00768.944
04/10/2017,22:18,000.34028,01176.062,00768.542
04/10/2017,22:28,000.34722,01167.423,00768.140
04/10/2017,22:38,000.35417,01155.408,00767.737
04/10/2017,22:48,000.36111,01161.353,00767.335
04/10/2017,22:58,000.36806,01144.573,00766.933
04/10/2017,23:08,000.37500,01137.027,00766.531
04/10/2017,23:18,000.38194,01128.183,00766.128
04/10/2017,23:28,000.38889,01133.911,00765.726
04/10/2017,23:38,000.39583,01113.439,00765.324
04/10/2017,23:48,000.40278,01109.140,00764.921
04/10/2017,23:58,000.40972,01105.878,00764.519
04/11/2017,00:08,000.41667,01108.657,00764.117
04/11/2017,00:18,000.42361,01092.891,00763.715
04/11/2017,00:28,000.43056,01088.596,00763.312
04/11/2017,00:38,000.43750,01079.432,00762.910
04/11/2017,00:48,000.44444,01069.344,00762.508
04/11/2017,00:58,000.45139,01064.195,00762.106
04/11/2017,01:08,000.45833,01056.278,00761.703
04/11/2017,01:18,000.46528,01050.484,00761.301
04/11/2017,01:28,000.47222,01036.383,00760.899
04/11/2017,01:38,000.47917,01028.110,00760.496
04/11/2017,01:48,000.48611,01021.936,00760.094
04/11/2017,01:58,000.49306,01028.523,00759.692
04/11/2017,02:08,000.50000,01016.618,00759.290
04/11/2017,02:18,000.50694,01003.138,00758.887
04/11/2017,02:28,000.51389,00998.481,00758.485
04/11/2017,02:38,000.52083,00993.733,00758.083
04/11/2017,02:48,000.52778,00986.631,00757.680
04/11/2017,02:58,000.53472,00981.359,00757.278
04/11/2017,03:08,000.54167,00965.830,00756.876
04/11/2017,03:18,000.54861,00961.603,00756.474
04/11/2017,03:28,000.55556,00972.128,00756.071
