LumiCycle: 20170825C3pCLIH1_10 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
08/26/2017,00:08,001.00556,00644.093,00701.760
08/26/2017,00:18,001.01250,00643.346,00701.821
08/26/2017,00:28,001.01944,00636.222,00701.882
08/26/2017,00:38,001.02639,00632.234,00701.943
08/26/2017,00:48,001.03333,00625.737,00702.004
08/26/2017,00:58,001.04028,00622.930,00702.065
08/26/2017,01:08,001.04722,00621.302,00702.126
08/26/2017,01:18,001.05417,00621.302,00702.187
08/26/2017,01:28,001.06111,00619.850,00702.248
08/26/2017,01:38,001.06806,00619.850,00702.309
08/26/2017,01:48,001.07500,00618.425,00702.370
08/26/2017,01:58,001.08194,00612.878,00702.431
08/26/2017,02:08,001.08889,00608.145,00702.492
08/26/2017,02:18,001.09583,00608.145,00702.553
08/26/2017,02:28,001.10278,00615.145,00702.614
08/26/2017,02:38,001.10972,00673.418,00702.675
08/26/2017,02:48,001.11667,00676.983,00702.736
08/26/2017,02:58,001.12361,00705.281,00702.797
08/26/2017,03:08,001.13056,00725.162,00702.858
08/26/2017,03:18,001.13750,00732.592,00702.919
08/26/2017,03:28,001.14444,00733.780,00702.980
08/26/2017,03:38,001.15139,00737.797,00703.041
08/26/2017,03:48,001.15833,00739.128,00703.102
08/26/2017,03:58,001.16528,00748.658,00703.163
08/26/2017,04:08,001.17222,00749.760,00703.224
08/26/2017,04:18,001.17917,00753.164,00703.285
08/26/2017,04:28,001.18611,00760.479,00703.346
08/26/2017,04:38,001.19306,00760.545,00703.407
08/26/2017,04:48,001.20000,00760.545,00703.468
08/26/2017,04:58,001.20694,00753.493,00703.529
08/26/2017,05:08,001.21389,00753.493,00703.590
08/26/2017,05:18,001.22083,00754.718,00703.651
08/26/2017,05:28,001.22778,00754.718,00703.712
08/26/2017,05:38,001.23472,00747.172,00703.773
08/26/2017,05:48,001.24167,00747.172,00703.834
08/26/2017,05:58,001.24861,00744.274,00703.895
08/26/2017,06:08,001.25556,00741.607,00703.956
08/26/2017,06:18,001.26250,00739.450,00704.017
08/26/2017,06:28,001.26944,00739.450,00704.078
08/26/2017,06:38,001.27639,00738.534,00704.139
08/26/2017,06:48,001.28333,00739.157,00704.200
08/26/2017,06:58,001.29028,00736.867,00704.261
08/26/2017,07:08,001.29722,00738.235,00704.322
08/26/2017,07:18,001.30417,00737.274,00704.383
08/26/2017,07:28,001.31111,00737.274,00704.444
08/26/2017,07:38,001.31806,00737.274,00704.505
08/26/2017,07:48,001.32500,00737.297,00704.566
08/26/2017,07:58,001.33194,00737.297,00704.627
08/26/2017,08:08,001.33889,00740.268,00704.688
08/26/2017,08:18,001.34583,00740.197,00704.749
08/26/2017,08:28,001.35278,00740.910,00704.810
08/26/2017,08:38,001.35972,00744.820,00704.871
08/26/2017,08:48,001.36667,00750.286,00704.932
08/26/2017,08:58,001.37361,00750.573,00704.994
08/26/2017,09:08,001.38056,00752.691,00705.055
08/26/2017,09:18,001.38750,00755.878,00705.116
08/26/2017,09:28,001.39444,00758.747,00705.177
08/26/2017,09:38,001.40139,00756.786,00705.238
08/26/2017,09:48,001.40833,00758.747,00705.299
08/26/2017,09:58,001.41528,00760.456,00705.360
08/26/2017,10:08,001.42222,00760.456,00705.421
08/26/2017,10:18,001.42917,00667.678,00705.482
08/26/2017,10:28,001.43611,00657.594,00705.543
08/26/2017,10:38,001.44306,00653.267,00705.604
08/26/2017,10:48,001.45000,00649.029,00705.665
08/26/2017,10:58,001.45694,00649.029,00705.726
08/26/2017,11:08,001.46389,00648.185,00705.787
08/26/2017,11:18,001.47083,00643.939,00705.848
08/26/2017,11:28,001.47778,00643.939,00705.909
08/26/2017,11:38,001.48472,00648.971,00705.970
08/26/2017,11:48,001.49167,00648.971,00706.031
08/26/2017,11:58,001.49861,00643.607,00706.092
08/26/2017,12:08,001.50556,00640.265,00706.153
08/26/2017,12:18,001.51250,00639.227,00706.214
08/26/2017,12:28,001.51944,00639.227,00706.275
08/26/2017,12:38,001.52639,00641.934,00706.336
08/26/2017,12:48,001.53333,00641.934,00706.397
08/26/2017,12:58,001.54028,00637.528,00706.458
08/26/2017,13:08,001.54722,00636.451,00706.519
08/26/2017,13:18,001.55417,00637.528,00706.580
08/26/2017,13:28,001.56111,00638.492,00706.641
08/26/2017,13:38,001.56806,00641.060,00706.702
08/26/2017,13:48,001.57500,00638.492,00706.763
08/26/2017,13:58,001.58194,00638.131,00706.824
08/26/2017,14:08,001.58889,00632.226,00706.885
08/26/2017,14:18,001.59583,00630.608,00706.946
08/26/2017,14:28,001.60278,00630.608,00707.007
08/26/2017,14:38,001.60972,00630.330,00707.068
08/26/2017,14:48,001.61667,00629.273,00707.129
08/26/2017,14:58,001.62361,00629.273,00707.190
08/26/2017,15:08,001.63056,00632.084,00707.251
08/26/2017,15:18,001.63750,00741.740,00707.312
08/26/2017,15:28,001.64444,00774.751,00707.373
08/26/2017,15:38,001.65139,00778.417,00707.434
08/26/2017,15:48,001.65833,00783.708,00707.495
08/26/2017,15:58,001.66528,00785.647,00707.556
08/26/2017,16:08,001.67222,00790.723,00707.617
08/26/2017,16:18,001.67917,00792.032,00707.678
08/26/2017,16:28,001.68611,00797.702,00707.739
08/26/2017,16:38,001.69306,00801.480,00707.800
08/26/2017,16:48,001.70000,00805.632,00707.861
08/26/2017,16:58,001.70694,00807.121,00707.922
08/26/2017,17:08,001.71389,00810.666,00707.983
08/26/2017,17:18,001.72083,00813.391,00708.044
08/26/2017,17:28,001.72778,00813.577,00708.105
08/26/2017,17:38,001.73472,00814.831,00708.166
08/26/2017,17:48,001.74167,00820.722,00708.227
08/26/2017,17:58,001.74861,00814.842,00708.288
08/26/2017,18:08,001.75556,00824.987,00708.349
08/26/2017,18:18,001.76250,00819.915,00708.410
08/26/2017,18:28,001.76944,00819.915,00708.471
08/26/2017,18:38,001.77639,00819.915,00708.532
08/26/2017,18:48,001.78333,00822.301,00708.593
08/26/2017,18:58,001.79028,00822.301,00708.654
08/26/2017,19:08,001.79722,00820.456,00708.715
08/26/2017,19:18,001.80417,00820.456,00708.776
08/26/2017,19:28,001.81111,00820.456,00708.837
08/26/2017,19:38,001.81806,00819.814,00708.898
08/26/2017,19:48,001.82500,00819.814,00708.959
08/26/2017,19:58,001.83194,00819.771,00709.020
08/26/2017,20:08,001.83889,00824.655,00709.081
08/26/2017,20:18,001.84583,00821.890,00709.142
08/26/2017,20:28,001.85278,00825.676,00709.203
08/26/2017,20:38,001.85972,00821.890,00709.264
08/26/2017,20:48,001.86667,00822.847,00709.325
08/26/2017,20:58,001.87361,00822.847,00709.386
08/26/2017,21:08,001.88056,00824.780,00709.447
08/26/2017,21:18,001.88750,00824.780,00709.508
08/26/2017,21:28,001.89444,00708.163,00709.569
08/26/2017,21:38,001.90139,00704.900,00709.630
08/26/2017,21:48,001.90833,00690.374,00709.691
08/26/2017,21:58,001.91528,00680.996,00709.752
08/26/2017,22:08,001.92222,00680.300,00709.813
08/26/2017,22:18,001.92917,00679.498,00709.874
08/26/2017,22:28,001.93611,00679.427,00709.935
08/26/2017,22:38,001.94306,00676.794,00709.996
08/26/2017,22:48,001.95000,00670.689,00710.057
08/26/2017,22:58,001.95694,00670.689,00710.118
08/26/2017,23:08,001.96389,00670.689,00710.179
08/26/2017,23:18,001.97083,00669.168,00710.240
08/26/2017,23:28,001.97778,00669.168,00710.301
08/26/2017,23:38,001.98472,00666.218,00710.362
08/26/2017,23:48,001.99167,00665.130,00710.423
08/26/2017,23:58,001.99861,00661.633,00710.484
08/27/2017,00:08,002.00556,00661.633,00710.545
08/27/2017,00:18,002.01250,00655.957,00710.606
08/27/2017,00:28,002.01944,00655.957,00710.667
08/27/2017,00:38,002.02639,00654.484,00710.728
08/27/2017,00:48,002.03333,00654.177,00710.789
