LumiCycle: 20170825C3pCLIH1_2 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
08/26/2017,00:16,001.01111,00770.320,00630.062
08/26/2017,00:26,001.01806,00667.168,00630.223
08/26/2017,00:36,001.02500,00654.075,00630.384
08/26/2017,00:46,001.03194,00642.193,00630.545
08/26/2017,00:56,001.03889,00637.384,00630.707
08/26/2017,01:06,001.04583,00634.255,00630.868
08/26/2017,01:16,001.05278,00629.302,00631.029
08/26/2017,01:26,001.05972,00625.929,00631.190
08/26/2017,01:36,001.06667,00620.884,00631.352
08/26/2017,01:46,001.07361,00619.610,00631.513
08/26/2017,01:56,001.08056,00614.657,00631.674
08/26/2017,02:06,001.08750,00612.253,00631.835
08/26/2017,02:16,001.09444,00610.721,00631.996
08/26/2017,02:26,001.10139,00610.721,00632.158
08/26/2017,02:36,001.10833,00607.901,00632.319
08/26/2017,02:46,001.11528,00607.901,00632.480
08/26/2017,02:56,001.12222,00605.770,00632.641
08/26/2017,03:06,001.12917,00603.290,00632.803
08/26/2017,03:16,001.13611,00600.747,00632.964
08/26/2017,03:26,001.14306,00600.664,00633.125
08/26/2017,03:36,001.15000,00600.747,00633.286
08/26/2017,03:46,001.15694,00603.268,00633.448
08/26/2017,03:56,001.16389,00603.268,00633.609
08/26/2017,04:06,001.17083,00604.133,00633.770
08/26/2017,04:16,001.17778,00598.403,00633.931
08/26/2017,04:26,001.18472,00598.403,00634.093
08/26/2017,04:36,001.19167,00597.447,00634.254
08/26/2017,04:46,001.19861,00594.985,00634.415
08/26/2017,04:56,001.20556,00593.231,00634.576
08/26/2017,05:06,001.21250,00593.231,00634.738
08/26/2017,05:16,001.21944,00593.357,00634.899
08/26/2017,05:26,001.22639,00593.357,00635.060
08/26/2017,05:36,001.23333,00593.357,00635.221
08/26/2017,05:46,001.24028,00655.171,00635.383
08/26/2017,05:56,001.24722,00707.167,00635.544
08/26/2017,06:06,001.25417,00724.702,00635.705
08/26/2017,06:16,001.26111,00732.712,00635.866
08/26/2017,06:26,001.26806,00733.422,00636.027
08/26/2017,06:36,001.27500,00733.819,00636.189
08/26/2017,06:46,001.28194,00735.264,00636.350
08/26/2017,06:56,001.28889,00736.235,00636.511
08/26/2017,07:06,001.29583,00739.378,00636.672
08/26/2017,07:16,001.30278,00739.378,00636.834
08/26/2017,07:26,001.30972,00745.682,00636.995
08/26/2017,07:36,001.31667,00745.911,00637.156
08/26/2017,07:46,001.32361,00750.755,00637.317
08/26/2017,07:56,001.33056,00751.056,00637.479
08/26/2017,08:06,001.33750,00751.056,00637.640
08/26/2017,08:16,001.34444,00751.056,00637.801
08/26/2017,08:26,001.35139,00750.691,00637.962
08/26/2017,08:36,001.35833,00750.691,00638.124
08/26/2017,08:46,001.36528,00750.272,00638.285
08/26/2017,08:56,001.37222,00750.272,00638.446
08/26/2017,09:06,001.37917,00750.272,00638.607
08/26/2017,09:16,001.38611,00747.094,00638.768
08/26/2017,09:26,001.39306,00747.094,00638.930
08/26/2017,09:36,001.40000,00748.377,00639.091
08/26/2017,09:46,001.40694,00748.377,00639.252
08/26/2017,09:56,001.41389,00748.377,00639.413
08/26/2017,10:06,001.42083,00750.079,00639.575
08/26/2017,10:16,001.42778,00750.079,00639.736
08/26/2017,10:26,001.43472,00748.726,00639.897
08/26/2017,10:36,001.44167,00748.726,00640.058
08/26/2017,10:46,001.44861,00751.758,00640.220
08/26/2017,10:56,001.45556,00753.321,00640.381
08/26/2017,11:06,001.46250,00754.667,00640.542
08/26/2017,11:16,001.46944,00756.596,00640.703
08/26/2017,11:26,001.47639,00756.596,00640.865
08/26/2017,11:36,001.48333,00757.072,00641.026
08/26/2017,11:46,001.49028,00757.072,00641.187
08/26/2017,11:56,001.49722,00757.072,00641.348
08/26/2017,12:06,001.50417,00646.747,00641.510
08/26/2017,12:16,001.51111,00638.886,00641.671
08/26/2017,12:26,001.51806,00637.903,00641.832
08/26/2017,12:36,001.52500,00628.540,00641.993
08/26/2017,12:46,001.53194,00626.510,00642.155
08/26/2017,12:56,001.53889,00625.082,00642.316
08/26/2017,13:06,001.54583,00621.748,00642.477
08/26/2017,13:16,001.55278,00620.761,00642.638
08/26/2017,13:26,001.55972,00616.781,00642.799
08/26/2017,13:36,001.56667,00614.127,00642.961
08/26/2017,13:46,001.57361,00614.127,00643.122
08/26/2017,13:56,001.58056,00612.200,00643.283
08/26/2017,14:06,001.58750,00613.345,00643.444
08/26/2017,14:16,001.59444,00610.966,00643.606
08/26/2017,14:26,001.60139,00609.428,00643.767
08/26/2017,14:36,001.60833,00606.574,00643.928
08/26/2017,14:46,001.61528,00606.574,00644.089
08/26/2017,14:56,001.62222,00603.685,00644.251
08/26/2017,15:06,001.62917,00603.580,00644.412
08/26/2017,15:16,001.63611,00603.168,00644.573
08/26/2017,15:26,001.64306,00603.168,00644.734
08/26/2017,15:36,001.65000,00595.541,00644.896
08/26/2017,15:46,001.65694,00593.812,00645.057
08/26/2017,15:56,001.66389,00593.126,00645.218
08/26/2017,16:06,001.67083,00588.541,00645.379
08/26/2017,16:16,001.67778,00590.993,00645.541
08/26/2017,16:26,001.68472,00588.541,00645.702
08/26/2017,16:36,001.69167,00587.203,00645.863
08/26/2017,16:46,001.69861,00587.131,00646.024
08/26/2017,16:56,001.70556,00587.203,00646.185
08/26/2017,17:06,001.71250,00586.778,00646.347
08/26/2017,17:16,001.71944,00577.870,00646.508
08/26/2017,17:26,001.72639,00577.690,00646.669
08/26/2017,17:36,001.73333,00577.296,00646.830
08/26/2017,17:46,001.74028,00577.296,00646.992
08/26/2017,17:56,001.74722,00577.296,00647.153
08/26/2017,18:06,001.75417,00572.128,00647.314
08/26/2017,18:16,001.76111,00572.128,00647.475
08/26/2017,18:26,001.76806,00567.119,00647.637
08/26/2017,18:36,001.77500,00574.544,00647.798
08/26/2017,18:46,001.78194,00586.701,00647.959
08/26/2017,18:56,001.78889,00696.643,00648.120
08/26/2017,19:06,001.79583,00707.953,00648.282
08/26/2017,19:16,001.80278,00714.359,00648.443
08/26/2017,19:26,001.80972,00714.431,00648.604
08/26/2017,19:36,001.81667,00715.453,00648.765
08/26/2017,19:46,001.82361,00715.453,00648.927
08/26/2017,19:56,001.83056,00717.973,00649.088
08/26/2017,20:06,001.83750,00722.007,00649.249
08/26/2017,20:16,001.84444,00725.476,00649.410
08/26/2017,20:26,001.85139,00727.006,00649.571
08/26/2017,20:36,001.85833,00729.275,00649.733
08/26/2017,20:46,001.86528,00730.041,00649.894
08/26/2017,20:56,001.87222,00731.963,00650.055
08/26/2017,21:06,001.87917,00731.963,00650.216
08/26/2017,21:16,001.88611,00731.963,00650.378
08/26/2017,21:26,001.89306,00728.727,00650.539
08/26/2017,21:36,001.90000,00725.948,00650.700
08/26/2017,21:46,001.90694,00723.569,00650.861
08/26/2017,21:56,001.91389,00725.948,00651.023
08/26/2017,22:06,001.92083,00725.937,00651.184
08/26/2017,22:16,001.92778,00727.671,00651.345
08/26/2017,22:26,001.93472,00727.671,00651.506
08/26/2017,22:36,001.94167,00727.671,00651.668
08/26/2017,22:46,001.94861,00727.227,00651.829
08/26/2017,22:56,001.95556,00720.085,00651.990
08/26/2017,23:06,001.96250,00720.085,00652.151
08/26/2017,23:16,001.96944,00721.112,00652.313
08/26/2017,23:26,001.97639,00723.817,00652.474
08/26/2017,23:36,001.98333,00724.415,00652.635
08/26/2017,23:46,001.99028,00723.817,00652.796
08/26/2017,23:56,001.99722,00618.727,00652.958
08/27/2017,00:06,002.00417,00602.032,00653.119
08/27/2017,00:16,002.01111,00602.032,00653.280
08/27/2017,00:26,002.01806,00602.032,00653.441
08/27/2017,00:36,002.02500,00597.094,00653.602
08/27/2017,00:46,002.03194,00594.961,00653.764
08/27/2017,00:56,002.03889,00595.509,00653.925
08/27/2017,01:06,002.04583,00594.961,00654.086
08/27/2017,01:16,002.05278,00592.865,00654.247
08/27/2017,01:26,002.05972,00589.180,00654.409
08/27/2017,01:36,002.06667,00589.180,00654.570
08/27/2017,01:46,002.07361,00589.180,00654.731
08/27/2017,01:56,002.08056,00589.854,00654.892
08/27/2017,02:06,002.08750,00588.604,00655.054
08/27/2017,02:16,002.09444,00588.604,00655.215
08/27/2017,02:26,002.10139,00583.123,00655.376
08/27/2017,02:36,002.10833,00581.983,00655.537
08/27/2017,02:46,002.11528,00581.983,00655.699
08/27/2017,02:56,002.12222,00578.304,00655.860
08/27/2017,03:06,002.12917,00577.063,00656.021
08/27/2017,03:16,002.13611,00577.063,00656.182
08/27/2017,03:26,002.14306,00570.742,00656.344
08/27/2017,03:36,002.15000,00570.666,00656.505
08/27/2017,03:46,002.15694,00570.245,00656.666
08/27/2017,03:56,002.16389,00570.245,00656.827
08/27/2017,04:06,002.17083,00567.599,00656.988
08/27/2017,04:16,002.17778,00567.599,00657.150
08/27/2017,04:26,002.18472,00563.762,00657.311
08/27/2017,04:36,002.19167,00563.762,00657.472
08/27/2017,04:46,002.19861,00559.441,00657.633
08/27/2017,04:56,002.20556,00559.441,00657.795
08/27/2017,05:06,002.21250,00555.244,00657.956
08/27/2017,05:16,002.21944,00554.537,00658.117
08/27/2017,05:26,002.22639,00554.399,00658.278
08/27/2017,05:36,002.23333,00553.082,00658.440
08/27/2017,05:46,002.24028,00553.017,00658.601
08/27/2017,05:56,002.24722,00549.092,00658.762
08/27/2017,06:06,002.25417,00549.092,00658.923
08/27/2017,06:16,002.26111,00569.432,00659.085
08/27/2017,06:26,002.26806,00665.970,00659.246
08/27/2017,06:36,002.27500,00687.236,00659.407
08/27/2017,06:46,002.28194,00695.883,00659.568
08/27/2017,06:56,002.28889,00698.187,00659.730
08/27/2017,07:06,002.29583,00699.004,00659.891
08/27/2017,07:16,002.30278,00704.032,00660.052
08/27/2017,07:26,002.30972,00704.032,00660.213
08/27/2017,07:36,002.31667,00702.528,00660.375
08/27/2017,07:46,002.32361,00702.528,00660.536
08/27/2017,07:56,002.33056,00711.932,00660.697
08/27/2017,08:06,002.33750,00711.932,00660.858
08/27/2017,08:16,002.34444,00710.357,00661.019
08/27/2017,08:26,002.35139,00710.357,00661.181
08/27/2017,08:36,002.35833,00711.017,00661.342
08/27/2017,08:46,002.36528,00711.017,00661.503
08/27/2017,08:56,002.37222,00707.128,00661.664
08/27/2017,09:06,002.37917,00707.128,00661.826
08/27/2017,09:16,002.38611,00711.896,00661.987
08/27/2017,09:26,002.39306,00711.896,00662.148
08/27/2017,09:36,002.40000,00709.714,00662.309
08/27/2017,09:46,002.40694,00709.714,00662.471
08/27/2017,09:56,002.41389,00709.714,00662.632
08/27/2017,10:06,002.42083,00712.160,00662.793
08/27/2017,10:16,002.42778,00712.160,00662.954
08/27/2017,10:26,002.43472,00712.160,00663.116
08/27/2017,10:36,002.44167,00712.641,00663.277
08/27/2017,10:46,002.44861,00706.199,00663.438
08/27/2017,10:56,002.45556,00705.471,00663.599
08/27/2017,11:06,002.46250,00703.579,00663.760
08/27/2017,11:16,002.46944,00600.475,00663.922
