LumiCycle: 20170825C3pCLIH1_5 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
08/26/2017,00:15,001.01042,00989.154,00769.024
08/26/2017,00:25,001.01736,00982.177,00769.535
08/26/2017,00:35,001.02431,00982.177,00770.047
08/26/2017,00:45,001.03125,00981.841,00770.558
08/26/2017,00:55,001.03819,00853.934,00771.069
08/26/2017,01:05,001.04514,00841.250,00771.581
08/26/2017,01:15,001.05208,00826.380,00772.092
08/26/2017,01:25,001.05903,00814.041,00772.603
08/26/2017,01:35,001.06597,00810.065,00773.115
08/26/2017,01:45,001.07292,00806.953,00773.626
08/26/2017,01:55,001.07986,00806.784,00774.137
08/26/2017,02:05,001.08681,00801.626,00774.649
08/26/2017,02:15,001.09375,00795.953,00775.160
08/26/2017,02:25,001.10069,00794.675,00775.671
08/26/2017,02:35,001.10764,00791.358,00776.183
08/26/2017,02:45,001.11458,00791.358,00776.694
08/26/2017,02:55,001.12153,00788.762,00777.205
08/26/2017,03:05,001.12847,00792.512,00777.717
08/26/2017,03:15,001.13542,00792.512,00778.228
08/26/2017,03:25,001.14236,00792.512,00778.739
08/26/2017,03:35,001.14931,00787.071,00779.250
08/26/2017,03:45,001.15625,00785.955,00779.762
08/26/2017,03:55,001.16319,00785.955,00780.273
08/26/2017,04:05,001.17014,00785.399,00780.784
08/26/2017,04:15,001.17708,00783.323,00781.296
08/26/2017,04:25,001.18403,00783.323,00781.807
08/26/2017,04:35,001.19097,00782.106,00782.318
08/26/2017,04:45,001.19792,00782.106,00782.830
08/26/2017,04:55,001.20486,00779.941,00783.341
08/26/2017,05:05,001.21181,00779.448,00783.852
08/26/2017,05:15,001.21875,00778.366,00784.364
08/26/2017,05:25,001.22569,00778.366,00784.875
08/26/2017,05:35,001.23264,00904.732,00785.386
08/26/2017,05:45,001.23958,00941.118,00785.898
08/26/2017,05:55,001.24653,00959.707,00786.409
08/26/2017,06:05,001.25347,00959.829,00786.920
08/26/2017,06:15,001.26042,00967.802,00787.432
08/26/2017,06:25,001.26736,00968.877,00787.943
08/26/2017,06:35,001.27431,00971.551,00788.454
08/26/2017,06:45,001.28125,00979.225,00788.966
08/26/2017,06:55,001.28819,00982.518,00789.477
08/26/2017,07:05,001.29514,00995.951,00789.988
08/26/2017,07:15,001.30208,00997.981,00790.500
08/26/2017,07:25,001.30903,01000.472,00791.011
08/26/2017,07:35,001.31597,01006.056,00791.522
08/26/2017,07:45,001.32292,01001.717,00792.034
08/26/2017,07:55,001.32986,01007.288,00792.545
08/26/2017,08:05,001.33681,01005.119,00793.056
08/26/2017,08:15,001.34375,01005.633,00793.567
08/26/2017,08:25,001.35069,01005.633,00794.079
08/26/2017,08:35,001.35764,01005.633,00794.590
08/26/2017,08:45,001.36458,01003.837,00795.101
08/26/2017,08:55,001.37153,01003.837,00795.613
08/26/2017,09:05,001.37847,01004.553,00796.124
08/26/2017,09:15,001.38542,01005.111,00796.635
08/26/2017,09:25,001.39236,01009.278,00797.147
08/26/2017,09:35,001.39931,01009.419,00797.658
08/26/2017,09:45,001.40625,01009.419,00798.169
08/26/2017,09:55,001.41319,01010.936,00798.681
08/26/2017,10:05,001.42014,01010.936,00799.192
08/26/2017,10:15,001.42708,01011.481,00799.703
08/26/2017,10:25,001.43403,01011.481,00800.215
08/26/2017,10:35,001.44097,01013.443,00800.726
08/26/2017,10:45,001.44792,01011.124,00801.237
08/26/2017,10:55,001.45486,01013.428,00801.749
08/26/2017,11:05,001.46181,01010.451,00802.260
08/26/2017,11:15,001.46875,00867.437,00802.771
08/26/2017,11:25,001.47569,00853.463,00803.283
08/26/2017,11:35,001.48264,00841.635,00803.794
08/26/2017,11:45,001.48958,00838.115,00804.305
08/26/2017,11:55,001.49653,00832.014,00804.816
08/26/2017,12:05,001.50347,00825.989,00805.328
08/26/2017,12:15,001.51042,00825.925,00805.839
08/26/2017,12:25,001.51736,00824.258,00806.350
08/26/2017,12:35,001.52431,00822.415,00806.862
08/26/2017,12:45,001.53125,00816.594,00807.373
08/26/2017,12:55,001.53819,00814.979,00807.884
08/26/2017,13:05,001.54514,00810.827,00808.396
08/26/2017,13:15,001.55208,00810.125,00808.907
08/26/2017,13:25,001.55903,00809.122,00809.418
08/26/2017,13:35,001.56597,00804.007,00809.930
08/26/2017,13:45,001.57292,00804.007,00810.441
08/26/2017,13:55,001.57986,00804.007,00810.952
08/26/2017,14:05,001.58681,00797.115,00811.464
08/26/2017,14:15,001.59375,00797.115,00811.975
08/26/2017,14:25,001.60069,00796.986,00812.486
08/26/2017,14:35,001.60764,00789.198,00812.998
08/26/2017,14:45,001.61458,00787.644,00813.509
08/26/2017,14:55,001.62153,00787.622,00814.020
08/26/2017,15:05,001.62847,00786.953,00814.532
08/26/2017,15:15,001.63542,00778.374,00815.043
08/26/2017,15:25,001.64236,00782.659,00815.554
08/26/2017,15:35,001.64931,00778.374,00816.065
