LumiCycle: 20170908C3pCLIH1_2 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
09/09/2017,12:27,001.51875,01305.664,01506.557
09/09/2017,12:37,001.52569,01313.664,01506.285
09/09/2017,12:47,001.53264,01314.835,01506.013
09/09/2017,12:57,001.53958,01319.574,01505.741
09/09/2017,13:07,001.54653,01324.686,01505.470
09/09/2017,13:17,001.55347,01324.686,01505.198
09/09/2017,13:27,001.56042,01321.761,01504.926
09/09/2017,13:37,001.56736,01321.761,01504.654
09/09/2017,13:47,001.57431,01327.227,01504.382
09/09/2017,13:57,001.58125,01331.378,01504.111
09/09/2017,14:07,001.58819,01339.380,01503.839
09/09/2017,14:17,001.59514,01339.380,01503.567
09/09/2017,14:27,001.60208,01339.380,01503.295
09/09/2017,14:37,001.60903,01343.126,01503.023
09/09/2017,14:47,001.61597,01344.483,01502.752
09/09/2017,14:57,001.62292,01345.944,01502.480
09/09/2017,15:07,001.62986,01351.637,01502.208
09/09/2017,15:17,001.63681,01354.710,01501.936
09/09/2017,15:27,001.64375,01354.710,01501.664
09/09/2017,15:37,001.65069,01356.038,01501.393
09/09/2017,15:47,001.65764,01356.038,01501.121
09/09/2017,15:57,001.66458,01363.738,01500.849
09/09/2017,16:07,001.67153,01367.019,01500.577
09/09/2017,16:17,001.67847,01367.784,01500.305
09/09/2017,16:27,001.68542,01377.964,01500.034
09/09/2017,16:37,001.69236,01382.909,01499.762
09/09/2017,16:47,001.69931,01386.904,01499.490
09/09/2017,16:57,001.70625,01382.909,01499.218
09/09/2017,17:07,001.71319,01382.055,01498.946
09/09/2017,17:17,001.72014,01382.055,01498.675
09/09/2017,17:27,001.72708,01395.121,01498.403
09/09/2017,17:37,001.73403,01395.209,01498.131
09/09/2017,17:47,001.74097,01398.837,01497.859
09/09/2017,17:57,001.74792,01404.102,01497.588
09/09/2017,18:07,001.75486,01405.325,01497.316
09/09/2017,18:17,001.76181,01408.044,01497.044
09/09/2017,18:27,001.76875,01415.729,01496.772
09/09/2017,18:37,001.77569,01417.182,01496.500
09/09/2017,18:47,001.78264,01419.345,01496.229
09/09/2017,18:57,001.78958,01420.110,01495.957
09/09/2017,19:07,001.79653,01430.665,01495.685
09/09/2017,19:17,001.80347,01434.761,01495.413
09/09/2017,19:27,001.81042,01434.761,01495.141
09/09/2017,19:37,001.81736,01212.027,01494.870
09/09/2017,19:47,001.82431,01135.483,01494.598
09/09/2017,19:57,001.83125,01122.666,01494.326
09/09/2017,20:07,001.83819,01114.370,01494.054
09/09/2017,20:17,001.84514,01109.635,01493.782
09/09/2017,20:27,001.85208,01098.519,01493.510
09/09/2017,20:37,001.85903,01094.995,01493.239
09/09/2017,20:47,001.86597,01087.342,01492.967
09/09/2017,20:57,001.87292,01087.342,01492.695
09/09/2017,21:07,001.87986,01083.534,01492.423
09/09/2017,21:17,001.88681,01077.552,01492.151
09/09/2017,21:27,001.89375,01075.735,01491.880
09/09/2017,21:37,001.90069,01075.735,01491.608
09/09/2017,21:47,001.90764,01073.012,01491.336
09/09/2017,21:57,001.91458,01069.505,01491.064
09/09/2017,22:07,001.92153,01069.505,01490.793
09/09/2017,22:17,001.92847,01069.505,01490.521
09/09/2017,22:27,001.93542,01061.416,01490.249
09/09/2017,22:37,001.94236,01060.895,01489.977
09/09/2017,22:47,001.94931,01061.416,01489.705
09/09/2017,22:57,001.95625,01060.895,01489.434
09/09/2017,23:07,001.96319,01064.402,01489.162
09/09/2017,23:17,001.97014,01353.382,01488.890
09/09/2017,23:27,001.97708,01413.579,01488.618
09/09/2017,23:37,001.98403,01426.690,01488.346
09/09/2017,23:47,001.99097,01441.439,01488.075
09/09/2017,23:57,001.99792,01446.509,01487.803
09/10/2017,00:07,002.00486,01454.810,01487.531
09/10/2017,00:17,002.01181,01462.432,01487.259
09/10/2017,00:27,002.01875,01475.746,01486.987
09/10/2017,00:37,002.02569,01481.364,01486.716
09/10/2017,00:47,002.03264,01489.328,01486.444
09/10/2017,00:57,002.03958,01498.525,01486.172
09/10/2017,01:07,002.04653,01499.113,01485.900
09/10/2017,01:17,002.05347,01500.222,01485.628
09/10/2017,01:27,002.06042,01502.926,01485.357
09/10/2017,01:37,002.06736,01502.926,01485.085
09/10/2017,01:47,002.07431,01502.109,01484.813
09/10/2017,01:57,002.08125,01502.109,01484.541
09/10/2017,02:07,002.08819,01503.780,01484.269
09/10/2017,02:17,002.09514,01503.780,01483.998
09/10/2017,02:27,002.10208,01494.177,01483.726
09/10/2017,02:37,002.10903,01494.177,01483.454
09/10/2017,02:47,002.11597,01494.857,01483.182
09/10/2017,02:57,002.12292,01498.039,01482.910
09/10/2017,03:07,002.12986,01498.039,01482.639
09/10/2017,03:17,002.13681,01502.040,01482.367
09/10/2017,03:27,002.14375,01502.040,01482.095
09/10/2017,03:37,002.15069,01505.952,01481.823
09/10/2017,03:47,002.15764,01508.318,01481.552
09/10/2017,03:57,002.16458,01510.215,01481.280
09/10/2017,04:07,002.17153,01510.215,01481.008
09/10/2017,04:17,002.17847,01508.576,01480.736
09/10/2017,04:27,002.18542,01508.576,01480.464
09/10/2017,04:37,002.19236,01510.487,01480.193
09/10/2017,04:47,002.19931,01510.487,01479.921
09/10/2017,04:57,002.20625,01510.487,01479.649
09/10/2017,05:07,002.21319,01511.033,01479.377
09/10/2017,05:17,002.22014,01512.844,01479.105
09/10/2017,05:27,002.22708,01514.440,01478.833
09/10/2017,05:37,002.23403,01521.700,01478.562
09/10/2017,05:47,002.24097,01516.011,01478.290
09/10/2017,05:57,002.24792,01520.758,01478.018
09/10/2017,06:07,002.25486,01520.758,01477.746
09/10/2017,06:17,002.26181,01527.018,01477.474
09/10/2017,06:27,002.26875,01527.018,01477.203
09/10/2017,06:37,002.27569,01262.040,01476.931
09/10/2017,06:47,002.28264,01193.084,01476.659
09/10/2017,06:57,002.28958,01173.202,01476.387
09/10/2017,07:07,002.29653,01166.671,01476.116
09/10/2017,07:17,002.30347,01161.230,01475.844
09/10/2017,07:27,002.31042,01158.507,01475.572
09/10/2017,07:37,002.31736,01152.142,01475.300
09/10/2017,07:47,002.32431,01145.463,01475.028
09/10/2017,07:57,002.33125,01137.362,01474.757
09/10/2017,08:07,002.33819,01136.584,01474.485
09/10/2017,08:17,002.34514,01130.147,01474.213
09/10/2017,08:27,002.35208,01128.840,01473.941
09/10/2017,08:37,002.35903,01128.840,01473.669
09/10/2017,08:47,002.36597,01127.082,01473.398
09/10/2017,08:57,002.37292,01122.149,01473.126
09/10/2017,09:07,002.37986,01121.868,01472.854
09/10/2017,09:17,002.38681,01116.897,01472.582
09/10/2017,09:27,002.39375,01118.186,01472.310
09/10/2017,09:37,002.40069,01117.618,01472.039
09/10/2017,09:47,002.40764,01118.186,01471.767
09/10/2017,09:57,002.41458,01293.951,01471.495
09/10/2017,10:07,002.42153,01343.733,01471.223
09/10/2017,10:17,002.42847,01424.984,01470.951
09/10/2017,10:27,002.43542,01497.945,01470.680
09/10/2017,10:37,002.44236,01531.702,01470.408
09/10/2017,10:47,002.44931,01543.587,01470.136
09/10/2017,10:57,002.45625,01557.359,01469.864
09/10/2017,11:07,002.46319,01575.793,01469.592
09/10/2017,11:17,002.47014,01577.421,01469.321
09/10/2017,11:27,002.47708,01586.151,01469.049
09/10/2017,11:37,002.48403,01600.086,01468.777
09/10/2017,11:47,002.49097,01605.984,01468.505
09/10/2017,11:57,002.49792,01605.984,01468.233
09/10/2017,12:07,002.50486,01604.693,01467.962
09/10/2017,12:17,002.51181,01602.783,01467.690
09/10/2017,12:27,002.51875,01604.693,01467.418
09/10/2017,12:37,002.52569,01602.783,01467.146
09/10/2017,12:47,002.53264,01604.504,01466.875
09/10/2017,12:57,002.53958,01597.052,01466.603
09/10/2017,13:07,002.54653,01593.863,01466.331
09/10/2017,13:17,002.55347,01593.863,01466.059
09/10/2017,13:27,002.56042,01596.563,01465.787
09/10/2017,13:37,002.56736,01596.563,01465.516
09/10/2017,13:47,002.57431,01596.563,01465.244
09/10/2017,13:57,002.58125,01598.844,01464.972
09/10/2017,14:07,002.58819,01598.844,01464.700
09/10/2017,14:17,002.59514,01597.082,01464.428
09/10/2017,14:27,002.60208,01596.590,01464.156
09/10/2017,14:37,002.60903,01584.211,01463.885
09/10/2017,14:47,002.61597,01584.211,01463.613
09/10/2017,14:57,002.62292,01588.785,01463.341
09/10/2017,15:07,002.62986,01589.049,01463.069
09/10/2017,15:17,002.63681,01589.049,01462.797
09/10/2017,15:27,002.64375,01586.839,01462.526
09/10/2017,15:37,002.65069,01585.501,01462.254
09/10/2017,15:47,002.65764,01586.839,01461.982
09/10/2017,15:57,002.66458,01595.438,01461.710
09/10/2017,16:07,002.67153,01595.438,01461.438
09/10/2017,16:17,002.67847,01387.156,01461.167
09/10/2017,16:27,002.68542,01243.850,01460.895
09/10/2017,16:37,002.69236,01214.450,01460.623
09/10/2017,16:47,002.69931,01190.448,01460.351
09/10/2017,16:57,002.70625,01180.524,01460.080
09/10/2017,17:07,002.71319,01179.973,01459.808
09/10/2017,17:17,002.72014,01177.258,01459.536
09/10/2017,17:27,002.72708,01172.357,01459.264
09/10/2017,17:37,002.73403,01169.096,01458.992
09/10/2017,17:47,002.74097,01160.999,01458.721
09/10/2017,17:57,002.74792,01160.513,01458.449
09/10/2017,18:07,002.75486,01157.840,01458.177
09/10/2017,18:17,002.76181,01151.273,01457.905
09/10/2017,18:27,002.76875,01144.819,01457.633
09/10/2017,18:37,002.77569,01144.819,01457.362
09/10/2017,18:47,002.78264,01158.712,01457.090
09/10/2017,18:57,002.78958,01158.712,01456.818
09/10/2017,19:07,002.79653,01272.921,01456.546
09/10/2017,19:17,002.80347,01282.970,01456.274
09/10/2017,19:27,002.81042,01283.547,01456.003
09/10/2017,19:37,002.81736,01407.156,01455.731
09/10/2017,19:47,002.82431,01507.887,01455.459
09/10/2017,19:57,002.83125,01571.234,01455.187
09/10/2017,20:07,002.83819,01578.975,01454.915
09/10/2017,20:17,002.84514,01609.125,01454.644
09/10/2017,20:27,002.85208,01616.462,01454.372
09/10/2017,20:37,002.85903,01636.966,01454.100
09/10/2017,20:47,002.86597,01639.054,01453.828
09/10/2017,20:57,002.87292,01654.368,01453.556
09/10/2017,21:07,002.87986,01659.051,01453.285
09/10/2017,21:17,002.88681,01660.338,01453.013
09/10/2017,21:27,002.89375,01663.578,01452.741
09/10/2017,21:37,002.90069,01663.578,01452.469
09/10/2017,21:47,002.90764,01658.678,01452.197
09/10/2017,21:57,002.91458,01658.678,01451.926
09/10/2017,22:07,002.92153,01655.362,01451.654
09/10/2017,22:17,002.92847,01654.335,01451.382
09/10/2017,22:27,002.93542,01650.091,01451.110
09/10/2017,22:37,002.94236,01650.091,01450.839
09/10/2017,22:47,002.94931,01650.205,01450.567
09/10/2017,22:57,002.95625,01655.557,01450.295
09/10/2017,23:07,002.96319,01655.557,01450.023
09/10/2017,23:17,002.97014,01652.587,01449.751
09/10/2017,23:27,002.97708,01652.587,01449.479
09/10/2017,23:37,002.98403,01652.587,01449.208
09/10/2017,23:47,002.99097,01652.644,01448.936
09/10/2017,23:57,002.99792,01647.877,01448.664
09/11/2017,00:07,003.00486,01648.629,01448.392
09/11/2017,00:17,003.01181,01648.629,01448.120
09/11/2017,00:27,003.01875,01649.330,01447.849
09/11/2017,00:37,003.02569,01649.330,01447.577
09/11/2017,00:47,003.03264,01649.330,01447.305
09/11/2017,00:57,003.03958,01645.032,01447.033
09/11/2017,01:07,003.04653,01332.250,01446.761
09/11/2017,01:17,003.05347,01265.025,01446.490
09/11/2017,01:27,003.06042,01239.599,01446.218
09/11/2017,01:37,003.06736,01222.131,01445.946
09/11/2017,01:47,003.07431,01221.762,01445.674
09/11/2017,01:57,003.08125,01216.750,01445.403
09/11/2017,02:07,003.08819,01199.199,01445.131
09/11/2017,02:17,003.09514,01192.693,01444.859
09/11/2017,02:27,003.10208,01188.143,01444.587
09/11/2017,02:37,003.10903,01188.143,01444.315
09/11/2017,02:47,003.11597,01188.143,01444.044
09/11/2017,02:57,003.12292,01186.609,01443.772
09/11/2017,03:07,003.12986,01173.548,01443.500
09/11/2017,03:17,003.13681,01171.473,01443.228
09/11/2017,03:27,003.14375,01166.645,01442.956
09/11/2017,03:37,003.15069,01165.186,01442.685
09/11/2017,03:47,003.15764,01165.186,01442.413
09/11/2017,03:57,003.16458,01221.669,01442.141
09/11/2017,04:07,003.17153,01273.248,01441.869
09/11/2017,04:17,003.17847,01384.725,01441.597
09/11/2017,04:27,003.18542,01477.541,01441.326
09/11/2017,04:37,003.19236,01565.629,01441.054
09/11/2017,04:47,003.19931,01593.238,01440.782
09/11/2017,04:57,003.20625,01619.736,01440.510
09/11/2017,05:07,003.21319,01636.496,01440.238
09/11/2017,05:17,003.22014,01642.953,01439.967
