LumiCycle: 20170908C3pCLIH1_6 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
09/09/2017,12:28,001.51944,01168.277,01142.213
09/09/2017,12:38,001.52639,01165.609,01142.211
09/09/2017,12:48,001.53333,01170.764,01142.209
09/09/2017,12:58,001.54028,01165.337,01142.207
09/09/2017,13:08,001.54722,01165.337,01142.205
09/09/2017,13:18,001.55417,01165.086,01142.203
09/09/2017,13:28,001.56111,01164.518,01142.202
09/09/2017,13:38,001.56806,01165.086,01142.200
09/09/2017,13:48,001.57500,01166.784,01142.198
09/09/2017,13:58,001.58194,01167.182,01142.196
09/09/2017,14:08,001.58889,01168.269,01142.194
09/09/2017,14:18,001.59583,01167.182,01142.192
09/09/2017,14:28,001.60278,01168.269,01142.190
09/09/2017,14:38,001.60972,01169.793,01142.188
09/09/2017,14:48,001.61667,01169.793,01142.186
09/09/2017,14:58,001.62361,01173.092,01142.184
09/09/2017,15:08,001.63056,01174.141,01142.182
09/09/2017,15:18,001.63750,01177.943,01142.180
09/09/2017,15:28,001.64444,01180.312,01142.178
09/09/2017,15:38,001.65139,01180.312,01142.176
09/09/2017,15:48,001.65833,00937.053,01142.174
09/09/2017,15:58,001.66528,00914.849,01142.172
09/09/2017,16:08,001.67222,00907.429,01142.171
09/09/2017,16:18,001.67917,00904.577,01142.169
09/09/2017,16:28,001.68611,00897.008,01142.167
09/09/2017,16:38,001.69306,00895.638,01142.165
09/09/2017,16:48,001.70000,00891.614,01142.163
09/09/2017,16:58,001.70694,00887.670,01142.161
09/09/2017,17:08,001.71389,00885.109,01142.159
09/09/2017,17:18,001.72083,00877.127,01142.157
09/09/2017,17:28,001.72778,00877.127,01142.155
09/09/2017,17:38,001.73472,00876.698,01142.153
09/09/2017,17:48,001.74167,00876.698,01142.151
09/09/2017,17:58,001.74861,00868.976,01142.149
09/09/2017,18:08,001.75556,00868.976,01142.147
09/09/2017,18:18,001.76250,00869.795,01142.146
09/09/2017,18:28,001.76944,00869.795,01142.144
09/09/2017,18:38,001.77639,00862.915,01142.142
09/09/2017,18:48,001.78333,00861.166,01142.140
09/09/2017,18:58,001.79028,00861.710,01142.138
09/09/2017,19:08,001.79722,00861.710,01142.136
09/09/2017,19:18,001.80417,01063.914,01142.134
09/09/2017,19:28,001.81111,01126.025,01142.132
09/09/2017,19:38,001.81806,01154.972,01142.130
