LumiCycle: 20170914C3pCLIH1_13 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
09/17/2017,07:21,003.30625,00665.382,00366.704
09/17/2017,07:31,003.31319,00664.880,00368.777
09/17/2017,07:41,003.32014,00661.186,00370.850
09/17/2017,07:51,003.32708,00661.186,00372.923
09/17/2017,08:01,003.33403,00665.019,00374.996
09/17/2017,08:11,003.34097,00665.019,00377.069
09/17/2017,08:21,003.34792,00534.029,00379.142
09/17/2017,08:31,003.35486,00508.457,00381.215
09/17/2017,08:41,003.36181,00495.743,00383.288
09/17/2017,08:51,003.36875,00494.858,00385.361
09/17/2017,09:01,003.37569,00494.858,00387.434
09/17/2017,09:11,003.38264,00490.135,00389.507
09/17/2017,09:21,003.38958,00485.877,00391.580
09/17/2017,09:31,003.39653,00485.877,00393.653
09/17/2017,09:41,003.40347,00485.877,00395.726
09/17/2017,09:51,003.41042,00482.956,00397.799
09/17/2017,10:01,003.41736,00482.956,00399.872
09/17/2017,10:11,003.42431,00479.582,00401.945
09/17/2017,10:21,003.43125,00478.963,00404.018
09/17/2017,10:31,003.43819,00474.361,00406.091
09/17/2017,10:41,003.44514,00478.963,00408.164
09/17/2017,10:51,003.45208,00474.364,00410.237
09/17/2017,11:01,003.45903,00474.364,00412.311
09/17/2017,11:11,003.46597,00474.364,00414.384
09/17/2017,11:21,003.47292,00470.593,00416.457
09/17/2017,11:31,003.47986,00474.168,00418.530
09/17/2017,11:41,003.48681,00473.360,00420.603
09/17/2017,11:51,003.49375,00474.168,00422.676
09/17/2017,12:01,003.50069,00475.334,00424.749
09/17/2017,12:11,003.50764,00496.053,00426.822
09/17/2017,12:21,003.51458,00550.349,00428.895
09/17/2017,12:31,003.52153,00618.894,00430.968
09/17/2017,12:41,003.52847,00649.595,00433.041
09/17/2017,12:51,003.53542,00653.974,00435.114
09/17/2017,13:01,003.54236,00656.001,00437.187
09/17/2017,13:11,003.54931,00665.200,00439.260
09/17/2017,13:21,003.55625,00665.713,00441.333
09/17/2017,13:31,003.56319,00674.166,00443.406
09/17/2017,13:41,003.57014,00676.957,00445.479
09/17/2017,13:51,003.57708,00679.331,00447.552
09/17/2017,14:01,003.58403,00687.532,00449.625
09/17/2017,14:11,003.59097,00688.724,00451.698
09/17/2017,14:21,003.59792,00688.724,00453.771
09/17/2017,14:31,003.60486,00692.127,00455.844
09/17/2017,14:41,003.61181,00693.304,00457.917
09/17/2017,14:51,003.61875,00695.132,00459.990
09/17/2017,15:01,003.62569,00695.132,00462.064
09/17/2017,15:11,003.63264,00695.653,00464.137
09/17/2017,15:21,003.63958,00695.440,00466.210
09/17/2017,15:31,003.64653,00695.440,00468.283
09/17/2017,15:41,003.65347,00690.077,00470.356
09/17/2017,15:51,003.66042,00609.763,00472.429
09/17/2017,16:01,003.66736,00537.158,00474.502
09/17/2017,16:11,003.67431,00518.972,00476.575
09/17/2017,16:21,003.68125,00517.579,00478.648
09/17/2017,16:31,003.68819,00517.579,00480.721
09/17/2017,16:41,003.69514,00509.252,00482.794
09/17/2017,16:51,003.70208,00508.514,00484.867
09/17/2017,17:01,003.70903,00504.750,00486.940
09/17/2017,17:11,003.71597,00501.366,00489.013
09/17/2017,17:21,003.72292,00499.590,00491.086
09/17/2017,17:31,003.72986,00499.001,00493.159
09/17/2017,17:41,003.73681,00498.656,00495.232
09/17/2017,17:51,003.74375,00497.327,00497.305
09/17/2017,18:01,003.75069,00495.394,00499.378
09/17/2017,18:11,003.75764,00493.223,00501.451
09/17/2017,18:21,003.76458,00492.418,00503.524
09/17/2017,18:31,003.77153,00491.051,00505.597
09/17/2017,18:41,003.77847,00489.005,00507.670
09/17/2017,18:51,003.78542,00486.601,00509.743
09/17/2017,19:01,003.79236,00485.391,00511.817
09/17/2017,19:11,003.79931,00480.474,00513.890
09/17/2017,19:21,003.80625,00478.841,00515.963
09/17/2017,19:31,003.81319,00478.841,00518.036
09/17/2017,19:41,003.82014,00540.669,00520.109
09/17/2017,19:51,003.82708,00542.828,00522.182
09/17/2017,20:01,003.83403,00639.563,00524.255
09/17/2017,20:11,003.84097,00658.523,00526.328
09/17/2017,20:21,003.84792,00668.463,00528.401
09/17/2017,20:31,003.85486,00673.276,00530.474
09/17/2017,20:41,003.86181,00678.796,00532.547
09/17/2017,20:51,003.86875,00682.112,00534.620
09/17/2017,21:01,003.87569,00687.902,00536.693
09/17/2017,21:11,003.88264,00691.852,00538.766
09/17/2017,21:21,003.88958,00692.330,00540.839
09/17/2017,21:31,003.89653,00700.484,00542.912
09/17/2017,21:41,003.90347,00704.531,00544.985
09/17/2017,21:51,003.91042,00704.577,00547.058
09/17/2017,22:01,003.91736,00704.577,00549.131
09/17/2017,22:11,003.92431,00708.062,00551.204
09/17/2017,22:21,003.93125,00708.062,00553.277
09/17/2017,22:31,003.93819,00709.183,00555.350
09/17/2017,22:41,003.94514,00704.420,00557.423
09/17/2017,22:51,003.95208,00704.203,00559.497
09/17/2017,23:01,003.95903,00703.852,00561.570
09/17/2017,23:11,003.96597,00573.120,00563.643
09/17/2017,23:21,003.97292,00545.236,00565.716
09/17/2017,23:31,003.97986,00530.137,00567.789
09/17/2017,23:41,003.98681,00527.428,00569.862
09/17/2017,23:51,003.99375,00522.128,00571.935
09/18/2017,00:01,004.00069,00520.647,00574.008
09/18/2017,00:11,004.00764,00520.392,00576.081
09/18/2017,00:21,004.01458,00516.475,00578.154
09/18/2017,00:31,004.02153,00508.968,00580.227
09/18/2017,00:41,004.02847,00508.770,00582.300
09/18/2017,00:51,004.03542,00508.968,00584.373
09/18/2017,01:01,004.04236,00508.770,00586.446
09/18/2017,01:11,004.04931,00506.249,00588.519
09/18/2017,01:21,004.05625,00505.964,00590.592
09/18/2017,01:31,004.06319,00503.271,00592.665
09/18/2017,01:41,004.07014,00501.164,00594.738
09/18/2017,01:51,004.07708,00500.704,00596.811
09/18/2017,02:01,004.08403,00498.203,00598.884
09/18/2017,02:11,004.09097,00500.704,00600.957
09/18/2017,02:21,004.09792,00498.117,00603.030
09/18/2017,02:31,004.10486,00496.839,00605.103
09/18/2017,02:41,004.11181,00496.839,00607.176
09/18/2017,02:51,004.11875,00518.873,00609.250
09/18/2017,03:01,004.12569,00518.873,00611.323
09/18/2017,03:11,004.13264,00518.873,00613.396
09/18/2017,03:21,004.13958,00640.988,00615.469
09/18/2017,03:31,004.14653,00674.546,00617.542
09/18/2017,03:41,004.15347,00678.055,00619.615
09/18/2017,03:51,004.16042,00687.910,00621.688
09/18/2017,04:01,004.16736,00695.044,00623.761
09/18/2017,04:11,004.17431,00699.092,00625.834
09/18/2017,04:21,004.18125,00707.449,00627.907
09/18/2017,04:31,004.18819,00709.865,00629.980
09/18/2017,04:41,004.19514,00713.592,00632.053
09/18/2017,04:51,004.20208,00716.401,00634.126
09/18/2017,05:01,004.20903,00718.398,00636.199
09/18/2017,05:11,004.21597,00723.303,00638.272
09/18/2017,05:21,004.22292,00725.683,00640.345
09/18/2017,05:31,004.22986,00725.683,00642.418
09/18/2017,05:41,004.23681,00726.358,00644.491
09/18/2017,05:51,004.24375,00726.587,00646.564
09/18/2017,06:01,004.25069,00727.078,00648.637
09/18/2017,06:11,004.25764,00726.773,00650.710
09/18/2017,06:21,004.26458,00726.773,00652.783
09/18/2017,06:31,004.27153,00626.017,00654.856
09/18/2017,06:41,004.27847,00567.891,00656.929
09/18/2017,06:51,004.28542,00553.947,00659.003
09/18/2017,07:01,004.29236,00551.843,00661.076
09/18/2017,07:11,004.29931,00548.181,00663.149
09/18/2017,07:21,004.30625,00545.366,00665.222
09/18/2017,07:31,004.31319,00541.388,00667.295
09/18/2017,07:41,004.32014,00540.873,00669.368
09/18/2017,07:51,004.32708,00536.315,00671.441
09/18/2017,08:01,004.33403,00536.315,00673.514
09/18/2017,08:11,004.34097,00535.956,00675.587
09/18/2017,08:21,004.34792,00535.250,00677.660
09/18/2017,08:31,004.35486,00531.588,00679.733
09/18/2017,08:41,004.36181,00527.275,00681.806
09/18/2017,08:51,004.36875,00527.275,00683.879
09/18/2017,09:01,004.37569,00527.275,00685.952
09/18/2017,09:11,004.38264,00533.028,00688.025
09/18/2017,09:21,004.38958,00525.780,00690.098
09/18/2017,09:31,004.39653,00527.944,00692.171
09/18/2017,09:41,004.40347,00526.589,00694.244
09/18/2017,09:51,004.41042,00526.589,00696.317
09/18/2017,10:01,004.41736,00523.393,00698.390
09/18/2017,10:11,004.42431,00523.393,00700.463
09/18/2017,10:21,004.43125,00580.469,00702.536
09/18/2017,10:31,004.43819,00606.542,00704.609
09/18/2017,10:41,004.44514,00653.209,00706.682
09/18/2017,10:51,004.45208,00693.090,00708.755
09/18/2017,11:01,004.45903,00706.985,00710.829
09/18/2017,11:11,004.46597,00719.772,00712.902
09/18/2017,11:21,004.47292,00721.880,00714.975
09/18/2017,11:31,004.47986,00728.328,00717.048
09/18/2017,11:41,004.48681,00734.912,00719.121
09/18/2017,11:51,004.49375,00738.888,00721.194
09/18/2017,12:01,004.50069,00741.237,00723.267
09/18/2017,12:11,004.50764,00750.388,00725.340
09/18/2017,12:21,004.51458,00752.479,00727.413
09/18/2017,12:31,004.52153,00750.388,00729.486
09/18/2017,12:51,004.53542,00748.452,00733.632
09/18/2017,13:01,004.54236,00741.826,00735.705
09/18/2017,13:11,004.54931,00737.696,00737.778
09/18/2017,13:21,004.55625,00735.586,00739.851
09/18/2017,13:31,004.56319,00731.464,00741.924
09/18/2017,13:41,004.57014,00672.926,00743.997
09/18/2017,13:51,004.57708,00589.820,00746.070
09/18/2017,14:01,004.58403,00589.820,00748.143
09/18/2017,14:11,004.59097,00589.820,00750.216
09/18/2017,14:21,004.59792,00575.862,00752.289
09/18/2017,14:31,004.60486,00575.862,00754.362
09/18/2017,14:41,004.61181,00570.532,00756.435
09/18/2017,14:51,004.61875,00579.591,00758.509
09/18/2017,15:01,004.62569,00557.056,00760.582
09/18/2017,15:11,004.63264,00562.413,00762.655
09/18/2017,15:21,004.63958,00557.056,00764.728
09/18/2017,15:31,004.64653,00553.293,00766.801
09/18/2017,15:41,004.65347,00553.293,00768.874
09/18/2017,15:51,004.66042,00554.331,00770.947
09/18/2017,16:01,004.66736,00554.331,00773.020
09/18/2017,16:11,004.67431,00554.331,00775.093
09/18/2017,16:21,004.68125,00550.748,00777.166
09/18/2017,16:31,004.68819,00568.487,00779.239
09/18/2017,16:41,004.69514,00575.494,00781.312
09/18/2017,16:51,004.70208,00583.376,00783.385
09/18/2017,17:01,004.70903,00595.460,00785.458
09/18/2017,17:11,004.71597,00603.687,00787.531
