LumiCycle: 20170914C3pCLIH1_1 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
09/17/2017,07:27,003.31042,00562.233,00129.705
09/17/2017,07:37,003.31736,00558.755,00133.882
09/17/2017,07:47,003.32431,00555.953,00138.058
09/17/2017,07:57,003.33125,00552.359,00142.235
09/17/2017,08:07,003.33819,00551.992,00146.411
09/17/2017,08:17,003.34514,00551.992,00150.588
09/17/2017,08:27,003.35208,00553.448,00154.765
09/17/2017,08:37,003.35903,00553.448,00158.941
09/17/2017,08:47,003.36597,00553.973,00163.118
09/17/2017,08:57,003.37292,00551.802,00167.294
09/17/2017,09:07,003.37986,00551.802,00171.471
09/17/2017,09:17,003.38681,00549.718,00175.647
09/17/2017,09:27,003.39375,00549.718,00179.824
09/17/2017,09:37,003.40069,00549.250,00184.001
09/17/2017,09:47,003.40764,00596.352,00188.177
09/17/2017,09:57,003.41458,00596.352,00192.354
09/17/2017,10:07,003.42153,00721.241,00196.530
09/17/2017,10:17,003.42847,00745.944,00200.707
09/17/2017,10:27,003.43542,00762.367,00204.883
09/17/2017,10:37,003.44236,00763.680,00209.060
09/17/2017,10:47,003.44931,00775.249,00213.237
09/17/2017,10:57,003.45625,00777.093,00217.413
09/17/2017,11:07,003.46319,00784.441,00221.590
09/17/2017,11:17,003.47014,00794.322,00225.766
09/17/2017,11:27,003.47708,00799.081,00229.943
09/17/2017,11:37,003.48403,00801.856,00234.119
09/17/2017,11:47,003.49097,00803.505,00238.296
09/17/2017,11:57,003.49792,00806.409,00242.473
09/17/2017,12:07,003.50486,00803.505,00246.649
09/17/2017,12:17,003.51181,00800.037,00250.826
09/17/2017,12:27,003.51875,00799.703,00255.002
09/17/2017,12:37,003.52569,00799.430,00259.179
09/17/2017,12:47,003.53264,00799.703,00263.355
09/17/2017,12:57,003.53958,00803.365,00267.532
09/17/2017,13:07,003.54653,00803.365,00271.709
09/17/2017,13:17,003.55347,00803.365,00275.885
09/17/2017,13:27,003.56042,00801.937,00280.062
09/17/2017,13:37,003.56736,00677.019,00284.238
09/17/2017,13:47,003.57431,00621.378,00288.415
09/17/2017,13:57,003.58125,00601.357,00292.591
09/17/2017,14:07,003.58819,00595.267,00296.768
09/17/2017,14:17,003.59514,00593.325,00300.945
09/17/2017,14:27,003.60208,00587.507,00305.121
09/17/2017,14:37,003.60903,00581.664,00309.298
09/17/2017,14:47,003.61597,00580.691,00313.474
09/17/2017,14:57,003.62292,00577.551,00317.651
09/17/2017,15:07,003.62986,00577.551,00321.827
09/17/2017,15:17,003.63681,00570.219,00326.004
09/17/2017,15:27,003.64375,00568.229,00330.181
09/17/2017,15:37,003.65069,00564.855,00334.357
09/17/2017,15:47,003.65764,00564.855,00338.534
09/17/2017,15:57,003.66458,00558.122,00342.710
09/17/2017,16:07,003.67153,00557.824,00346.887
09/17/2017,16:17,003.67847,00555.659,00351.063
09/17/2017,16:27,003.68542,00555.659,00355.240
09/17/2017,16:37,003.69236,00553.401,00359.417
09/17/2017,16:47,003.69931,00554.802,00363.593
09/17/2017,16:57,003.70625,00548.603,00367.770
09/17/2017,17:07,003.71319,00554.802,00371.946
09/17/2017,17:17,003.72014,00553.063,00376.123
09/17/2017,17:27,003.72708,00559.752,00380.299
09/17/2017,17:37,003.73403,00701.980,00384.476
09/17/2017,17:47,003.74097,00738.916,00388.653
09/17/2017,17:57,003.74792,00758.161,00392.829
09/17/2017,18:07,003.75486,00758.193,00397.006
09/17/2017,18:17,003.76181,00766.474,00401.182
09/17/2017,18:27,003.76875,00775.551,00405.359
09/17/2017,18:37,003.77569,00778.701,00409.535
09/17/2017,18:47,003.78264,00781.364,00413.712
09/17/2017,18:57,003.78958,00788.427,00417.889
09/17/2017,19:07,003.79653,00793.253,00422.065
09/17/2017,19:17,003.80347,00794.586,00426.242
09/17/2017,19:27,003.81042,00793.366,00430.418
09/17/2017,19:37,003.81736,00794.586,00434.595
09/17/2017,19:47,003.82431,00797.989,00438.771
09/17/2017,19:57,003.83125,00797.989,00442.948
09/17/2017,20:07,003.83819,00796.582,00447.125
09/17/2017,20:17,003.84514,00794.083,00451.301
09/17/2017,20:27,003.85208,00793.993,00455.478
09/17/2017,20:37,003.85903,00793.372,00459.654
09/17/2017,20:47,003.86597,00793.092,00463.831
09/17/2017,20:57,003.87292,00790.706,00468.007
09/17/2017,21:07,003.87986,00790.443,00472.184
09/17/2017,21:17,003.88681,00686.383,00476.361
09/17/2017,21:27,003.89375,00618.990,00480.537
09/17/2017,21:37,003.90069,00603.795,00484.714
09/17/2017,21:47,003.90764,00589.071,00488.890
09/17/2017,21:57,003.91458,00587.810,00493.067
09/17/2017,22:07,003.92153,00582.803,00497.243
09/17/2017,22:17,003.92847,00582.227,00501.420
09/17/2017,22:27,003.93542,00577.844,00505.597
09/17/2017,22:37,003.94236,00570.708,00509.773
09/17/2017,22:47,003.94931,00568.508,00513.950
09/17/2017,22:57,003.95625,00565.564,00518.126
09/17/2017,23:07,003.96319,00564.673,00522.303
09/17/2017,23:17,003.97014,00562.991,00526.479
09/17/2017,23:27,003.97708,00560.008,00530.656
09/17/2017,23:37,003.98403,00560.008,00534.833
09/17/2017,23:47,003.99097,00560.008,00539.009
09/17/2017,23:57,003.99792,00550.722,00543.186
09/18/2017,00:07,004.00486,00550.722,00547.362
09/18/2017,00:17,004.01181,00550.155,00551.539
09/18/2017,00:27,004.01875,00549.264,00555.715
09/18/2017,00:37,004.02569,00546.664,00559.892
09/18/2017,00:47,004.03264,00549.264,00564.069
09/18/2017,00:57,004.03958,00554.697,00568.245
09/18/2017,01:07,004.04653,00554.697,00572.422
09/18/2017,01:17,004.05347,00554.697,00576.598
09/18/2017,01:27,004.06042,00664.939,00580.775
09/18/2017,01:37,004.06736,00723.416,00584.951
09/18/2017,01:47,004.07431,00737.488,00589.128
09/18/2017,01:57,004.08125,00749.474,00593.305
09/18/2017,02:07,004.08819,00750.132,00597.481
09/18/2017,02:17,004.09514,00753.211,00601.658
09/18/2017,02:27,004.10208,00757.522,00605.834
09/18/2017,02:37,004.10903,00759.793,00610.011
09/18/2017,02:47,004.11597,00767.994,00614.187
09/18/2017,02:57,004.12292,00773.729,00618.364
09/18/2017,03:07,004.12986,00783.056,00622.541
09/18/2017,03:17,004.13681,00783.056,00626.717
09/18/2017,03:27,004.14375,00776.663,00630.894
09/18/2017,03:37,004.15069,00776.663,00635.070
09/18/2017,03:47,004.15764,00779.976,00639.247
09/18/2017,03:57,004.16458,00779.976,00643.423
09/18/2017,04:07,004.17153,00778.238,00647.600
09/18/2017,04:17,004.17847,00778.238,00651.776
09/18/2017,04:27,004.18542,00776.504,00655.953
09/18/2017,04:37,004.19236,00774.873,00660.130
09/18/2017,04:47,004.19931,00772.781,00664.306
09/18/2017,04:57,004.20625,00742.323,00668.483
09/18/2017,05:07,004.21319,00615.813,00672.659
09/18/2017,05:17,004.22014,00598.206,00676.836
09/18/2017,05:27,004.22708,00591.821,00681.013
09/18/2017,05:37,004.23403,00585.002,00685.189
09/18/2017,05:47,004.24097,00579.668,00689.366
09/18/2017,05:57,004.24792,00576.269,00693.542
09/18/2017,06:07,004.25486,00575.076,00697.719
09/18/2017,06:17,004.26181,00571.042,00701.895
09/18/2017,06:27,004.26875,00566.805,00706.072
09/18/2017,06:37,004.27569,00565.611,00710.248
09/18/2017,06:47,004.28264,00561.383,00714.425
09/18/2017,06:57,004.28958,00560.406,00718.602
09/18/2017,07:07,004.29653,00556.745,00722.778
09/18/2017,07:17,004.30347,00552.538,00726.955
09/18/2017,07:27,004.31042,00550.325,00731.131
09/18/2017,07:37,004.31736,00550.325,00735.308
09/18/2017,07:47,004.32431,00550.325,00739.484
09/18/2017,07:57,004.33125,00546.565,00743.661
09/18/2017,08:07,004.33819,00546.565,00747.838
09/18/2017,08:17,004.34514,00549.156,00752.014
09/18/2017,08:27,004.35208,00549.156,00756.191
09/18/2017,08:37,004.35903,00566.387,00760.367
09/18/2017,08:47,004.36597,00647.079,00764.544
09/18/2017,08:57,004.37292,00686.803,00768.721
09/18/2017,09:07,004.37986,00719.749,00772.897
09/18/2017,09:17,004.38681,00728.104,00777.074
09/18/2017,09:27,004.39375,00742.474,00781.250
09/18/2017,09:37,004.40069,00745.067,00785.427
09/18/2017,09:47,004.40764,00748.375,00789.603
09/18/2017,09:57,004.41458,00754.010,00793.780
09/18/2017,10:07,004.42153,00757.916,00797.956
09/18/2017,10:17,004.42847,00766.738,00802.133
09/18/2017,10:27,004.43542,00768.367,00806.310
09/18/2017,10:37,004.44236,00772.570,00810.486
09/18/2017,10:47,004.44931,00772.570,00814.663
09/18/2017,10:57,004.45625,00772.570,00818.839
