LumiCycle: 20170914C3pCLIH1_6 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
09/17/2017,07:21,003.30625,00431.440,00372.447
09/17/2017,07:31,003.31319,00431.873,00371.595
09/17/2017,07:41,003.32014,00441.586,00370.742
09/17/2017,07:51,003.32708,00443.833,00369.889
09/17/2017,08:01,003.33403,00448.365,00369.036
09/17/2017,08:11,003.34097,00451.061,00368.184
09/17/2017,08:21,003.34792,00452.269,00367.331
09/17/2017,08:31,003.35486,00452.786,00366.478
09/17/2017,08:41,003.36181,00452.786,00365.626
09/17/2017,08:51,003.36875,00452.725,00364.773
09/17/2017,09:01,003.37569,00451.636,00363.920
09/17/2017,09:11,003.38264,00450.575,00363.067
09/17/2017,09:21,003.38958,00380.190,00362.215
09/17/2017,09:31,003.39653,00341.875,00361.362
09/17/2017,09:41,003.40347,00341.713,00360.509
09/17/2017,09:51,003.41042,00335.220,00359.656
09/17/2017,10:01,003.41736,00334.190,00358.804
09/17/2017,10:11,003.42431,00334.607,00357.951
09/17/2017,10:21,003.43125,00334.607,00357.098
09/17/2017,10:31,003.43819,00334.607,00356.246
09/17/2017,10:41,003.44514,00332.011,00355.393
09/17/2017,10:51,003.45208,00330.836,00354.540
09/17/2017,11:01,003.45903,00327.595,00353.687
09/17/2017,11:11,003.46597,00326.803,00352.835
09/17/2017,11:21,003.47292,00326.104,00351.982
09/17/2017,11:31,003.47986,00323.943,00351.129
09/17/2017,11:41,003.48681,00325.887,00350.277
09/17/2017,11:51,003.49375,00325.887,00349.424
09/17/2017,12:01,003.50069,00325.887,00348.571
09/17/2017,12:11,003.50764,00321.778,00347.718
09/17/2017,12:21,003.51458,00321.778,00346.866
09/17/2017,12:31,003.52153,00321.973,00346.013
09/17/2017,12:41,003.52847,00321.973,00345.160
09/17/2017,12:51,003.53542,00321.973,00344.308
09/17/2017,13:01,003.54236,00350.540,00343.455
09/17/2017,13:11,003.54931,00352.642,00342.602
09/17/2017,13:21,003.55625,00365.243,00341.749
09/17/2017,13:31,003.56319,00409.350,00340.897
09/17/2017,13:41,003.57014,00432.664,00340.044
09/17/2017,13:51,003.57708,00439.471,00339.191
09/17/2017,14:01,003.58403,00444.644,00338.338
09/17/2017,14:11,003.59097,00446.865,00337.486
09/17/2017,14:21,003.59792,00452.204,00336.633
09/17/2017,14:31,003.60486,00459.132,00335.780
09/17/2017,14:41,003.61181,00459.875,00334.928
