LumiCycle: 20170914C3pCLIH1_9 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
09/17/2017,07:20,003.30556,00468.482,00724.145
09/17/2017,07:30,003.31250,00467.007,00722.735
09/17/2017,07:40,003.31944,00468.482,00721.325
09/17/2017,07:50,003.32639,00469.491,00719.915
09/17/2017,08:00,003.33333,00469.667,00718.505
09/17/2017,08:10,003.34028,00575.792,00717.095
09/17/2017,08:20,003.34722,00631.505,00715.685
09/17/2017,08:30,003.35417,00654.610,00714.275
09/17/2017,08:40,003.36111,00663.531,00712.865
09/17/2017,08:50,003.36806,00670.352,00711.455
09/17/2017,09:00,003.37500,00670.479,00710.044
09/17/2017,09:10,003.38194,00676.261,00708.634
09/17/2017,09:20,003.38889,00685.311,00707.224
09/17/2017,09:30,003.39583,00691.339,00705.814
09/17/2017,09:40,003.40278,00692.170,00704.404
09/17/2017,09:50,003.40972,00692.170,00702.994
09/17/2017,10:00,003.41667,00692.170,00701.584
09/17/2017,10:10,003.42361,00693.393,00700.174
09/17/2017,10:20,003.43056,00696.049,00698.764
09/17/2017,10:30,003.43750,00696.542,00697.354
09/17/2017,10:40,003.44444,00696.542,00695.944
09/17/2017,10:50,003.45139,00696.019,00694.534
09/17/2017,11:00,003.45833,00693.007,00693.124
09/17/2017,11:10,003.46528,00693.007,00691.714
09/17/2017,11:20,003.47222,00693.007,00690.304
09/17/2017,11:30,003.47917,00561.927,00688.894
09/17/2017,11:40,003.48611,00522.430,00687.484
09/17/2017,11:50,003.49306,00519.991,00686.074
09/17/2017,12:00,003.50000,00512.508,00684.664
09/17/2017,12:10,003.50694,00510.066,00683.254
09/17/2017,12:20,003.51389,00508.865,00681.844
09/17/2017,12:30,003.52083,00506.313,00680.434
09/17/2017,12:40,003.52778,00506.313,00679.024
09/17/2017,12:50,003.53472,00504.686,00677.614
09/17/2017,13:00,003.54167,00500.759,00676.203
09/17/2017,13:10,003.54861,00500.530,00674.793
09/17/2017,13:20,003.55556,00500.530,00673.383
09/17/2017,13:30,003.56250,00499.878,00671.973
09/17/2017,13:40,003.56944,00495.993,00670.563
09/17/2017,13:50,003.57639,00493.871,00669.153
09/17/2017,14:00,003.58333,00495.993,00667.743
09/17/2017,14:10,003.59028,00492.998,00666.333
09/17/2017,14:20,003.59722,00495.014,00664.923
09/17/2017,14:30,003.60417,00492.444,00663.513
09/17/2017,14:40,003.61111,00487.947,00662.103
09/17/2017,14:50,003.61806,00486.877,00660.693
09/17/2017,15:00,003.62500,00486.877,00659.283
09/17/2017,15:10,003.63194,00487.315,00657.873
09/17/2017,15:20,003.63889,00487.315,00656.463
09/17/2017,15:30,003.64583,00492.417,00655.053
09/17/2017,15:40,003.65278,00533.136,00653.643
09/17/2017,15:50,003.65972,00640.456,00652.233
09/17/2017,16:00,003.66667,00675.568,00650.823
09/17/2017,16:10,003.67361,00689.519,00649.413
09/17/2017,16:20,003.68056,00690.214,00648.003
09/17/2017,16:30,003.68750,00690.507,00646.593
09/17/2017,16:40,003.69444,00693.982,00645.183
09/17/2017,16:50,003.70139,00702.070,00643.773
09/17/2017,17:00,003.70833,00707.108,00642.362
09/17/2017,17:10,003.71528,00713.484,00640.952
09/17/2017,17:20,003.72222,00716.287,00639.542
09/17/2017,17:30,003.72917,00716.588,00638.132
09/17/2017,17:40,003.73611,00717.243,00636.722
09/17/2017,17:50,003.74306,00717.775,00635.312
09/17/2017,18:00,003.75000,00717.869,00633.902
09/17/2017,18:10,003.75694,00718.204,00632.492
09/17/2017,18:20,003.76389,00718.204,00631.082
09/17/2017,18:30,003.77083,00715.556,00629.672
09/17/2017,18:40,003.77778,00715.556,00628.262
09/17/2017,18:50,003.78472,00714.443,00626.852
09/17/2017,19:00,003.79167,00714.435,00625.442
09/17/2017,19:10,003.79861,00713.856,00624.032
09/17/2017,19:20,003.80556,00708.659,00622.622
09/17/2017,19:30,003.81250,00570.856,00621.212
09/17/2017,19:40,003.81944,00543.207,00619.802
09/17/2017,19:50,003.82639,00539.312,00618.392
09/17/2017,20:00,003.83333,00539.312,00616.982
09/17/2017,20:10,003.84028,00539.262,00615.572
09/17/2017,20:20,003.84722,00534.095,00614.162
09/17/2017,20:30,003.85417,00531.511,00612.752
09/17/2017,20:40,003.86111,00527.316,00611.342
09/17/2017,20:50,003.86806,00523.925,00609.931
09/17/2017,21:00,003.87500,00520.509,00608.521
09/17/2017,21:10,003.88194,00519.034,00607.111
09/17/2017,21:20,003.88889,00519.034,00605.701
09/17/2017,21:30,003.89583,00517.170,00604.291
09/17/2017,21:40,003.90278,00514.474,00602.881
09/17/2017,21:50,003.90972,00514.474,00601.471
09/17/2017,22:00,003.91667,00512.698,00600.061
09/17/2017,22:10,003.92361,00510.224,00598.651
09/17/2017,22:20,003.93056,00510.193,00597.241
09/17/2017,22:30,003.93750,00504.145,00595.831
09/17/2017,22:40,003.94444,00504.145,00594.421
09/17/2017,22:50,003.95139,00504.068,00593.011
09/17/2017,23:00,003.95833,00511.430,00591.601
09/17/2017,23:10,003.96528,00503.013,00590.191
09/17/2017,23:20,003.97222,00519.079,00588.781
09/17/2017,23:30,003.97917,00632.170,00587.371
09/17/2017,23:40,003.98611,00678.515,00585.961
09/17/2017,23:50,003.99306,00689.089,00584.551
09/17/2017,00:00,004.00000,00704.970,00583.141
09/18/2017,00:10,004.00694,00705.428,00581.731
09/18/2017,00:20,004.01389,00707.003,00580.321
09/18/2017,00:30,004.02083,00719.219,00578.911
09/18/2017,00:40,004.02778,00719.430,00577.500
09/18/2017,00:50,004.03472,00722.698,00576.090
09/18/2017,01:00,004.04167,00730.500,00574.680
09/18/2017,01:10,004.04861,00730.500,00573.270
09/18/2017,01:20,004.05556,00730.934,00571.860
09/18/2017,01:30,004.06250,00731.965,00570.450
09/18/2017,01:40,004.06944,00732.805,00569.040
09/18/2017,01:50,004.07639,00732.805,00567.630
09/18/2017,02:00,004.08333,00732.874,00566.220
09/18/2017,02:10,004.09028,00731.639,00564.810
09/18/2017,02:20,004.09722,00729.891,00563.400
09/18/2017,02:30,004.10417,00729.213,00561.990
09/18/2017,02:40,004.11111,00729.213,00560.580
09/18/2017,02:50,004.11806,00727.653,00559.170
09/18/2017,03:00,004.12500,00584.025,00557.760
09/18/2017,03:10,004.13194,00557.247,00556.350
09/18/2017,03:20,004.13889,00553.055,00554.940
09/18/2017,03:30,004.14583,00546.415,00553.530
09/18/2017,03:40,004.15278,00546.069,00552.120
09/18/2017,03:50,004.15972,00541.176,00550.710
09/18/2017,04:00,004.16667,00541.176,00549.300
09/18/2017,04:10,004.17361,00543.795,00547.890
09/18/2017,04:20,004.18056,00543.795,00546.480
09/18/2017,04:30,004.18750,00539.833,00545.070
09/18/2017,04:40,004.19444,00539.628,00543.659
09/18/2017,04:50,004.20139,00534.847,00542.249
09/18/2017,05:00,004.20833,00532.520,00540.839
09/18/2017,05:10,004.21528,00528.530,00539.429
09/18/2017,05:20,004.22222,00531.446,00538.019
09/18/2017,05:30,004.22917,00528.531,00536.609
09/18/2017,05:40,004.23611,00529.276,00535.199
09/18/2017,05:50,004.24306,00528.531,00533.789
09/18/2017,06:00,004.25000,00524.926,00532.379
09/18/2017,06:10,004.25694,00524.259,00530.969
09/18/2017,06:20,004.26389,00524.259,00529.559
09/18/2017,06:30,004.27083,00524.259,00528.149
09/18/2017,06:40,004.27778,00527.058,00526.739
09/18/2017,06:50,004.28472,00529.509,00525.329
09/18/2017,07:00,004.29167,00605.142,00523.919
09/18/2017,07:10,004.29861,00687.893,00522.509
09/18/2017,07:20,004.30556,00710.985,00521.099
09/18/2017,07:30,004.31250,00716.025,00519.689
09/18/2017,07:40,004.31944,00722.670,00518.279
09/18/2017,07:50,004.32639,00728.475,00516.869
09/18/2017,08:00,004.33333,00734.234,00515.459
09/18/2017,08:10,004.34028,00736.552,00514.049
09/18/2017,08:20,004.34722,00740.536,00512.639
09/18/2017,08:30,004.35417,00743.457,00511.229
09/18/2017,08:40,004.36111,00753.084,00509.818
09/18/2017,08:50,004.36806,00753.084,00508.408
09/18/2017,09:00,004.37500,00753.084,00506.998
09/18/2017,09:10,004.38194,00755.019,00505.588
09/18/2017,09:20,004.38889,00755.019,00504.178
09/18/2017,09:30,004.39583,00753.593,00502.768
09/18/2017,09:40,004.40278,00753.593,00501.358
09/18/2017,09:50,004.40972,00752.262,00499.948
09/18/2017,10:00,004.41667,00753.287,00498.538
09/18/2017,10:10,004.42361,00752.747,00497.128
09/18/2017,10:20,004.43056,00753.287,00495.718
09/18/2017,10:30,004.43750,00752.747,00494.308
09/18/2017,10:40,004.44444,00631.717,00492.898
09/18/2017,10:50,004.45139,00588.629,00491.488
09/18/2017,11:00,004.45833,00579.774,00490.078
09/18/2017,11:10,004.46528,00573.641,00488.668
09/18/2017,11:20,004.47222,00571.388,00487.258
09/18/2017,11:30,004.47917,00572.030,00485.848
09/18/2017,11:40,004.48611,00571.388,00484.438
09/18/2017,11:50,004.49306,00566.662,00483.028
09/18/2017,12:00,004.50000,00566.662,00481.618
09/18/2017,12:10,004.50694,00566.662,00480.208
09/18/2017,12:20,004.51389,00566.248,00478.798
09/18/2017,12:30,004.52083,00566.248,00477.388
09/18/2017,12:50,004.53472,00734.183,00474.567
09/18/2017,13:00,004.54167,00830.096,00473.157
09/18/2017,13:10,004.54861,00841.763,00471.747
09/18/2017,13:20,004.55556,00841.763,00470.337
09/18/2017,13:30,004.56250,00834.949,00468.927
09/18/2017,13:40,004.56944,00834.120,00467.517
09/18/2017,13:50,004.57639,00821.738,00466.107
09/18/2017,14:00,004.58333,00812.581,00464.697
09/18/2017,14:10,004.59028,00801.594,00463.287
09/18/2017,14:20,004.59722,00798.185,00461.877
09/18/2017,14:30,004.60417,00785.907,00460.467
09/18/2017,14:40,004.61111,00785.907,00459.057
09/18/2017,14:50,004.61806,00788.965,00457.647
09/18/2017,15:00,004.62500,00788.965,00456.237
09/18/2017,15:10,004.63194,00727.365,00454.827
09/18/2017,15:20,004.63889,00702.794,00453.417
09/18/2017,15:30,004.64583,00694.240,00452.007
09/18/2017,15:40,004.65278,00655.749,00450.597
09/18/2017,15:50,004.65972,00655.749,00449.187
09/18/2017,16:00,004.66667,00675.107,00447.777
09/18/2017,16:10,004.67361,00682.935,00446.367
09/18/2017,16:20,004.68056,00698.981,00444.957
09/18/2017,16:30,004.68750,00703.251,00443.547
09/18/2017,16:40,004.69444,00706.973,00442.136
09/18/2017,16:50,004.70139,00712.104,00440.726
09/18/2017,17:00,004.70833,00714.815,00439.316
09/18/2017,17:10,004.71528,00724.382,00437.906
09/18/2017,17:20,004.72222,00724.382,00436.496
09/18/2017,17:30,004.72917,00724.873,00435.086
09/18/2017,17:40,004.73611,00729.432,00433.676
09/18/2017,17:50,004.74306,00737.569,00432.266
09/18/2017,18:00,004.75000,00738.894,00430.856
09/18/2017,18:10,004.75694,00740.385,00429.446
09/18/2017,18:20,004.76389,00739.542,00428.036
09/18/2017,18:30,004.77083,00743.600,00426.626
09/18/2017,18:40,004.77778,00740.648,00425.216
09/18/2017,18:50,004.78472,00740.648,00423.806
09/18/2017,19:00,004.79167,00732.798,00422.396
09/18/2017,19:10,004.79861,00730.951,00420.986
09/18/2017,19:20,004.80556,00730.441,00419.576
09/18/2017,19:30,004.81250,00726.296,00418.166
09/18/2017,19:40,004.81944,00722.734,00416.756
09/18/2017,19:50,004.82639,00717.008,00415.346
09/18/2017,20:00,004.83333,00707.230,00413.936
09/18/2017,20:10,004.84028,00705.698,00412.526
09/18/2017,20:20,004.84722,00699.628,00411.116
09/18/2017,20:30,004.85417,00691.998,00409.706
09/18/2017,20:40,004.86111,00680.614,00408.295
09/18/2017,20:50,004.86806,00669.538,00406.885
09/18/2017,21:00,004.87500,00662.011,00405.475
09/18/2017,21:10,004.88194,00655.114,00404.065
09/18/2017,21:20,004.88889,00641.549,00402.655
09/18/2017,21:30,004.89583,00631.952,00401.245
09/18/2017,21:40,004.90278,00617.756,00399.835
09/18/2017,21:50,004.90972,00612.529,00398.425
09/18/2017,22:00,004.91667,00593.528,00397.015
