LumiCycle: 2013-5-28WT$CLIH-DH+FCNP_5 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
05/30/2013,14:32,002.60556,04334.843,03544.665
05/30/2013,14:42,002.61250,03803.680,03534.442
05/30/2013,14:52,002.61944,03750.633,03524.219
05/30/2013,15:02,002.62639,03722.300,03513.996
05/30/2013,15:12,002.63333,03716.505,03503.773
05/30/2013,15:22,002.64028,03722.300,03493.550
05/30/2013,15:32,002.64722,03716.131,03483.327
05/30/2013,15:42,002.65417,03706.523,03473.104
05/30/2013,15:52,002.66111,03706.523,03462.880
05/30/2013,16:02,002.66806,03706.523,03452.657
05/30/2013,16:12,002.67500,03707.056,03442.434
05/30/2013,16:22,002.68194,03709.025,03432.211
05/30/2013,16:32,002.68889,03721.984,03421.988
05/30/2013,16:42,002.69583,03725.323,03411.765
05/30/2013,16:52,002.70278,03736.551,03401.542
05/30/2013,17:02,002.70972,03741.008,03391.318
05/30/2013,17:12,002.71667,03770.822,03381.095
05/30/2013,17:22,002.72361,03777.849,03370.872
05/30/2013,17:32,002.73056,03808.436,03360.649
05/30/2013,17:42,002.73750,04222.536,03350.426
05/30/2013,17:52,002.74444,04346.220,03340.203
05/30/2013,18:02,002.75139,04346.220,03329.979
05/30/2013,18:12,002.75833,04346.220,03319.756
05/30/2013,18:22,002.76528,04345.466,03309.533
05/30/2013,18:32,002.77222,04341.222,03299.310
05/30/2013,18:42,002.77917,04276.664,03289.087
05/30/2013,18:52,002.78611,03729.038,03278.864
05/30/2013,19:02,002.79306,03640.109,03268.641
05/30/2013,19:12,002.80000,03625.524,03258.417
05/30/2013,19:22,002.80694,03622.251,03248.194
05/30/2013,19:32,002.81389,03617.073,03237.971
05/30/2013,19:42,002.82083,03606.456,03227.748
05/30/2013,19:52,002.82778,03606.456,03217.525
05/30/2013,20:02,002.83472,03606.456,03207.302
05/30/2013,20:12,002.84167,03608.963,03197.079
05/30/2013,20:22,002.84861,03608.963,03186.855
05/30/2013,20:32,002.85556,03622.934,03176.632
05/30/2013,20:42,002.86250,03622.934,03166.409
05/30/2013,20:52,002.86944,03623.766,03156.186
05/30/2013,21:02,002.87639,03623.766,03145.963
05/30/2013,21:12,002.88333,03631.095,03135.740
05/30/2013,21:22,002.89028,03638.342,03125.517
05/30/2013,21:32,002.89722,03657.157,03115.293
05/30/2013,21:42,002.90417,03706.818,03105.070
05/30/2013,21:52,002.91111,04015.924,03094.847
05/30/2013,22:02,002.91806,04042.650,03084.624
05/30/2013,22:12,002.92500,04216.296,03074.401
05/30/2013,22:22,002.93194,04238.900,03064.178
05/30/2013,22:32,002.93889,04238.900,03053.955
05/30/2013,22:42,002.94583,04234.481,03043.731
05/30/2013,22:52,002.95278,04200.867,03033.508
05/30/2013,23:02,002.95972,04108.701,03023.285
05/30/2013,23:12,002.96667,03601.542,03013.062
05/30/2013,23:22,002.97361,03518.372,03002.839
05/30/2013,23:32,002.98056,03500.329,02992.616
05/30/2013,23:42,002.98750,03496.396,02982.393
05/30/2013,23:52,002.99444,03495.894,02972.169
05/31/2013,00:02,003.00139,03494.434,02961.946
05/31/2013,00:12,003.00833,03489.663,02951.723
05/31/2013,00:22,003.01528,03487.215,02941.500
05/31/2013,00:32,003.02222,03489.663,02931.277
05/31/2013,00:42,003.02917,03491.844,02921.054
05/31/2013,00:52,003.03611,03491.844,02910.831
05/31/2013,01:02,003.04306,03491.844,02900.607
05/31/2013,01:12,003.05000,03502.726,02890.384
05/31/2013,01:22,003.05694,03506.932,02880.161
05/31/2013,01:32,003.06389,03509.571,02869.938
05/31/2013,01:42,003.07083,03524.512,02859.715
05/31/2013,01:52,003.07778,03525.856,02849.492
05/31/2013,02:02,003.08472,03527.442,02839.269
05/31/2013,02:12,003.09167,03601.045,02829.045
05/31/2013,02:22,003.09861,03895.829,02818.822
05/31/2013,02:32,003.10556,03910.743,02808.599
05/31/2013,02:42,003.11250,04060.884,02798.376
05/31/2013,02:52,003.11944,04114.729,02788.153
05/31/2013,03:02,003.12639,04114.729,02777.930
05/31/2013,03:12,003.13333,04083.041,02767.707
05/31/2013,03:22,003.14028,04016.213,02757.483
05/31/2013,03:32,003.14722,03822.536,02747.260
05/31/2013,03:42,003.15417,03422.159,02737.037
05/31/2013,03:52,003.16111,03378.269,02726.814
05/31/2013,04:02,003.16806,03378.269,02716.591
05/31/2013,04:12,003.17500,03378.725,02706.368
05/31/2013,04:22,003.18194,03378.725,02696.145
05/31/2013,04:32,003.18889,03375.712,02685.921
05/31/2013,04:42,003.19583,03373.643,02675.698
05/31/2013,04:52,003.20278,03373.643,02665.475
05/31/2013,05:02,003.20972,03371.083,02655.252
05/31/2013,05:12,003.21667,03374.561,02645.029
05/31/2013,05:22,003.22361,03382.108,02634.806
05/31/2013,05:32,003.23056,03383.188,02624.583
05/31/2013,05:42,003.23750,03385.945,02614.359
05/31/2013,05:52,003.24444,03396.189,02604.136
05/31/2013,06:02,003.25139,03400.735,02593.913
05/31/2013,06:12,003.25833,03421.146,02583.690
05/31/2013,06:22,003.26528,03425.424,02573.467
05/31/2013,06:32,003.27222,03436.663,02563.244
05/31/2013,06:42,003.27917,03453.431,02553.021
05/31/2013,06:52,003.28611,03480.155,02542.798
05/31/2013,07:02,003.29306,03546.875,02532.574
05/31/2013,07:12,003.30000,03721.707,02522.351
05/31/2013,07:22,003.30694,03910.026,02512.128
05/31/2013,07:32,003.31389,04023.806,02501.905
05/31/2013,07:42,003.32083,04023.806,02491.682
