LumiCycle: 2013-5-28WT$CLIH-DH+FCNP_8 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
05/30/2013,14:25,002.60069,03822.809,04178.189
05/30/2013,14:35,002.60764,03824.639,04173.138
05/30/2013,14:45,002.61458,03836.111,04168.087
05/30/2013,14:55,002.62153,03848.991,04163.036
05/30/2013,15:05,002.62847,03850.042,04157.984
05/30/2013,15:15,002.63542,03869.048,04152.933
05/30/2013,15:25,002.64236,03948.237,04147.882
05/30/2013,15:35,002.64931,03948.237,04142.830
05/30/2013,15:45,002.65625,03948.237,04137.779
05/30/2013,15:55,002.66319,04384.041,04132.728
05/30/2013,16:05,002.67014,04428.984,04127.676
05/30/2013,16:15,002.67708,04537.304,04122.625
05/30/2013,16:25,002.68403,04540.727,04117.574
05/30/2013,16:35,002.69097,04537.304,04112.522
05/30/2013,16:45,002.69792,04494.820,04107.471
05/30/2013,16:55,002.70486,04398.824,04102.419
05/30/2013,17:05,002.71181,03814.411,04097.368
05/30/2013,17:15,002.71875,03773.175,04092.317
05/30/2013,17:25,002.72569,03771.364,04087.266
05/30/2013,17:35,002.73264,03769.594,04082.214
05/30/2013,17:45,002.73958,03769.548,04077.163
05/30/2013,17:55,002.74653,03769.548,04072.112
05/30/2013,18:05,002.75347,03762.675,04067.060
05/30/2013,18:15,002.76042,03754.378,04062.009
05/30/2013,18:25,002.76736,03762.361,04056.958
05/30/2013,18:35,002.77431,03762.361,04051.906
05/30/2013,18:45,002.78125,03775.681,04046.855
05/30/2013,18:55,002.78819,03778.231,04041.804
05/30/2013,19:05,002.79514,03787.137,04036.752
05/30/2013,19:15,002.80208,03795.488,04031.701
05/30/2013,19:25,002.80903,03806.238,04026.650
05/30/2013,19:35,002.81597,03822.397,04021.598
05/30/2013,19:45,002.82292,03822.629,04016.547
05/30/2013,19:55,002.82986,04052.526,04011.496
05/30/2013,20:05,002.83681,04241.564,04006.444
05/30/2013,20:15,002.84375,04385.476,04001.393
05/30/2013,20:25,002.85069,04478.132,03996.342
05/30/2013,20:35,002.85764,04510.371,03991.291
05/30/2013,20:45,002.86458,04510.371,03986.239
05/30/2013,20:55,002.87153,04472.797,03981.188
05/30/2013,21:05,002.87847,04364.262,03976.136
05/30/2013,21:15,002.88542,04142.360,03971.085
05/30/2013,21:25,002.89236,03744.731,03966.034
05/30/2013,21:35,002.89931,03710.735,03960.982
05/30/2013,21:45,002.90625,03701.125,03955.931
05/30/2013,21:55,002.91319,03706.823,03950.880
05/30/2013,22:05,002.92014,03701.125,03945.828
05/30/2013,22:15,002.92708,03704.976,03940.777
05/30/2013,22:25,002.93403,03704.976,03935.726
05/30/2013,22:35,002.94097,03705.669,03930.675
05/30/2013,22:45,002.94792,03705.669,03925.623
05/30/2013,22:55,002.95486,03713.327,03920.572
05/30/2013,23:05,002.96181,03722.363,03915.521
05/30/2013,23:15,002.96875,03728.848,03910.469
05/30/2013,23:25,002.97569,03730.575,03905.418
05/30/2013,23:35,002.98264,03753.248,03900.366
05/30/2013,23:45,002.98958,03761.471,03895.315
05/30/2013,23:55,002.99653,03769.486,03890.264
05/31/2013,00:05,003.00347,03812.411,03885.213
05/31/2013,00:15,003.01042,03822.897,03880.161
05/31/2013,00:25,003.01736,04115.630,03875.110
05/31/2013,00:35,003.02431,04135.699,03870.059
05/31/2013,00:45,003.03125,04176.083,03865.007
05/31/2013,00:55,003.03819,04320.426,03859.956
05/31/2013,01:05,003.04514,04451.564,03854.905
05/31/2013,01:15,003.05208,04491.161,03849.853
05/31/2013,01:25,003.05903,04491.161,03844.802
05/31/2013,01:35,003.06597,04435.052,03839.750
05/31/2013,01:45,003.07292,04158.304,03834.699
05/31/2013,01:55,003.07986,03716.617,03829.648
05/31/2013,02:05,003.08681,03673.191,03824.597
05/31/2013,02:15,003.09375,03668.164,03819.545
05/31/2013,02:25,003.10069,03665.007,03814.494
05/31/2013,02:35,003.10764,03665.007,03809.443
05/31/2013,02:45,003.11458,03659.017,03804.391
05/31/2013,02:55,003.12153,03657.702,03799.340
05/31/2013,03:05,003.12847,03659.017,03794.289
05/31/2013,03:15,003.13542,03659.464,03789.237
05/31/2013,03:25,003.14236,03661.525,03784.186
05/31/2013,03:35,003.14931,03661.525,03779.135
05/31/2013,03:45,003.15625,03666.767,03774.083
05/31/2013,03:55,003.16319,03671.484,03769.032
05/31/2013,04:05,003.17014,03677.278,03763.981
05/31/2013,04:15,003.17708,03700.027,03758.929
05/31/2013,04:25,003.18403,03703.736,03753.878
05/31/2013,04:35,003.19097,03712.271,03748.827
05/31/2013,04:45,003.19792,03734.368,03743.775
05/31/2013,04:55,003.20486,03782.296,03738.724
05/31/2013,05:05,003.21181,04021.619,03733.673
05/31/2013,05:15,003.21875,04088.777,03728.621
05/31/2013,05:25,003.22569,04163.312,03723.570
05/31/2013,05:35,003.23264,04284.614,03718.519
05/31/2013,05:45,003.23958,04372.754,03713.467
05/31/2013,05:55,003.24653,04398.251,03708.416
05/31/2013,06:05,003.25347,04398.251,03703.365
05/31/2013,06:15,003.26042,04338.260,03698.313
05/31/2013,06:25,003.26736,04105.256,03693.262
05/31/2013,06:35,003.27431,03657.989,03688.211
05/31/2013,06:45,003.28125,03602.584,03683.159
05/31/2013,06:55,003.28819,03599.139,03678.108
05/31/2013,07:05,003.29514,03599.139,03673.057
05/31/2013,07:15,003.30208,03599.139,03668.005
05/31/2013,07:25,003.30903,03602.152,03662.954
05/31/2013,07:35,003.31597,03594.341,03657.903
05/31/2013,07:45,003.32292,03590.452,03652.852
05/31/2013,07:55,003.32986,03590.452,03647.800
05/31/2013,08:05,003.33681,03590.452,03642.749
05/31/2013,08:15,003.34375,03591.716,03637.698
05/31/2013,08:25,003.35069,03591.631,03632.646
05/31/2013,08:35,003.35764,03600.483,03627.595
05/31/2013,08:45,003.36458,03610.230,03622.543
05/31/2013,08:55,003.37153,03621.402,03617.492
05/31/2013,09:05,003.37847,03666.471,03612.441
05/31/2013,09:15,003.38542,03666.471,03607.389
05/31/2013,09:25,003.39236,03664.635,03602.338
05/31/2013,09:35,003.39931,03664.635,03597.287
05/31/2013,09:45,003.40625,03785.526,03592.236
05/31/2013,09:55,003.41319,03956.675,03587.184
05/31/2013,10:05,003.42014,04047.787,03582.133
05/31/2013,10:15,003.42708,04147.820,03577.082
05/31/2013,10:25,003.43403,04218.224,03572.030
05/31/2013,10:35,003.44097,04264.351,03566.979
05/31/2013,10:45,003.44792,04276.512,03561.927
05/31/2013,10:55,003.45486,04276.512,03556.876
05/31/2013,11:05,003.46181,04255.168,03551.825
05/31/2013,11:15,003.46875,04122.183,03546.773
05/31/2013,11:25,003.47569,03827.601,03541.722
05/31/2013,11:35,003.48264,03546.282,03536.671
05/31/2013,11:45,003.48958,03502.887,03531.620
05/31/2013,11:55,003.49653,03498.905,03526.568
05/31/2013,12:05,003.50347,03493.295,03521.517
05/31/2013,12:15,003.51042,03490.792,03516.466
05/31/2013,12:25,003.51736,03488.632,03511.414
05/31/2013,12:35,003.52431,03480.081,03506.363
05/31/2013,12:45,003.53125,03468.880,03501.312
05/31/2013,12:55,003.53819,03468.880,03496.260
05/31/2013,13:05,003.54514,03469.844,03491.209
05/31/2013,13:15,003.55208,03469.844,03486.158
05/31/2013,13:25,003.55903,03468.825,03481.106
05/31/2013,13:35,003.56597,03468.825,03476.055
05/31/2013,13:45,003.57292,03480.575,03471.004
