LumiCycle: 20151116C3p_11 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
11/18/2015,12:33,002.52292,00053.207,00013.188
11/18/2015,12:43,002.52986,00053.788,00013.376
11/18/2015,12:53,002.53681,00055.016,00013.563
11/18/2015,13:03,002.54375,00057.378,00013.751
11/18/2015,13:13,002.55069,00058.270,00013.938
11/18/2015,13:23,002.55764,00059.876,00014.126
11/18/2015,13:33,002.56458,00062.389,00014.314
11/18/2015,13:43,002.57153,00060.616,00014.501
11/18/2015,13:53,002.57847,00062.344,00014.689
11/18/2015,14:03,002.58542,00062.061,00014.877
11/18/2015,14:13,002.59236,00059.497,00015.064
11/18/2015,14:23,002.59931,00057.047,00015.252
11/18/2015,14:33,002.60625,00054.752,00015.440
11/18/2015,14:43,002.61319,00054.029,00015.627
11/18/2015,14:53,002.62014,00054.709,00015.815
11/18/2015,15:03,002.62708,00048.820,00016.002
11/18/2015,15:13,002.63403,00048.693,00016.190
11/18/2015,15:23,002.64097,00047.682,00016.378
11/18/2015,15:33,002.64792,00045.969,00016.565
11/18/2015,15:43,002.65486,00047.054,00016.753
11/18/2015,15:53,002.66181,00045.826,00016.941
11/18/2015,16:03,002.66875,00048.064,00017.128
11/18/2015,16:13,002.67569,00048.877,00017.316
11/18/2015,16:23,002.68264,00048.935,00017.503
11/18/2015,16:33,002.68958,00050.789,00017.691
11/18/2015,16:43,002.69653,00052.477,00017.879
11/18/2015,16:53,002.70347,00052.287,00018.066
11/18/2015,17:03,002.71042,00054.790,00018.254
11/18/2015,17:13,002.71736,00054.598,00018.442
11/18/2015,17:23,002.72431,00056.857,00018.629
11/18/2015,17:33,002.73125,00058.883,00018.817
11/18/2015,17:43,002.73819,00056.643,00019.005
11/18/2015,17:53,002.74514,00056.828,00019.192
11/18/2015,18:03,002.75208,00056.847,00019.380
11/18/2015,18:13,002.75903,00056.600,00019.567
11/18/2015,18:23,002.76597,00054.251,00019.755
11/18/2015,18:33,002.77292,00051.879,00019.943
11/18/2015,18:43,002.77986,00051.198,00020.130
11/18/2015,18:53,002.78681,00050.156,00020.318
11/18/2015,19:03,002.79375,00049.942,00020.506
11/18/2015,19:13,002.80069,00047.119,00020.693
11/18/2015,19:23,002.80764,00046.924,00020.881
11/18/2015,19:33,002.81458,00046.811,00021.069
11/18/2015,19:43,002.82153,00047.523,00021.256
11/18/2015,19:53,002.82847,00047.715,00021.444
11/18/2015,20:03,002.83542,00048.410,00021.631
11/18/2015,20:13,002.84236,00048.296,00021.819
11/18/2015,20:23,002.84931,00049.421,00022.007
11/18/2015,20:33,002.85625,00049.207,00022.194
11/18/2015,20:43,002.86319,00051.434,00022.382
11/18/2015,20:53,002.87014,00053.224,00022.570
11/18/2015,21:03,002.87708,00054.819,00022.757
11/18/2015,21:13,002.88403,00056.082,00022.945
11/18/2015,21:23,002.89097,00058.864,00023.132
11/18/2015,21:33,002.89792,00057.101,00023.320
11/18/2015,21:43,002.90486,00057.337,00023.508
11/18/2015,21:53,002.91181,00059.763,00023.695
11/18/2015,22:03,002.91875,00058.731,00023.883
11/18/2015,22:13,002.92569,00057.757,00024.071
11/18/2015,22:23,002.93264,00059.995,00024.258
11/18/2015,22:33,002.93958,00057.276,00024.446
11/18/2015,22:43,002.94653,00055.725,00024.634
11/18/2015,22:53,002.95347,00053.034,00024.821
11/18/2015,23:03,002.96042,00051.157,00025.009
11/18/2015,23:13,002.96736,00049.407,00025.196
11/18/2015,23:23,002.97431,00048.802,00025.384
11/18/2015,23:33,002.98125,00048.353,00025.572
11/18/2015,23:43,002.98819,00048.392,00025.759
11/18/2015,23:53,002.99514,00047.583,00025.947
11/19/2015,00:03,003.00208,00047.450,00026.135
11/19/2015,00:13,003.00903,00048.025,00026.322
11/19/2015,00:23,003.01597,00048.479,00026.510
11/19/2015,00:33,003.02292,00048.264,00026.698
11/19/2015,00:43,003.02986,00049.709,00026.885
11/19/2015,00:53,003.03681,00049.347,00027.073
11/19/2015,01:03,003.04375,00050.963,00027.260
11/19/2015,01:13,003.05069,00053.036,00027.448
11/19/2015,01:23,003.05764,00053.495,00027.636
11/19/2015,01:33,003.06458,00054.741,00027.823
11/19/2015,01:43,003.07153,00057.990,00028.011
11/19/2015,01:53,003.07847,00058.470,00028.199
11/19/2015,02:03,003.08542,00057.617,00028.386
11/19/2015,02:13,003.09236,00058.775,00028.574
11/19/2015,02:23,003.09931,00059.754,00028.761
11/19/2015,02:33,003.10625,00059.582,00028.949
11/19/2015,02:43,003.11319,00059.374,00029.137
11/19/2015,02:53,003.12014,00058.099,00029.324
11/19/2015,03:03,003.12708,00059.167,00029.512
11/19/2015,03:13,003.13403,00056.645,00029.700
11/19/2015,03:23,003.14097,00054.912,00029.887
11/19/2015,03:33,003.14792,00054.156,00030.075
11/19/2015,03:43,003.15486,00050.074,00030.263
11/19/2015,03:53,003.16181,00049.860,00030.450
11/19/2015,04:03,003.16875,00049.376,00030.638
11/19/2015,04:13,003.17569,00048.663,00030.825
11/19/2015,04:23,003.18264,00048.439,00031.013
11/19/2015,04:33,003.18958,00047.052,00031.201
11/19/2015,04:43,003.19653,00047.038,00031.388
11/19/2015,04:53,003.20347,00047.511,00031.576
11/19/2015,05:03,003.21042,00049.491,00031.764
11/19/2015,05:13,003.21736,00049.087,00031.951
11/19/2015,05:23,003.22431,00049.957,00032.139
11/19/2015,05:33,003.23125,00049.819,00032.327
11/19/2015,05:43,003.23819,00052.258,00032.514
11/19/2015,05:53,003.24514,00055.026,00032.702
11/19/2015,06:03,003.25208,00055.391,00032.889
11/19/2015,06:13,003.25903,00059.017,00033.077
11/19/2015,06:23,003.26597,00057.419,00033.265
11/19/2015,06:33,003.27292,00059.412,00033.452
11/19/2015,06:43,003.27986,00059.494,00033.640
11/19/2015,06:53,003.28681,00058.272,00033.828
11/19/2015,07:03,003.29375,00059.323,00034.015
11/19/2015,07:13,003.30069,00060.236,00034.203
11/19/2015,07:23,003.30764,00058.297,00034.390
11/19/2015,07:33,003.31458,00057.826,00034.578
11/19/2015,07:43,003.32153,00060.279,00034.766
11/19/2015,07:53,003.32847,00056.030,00034.953
11/19/2015,08:03,003.33542,00053.364,00035.141
11/19/2015,08:13,003.34236,00053.357,00035.329
11/19/2015,08:23,003.34931,00050.972,00035.516
11/19/2015,08:33,003.35625,00049.942,00035.704
11/19/2015,08:43,003.36319,00049.258,00035.892
11/19/2015,08:53,003.37014,00050.584,00036.079
11/19/2015,09:03,003.37708,00047.918,00036.267
11/19/2015,09:13,003.38403,00048.089,00036.454
11/19/2015,09:23,003.39097,00049.814,00036.642
11/19/2015,09:33,003.39792,00048.702,00036.830
11/19/2015,09:43,003.40486,00049.190,00037.017
11/19/2015,09:53,003.41181,00048.445,00037.205
11/19/2015,10:03,003.41875,00049.943,00037.393
11/19/2015,10:13,003.42569,00053.619,00037.580
11/19/2015,10:23,003.43264,00055.930,00037.768
11/19/2015,10:33,003.43958,00055.716,00037.956
11/19/2015,10:43,003.44653,00059.723,00038.143
11/19/2015,10:53,003.45347,00058.839,00038.331
11/19/2015,11:03,003.46042,00060.388,00038.518
11/19/2015,11:13,003.46736,00060.566,00038.706
11/19/2015,11:23,003.47431,00059.409,00038.894
11/19/2015,11:33,003.48125,00059.252,00039.081
11/19/2015,11:43,003.48819,00061.433,00039.269
11/19/2015,11:53,003.49514,00061.120,00039.457
11/19/2015,12:03,003.50208,00059.894,00039.644
11/19/2015,12:13,003.50903,00057.898,00039.832
11/19/2015,12:23,003.51597,00059.694,00040.019
11/19/2015,12:33,003.52292,00058.626,00040.207
11/19/2015,12:43,003.52986,00056.857,00040.395
