LumiCycle: 2013-4-7WT$CLIH_12 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
04/07/2013,09:36,000.40000,05924.317,06236.292
04/07/2013,09:46,000.40694,05963.352,06231.906
04/07/2013,09:56,000.41389,05999.771,06227.520
04/07/2013,10:06,000.42083,06065.751,06223.133
04/07/2013,10:16,000.42778,06097.369,06218.747
04/07/2013,10:26,000.43472,06152.763,06214.361
04/07/2013,10:36,000.44167,06185.889,06209.975
04/07/2013,10:46,000.44861,06189.862,06205.589
04/07/2013,10:56,000.45556,06189.862,06201.203
04/07/2013,11:06,000.46250,06163.286,06196.816
04/07/2013,11:16,000.46944,05820.127,06192.430
04/07/2013,11:26,000.47639,05656.658,06188.044
04/07/2013,11:36,000.48333,05656.658,06183.658
04/07/2013,11:46,000.49028,05658.878,06179.271
04/07/2013,11:56,000.49722,05670.639,06174.886
04/07/2013,12:06,000.50417,05688.713,06170.500
04/07/2013,12:16,000.51111,05705.708,06166.113
04/07/2013,12:26,000.51806,05731.030,06161.727
04/07/2013,12:36,000.52500,05757.982,06157.341
04/07/2013,12:46,000.53194,05767.166,06152.955
04/07/2013,12:56,000.53889,05823.749,06148.568
04/07/2013,13:06,000.54583,05840.026,06144.182
04/07/2013,13:16,000.55278,05844.867,06139.796
04/07/2013,13:26,000.55972,05892.373,06135.410
04/07/2013,13:36,000.56667,05912.290,06131.024
04/07/2013,13:46,000.57361,05918.554,06126.638
04/07/2013,13:56,000.58056,05955.169,06122.251
04/07/2013,14:06,000.58750,05968.846,06117.865
04/07/2013,14:16,000.59444,06016.409,06113.479
04/07/2013,14:26,000.60139,06016.409,06109.093
04/07/2013,14:36,000.60833,06006.286,06104.707
04/07/2013,14:46,000.61528,05991.402,06100.320
04/07/2013,14:56,000.62222,05991.402,06095.934
04/07/2013,15:06,000.62917,06128.315,06091.548
04/07/2013,15:16,000.63611,06143.094,06087.162
04/07/2013,15:26,000.64306,06510.021,06082.776
04/07/2013,15:36,000.65000,06510.021,06078.390
04/07/2013,15:46,000.65694,06456.156,06074.003
04/07/2013,15:56,000.66389,06436.894,06069.617
04/07/2013,16:06,000.67083,06415.291,06065.231
04/07/2013,16:16,000.67778,06376.903,06060.845
04/07/2013,16:26,000.68472,06300.163,06056.458
04/07/2013,16:36,000.69167,05733.262,06052.073
04/07/2013,16:46,000.69861,05638.332,06047.687
04/07/2013,16:56,000.70556,05629.021,06043.300
04/07/2013,17:06,000.71250,05609.941,06038.914
04/07/2013,17:16,000.71944,05579.648,06034.528
04/07/2013,17:26,000.72639,05577.929,06030.142
04/07/2013,17:36,000.73333,05577.929,06025.755
04/07/2013,17:46,000.74028,05577.929,06021.369
04/07/2013,17:56,000.74722,05574.346,06016.983
04/07/2013,18:06,000.75417,05574.320,06012.597
04/07/2013,18:16,000.76111,05574.346,06008.211
04/07/2013,18:26,000.76806,05581.852,06003.825
04/07/2013,18:36,000.77500,05586.710,05999.438
04/07/2013,18:46,000.78194,05616.697,05995.052
04/07/2013,18:56,000.78889,05618.135,05990.666
04/07/2013,19:06,000.79583,05619.514,05986.280
04/07/2013,19:16,000.80278,05632.495,05981.894
04/07/2013,19:26,000.80972,05644.488,05977.507
04/07/2013,19:36,000.81667,05649.525,05973.121
04/07/2013,19:46,000.82361,05661.846,05968.735
04/07/2013,19:56,000.83056,05661.846,05964.349
04/07/2013,20:06,000.83750,05665.246,05959.963
04/07/2013,20:16,000.84444,05668.126,05955.577
04/07/2013,20:26,000.85139,06371.860,05951.190
04/07/2013,20:36,000.85833,06371.860,05946.804
04/07/2013,20:46,000.86528,06334.063,05942.418
04/07/2013,20:56,000.87222,06334.063,05938.032
04/07/2013,21:06,000.87917,06323.724,05933.646
04/07/2013,21:16,000.88611,06314.702,05929.260
04/07/2013,21:26,000.89306,06314.702,05924.874
04/07/2013,21:36,000.90000,06320.500,05920.487
04/07/2013,21:46,000.90694,06323.676,05916.101
04/07/2013,21:56,000.91389,06323.676,05911.715
04/07/2013,22:06,000.92083,06316.886,05907.329
04/07/2013,22:16,000.92778,06285.777,05902.942
04/07/2013,22:26,000.93472,05478.462,05898.556
04/07/2013,22:36,000.94167,05286.362,05894.170
04/07/2013,22:46,000.94861,05251.988,05889.784
04/07/2013,22:56,000.95556,05240.561,05885.398
04/07/2013,23:06,000.96250,05214.770,05881.012
04/07/2013,23:16,000.96944,05214.770,05876.625
04/07/2013,23:26,000.97639,05220.214,05872.239
04/07/2013,23:36,000.98333,05263.491,05867.853
04/07/2013,23:46,000.99028,05265.540,05863.467
04/07/2013,23:56,000.99722,05266.928,05859.081
04/08/2013,00:06,001.00417,05297.466,05854.694
04/08/2013,00:16,001.01111,05312.524,05850.308
04/08/2013,00:26,001.01806,05337.510,05845.922
04/08/2013,00:36,001.02500,05370.377,05841.536
04/08/2013,00:46,001.03194,05371.453,05837.150
04/08/2013,00:56,001.03889,05402.604,05832.764
04/08/2013,01:06,001.04583,05402.604,05828.377
04/08/2013,01:16,001.05278,05409.455,05823.991
04/08/2013,01:26,001.05972,05422.522,05819.605
04/08/2013,01:36,001.06667,05436.542,05815.219
04/08/2013,01:46,001.07361,05443.068,05810.833
04/08/2013,01:56,001.08056,05455.605,05806.447
04/08/2013,02:06,001.08750,05455.605,05802.061
04/08/2013,02:16,001.09444,05444.014,05797.674
04/08/2013,02:26,001.10139,05441.264,05793.288
04/08/2013,02:36,001.10833,05410.451,05788.902
04/08/2013,02:46,001.11528,05387.178,05784.516
04/08/2013,02:56,001.12222,05363.357,05780.129
04/08/2013,03:06,001.12917,05321.945,05775.743
04/08/2013,03:16,001.13611,05308.224,05771.357
04/08/2013,03:26,001.14306,05289.008,05766.971
04/08/2013,03:36,001.15000,05206.921,05762.585
04/08/2013,03:46,001.15694,05148.345,05758.199
04/08/2013,03:56,001.16389,05102.150,05753.812
04/08/2013,04:06,001.17083,05081.502,05749.426
04/08/2013,04:16,001.17778,05070.378,05745.040
04/08/2013,04:26,001.18472,05062.177,05740.654
04/08/2013,04:36,001.19167,05070.378,05736.268
04/08/2013,04:46,001.19861,05094.725,05731.881
04/08/2013,04:56,001.20556,05096.109,05727.495
04/08/2013,05:06,001.21250,05097.009,05723.109
04/08/2013,05:16,001.21944,05563.680,05718.723
04/08/2013,05:26,001.22639,05942.058,05714.337
04/08/2013,05:36,001.23333,05942.058,05709.951
04/08/2013,05:46,001.24028,05942.058,05705.564
04/08/2013,05:56,001.24722,05946.446,05701.178
04/08/2013,06:06,001.25417,05948.667,05696.792
04/08/2013,06:16,001.26111,05967.753,05692.406
04/08/2013,06:26,001.26806,05975.256,05688.020
04/08/2013,06:36,001.27500,05975.256,05683.634
04/08/2013,06:46,001.28194,05927.296,05679.248
04/08/2013,06:56,001.28889,05318.523,05674.861
04/08/2013,07:06,001.29583,04872.509,05670.475
04/08/2013,07:16,001.30278,04835.490,05666.089
04/08/2013,07:26,001.30972,04829.507,05661.703
04/08/2013,07:36,001.31667,04835.490,05657.316
04/08/2013,07:46,001.32361,04842.000,05652.930
04/08/2013,07:56,001.33056,04846.996,05648.544
04/08/2013,08:06,001.33750,04851.273,05644.158
04/08/2013,08:16,001.34444,04859.017,05639.772
04/08/2013,08:26,001.35139,04870.080,05635.386
04/08/2013,08:36,001.35833,04873.250,05631.000
04/08/2013,08:46,001.36528,04897.237,05626.613
04/08/2013,08:56,001.37222,04907.182,05622.227
04/08/2013,09:06,001.37917,04925.576,05617.841
04/08/2013,09:16,001.38611,04939.029,05613.455
04/08/2013,09:26,001.39306,04967.950,05609.068
04/08/2013,09:36,001.40000,04974.438,05604.682
04/08/2013,09:46,001.40694,04974.438,05600.296
04/08/2013,09:56,001.41389,04974.120,05595.910
04/08/2013,10:06,001.42083,04969.674,05591.524
04/08/2013,10:16,001.42778,04968.043,05587.138
04/08/2013,10:26,001.43472,04957.954,05582.751
04/08/2013,10:36,001.44167,04957.699,05578.365
04/08/2013,10:46,001.44861,04952.616,05573.979
04/08/2013,10:56,001.45556,04934.707,05569.593
04/08/2013,11:06,001.46250,04925.679,05565.207
04/08/2013,11:16,001.46944,04901.210,05560.820
04/08/2013,11:26,001.47639,04892.881,05556.435
04/08/2013,11:36,001.48333,04864.322,05552.048
04/08/2013,11:46,001.49028,04862.936,05547.662
04/08/2013,11:56,001.49722,04844.637,05543.276
04/08/2013,12:06,001.50417,04778.841,05538.890
04/08/2013,12:16,001.51111,04751.627,05534.503
04/08/2013,12:26,001.51806,04739.846,05530.117
04/08/2013,12:36,001.52500,04739.846,05525.731
04/08/2013,12:46,001.53194,05564.131,05521.345
04/08/2013,12:56,001.53889,05564.131,05516.959
04/08/2013,13:06,001.54583,05177.041,05512.573
04/08/2013,13:16,001.55278,05034.638,05508.187
04/08/2013,13:26,001.55972,04960.358,05503.800
04/08/2013,13:36,001.56667,04890.526,05499.414
04/08/2013,13:46,001.57361,04829.440,05495.028
04/08/2013,13:56,001.58056,04766.734,05490.642
04/08/2013,14:06,001.58750,04730.295,05486.255
04/08/2013,14:16,001.59444,04707.750,05481.869
04/08/2013,14:26,001.60139,04661.186,05477.483
04/08/2013,14:36,001.60833,04626.747,05473.097
04/08/2013,14:46,001.61528,04597.460,05468.711
04/08/2013,14:56,001.62222,04591.117,05464.325
04/08/2013,15:06,001.62917,04558.515,05459.938
04/08/2013,15:16,001.63611,04542.209,05455.552
04/08/2013,15:26,001.64306,04527.107,05451.166
04/08/2013,15:36,001.65000,04520.327,05446.780
04/08/2013,15:46,001.65694,04498.792,05442.394
04/08/2013,15:56,001.66389,04496.205,05438.007
04/08/2013,16:06,001.67083,04493.913,05433.622
04/08/2013,16:16,001.67778,04480.887,05429.235
04/08/2013,16:26,001.68472,04452.933,05424.849
04/08/2013,16:36,001.69167,04452.499,05420.463
04/08/2013,16:46,001.69861,04445.142,05416.077
04/08/2013,16:56,001.70556,04433.342,05411.690
04/08/2013,17:06,001.71250,04429.346,05407.304
04/08/2013,17:16,001.71944,04399.365,05402.918
04/08/2013,17:26,001.72639,04392.623,05398.532
04/08/2013,17:36,001.73333,04391.549,05394.146
04/08/2013,17:46,001.74028,04377.511,05389.760
04/08/2013,17:56,001.74722,04372.366,05385.374
04/08/2013,18:06,001.75417,04366.737,05380.987
04/08/2013,18:16,001.76111,04363.689,05376.601
04/08/2013,18:26,001.76806,04350.724,05372.215
04/08/2013,18:36,001.77500,04347.354,05367.829
04/08/2013,18:46,001.78194,04350.724,05363.442
04/08/2013,18:56,001.78889,04353.373,05359.056
04/08/2013,19:06,001.79583,04353.373,05354.670
04/08/2013,19:16,001.80278,04353.373,05350.284
04/08/2013,19:26,001.80972,04378.437,05345.898
04/08/2013,19:36,001.81667,04380.842,05341.512
04/08/2013,19:46,001.82361,04380.842,05337.125
04/08/2013,19:56,001.83056,04360.119,05332.739
04/08/2013,20:06,001.83750,04360.119,05328.353
04/08/2013,20:16,001.84444,04391.748,05323.967
04/08/2013,20:26,001.85139,04394.030,05319.581
04/08/2013,20:36,001.85833,04394.030,05315.194
04/08/2013,20:46,001.86528,04394.326,05310.809
04/08/2013,20:56,001.87222,04381.019,05306.422
04/08/2013,21:06,001.87917,04394.326,05302.036
04/08/2013,21:16,001.88611,04411.256,05297.650
04/08/2013,21:26,001.89306,04411.256,05293.264
04/08/2013,21:36,001.90000,04402.116,05288.877
04/08/2013,21:46,001.90694,04402.116,05284.491
04/08/2013,21:56,001.91389,04407.323,05280.105
04/08/2013,22:06,001.92083,04439.285,05275.719
04/08/2013,22:16,001.92778,04439.285,05271.333
04/08/2013,22:26,001.93472,04437.006,05266.947
04/08/2013,22:36,001.94167,04437.006,05262.561
04/08/2013,22:46,001.94861,04451.949,05258.174
04/08/2013,22:56,001.95556,04452.488,05253.788
04/08/2013,23:06,001.96250,04497.131,05249.402
04/08/2013,23:16,001.96944,04499.084,05245.016
04/08/2013,23:26,001.97639,04497.131,05240.629
04/08/2013,23:36,001.98333,04501.553,05236.243
04/08/2013,23:46,001.99028,04520.771,05231.857
04/08/2013,23:56,001.99722,04533.495,05227.471
04/09/2013,00:06,002.00417,04571.093,05223.085
04/09/2013,00:16,002.01111,04597.454,05218.699
04/09/2013,00:26,002.01806,04597.454,05214.312
04/09/2013,00:36,002.02500,04597.454,05209.926
