LumiCycle: 2013-4-7WT$CLIH_1 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
04/07/2013,09:41,000.40347,05682.493,05517.077
04/07/2013,09:51,000.41042,05732.546,05513.734
04/07/2013,10:01,000.41736,05819.830,05510.393
04/07/2013,10:11,000.42431,05864.105,05507.050
04/07/2013,10:21,000.43125,05912.255,05503.708
04/07/2013,10:31,000.43819,05960.014,05500.366
04/07/2013,10:41,000.44514,05979.193,05497.024
04/07/2013,10:51,000.45208,05979.193,05493.683
04/07/2013,11:01,000.45903,05900.345,05490.340
04/07/2013,11:11,000.46597,05492.597,05486.999
04/07/2013,11:21,000.47292,05413.386,05483.656
04/07/2013,11:31,000.47986,05413.386,05480.314
04/07/2013,11:41,000.48681,05445.870,05476.972
04/07/2013,11:51,000.49375,05451.957,05473.630
04/07/2013,12:01,000.50069,05476.328,05470.289
04/07/2013,12:11,000.50764,05489.659,05466.946
04/07/2013,12:21,000.51458,05533.404,05463.604
04/07/2013,12:31,000.52153,05555.727,05460.262
04/07/2013,12:41,000.52847,05593.204,05456.920
04/07/2013,12:51,000.53542,05632.286,05453.578
04/07/2013,13:01,000.54236,05661.296,05450.236
04/07/2013,13:11,000.54931,05694.836,05446.895
04/07/2013,13:21,000.55625,05700.273,05443.552
04/07/2013,13:31,000.56319,05724.194,05440.210
04/07/2013,13:41,000.57014,05852.576,05436.868
04/07/2013,13:51,000.57708,05865.441,05433.526
04/07/2013,14:01,000.58403,05923.831,05430.184
04/07/2013,14:11,000.59097,06071.741,05426.842
04/07/2013,14:21,000.59792,06098.520,05423.500
04/07/2013,14:31,000.60486,06357.417,05420.158
04/07/2013,14:41,000.61181,06357.417,05416.816
04/07/2013,14:51,000.61875,06346.423,05413.474
04/07/2013,15:01,000.62569,06292.641,05410.132
04/07/2013,15:11,000.63264,06153.324,05406.790
04/07/2013,15:21,000.63958,05543.098,05403.448
04/07/2013,15:31,000.64653,05450.444,05400.106
04/07/2013,15:41,000.65347,05449.287,05396.764
04/07/2013,15:51,000.66042,05424.382,05393.422
04/07/2013,16:01,000.66736,05420.903,05390.080
04/07/2013,16:11,000.67431,05397.494,05386.738
04/07/2013,16:21,000.68125,05397.462,05383.396
04/07/2013,16:31,000.68819,05397.462,05380.054
04/07/2013,16:41,000.69514,05397.462,05376.712
04/07/2013,16:51,000.70208,05398.876,05373.370
04/07/2013,17:01,000.70903,05405.736,05370.028
04/07/2013,17:11,000.71597,05406.967,05366.686
04/07/2013,17:21,000.72292,05405.736,05363.344
04/07/2013,17:31,000.72986,05396.707,05360.002
04/07/2013,17:41,000.73681,05396.707,05356.660
04/07/2013,17:51,000.74375,05409.061,05353.318
04/07/2013,18:01,000.75069,05412.075,05349.976
04/07/2013,18:11,000.75764,05427.806,05346.634
04/07/2013,18:21,000.76458,05430.447,05343.292
04/07/2013,18:31,000.77153,05450.142,05339.950
04/07/2013,18:41,000.77847,05457.081,05336.608
04/07/2013,18:51,000.78542,05486.298,05333.266
04/07/2013,19:01,000.79236,05549.085,05329.924
04/07/2013,19:11,000.79931,06188.879,05326.582
04/07/2013,19:21,000.80625,06191.646,05323.240
04/07/2013,19:31,000.81319,06191.646,05319.898
04/07/2013,19:41,000.82014,06188.810,05316.556
04/07/2013,19:51,000.82708,06188.810,05313.214
04/07/2013,20:01,000.83403,06217.944,05309.872
04/07/2013,20:11,000.84097,06219.332,05306.530
04/07/2013,20:21,000.84792,06234.030,05303.188
04/07/2013,20:31,000.85486,06234.030,05299.846
04/07/2013,20:41,000.86181,06217.134,05296.504
04/07/2013,20:51,000.86875,06213.546,05293.162
04/07/2013,21:01,000.87569,05921.152,05289.820
04/07/2013,21:11,000.88264,05200.698,05286.478
04/07/2013,21:21,000.88958,05148.290,05283.136
04/07/2013,21:31,000.89653,05148.290,05279.794
04/07/2013,21:41,000.90347,05156.827,05276.452
04/07/2013,21:51,000.91042,05168.810,05273.110
04/07/2013,22:01,000.91736,05169.875,05269.768
04/07/2013,22:11,000.92431,05174.476,05266.426
04/07/2013,22:21,000.93125,05183.468,05263.084
04/07/2013,22:31,000.93819,05210.510,05259.742
04/07/2013,22:41,000.94514,05228.313,05256.400
04/07/2013,22:51,000.95208,05246.646,05253.058
04/07/2013,23:01,000.95903,05267.691,05249.716
04/07/2013,23:11,000.96597,05300.651,05246.374
04/07/2013,23:21,000.97292,05316.555,05243.032
04/07/2013,23:31,000.97986,05344.057,05239.690
04/07/2013,23:41,000.98681,05347.748,05236.348
04/07/2013,23:51,000.99375,05377.662,05233.006
04/08/2013,00:01,001.00069,05383.842,05229.664
04/08/2013,00:11,001.00764,05381.617,05226.322
04/08/2013,00:21,001.01458,05385.300,05222.980
04/08/2013,00:31,001.02153,05388.142,05219.638
04/08/2013,00:41,001.02847,05402.899,05216.296
04/08/2013,00:51,001.03542,05416.047,05212.954
04/08/2013,01:01,001.04236,05426.562,05209.612
04/08/2013,01:11,001.04931,05441.390,05206.270
04/08/2013,01:21,001.05625,05507.798,05202.928
04/08/2013,01:31,001.06319,05708.252,05199.586
04/08/2013,01:41,001.07014,06200.270,05196.244
04/08/2013,01:51,001.07708,06200.270,05192.902
04/08/2013,02:01,001.08403,06188.347,05189.560
04/08/2013,02:11,001.09097,06141.494,05186.218
04/08/2013,02:21,001.09792,06139.610,05182.876
04/08/2013,02:31,001.10486,06118.373,05179.534
04/08/2013,02:41,001.11181,06098.555,05176.192
04/08/2013,02:51,001.11875,06051.698,05172.850
04/08/2013,03:01,001.12569,05118.111,05169.508
04/08/2013,03:11,001.13264,04966.020,05166.166
04/08/2013,03:21,001.13958,04940.660,05162.824
04/08/2013,03:31,001.14653,04940.660,05159.482
04/08/2013,03:41,001.15347,04957.734,05156.140
04/08/2013,03:51,001.16042,04962.700,05152.798
04/08/2013,04:01,001.16736,04967.572,05149.456
04/08/2013,04:11,001.17431,04980.244,05146.114
04/08/2013,04:21,001.18125,04995.502,05142.772
04/08/2013,04:31,001.18819,05008.487,05139.430
04/08/2013,04:41,001.19514,05009.754,05136.088
04/08/2013,04:51,001.20208,05026.537,05132.746
04/08/2013,05:01,001.20903,05043.369,05129.404
04/08/2013,05:11,001.21597,05055.408,05126.062
04/08/2013,05:21,001.22292,05064.383,05122.720
04/08/2013,05:31,001.22986,05068.070,05119.378
04/08/2013,05:41,001.23681,05080.708,05116.036
04/08/2013,05:51,001.24375,05100.205,05112.694
04/08/2013,06:01,001.25069,05110.308,05109.352
04/08/2013,06:11,001.25764,05110.372,05106.010
04/08/2013,06:21,001.26458,05110.372,05102.668
04/08/2013,06:31,001.27153,05110.372,05099.326
04/08/2013,06:41,001.27847,05104.487,05095.984
04/08/2013,06:51,001.28542,05104.487,05092.642
04/08/2013,07:01,001.29236,05089.474,05089.300
04/08/2013,07:11,001.29931,05070.346,05085.958
04/08/2013,07:21,001.30625,05070.346,05082.616
04/08/2013,07:31,001.31319,05070.346,05079.274
04/08/2013,07:41,001.32014,05065.576,05075.932
04/08/2013,07:51,001.32708,05060.339,05072.590
04/08/2013,08:01,001.33403,05065.576,05069.248
04/08/2013,08:11,001.34097,05062.832,05065.906
04/08/2013,08:21,001.34792,05085.332,05062.564
04/08/2013,08:31,001.35486,05608.414,05059.222
04/08/2013,08:41,001.36181,05845.930,05055.880
04/08/2013,08:51,001.36875,05845.930,05052.538
04/08/2013,09:01,001.37569,05826.775,05049.196
04/08/2013,09:11,001.38264,05797.243,05045.854
04/08/2013,09:21,001.38958,05794.917,05042.512
04/08/2013,09:31,001.39653,05794.917,05039.170
04/08/2013,09:41,001.40347,05755.191,05035.828
04/08/2013,09:51,001.41042,05703.444,05032.486
04/08/2013,10:01,001.41736,04796.835,05029.144
04/08/2013,10:11,001.42431,04642.065,05025.802
04/08/2013,10:21,001.43125,04637.599,05022.459
04/08/2013,10:31,001.43819,04637.599,05019.118
04/08/2013,10:41,001.44514,04638.774,05015.776
04/08/2013,10:51,001.45208,04640.455,05012.434
04/08/2013,11:01,001.45903,04663.195,05009.092
04/08/2013,11:11,001.46597,04674.054,05005.750
04/08/2013,11:21,001.47292,04693.142,05002.408
04/08/2013,11:31,001.47986,04693.142,04999.065
04/08/2013,11:41,001.48681,04695.444,04995.724
04/08/2013,11:51,001.49375,04713.375,04992.382
04/08/2013,12:01,001.50069,04714.070,04989.040
04/08/2013,12:11,001.50764,04737.655,04985.698
04/08/2013,12:21,001.51458,04748.588,04982.355
04/08/2013,12:31,001.52153,04748.588,04979.014
04/08/2013,12:51,001.53542,04544.308,04972.330
04/08/2013,13:01,001.54236,04456.985,04968.988
04/08/2013,13:11,001.54931,04412.843,04965.646
04/08/2013,13:21,001.55625,04411.562,04962.304
04/08/2013,13:31,001.56319,04411.562,04958.961
04/08/2013,13:41,001.57014,04405.194,04955.620
