LumiCycle: 2013-5-15WT$CLIH_1 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
05/16/2013,09:31,001.39653,07019.713,06922.104
05/16/2013,09:41,001.40347,07019.713,06908.798
05/16/2013,09:51,001.41042,06974.408,06895.492
05/16/2013,10:01,001.41736,06885.388,06882.186
05/16/2013,10:11,001.42431,06931.080,06868.879
05/16/2013,10:21,001.43125,06885.388,06855.573
05/16/2013,10:31,001.43819,06734.153,06842.266
05/16/2013,10:41,001.44514,06285.472,06828.960
05/16/2013,10:51,001.45208,06226.330,06815.653
05/16/2013,11:01,001.45903,06209.438,06802.347
05/16/2013,11:11,001.46597,06209.438,06789.041
05/16/2013,11:21,001.47292,06199.894,06775.734
05/16/2013,11:31,001.47986,06168.410,06762.428
05/16/2013,11:41,001.48681,06161.848,06749.122
05/16/2013,11:51,001.49375,06161.848,06735.815
05/16/2013,12:01,001.50069,06163.897,06722.509
05/16/2013,12:11,001.50764,06175.602,06709.203
05/16/2013,12:21,001.51458,06184.989,06695.896
05/16/2013,12:31,001.52153,06184.989,06682.590
05/16/2013,12:41,001.52847,06545.344,06669.283
05/16/2013,12:51,001.53542,06545.344,06655.977
05/16/2013,13:01,001.54236,06384.416,06642.670
05/16/2013,13:11,001.54931,06384.416,06629.364
05/16/2013,13:21,001.55625,06552.738,06616.058
05/16/2013,13:31,001.56319,06552.738,06602.751
05/16/2013,13:41,001.57014,06544.043,06589.445
05/16/2013,13:51,001.57708,06529.994,06576.139
05/16/2013,14:01,001.58403,06469.216,06562.832
05/16/2013,14:11,001.59097,06085.532,06549.526
05/16/2013,14:21,001.59792,05927.233,06536.219
05/16/2013,14:31,001.60486,05879.316,06522.913
05/16/2013,14:41,001.61181,05863.240,06509.606
05/16/2013,14:51,001.61875,05863.240,06496.300
05/16/2013,15:01,001.62569,05863.240,06482.994
05/16/2013,15:11,001.63264,05856.178,06469.687
05/16/2013,15:21,001.63958,05847.322,06456.381
