LumiCycle: 2013-5-15WT$CLIH_4 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
05/16/2013,09:33,001.39792,06904.712,06348.952
05/16/2013,09:43,001.40486,06904.712,06343.025
05/16/2013,09:53,001.41181,06929.459,06337.097
05/16/2013,10:03,001.41875,06929.459,06331.169
05/16/2013,10:13,001.42569,06901.237,06325.242
05/16/2013,10:23,001.43264,06901.237,06319.314
05/16/2013,10:33,001.43958,06975.687,06313.387
05/16/2013,10:43,001.44653,07321.787,06307.459
05/16/2013,10:53,001.45347,07321.787,06301.532
05/16/2013,11:03,001.46042,07268.679,06295.604
05/16/2013,11:13,001.46736,07268.679,06289.676
05/16/2013,11:23,001.47431,07250.043,06283.749
05/16/2013,11:33,001.48125,07173.626,06277.821
05/16/2013,11:43,001.48819,06916.593,06271.894
05/16/2013,11:53,001.49514,06646.174,06265.966
05/16/2013,12:03,001.50208,06597.356,06260.039
05/16/2013,12:13,001.50903,06556.394,06254.111
05/16/2013,12:23,001.51597,06517.106,06248.184
05/16/2013,12:33,001.52292,06517.106,06242.256
05/16/2013,12:43,001.52986,06514.545,06236.328
05/16/2013,12:53,001.53681,06521.928,06230.401
05/16/2013,13:03,001.54375,06539.174,06224.473
05/16/2013,13:13,001.55069,06541.461,06218.545
05/16/2013,13:23,001.55764,06539.174,06212.618
05/16/2013,13:33,001.56458,06568.360,06206.690
05/16/2013,13:43,001.57153,06537.348,06200.763
05/16/2013,13:53,001.57847,06568.360,06194.835
05/16/2013,14:03,001.58542,06602.212,06188.908
05/16/2013,14:13,001.59236,06602.212,06182.980
05/16/2013,14:23,001.59931,06602.212,06177.052
05/16/2013,14:33,001.60625,06919.804,06171.125
05/16/2013,14:43,001.61319,06966.604,06165.197
05/16/2013,14:53,001.62014,06966.604,06159.270
05/16/2013,15:03,001.62708,06946.504,06153.342
05/16/2013,15:13,001.63403,06925.049,06147.415
05/16/2013,15:23,001.64097,06834.313,06141.487
05/16/2013,15:33,001.64792,06557.955,06135.560
05/16/2013,15:43,001.65486,06434.628,06129.632
05/16/2013,15:53,001.66181,06239.634,06123.704
05/16/2013,16:03,001.66875,06219.622,06117.777
05/16/2013,16:13,001.67569,06210.782,06111.849
05/16/2013,16:23,001.68264,06210.782,06105.921
05/16/2013,16:33,001.68958,06211.381,06099.994
05/16/2013,16:43,001.69653,06212.717,06094.066
05/16/2013,16:53,001.70347,06211.381,06088.139
05/16/2013,17:03,001.71042,06212.717,06082.211
05/16/2013,17:13,001.71736,06207.740,06076.284
05/16/2013,17:23,001.72431,06214.895,06070.356
05/16/2013,17:33,001.73125,06212.434,06064.428
05/16/2013,17:43,001.73819,06228.374,06058.501
05/16/2013,17:53,001.74514,06228.374,06052.573
05/16/2013,18:03,001.75208,06270.605,06046.646
05/16/2013,18:13,001.75903,06270.605,06040.718
05/16/2013,18:23,001.76597,06270.605,06034.791
05/16/2013,18:33,001.77292,06655.758,06028.863
05/16/2013,18:43,001.77986,06655.758,06022.936
05/16/2013,18:53,001.78681,06621.373,06017.008
05/16/2013,19:03,001.79375,06609.896,06011.080
05/16/2013,19:13,001.80069,06507.509,06005.152
05/16/2013,19:23,001.80764,06028.384,05999.225
05/16/2013,19:33,001.81458,05996.250,05993.297
05/16/2013,19:43,001.82153,05986.916,05987.370
05/16/2013,19:53,001.82847,05971.466,05981.442
05/16/2013,20:03,001.83542,05971.466,05975.515
05/16/2013,20:13,001.84236,05970.538,05969.587
05/16/2013,20:23,001.84931,05966.990,05963.660
05/16/2013,20:33,001.85625,05963.455,05957.732
05/16/2013,20:43,001.86319,05966.990,05951.804
05/16/2013,20:53,001.87014,05972.556,05945.877
05/16/2013,21:03,001.87708,05972.556,05939.949
05/16/2013,21:13,001.88403,05972.556,05934.021
05/16/2013,21:23,001.89097,05963.622,05928.094
05/16/2013,21:33,001.89792,05980.325,05922.167
05/16/2013,21:43,001.90486,05984.085,05916.239
05/16/2013,21:53,001.91181,06431.227,05910.311
05/16/2013,22:03,001.91875,06431.227,05904.384
05/16/2013,22:13,001.92569,06210.410,05898.456
05/16/2013,22:23,001.93264,06210.410,05892.528
05/16/2013,22:33,001.93958,06432.909,05886.601
05/16/2013,22:43,001.94653,06432.909,05880.673
05/16/2013,22:53,001.95347,06351.279,05874.746
05/16/2013,23:03,001.96042,06337.313,05868.818
05/16/2013,23:13,001.96736,06268.284,05862.891
05/16/2013,23:23,001.97431,05797.951,05856.963
05/16/2013,23:33,001.98125,05783.248,05851.036
05/16/2013,23:43,001.98819,05783.248,05845.108
05/16/2013,23:53,001.99514,05782.910,05839.180
05/17/2013,00:03,002.00208,05782.910,05833.253
05/17/2013,00:13,002.00903,05782.910,05827.325
05/17/2013,00:23,002.01597,05783.489,05821.397
05/17/2013,00:33,002.02292,05789.796,05815.470
05/17/2013,00:43,002.02986,05801.663,05809.542
05/17/2013,00:53,002.03681,05796.737,05803.615
05/17/2013,01:03,002.04375,05801.663,05797.687
05/17/2013,01:13,002.05069,05803.941,05791.760
05/17/2013,01:23,002.05764,05809.814,05785.832
05/17/2013,01:33,002.06458,05889.405,05779.904
05/17/2013,01:43,002.07153,05960.627,05773.977
05/17/2013,01:53,002.07847,06101.585,05768.049
05/17/2013,02:03,002.08542,06101.585,05762.122
