LumiCycle: 2013-5-15WT$CLIH_7 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
05/16/2013,09:32,001.39722,05861.621,05206.165
05/16/2013,09:42,001.40417,05786.938,05201.888
05/16/2013,09:52,001.41111,05734.962,05197.612
05/16/2013,10:02,001.41806,05686.256,05193.335
05/16/2013,10:12,001.42500,05661.190,05189.059
05/16/2013,10:22,001.43194,05653.449,05184.783
05/16/2013,10:32,001.43889,05636.184,05180.506
05/16/2013,10:42,001.44583,05636.179,05176.230
05/16/2013,10:52,001.45278,05629.197,05171.954
05/16/2013,11:02,001.45972,05629.197,05167.677
05/16/2013,11:12,001.46667,05641.247,05163.400
05/16/2013,11:22,001.47361,05659.637,05159.124
05/16/2013,11:32,001.48056,05659.637,05154.848
05/16/2013,11:42,001.48750,05810.064,05150.571
05/16/2013,11:52,001.49444,05707.729,05146.295
05/16/2013,12:02,001.50139,05937.856,05142.019
05/16/2013,12:12,001.50833,05937.856,05137.742
05/16/2013,12:22,001.51528,05940.776,05133.466
05/16/2013,12:32,001.52222,05940.776,05129.189
05/16/2013,12:42,001.52917,05864.461,05124.913
05/16/2013,12:52,001.53611,05766.244,05120.637
05/16/2013,13:02,001.54306,05759.748,05116.360
05/16/2013,13:12,001.55000,05759.748,05112.083
05/16/2013,13:22,001.55694,05395.673,05107.807
05/16/2013,13:32,001.56389,05385.699,05103.531
05/16/2013,13:42,001.57083,05354.951,05099.254
05/16/2013,13:52,001.57778,05336.332,05094.978
05/16/2013,14:02,001.58472,05317.630,05090.702
05/16/2013,14:12,001.59167,05314.767,05086.425
05/16/2013,14:22,001.59861,05314.767,05082.149
05/16/2013,14:32,001.60556,05324.400,05077.873
05/16/2013,14:42,001.61250,05335.840,05073.596
05/16/2013,14:52,001.61944,05324.400,05069.320
05/16/2013,15:02,001.62639,05319.055,05065.043
05/16/2013,15:12,001.63333,05315.961,05060.767
05/16/2013,15:22,001.64028,05319.055,05056.490
05/16/2013,15:32,001.64722,05315.961,05052.214
05/16/2013,15:42,001.65417,05387.441,05047.937
05/16/2013,15:52,001.66111,05629.126,05043.661
05/16/2013,16:02,001.66806,05629.126,05039.385
05/16/2013,16:12,001.67500,05692.791,05035.108
05/16/2013,16:22,001.68194,05627.680,05030.832
05/16/2013,16:32,001.68889,05561.081,05026.556
05/16/2013,16:42,001.69583,05541.492,05022.279
05/16/2013,16:52,001.70278,05498.369,05018.003
05/16/2013,17:02,001.70972,05136.013,05013.727
05/16/2013,17:12,001.71667,05089.096,05009.450
05/16/2013,17:22,001.72361,05051.639,05005.173
05/16/2013,17:32,001.73056,05050.386,05000.897
05/16/2013,17:42,001.73750,05050.386,04996.621
05/16/2013,17:52,001.74444,05050.386,04992.344
05/16/2013,18:02,001.75139,05040.492,04988.068
05/16/2013,18:12,001.75833,05026.238,04983.792
05/16/2013,18:22,001.76528,05032.930,04979.515
05/16/2013,18:32,001.77222,05032.930,04975.239
05/16/2013,18:42,001.77917,05032.930,04970.962
05/16/2013,18:52,001.78611,05047.626,04966.686
05/16/2013,19:02,001.79306,05086.597,04962.410
05/16/2013,19:12,001.80000,05086.597,04958.133
05/16/2013,19:22,001.80694,05139.246,04953.857
05/16/2013,19:32,001.81389,05144.516,04949.580
05/16/2013,19:42,001.82083,05164.536,04945.304
05/16/2013,19:52,001.82778,05310.203,04941.027
05/16/2013,20:02,001.83472,05328.606,04936.751
05/16/2013,20:12,001.84167,05377.038,04932.475
05/16/2013,20:22,001.84861,05377.038,04928.198
05/16/2013,20:32,001.85556,05341.193,04923.922
05/16/2013,20:42,001.86250,04981.692,04919.646
05/16/2013,20:52,001.86944,04886.805,04915.369
05/16/2013,21:02,001.87639,04872.648,04911.093
05/16/2013,21:12,001.88333,04844.021,04906.816
05/16/2013,21:22,001.89028,04842.768,04902.540
05/16/2013,21:32,001.89722,04839.282,04898.263
05/16/2013,21:42,001.90417,04829.099,04893.987
05/16/2013,21:52,001.91111,04823.922,04889.710
