B_2,B_3,B_4,B_5,B_6,T_2,T_3,T_4,T_5,T_6,G_2,G_3,G_4,G_5,G_6
3.810208483,3.569857697,6.231454006,3.421198157,3.60670908,7.598849748,5.798188875,6.916172107,7.13640553,6.206477733,3.137311287,2.933376455,2.915430267,3.182488479,2.998843262
3.64054637,3.320827943,6.513353116,3.178801843,3.661654135,7.319194824,6.007761966,6.054896142,7.762211982,6.665702718,3.26240115,2.957309185,2.977744807,3.171428571,3.072296125
3.331416247,3.360284605,5.341988131,3.378801843,5.75130133,7.552120776,6.111254851,6.121661721,6.976036866,6.687102371,3.343637671,3.015523933,2.847922849,3.112442396,3.353961828
3.486700216,3.354463131,5.395400593,3.836866359,5.995951417,7.575125809,5.886804657,6.879821958,7.303225806,6.906304222,3.387491014,3.078266494,2.948813056,3.188940092,3.081550029
3.524802301,3.680465718,5.517804154,4.01843318,6.408906883,7.495327103,6.138421734,6.431008902,7.743778802,7.499710816,3.171099928,2.90232859,2.933976261,3.128110599,3.129554656
3.883537024,3.460543338,5.197329377,3.616589862,6.396761134,6.719626168,5.315653299,6.235905045,7.038709677,7.467900521,3.175413372,2.937257439,3.228486647,3.312442396,3.564488143
3.846872753,3.448253558,5.755934718,3.887557604,6.592249855,7.611790079,6.363518758,7.034124629,6.883870968,7.639676113,2.982746226,3.271021992,2.899109792,3.008294931,3.574320416
3.547088426,3.520051746,5.022255193,4.043317972,5.194910353,6.690150971,6.020051746,7.192878338,7.064516129,7.573163678,3.207045291,2.776843467,3.016320475,3.065437788,3.417004049
3.635514019,3.508408797,4.598664688,3.338248848,4.857721226,7.549245147,6.794307891,6.526706231,7.837788018,7.926547137,3.304816679,3.145536869,3.005192878,3.106912442,3.333718913
3.59309849,3.225097025,4.637240356,3.855299539,4.100636206,7.900071891,5.979948254,7.229970326,7.524423963,7.174667438,3.235082674,2.820827943,2.979970326,3.080184332,3.103528051
