B_1,B_2,T_1,T_2,G_1,G_2
3.515430072,6.591409692,8.640183848,6.429515419,3.529218647,3.149779736
3.613919895,7.106828194,8.273801707,6.986784141,3.267235719,2.897577093
3.815495732,6.822687225,8.532501641,6.864537445,4.053841103,2.864537445
3.830597505,6.465859031,8.47209455,6.583700441,3.678266579,3.360132159
3.65003283,6.761013216,7.602101116,6.268722467,3.281024294,3.063876652
3.663821405,6.605726872,8.731451083,6.809471366,3.397898884,3.307268722
3.650689429,6.960352423,7.813525936,6.682819383,3.447800394,3.0969163
3.711753119,6.917400881,8.390019698,6.030837004,3.480630335,3.081497797
3.407091267,7.328193833,7.747209455,6.093612335,3.286277085,3.134361233
3.793171372,6.585903084,8.173998687,7.455947137,3.3335522,3.118942731
3.819435325,6.560572687,8.09980302,6.644273128,3.650689429,3.345814978
3.90544977,6.54845815,8.227183191,6.537444934,3.424162837,2.941629956
3.696651346,6.571585903,8.929087328,6.823788546,3.519369665,2.874449339
4.133946159,7.087004405,7.634274458,6.440528634,3.492449114,3.036343612
3.668417597,7.272026432,8.468154957,6.605726872,3.565988181,2.897577093
3.639527249,6.759911894,7.720288903,6.524229075,3.389363099,3.148678414
3.90544977,7.038546256,8.240971766,6.774229075,3.678923178,2.872246696
3.608667104,6.705947137,7.903479974,5.778634361,3.409061064,3.387665198
3.892974393,6.640969163,7.978332239,6.650881057,3.445830598,3.002202643
3.425476034,6.796255507,8.490479317,7.133259912,3.531188444,3.136563877
3.606697308,6.552863436,7.978988838,7.004405286,3.648719632,2.870044053
3.788575181,6.449339207,8.773473408,6.233480176,3.149704531,2.918502203
3.447800394,7.047356828,7.418910046,6.623348018,3.518056467,3.049559471
3.93893631,6.963656388,8.454366382,5.938325991,3.413000657,2.783039648
3.450426789,6.651982379,8.364412344,6.148678414,3.563361786,3.064977974
3.819435325,6.851321586,7.98883782,6.740088106,4.025607354,2.977973568
3.898883782,7.134361233,8.407091267,6.396475771,3.199606041,3.325991189
3.836506894,6.481277533,8.931057124,6.236784141,3.486539724,2.715859031
3.381483913,6.737885463,8.164806303,6.647577093,3.620485883,3.063876652
3.734077479,6.38876652,7.883782009,6.582599119,3.411687459,2.86123348
3.36112935,6.556167401,7.758371635,6.426211454,3.545633618,2.830396476
3.468154957,7.101321586,7.933026921,6.142070485,3.650689429,2.824889868
3.709783322,6.699339207,7.15561392,6.792951542,3.546946815,3.149779736
3.47209455,6.86123348,7.380827315,6.871145374,3.376231123,2.816079295
3.558765594,6.547356828,9.449113592,6.601321586,3.508207485,3.056167401
3.959947472,6.932819383,7.628365069,6.450440529,3.459619173,3.412995595
3.623768877,7.807268722,7.092580433,6.089207048,3.44977019,3.145374449
3.491135916,6.693832599,7.429415627,7.267621145,3.264609324,3.431718062
3.669730794,6.241189427,7.800393959,5.544052863,3.497045305,2.944933921
3.570584373,6.996696035,7.806303349,6.672907489,3.571897571,3.046255507
3.474064347,6.642070485,7.730794485,6.205947137,3.514773473,2.878854626
3.732764281,6.550660793,8.187130663,6.575991189,3.313854235,3.299559471
3.755088641,6.789647577,7.923177938,6.75660793,3.424162837,2.995594714
3.952724885,6.639867841,8.988181221,6.6530837,3.175311884,2.996696035
3.698621142,6.881057269,7.328299409,6.501101322,3.517399869,3.320484581
3.713722915,6.721365639,8.222586999,6.592511013,3.392646093,3.137665198
3.62770847,6.540748899,8.040052528,6.415198238,3.293499672,2.9030837
3.545633618,6.737885463,8.191726855,6.453744493,3.682862771,3.181718062
3.332895601,6.960352423,8.312541037,6.294052863,3.325016415,3.04185022
3.52790545,6.284140969,7.419566645,6.940528634,3.169402495,3.009911894
3.724228496,6.52753304,8.001313198,7.053964758,3.360472751,2.947136564
3.898227183,6.18061674,7.940906106,6.088105727,3.474064347,3.580396476
3.787918582,6.965859031,7.384110309,6.292951542,3.371634931,3.089207048
3.981615233,6.344713656,8.617202889,6.688325991,3.346684176,3.126651982
3.780039396,6.459251101,8.134602758,6.492290749,3.381483913,3.36784141
3.398555483,6.400881057,7.912672357,6.556167401,3.357846356,3.145374449
3.820091924,6.657488987,7.508864084,6.571585903,3.344057781,3.276431718
3.676296783,6.462555066,7.722915299,7.269823789,3.630991464,3.088105727
3.495075509,6.192731278,7.780039396,6.234581498,3.581089954,3.028634361
4.066973079,6.170704846,7.202232436,6.433920705,3.465528562,3.3469163
3.893630991,6.724669604,7.729481287,6.709251101,3.311884439,3.075991189
3.823374918,6.685022026,7.629021668,6.52753304,3.31122784,3.188325991
4.055154301,6.665198238,8.413000657,7.023127753,3.625738674,3.235682819
3.673013789,6.418502203,8.204858831,6.626651982,3.445830598,2.996696035
3.569927774,6.6530837,8.055154301,6.488986784,3.539724228,2.817180617
