B_1,B_3,B_4,T_1,T_3,T_4,G_1,G_3,G_4
5.271671827,3.444620253,3.475649351,10.26857585,6.849683544,7.636363636,3.76006192,3.200949367,3.105519481
5.017027864,3.032436709,3.550324675,9.541021672,6.777689873,6.951298701,3.932662539,3.165348101,3.344155844
5.08126935,3.496044304,3.616883117,9.06501548,6.689873418,7.825487013,3.707430341,2.934335443,3.505681818
5.204334365,3.137658228,4.136363636,8.767801858,6.473892405,7.176948052,3.111455108,3.038765823,3.231331169
4.845975232,3.231012658,3.474837662,8.900154799,6.534810127,6.710227273,3.342105263,3.015031646,3.030032468
4.820433437,3.420886076,3.369318182,8.122291022,7.115506329,8.099025974,3.493034056,3.035601266,2.855519481
4.595201238,3.679588608,3.56737013,9.16873065,6.564873418,7.092532468,3.401702786,3.102056962,3.265422078
4.806501548,3.824367089,3.37012987,8.852941176,6.53085443,7.413149351,3.191950464,3.282436709,3.215097403
4.875386997,3.728639241,3.690746753,8.746130031,6.624208861,6.617694805,3.573529412,3.103639241,3.341720779
5.249226006,4.075949367,3.520292208,8.82120743,6.098101266,7.151785714,3.308049536,3.118670886,3.318181818
4.71130031,4.956487342,3.426136364,8.801857585,6.330696203,7.402597403,3.462074303,3.26028481,3.043019481
5.19504644,5.047468354,3.410714286,8.735294118,6.83306962,6.920454545,3.351393189,3.097310127,3.333603896
5.100619195,5.059335443,3.714285714,8.458204334,6.664556962,7.176136364,3.196594427,3.155063291,2.967532468
4.862229102,5.439873418,3.586850649,8.508513932,6.273734177,6.676136364,3.119195046,3.080696203,3.103084416
5.064241486,6.566455696,3.577922078,9.237616099,7.120253165,7.117694805,3.34752322,3.196202532,3.329545455
5.397832817,8,3.57711039,8.855263158,8.287974684,7.323051948,3.676470588,3.148734177,3.211850649
5.044117647,8.743670886,3.234577922,8.33126935,8.499208861,6.866883117,3.715944272,3.112341772,3.022727273
6.284829721,8.80221519,3.286525974,9.781733746,8.216772152,7.369318182,3.221362229,3.074367089,3.13961039
5.943498452,8.056170886,3.699675325,10.0619195,8.058544304,7.012987013,3.411764706,3.041139241,2.882305195
6.464396285,8.09414557,3.546266234,10.45820433,8.636075949,7.237012987,3.594427245,2.941455696,3.048701299
7.187306502,7.574367089,3.671266234,10.39164087,7.993670886,7.30762987,4.324303406,2.995253165,3.205357143
6.80495356,7.86471519,3.957792208,10.33281734,9.087816456,6.900974026,4.349071207,2.994462025,3.108766234
