LumiCycle: 2013-10-17WT+3T3Luc_0-5_1 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
10/17/2013,16:51,000.70208,06481.856,04192.021
10/17/2013,17:01,000.70903,06298.989,04186.500
10/17/2013,17:11,000.71597,06177.064,04180.979
10/17/2013,17:21,000.72292,06002.899,04175.458
10/17/2013,17:31,000.72986,05859.598,04169.937
10/17/2013,17:41,000.73681,05727.445,04164.417
10/17/2013,17:51,000.74375,05612.736,04158.896
10/17/2013,18:01,000.75069,05493.605,04153.375
10/17/2013,18:11,000.75764,05377.116,04147.854
10/17/2013,18:21,000.76458,05285.470,04142.333
10/17/2013,18:31,000.77153,05179.117,04136.812
10/17/2013,18:41,000.77847,05084.618,04131.292
10/17/2013,18:51,000.78542,05009.404,04125.771
10/17/2013,19:01,000.79236,04935.643,04120.250
10/17/2013,19:11,000.79931,04872.145,04114.729
10/17/2013,19:21,000.80625,04813.430,04109.208
10/17/2013,19:31,000.81319,04741.719,04103.687
10/17/2013,19:41,000.82014,04685.855,04098.167
10/17/2013,19:51,000.82708,04619.411,04092.646
10/17/2013,20:01,000.83403,04589.807,04087.125
10/17/2013,20:11,000.84097,04550.179,04081.604
10/17/2013,20:21,000.84792,04495.398,04076.083
10/17/2013,20:31,000.85486,04474.119,04070.563
10/17/2013,20:41,000.86181,04421.636,04065.042
10/17/2013,20:51,000.86875,04388.743,04059.521
10/17/2013,21:01,000.87569,04360.274,04054.000
10/17/2013,21:11,000.88264,04330.356,04048.479
10/17/2013,21:21,000.88958,04278.894,04042.959
10/17/2013,21:31,000.89653,04271.972,04037.438
10/17/2013,21:41,000.90347,04227.324,04031.917
10/17/2013,21:51,000.91042,04213.944,04026.396
10/17/2013,22:01,000.91736,04203.533,04020.875
10/17/2013,22:11,000.92431,04177.437,04015.354
10/17/2013,22:21,000.93125,04155.233,04009.834
10/17/2013,22:31,000.93819,04114.437,04004.313
10/17/2013,22:41,000.94514,04102.653,03998.792
10/17/2013,22:51,000.95208,04079.551,03993.271
10/17/2013,23:01,000.95903,04079.063,03987.750
10/17/2013,23:11,000.96597,04046.439,03982.229
10/17/2013,23:21,000.97292,04037.523,03976.709
10/17/2013,23:31,000.97986,04019.795,03971.188
10/17/2013,23:41,000.98681,04002.613,03965.667
10/17/2013,23:51,000.99375,03996.828,03960.146
10/18/2013,00:01,001.00069,03966.860,03954.625
10/18/2013,00:11,001.00764,03964.228,03949.105
10/18/2013,00:21,001.01458,03958.129,03943.584
10/18/2013,00:31,001.02153,03942.193,03938.063
10/18/2013,00:41,001.02847,03923.146,03932.542
10/18/2013,00:51,001.03542,03923.146,03927.021
10/18/2013,01:01,001.04236,03917.386,03921.500
10/18/2013,01:11,001.04931,03893.130,03915.980
10/18/2013,01:21,001.05625,03891.046,03910.459
10/18/2013,01:31,001.06319,03889.302,03904.938
10/18/2013,01:41,001.07014,03870.826,03899.417
10/18/2013,01:51,001.07708,03864.381,03893.896
10/18/2013,02:01,001.08403,03848.765,03888.376
10/18/2013,02:11,001.09097,03840.494,03882.855
10/18/2013,02:21,001.09792,03839.592,03877.334
10/18/2013,02:31,001.10486,03834.276,03871.813
10/18/2013,02:41,001.11181,03821.817,03866.292
10/18/2013,02:51,001.11875,03817.874,03860.771
10/18/2013,03:01,001.12569,03803.802,03855.251
10/18/2013,03:11,001.13264,03797.938,03849.730
10/18/2013,03:21,001.13958,03796.031,03844.209
10/18/2013,03:31,001.14653,03790.918,03838.688
10/18/2013,03:41,001.15347,03771.708,03833.167
10/18/2013,03:51,001.16042,03769.285,03827.647
10/18/2013,04:01,001.16736,03763.338,03822.126
10/18/2013,04:11,001.17431,03756.356,03816.605
10/18/2013,04:21,001.18125,03756.335,03811.084
10/18/2013,04:31,001.18819,03739.501,03805.563
10/18/2013,04:41,001.19514,03726.288,03800.042
10/18/2013,04:51,001.20208,03716.852,03794.522
10/18/2013,05:01,001.20903,03709.122,03789.001
10/18/2013,05:11,001.21597,03703.548,03783.480
10/18/2013,05:21,001.22292,03694.241,03777.959
10/18/2013,05:31,001.22986,03683.053,03772.438
10/18/2013,05:41,001.23681,03673.559,03766.917
10/18/2013,05:51,001.24375,03653.202,03761.397
10/18/2013,06:01,001.25069,03643.293,03755.876
10/18/2013,06:11,001.25764,03642.939,03750.355
10/18/2013,06:21,001.26458,03642.939,03744.834
10/18/2013,06:31,001.27153,03635.710,03739.313
10/18/2013,06:41,001.27847,03618.044,03733.793
10/18/2013,06:51,001.28542,03612.320,03728.272
10/18/2013,07:01,001.29236,03598.153,03722.751
10/18/2013,07:11,001.29931,03592.685,03717.230
10/18/2013,07:21,001.30625,03586.259,03711.709
10/18/2013,07:31,001.31319,03583.422,03706.188
