LumiCycle: 2013-10-17WT+3T3Luc_3-0_2 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
10/17/2013,16:55,000.70486,00038.175,00038.522
10/17/2013,17:05,000.71181,00038.961,00038.527
10/17/2013,17:15,000.71875,00038.175,00038.532
10/17/2013,17:25,000.72569,00038.931,00038.536
10/17/2013,17:35,000.73264,00038.745,00038.541
10/17/2013,17:45,000.73958,00038.931,00038.546
10/17/2013,17:55,000.74653,00039.029,00038.551
10/17/2013,18:05,000.75347,00039.029,00038.556
10/17/2013,18:15,000.76042,00039.499,00038.560
10/17/2013,18:25,000.76736,00038.667,00038.565
10/17/2013,18:35,000.77431,00038.518,00038.570
10/17/2013,18:45,000.78125,00038.318,00038.575
10/17/2013,18:55,000.78819,00038.318,00038.579
10/17/2013,19:05,000.79514,00038.191,00038.584
10/17/2013,19:15,000.80208,00038.191,00038.589
10/17/2013,19:25,000.80903,00038.191,00038.594
10/17/2013,19:35,000.81597,00037.918,00038.598
10/17/2013,19:45,000.82292,00038.003,00038.603
10/17/2013,19:55,000.82986,00038.003,00038.608
10/17/2013,20:05,000.83681,00038.003,00038.613
10/17/2013,20:15,000.84375,00037.732,00038.617
10/17/2013,20:25,000.85069,00036.945,00038.622
10/17/2013,20:35,000.85764,00036.945,00038.627
10/17/2013,20:45,000.86458,00038.432,00038.632
10/17/2013,20:55,000.87153,00038.432,00038.637
10/17/2013,21:05,000.87847,00038.432,00038.641
10/17/2013,21:15,000.88542,00036.585,00038.646
10/17/2013,21:25,000.89236,00038.956,00038.651
10/17/2013,21:35,000.89931,00038.442,00038.656
10/17/2013,21:45,000.90625,00038.442,00038.660
10/17/2013,21:55,000.91319,00037.760,00038.665
10/17/2013,22:05,000.92014,00037.760,00038.670
10/17/2013,22:15,000.92708,00037.759,00038.675
10/17/2013,22:25,000.93403,00037.975,00038.679
10/17/2013,22:35,000.94097,00037.216,00038.684
10/17/2013,22:45,000.94792,00037.975,00038.689
10/17/2013,22:55,000.95486,00036.601,00038.694
10/17/2013,23:05,000.96181,00036.988,00038.698
10/17/2013,23:15,000.96875,00036.988,00038.703
10/17/2013,23:25,000.97569,00036.988,00038.708
10/17/2013,23:35,000.98264,00036.716,00038.713
10/17/2013,23:45,000.98958,00036.716,00038.718
10/17/2013,23:55,000.99653,00037.261,00038.722
10/18/2013,00:05,001.00347,00038.108,00038.727
10/18/2013,00:15,001.01042,00038.108,00038.732
10/18/2013,00:25,001.01736,00038.108,00038.737
10/18/2013,00:35,001.02431,00037.321,00038.741
10/18/2013,00:45,001.03125,00037.321,00038.746
10/18/2013,00:55,001.03819,00037.321,00038.751
10/18/2013,01:05,001.04514,00037.447,00038.756
10/18/2013,01:15,001.05208,00037.447,00038.760
10/18/2013,01:25,001.05903,00037.447,00038.765
10/18/2013,01:35,001.06597,00037.792,00038.770
10/18/2013,01:45,001.07292,00037.813,00038.775
10/18/2013,01:55,001.07986,00038.406,00038.779
10/18/2013,02:05,001.08681,00038.406,00038.784
10/18/2013,02:15,001.09375,00038.689,00038.789
10/18/2013,02:25,001.10069,00037.324,00038.794
10/18/2013,02:35,001.10764,00037.274,00038.799
10/18/2013,02:45,001.11458,00037.274,00038.803
10/18/2013,02:55,001.12153,00037.705,00038.808
10/18/2013,03:05,001.12847,00037.705,00038.813
10/18/2013,03:15,001.13542,00037.690,00038.818
10/18/2013,03:25,001.14236,00037.690,00038.822
10/18/2013,03:35,001.14931,00038.363,00038.827
10/18/2013,03:45,001.15625,00038.363,00038.832
10/18/2013,03:55,001.16319,00037.803,00038.837
10/18/2013,04:05,001.17014,00037.371,00038.841
10/18/2013,04:15,001.17708,00037.371,00038.846
10/18/2013,04:25,001.18403,00037.487,00038.851
10/18/2013,04:35,001.19097,00038.247,00038.856
10/18/2013,04:45,001.19792,00037.487,00038.861
10/18/2013,04:55,001.20486,00036.960,00038.865
10/18/2013,05:05,001.21181,00036.802,00038.870
10/18/2013,05:15,001.21875,00036.960,00038.875
10/18/2013,05:25,001.22569,00038.081,00038.880
10/18/2013,05:35,001.23264,00038.081,00038.884
10/18/2013,05:45,001.23958,00037.646,00038.889
10/18/2013,05:55,001.24653,00036.959,00038.894
10/18/2013,06:05,001.25347,00036.959,00038.899
10/18/2013,06:15,001.26042,00036.560,00038.903
10/18/2013,06:25,001.26736,00037.782,00038.908
10/18/2013,06:35,001.27431,00037.782,00038.913
