LumiCycle: 2013-10-17WT+3T3Luc_3-5_1 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
10/17/2013,16:51,000.70208,00850.884,00478.232
10/17/2013,17:01,000.70903,00834.578,00477.780
10/17/2013,17:11,000.71597,00810.620,00477.327
10/17/2013,17:21,000.72292,00788.921,00476.875
10/17/2013,17:31,000.72986,00774.909,00476.423
10/17/2013,17:41,000.73681,00759.021,00475.970
10/17/2013,17:51,000.74375,00737.536,00475.518
10/17/2013,18:01,000.75069,00724.430,00475.066
10/17/2013,18:11,000.75764,00713.320,00474.614
10/17/2013,18:21,000.76458,00699.658,00474.161
10/17/2013,18:31,000.77153,00687.141,00473.709
10/17/2013,18:41,000.77847,00677.142,00473.257
10/17/2013,18:51,000.78542,00668.634,00472.804
10/17/2013,19:01,000.79236,00650.632,00472.352
10/17/2013,19:11,000.79931,00645.063,00471.900
10/17/2013,19:21,000.80625,00642.321,00471.447
10/17/2013,19:31,000.81319,00626.349,00470.995
10/17/2013,19:41,000.82014,00625.691,00470.543
10/17/2013,19:51,000.82708,00616.023,00470.090
10/17/2013,20:01,000.83403,00610.518,00469.638
10/17/2013,20:11,000.84097,00603.041,00469.186
10/17/2013,20:21,000.84792,00602.546,00468.733
10/17/2013,20:31,000.85486,00594.251,00468.281
10/17/2013,20:41,000.86181,00586.190,00467.829
10/17/2013,20:51,000.86875,00582.677,00467.376
10/17/2013,21:01,000.87569,00576.861,00466.924
10/17/2013,21:11,000.88264,00571.870,00466.472
10/17/2013,21:21,000.88958,00571.716,00466.020
10/17/2013,21:31,000.89653,00567.089,00465.567
10/17/2013,21:41,000.90347,00555.144,00465.115
10/17/2013,21:51,000.91042,00555.009,00464.663
10/17/2013,22:01,000.91736,00552.421,00464.210
10/17/2013,22:11,000.92431,00546.691,00463.758
10/17/2013,22:21,000.93125,00539.871,00463.306
10/17/2013,22:31,000.93819,00536.985,00462.853
10/17/2013,22:41,000.94514,00532.871,00462.401
10/17/2013,22:51,000.95208,00530.406,00461.949
10/17/2013,23:01,000.95903,00528.351,00461.496
10/17/2013,23:11,000.96597,00528.192,00461.044
10/17/2013,23:21,000.97292,00522.293,00460.592
10/17/2013,23:31,000.97986,00521.466,00460.139
10/17/2013,23:41,000.98681,00518.646,00459.687
10/17/2013,23:51,000.99375,00515.453,00459.235
10/18/2013,00:01,001.00069,00515.453,00458.782
10/18/2013,00:11,001.00764,00513.775,00458.330
10/18/2013,00:21,001.01458,00505.869,00457.878
10/18/2013,00:31,001.02153,00505.869,00457.425
10/18/2013,00:41,001.02847,00501.758,00456.973
10/18/2013,00:51,001.03542,00495.686,00456.521
10/18/2013,01:01,001.04236,00495.686,00456.069
10/18/2013,01:11,001.04931,00493.913,00455.616
10/18/2013,01:21,001.05625,00491.368,00455.164
10/18/2013,01:31,001.06319,00490.265,00454.712
10/18/2013,01:41,001.07014,00487.258,00454.259
10/18/2013,01:51,001.07708,00483.254,00453.807
10/18/2013,02:01,001.08403,00482.157,00453.355
10/18/2013,02:11,001.09097,00480.165,00452.902
10/18/2013,02:21,001.09792,00475.203,00452.450
10/18/2013,02:31,001.10486,00474.765,00451.998
10/18/2013,02:41,001.11181,00472.180,00451.545
10/18/2013,02:51,001.11875,00469.689,00451.093
10/18/2013,03:01,001.12569,00469.178,00450.641
10/18/2013,03:11,001.13264,00466.376,00450.188
10/18/2013,03:21,001.13958,00465.079,00449.736
10/18/2013,03:31,001.14653,00464.079,00449.284
10/18/2013,03:41,001.15347,00461.616,00448.831
10/18/2013,03:51,001.16042,00460.001,00448.379
10/18/2013,04:01,001.16736,00456.971,00447.927
10/18/2013,04:11,001.17431,00456.903,00447.475
10/18/2013,04:21,001.18125,00456.187,00447.022
10/18/2013,04:31,001.18819,00445.441,00446.570
10/18/2013,04:41,001.19514,00438.314,00446.118
10/18/2013,04:51,001.20208,00436.044,00445.665
10/18/2013,05:01,001.20903,00435.175,00445.213
10/18/2013,05:11,001.21597,00433.237,00444.761
10/18/2013,05:21,001.22292,00430.079,00444.308
10/18/2013,05:31,001.22986,00427.341,00443.856
10/18/2013,05:41,001.23681,00427.341,00443.404
10/18/2013,05:51,001.24375,00425.435,00442.951
10/18/2013,06:01,001.25069,00422.434,00442.499
10/18/2013,06:11,001.25764,00422.434,00442.047
10/18/2013,06:21,001.26458,00424.754,00441.594
10/18/2013,06:31,001.27153,00425.102,00441.142
10/18/2013,06:41,001.27847,00425.102,00440.690
10/18/2013,06:51,001.28542,00427.460,00440.237
10/18/2013,07:01,001.29236,00423.069,00439.785
10/18/2013,07:11,001.29931,00426.737,00439.333
10/18/2013,07:21,001.30625,00426.737,00438.881
10/18/2013,07:31,001.31319,00429.187,00438.428
10/18/2013,07:41,001.32014,00429.187,00437.976
10/18/2013,07:51,001.32708,00425.267,00437.524
10/18/2013,08:01,001.33403,00423.591,00437.071
10/18/2013,08:11,001.34097,00422.082,00436.619
10/18/2013,08:21,001.34792,00420.927,00436.167
10/18/2013,08:31,001.35486,00417.271,00435.714
10/18/2013,08:41,001.36181,00413.611,00435.262
10/18/2013,08:51,001.36875,00413.788,00434.810
10/18/2013,09:01,001.37569,00413.600,00434.357
10/18/2013,09:11,001.38264,00410.047,00433.905
