LumiCycle: 2013-10-17WT+U2OSLuc_0-5_2 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
10/17/2013,11:06,000.46250,64414.203,70922.953
10/17/2013,11:16,000.46944,64493.328,71018.672
10/17/2013,11:26,000.47639,64592.051,71114.398
10/17/2013,11:36,000.48333,64761.105,71210.117
10/17/2013,11:46,000.49028,64833.082,71305.836
10/17/2013,11:56,000.49722,64894.238,71401.562
10/17/2013,12:06,000.50417,65144.312,71497.281
10/17/2013,12:16,000.51111,65312.832,71593.000
10/17/2013,12:26,000.51806,65537.195,71688.719
10/17/2013,12:36,000.52500,65715.602,71784.445
10/17/2013,12:46,000.53194,65862.648,71880.164
10/17/2013,12:56,000.53889,65931.445,71975.883
10/17/2013,13:06,000.54583,65946.742,72071.609
10/17/2013,13:16,000.55278,65946.742,72167.328
10/17/2013,13:26,000.55972,65901.078,72263.047
10/17/2013,13:36,000.56667,65880.695,72358.766
10/17/2013,13:46,000.57361,65779.531,72454.492
10/17/2013,13:56,000.58056,65686.672,72550.211
10/17/2013,14:06,000.58750,65488.480,72645.930
10/17/2013,14:16,000.59444,65263.148,72741.656
10/17/2013,14:26,000.60139,65155.273,72837.375
10/17/2013,14:36,000.60833,64996.680,72933.094
10/17/2013,14:46,000.61528,64847.105,73028.812
10/17/2013,14:56,000.62222,64707.531,73124.539
10/17/2013,15:06,000.62917,64606.934,73220.258
10/17/2013,15:16,000.63611,64531.875,73315.977
10/17/2013,15:26,000.64306,64439.289,73411.703
10/17/2013,15:36,000.65000,64370.844,73507.422
10/17/2013,15:46,000.65694,64370.844,73603.141
10/17/2013,15:56,000.66389,64370.844,73698.859
10/17/2013,16:06,000.67083,64410.602,73794.586
10/17/2013,16:16,000.67778,64437.953,73890.305
10/17/2013,16:26,000.68472,64459.891,73986.023
10/17/2013,16:36,000.69167,64557.727,74081.750
10/17/2013,16:46,000.69861,64630.512,74177.469
10/17/2013,16:56,000.70556,64771.055,74273.187
10/17/2013,17:06,000.71250,64903.398,74368.906
10/17/2013,17:16,000.71944,65068.441,74464.633
10/17/2013,17:26,000.72639,65291.766,74560.352
10/17/2013,17:36,000.73333,65465.320,74656.070
10/17/2013,17:46,000.74028,65634.062,74751.797
10/17/2013,17:56,000.74722,65870.852,74847.516
10/17/2013,18:06,000.75417,66110.578,74943.234
10/17/2013,18:16,000.76111,66277.492,75038.953
10/17/2013,18:26,000.76806,66536.406,75134.680
10/17/2013,18:36,000.77500,66777.906,75230.398
10/17/2013,18:46,000.78194,66924.180,75326.117
10/17/2013,18:56,000.78889,67146.656,75421.844
10/17/2013,19:06,000.79583,67364.852,75517.562
10/17/2013,19:16,000.80278,67591.711,75613.281
10/17/2013,19:26,000.80972,67768.891,75709.000
10/17/2013,19:36,000.81667,67981.641,75804.727
10/17/2013,19:46,000.82361,68151.477,75900.445
10/17/2013,19:56,000.83056,68388.750,75996.164
10/17/2013,20:06,000.83750,68651.680,76091.891
10/17/2013,20:16,000.84444,68810.070,76187.609
10/17/2013,20:26,000.85139,69054.039,76283.328
10/17/2013,20:36,000.85833,69211.687,76379.047
10/17/2013,20:46,000.86528,69400.391,76474.773
10/17/2013,20:56,000.87222,69600.648,76570.492
10/17/2013,21:06,000.87917,69774.672,76666.211
10/17/2013,21:16,000.88611,69882.320,76761.937
10/17/2013,21:26,000.89306,70167.016,76857.656
10/17/2013,21:36,000.90000,70395.570,76953.375
10/17/2013,21:46,000.90694,70525.414,77049.094
10/17/2013,21:56,000.91389,70618.898,77144.820
10/17/2013,22:06,000.92083,70839.523,77240.539
10/17/2013,22:16,000.92778,70857.430,77336.258
10/17/2013,22:26,000.93472,71086.125,77431.984
10/17/2013,22:36,000.94167,71344.016,77527.703
10/17/2013,22:46,000.94861,71421.836,77623.422
10/17/2013,22:56,000.95556,71635.992,77719.141
10/17/2013,23:06,000.96250,71837.133,77814.867
10/17/2013,23:16,000.96944,71900.961,77910.586
10/17/2013,23:26,000.97639,72019.859,78006.305
10/17/2013,23:36,000.98333,72167.219,78102.031
10/17/2013,23:46,000.99028,72358.031,78197.750
10/17/2013,23:56,000.99722,72412.617,78293.469
10/18/2013,00:06,001.00417,72581.055,78389.195
10/18/2013,00:16,001.01111,72653.742,78484.914
10/18/2013,00:26,001.01806,72772.133,78580.633
10/18/2013,00:36,001.02500,72983.430,78676.352
10/18/2013,00:46,001.03194,73010.117,78772.078
10/18/2013,00:56,001.03889,73183.211,78867.797
10/18/2013,01:06,001.04583,73311.898,78963.516
10/18/2013,01:16,001.05278,73358.047,79059.242
10/18/2013,01:26,001.05972,73490.781,79154.961
10/18/2013,01:36,001.06667,73701.078,79250.680
10/18/2013,01:46,001.07361,73744.531,79346.398
10/18/2013,01:56,001.08056,73989.539,79442.125
10/18/2013,02:06,001.08750,74082.719,79537.844
10/18/2013,02:16,001.09444,74243.133,79633.562
10/18/2013,02:26,001.10139,74343.437,79729.289
10/18/2013,02:36,001.10833,74532.086,79825.008
10/18/2013,02:46,001.11528,74535.734,79920.727
10/18/2013,02:56,001.12222,74568.844,80016.445
10/18/2013,03:06,001.12917,74769.000,80112.172
10/18/2013,03:16,001.13611,74807.641,80207.891
10/18/2013,03:26,001.14306,75015.453,80303.609
10/18/2013,03:36,001.15000,75192.250,80399.336
10/18/2013,03:46,001.15694,75290.039,80495.055
10/18/2013,03:56,001.16389,75412.609,80590.773
10/18/2013,04:06,001.17083,75549.742,80686.492
10/18/2013,04:16,001.17778,75684.414,80782.219
10/18/2013,04:26,001.18472,75816.437,80877.937
10/18/2013,04:36,001.19167,75964.656,80973.656
10/18/2013,04:46,001.19861,76021.555,81069.383
10/18/2013,04:56,001.20556,76189.742,81165.102
10/18/2013,05:06,001.21250,76432.289,81260.820
10/18/2013,05:16,001.21944,76519.562,81356.539
10/18/2013,05:26,001.22639,76722.414,81452.266
10/18/2013,05:36,001.23333,76898.281,81547.984
10/18/2013,05:46,001.24028,77064.375,81643.703
10/18/2013,05:56,001.24722,77184.445,81739.430
10/18/2013,06:06,001.25417,77386.164,81835.148
10/18/2013,06:16,001.26111,77590.867,81930.867
10/18/2013,06:26,001.26806,77758.055,82026.586
10/18/2013,06:36,001.27500,77979.258,82122.312
10/18/2013,06:46,001.28194,78213.109,82218.031
10/18/2013,06:56,001.28889,78289.187,82313.750
10/18/2013,07:06,001.29583,78567.023,82409.477
10/18/2013,07:16,001.30278,78706.906,82505.195
10/18/2013,07:26,001.30972,78947.117,82600.914
10/18/2013,07:36,001.31667,79191.297,82696.633
10/18/2013,07:46,001.32361,79462.023,82792.359
10/18/2013,07:56,001.33056,79713.695,82888.078
10/18/2013,08:06,001.33750,80021.078,82983.797
10/18/2013,08:16,001.34444,80250.078,83079.523
10/18/2013,08:26,001.35139,80538.000,83175.242
10/18/2013,08:36,001.35833,80825.047,83270.961
10/18/2013,08:46,001.36528,81007.211,83366.680
10/18/2013,08:56,001.37222,81235.789,83462.406
10/18/2013,09:06,001.37917,81597.414,83558.125
10/18/2013,09:16,001.38611,81743.805,83653.844
10/18/2013,09:26,001.39306,81901.844,83749.570
10/18/2013,09:36,001.40000,82249.352,83845.289
10/18/2013,09:46,001.40694,82448.781,83941.008
10/18/2013,09:56,001.41389,82733.703,84036.727
10/18/2013,10:06,001.42083,82948.836,84132.453
10/18/2013,10:16,001.42778,83138.625,84228.172
10/18/2013,10:26,001.43472,83428.937,84323.891
10/18/2013,10:36,001.44167,83633.406,84419.617
