LumiCycle: 2013-10-17WT+U2OSLuc_3-2_1 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
10/17/2013,11:05,000.46181,16587.703,14276.711
10/17/2013,11:15,000.46875,16587.703,14296.851
10/17/2013,11:25,000.47569,16452.623,14316.990
10/17/2013,11:35,000.48264,16410.131,14337.130
10/17/2013,11:45,000.48958,16348.832,14357.270
10/17/2013,11:55,000.49653,16253.273,14377.410
10/17/2013,12:05,000.50347,16253.273,14397.550
10/17/2013,12:15,000.51042,16243.400,14417.689
10/17/2013,12:25,000.51736,16220.675,14437.829
10/17/2013,12:35,000.52431,16207.041,14457.969
10/17/2013,12:45,000.53125,16105.099,14478.108
10/17/2013,12:55,000.53819,15961.005,14498.249
10/17/2013,13:05,000.54514,15824.221,14518.389
10/17/2013,13:15,000.55208,15434.542,14538.528
10/17/2013,13:25,000.55903,14999.155,14558.668
10/17/2013,13:35,000.56597,14642.023,14578.808
10/17/2013,13:45,000.57292,14384.640,14598.947
10/17/2013,13:55,000.57986,14161.918,14619.088
10/17/2013,14:05,000.58681,13998.354,14639.228
10/17/2013,14:15,000.59375,13961.919,14659.367
10/17/2013,14:25,000.60069,13961.919,14679.507
10/17/2013,14:35,000.60764,14016.226,14699.646
10/17/2013,14:45,000.61458,14154.238,14719.787
10/17/2013,14:55,000.62153,14410.751,14739.927
10/17/2013,15:05,000.62847,14757.782,14760.066
10/17/2013,15:15,000.63542,15137.912,14780.206
10/17/2013,15:25,000.64236,15515.387,14800.346
10/17/2013,15:35,000.64931,15873.036,14820.485
10/17/2013,15:45,000.65625,16063.560,14840.626
10/17/2013,15:55,000.66319,16074.626,14860.766
10/17/2013,16:05,000.67014,16074.626,14880.905
10/17/2013,16:15,000.67708,15979.614,14901.045
10/17/2013,16:25,000.68403,15787.138,14921.185
10/17/2013,16:35,000.69097,15476.024,14941.325
10/17/2013,16:45,000.69792,14852.742,14961.465
10/17/2013,16:55,000.70486,13876.887,14981.604
10/17/2013,17:05,000.71181,13221.322,15001.744
10/17/2013,17:15,000.71875,12926.213,15021.884
10/17/2013,17:25,000.72569,12817.937,15042.023
10/17/2013,17:35,000.73264,12795.044,15062.164
10/17/2013,17:45,000.73958,12795.044,15082.304
10/17/2013,17:55,000.74653,12835.010,15102.443
10/17/2013,18:05,000.75347,12885.389,15122.583
10/17/2013,18:15,000.76042,13049.560,15142.723
10/17/2013,18:25,000.76736,13230.851,15162.862
10/17/2013,18:35,000.77431,13540.257,15183.003
10/17/2013,18:45,000.78125,14007.598,15203.143
10/17/2013,18:55,000.78819,14447.294,15223.282
10/17/2013,19:05,000.79514,14773.561,15243.422
10/17/2013,19:15,000.80208,15043.930,15263.562
10/17/2013,19:25,000.80903,15221.583,15283.702
10/17/2013,19:35,000.81597,15529.341,15303.842
10/17/2013,19:45,000.82292,15538.704,15323.981
10/17/2013,19:55,000.82986,15538.704,15344.121
10/17/2013,20:05,000.83681,15361.316,15364.261
10/17/2013,20:15,000.84375,15213.599,15384.400
10/17/2013,20:25,000.85069,14886.652,15404.541
10/17/2013,20:35,000.85764,14418.928,15424.681
10/17/2013,20:45,000.86458,13755.791,15444.820
10/17/2013,20:55,000.87153,13137.974,15464.960
10/17/2013,21:05,000.87847,12562.836,15485.100
10/17/2013,21:15,000.88542,12130.036,15505.239
10/17/2013,21:25,000.89236,12059.226,15525.380
10/17/2013,21:35,000.89931,12059.226,15545.520
10/17/2013,21:45,000.90625,12122.280,15565.659
10/17/2013,21:55,000.91319,12279.844,15585.799
10/17/2013,22:05,000.92014,12542.525,15605.938
10/17/2013,22:15,000.92708,12922.136,15626.079
10/17/2013,22:25,000.93403,13353.427,15646.219
10/17/2013,22:35,000.94097,13718.907,15666.358
10/17/2013,22:45,000.94792,14054.830,15686.498
10/17/2013,22:55,000.95486,14312.456,15706.638
10/17/2013,23:05,000.96181,14572.795,15726.777
10/17/2013,23:15,000.96875,14754.461,15746.918
10/17/2013,23:25,000.97569,14754.461,15767.058
10/17/2013,23:35,000.98264,14710.884,15787.197
10/17/2013,23:45,000.98958,14625.243,15807.337
10/17/2013,23:55,000.99653,14467.668,15827.477
10/18/2013,00:05,001.00347,14246.704,15847.616
10/18/2013,00:15,001.01042,13933.891,15867.757
10/18/2013,00:25,001.01736,13483.337,15887.896
10/18/2013,00:35,001.02431,12850.330,15908.036
10/18/2013,00:45,001.03125,12265.885,15928.176
10/18/2013,00:55,001.03819,11631.480,15948.315
10/18/2013,01:05,001.04514,11477.170,15968.456
