Hours,cfl-1,cfl-2,cfl-3,cfl-4,cfl-5,cfl-6,cfl-7,cfl-8,ncfl-1,ncfl-2,ncfl-3,ncfl-4,ncfl-5,ncfl-6,ncfl-7,ncfl-8
0,10459423,5176479,8422897,5013091,6307882,6708918,6255704,5881268,8053329,5490507,8171484,5615479,12543069,6501585,6746098,5760181.5
0.166666667,9572923,4703955,7597720,4538236,5772736,6164155,5731049,5262870,8111161,5520097,8193894,5624075,12696559,6455594,6732675,5763799
0.333333333,9200467,4558152,7078963,4361990,5546132,5930504,5444544,5014183,8130201,5537481,8236102,5667595,12710844,6446877,6694826,5781034
0.5,8969066,4424988,6807043,4236386,5347497,5729199,5219476,4926203,8137578.5,5472626,8206386.5,5637813,12596334,6504106.5,6665708.5,5741250
0.666666667,8669877,4288576,6444715,4158326,5175248,5677998,5095514,4795074,8204230,5505635,8138552,5612447,12537443,6602992,6673907.5,5689402
0.833333333,8495187,4221736,6192772,4130229,4997995,5578857,4982978,4696882,8221918.5,5516571,8140039,5655379,12334158,6569748.5,6655685.5,5649094
1,8348473,4149245,6082204,4048373,4969442,5379656,4865645,4643640,8216016,5507815,8123225.5,5659246,12193294,6461127,6667077,5615673
1.166666667,7984854,4108274,5930860,4005241,4687224,5232463,4711238,4595038,8354809,5500317,8161040,5641184,12188352,6506355.5,6688406.5,5623432
1.333333333,7984854,4108274,5930860,4005241,4687224,5249168,4711238,4595038,8405145,5464664,8181982,5641425,12293122,6514923,6693645,5586189
1.5,7826737,4080387,5801049,3980087,4644832,5198309,4635731,4538466,8360607,5486477,8343179,5598747,12550903,6578029,6668629.5,5627858
1.666666667,7805200,4100991,5776702,3961408,4597346,5230891,4612510,4537858,8382857,5416170,8431241,5560142,12622099,6609088.5,6656657,5694920
1.833333333,7786293,4044484,5830201,3963474,4545374,5228428,4531919,4523088,8482993,5398551,8474290,5554596,12490440,6553517,6689524.5,5662457
2,7786918,4087941,5792249,3985055,4527801,5232704,4576631,4476676,8579337,5397659,8414044,5519692,12427718,6482762,6717854.5,5689833
2.166666667,7786918,4087941,5792249,3985055,4527801,5232704,4576631,4476676,8555140,5407691,8395130,5561245,12340417,6465890,6722290,5660067
2.333333333,7836685,4065573,5801113,3974918,4544451,5228621,4587123,4424300,8627530,5416271,8426482,5585714,12147636,6560344.5,6707887,5631578
2.5,7955771,4118132,5800309,4023823,4555281,5263736,4587605,4439862,8676435,5458824,8444360,5653776,12130271,6585392,6628733,5593960
2.666666667,8024578,4134652,5844437,4027678,4548737,5260320,4568060,4508483,8626357,5548968,8494009,5701412,12207804,6543418.5,6651026.5,5585537
2.833333333,8046508,4174204,5853478,4037120,4625837,5257670,4542521,4506264,8613753,5539477,8549228,5704640,12181603,6580910,6671614,5615826
3,8091812,4211067,5869656,4035133,4558248,5292601,4599128,4486839,8679045,5489410,8489601,5769756.5,12044503,6565711,6630947,5587295
3.166666667,8099509,4220956,5917771,4038194,4563446,5267343,4649818,4544758,8832459,5510783,8527888,5786049,12061128,6555936,6637685,5591426
3.333333333,8124098,4226345,5995681,4096905,4620092,5215399,4646914,4577336,8948202,5493455,8554138,5846779,12110566,6569692,6661502.5,5661056
3.5,8149499,4240702,5991718,4102590,4633377,5166922,4668582,4596977,9051761,5534091,8504948,5862857,12022093,6531348,6632171.5,5610532
3.666666667,8186600,4287433,5983860,4078794,4682273,5145992,4692709,4628646,9100274,5492844,8461396,5844647.5,12041476,6491249,6566243.5,5629474
3.833333333,8229752,4294292,6041289,4083092,4664769,5125772,4685057,4636474,9167832,5469341,8450438,5862392,11999396,6474683,6610851,5640784
4,8300832,4339910,6046099,4134903,4703888,5112431,4746849,4649027,9128644,5539613,8491564,5848474,11788941,6450350,6625149,5655338
4.166666667,8304631,4377766,6050916,4118400,4740019,5089805,4786287,4708795,9108681,5482139,8456187,5908306,11688421,6476772,6579606,5651531
4.333333333,8366361.5,4376168,6067848,4107224,4724358,5074034,4813849,4804492,9096219,5482949,8434020,5863076,11815803,6446335,6666359.5,5678285
4.5,8452125,4404062,6084661,4109184,4731645,5029567,4837934,4804543,9085208,5492796,8402903,5803224,11678568,6430097,6677105,5696216
4.666666667,8413188,4460169,6064609,4060000,4801265,5057314,4883746,4854222,9160788,5482178,8292179,5809223,11520906,6447108,6666810.5,5666769
4.833333333,8413188,4460169,6064609,4060000,4801265,5057314,4883746,4854222,9173111,5489752,8234710,5875465.5,11529678,6473049,6666421.5,5654017
5,8453019,4484676,6085464,4017140,4807874,5066519,4930968,4890535,9213754,5515896,8239923,5850997,11575006,6444698,6684617,5623272
5.166666667,8496498,4427693,6117996,4047419,4867501,5026538,5006911,4857341,9229603,5477080,8173095,5818225,11552521,6357999.5,6722227,5691957
5.333333333,8448657,4464215,6126654,4074437,4856976,5012905,5016372,4884852,9216450,5515349,8157309,5806316,11509850,6380583,6693966,5679292
5.5,8388966,4428963,6134861,4054023,4886580,5004012,5021581,4910942,9232834,5570323,8135076,5806871,11724489,6372040.5,6754505,5617714
5.666666667,8204432,4343067,6006343,4051364,4907594,5022622,5051639,4824114,9286590,5562187,8048640,5812057,11825700,6358341,6784338,5628174
