Hours,C1,C2,C3,C4,C5,C6,C7,C8
0,10459423,5176479,8422897,5013091,6307882,6708918,6255704,5881268
0.166666667,9572923,4703955,7597720,4538236,5772736,6164155,5731049,5262870
0.333333333,9200467,4558152,7078963,4361990,5546132,5930504,5444544,5014183
0.5,8969066,4424988,6807043,4236386,5347497,5729199,5219476,4926203
0.666666667,8669877,4288576,6444715,4158326,5175248,5677998,5095514,4795074
0.833333333,8495187,4221736,6192772,4130229,4997995,5578857,4982978,4696882
1,8348473,4149245,6082204,4048373,4969442,5379656,4865645,4643640
1.166666667,7984854,4108274,5930860,4005241,4687224,5232463,4711238,4595038
1.333333333,7984854,4108274,5930860,4005241,4687224,5249168,4711238,4595038
1.5,7826737,4080387,5801049,3980087,4644832,5198309,4635731,4538466
1.666666667,7805200,4100991,5776702,3961408,4597346,5230891,4612510,4537858
1.833333333,7786293,4044484,5830201,3963474,4545374,5228428,4531919,4523088
2,7786918,4087941,5792249,3985055,4527801,5232704,4576631,4476676
2.166666667,7786918,4087941,5792249,3985055,4527801,5232704,4576631,4476676
2.333333333,7836685,4065573,5801113,3974918,4544451,5228621,4587123,4424300
2.5,7955771,4118132,5800309,4023823,4555281,5263736,4587605,4439862
2.666666667,8024578,4134652,5844437,4027678,4548737,5260320,4568060,4508483
2.833333333,8046508,4174204,5853478,4037120,4625837,5257670,4542521,4506264
3,8091812,4211067,5869656,4035133,4558248,5292601,4599128,4486839
3.166666667,8099509,4220956,5917771,4038194,4563446,5267343,4649818,4544758
3.333333333,8124098,4226345,5995681,4096905,4620092,5215399,4646914,4577336
3.5,8149499,4240702,5991718,4102590,4633377,5166922,4668582,4596977
3.666666667,8186600,4287433,5983860,4078794,4682273,5145992,4692709,4628646
3.833333333,8229752,4294292,6041289,4083092,4664769,5125772,4685057,4636474
4,8300832,4339910,6046099,4134903,4703888,5112431,4746849,4649027
4.166666667,8304631,4377766,6050916,4118400,4740019,5089805,4786287,4708795
4.333333333,8366361.5,4376168,6067848,4107224,4724358,5074034,4813849,4804492
4.5,8452125,4404062,6084661,4109184,4731645,5029567,4837934,4804543
4.666666667,8413188,4460169,6064609,4060000,4801265,5057314,4883746,4854222
4.833333333,8413188,4460169,6064609,4060000,4801265,5057314,4883746,4854222
5,8453019,4484676,6085464,4017140,4807874,5066519,4930968,4890535
5.166666667,8496498,4427693,6117996,4047419,4867501,5026538,5006911,4857341
5.333333333,8448657,4464215,6126654,4074437,4856976,5012905,5016372,4884852
5.5,8388966,4428963,6134861,4054023,4886580,5004012,5021581,4910942
5.666666667,8204432,4343067,6006343,4051364,4907594,5022622,5051639,4824114
5.833333333,7874441,4319228,5875836,4036789,4921198,5074717,5056732,4737939
6,7874441,4319228,5875836,4036789,4921198,5074717,5056732,4737939
6.166666667,7790633,4310057,5774333,3998192,4910887,5046371,5041348,4681996
6.333333333,7694621,4223232,5725792,3985054,4866311,5041525,5057692,4649162
6.5,7600079,4152881,5712792,3994539,4879053,5059366,5038886,4617729
6.666666667,7634094,4195275,5612573,3971102,4898491,5048371,5019279,4589317
6.833333333,7547691,4141393,5637907,3930134,4840353,5043932,5038466,4535686
7,7453583,4120925,5667526,3913295,4800222,5008259,5045393,4558121
7.166666667,7401002,4078079,5556394,3923015,4813013,4982800,4920037,4507728
7.333333333,7401002,4078079,5556394,3923015,4813013,4982800,4920037,4507728
7.5,7285495,4094508,5485534,3921280,4832136,4993355,4911308,4503879
7.666666667,7196048,4079901,5525059,3937547,4846387,5000499,4970014,4503838
7.833333333,7196048,4079901,5525059,3937547,4846387,5000499,4970014,4503838
8,7157477,4071901,5513284,3955102,4861176,5056646,4994692,4514072
8.166666667,7120033,4048612,5518995,3947172,4917387,5103649,5034695,4498457
8.333333333,7121770,4068833,5539406,3938160,4968486,5169689,5038510,4577683
8.5,7173983,4106513,5564812,3987631,4948482,5182719,5059028,4561317
8.666666667,7198949,4131283,5619720,4004820,4968910,5191682,5056251,4591940
8.833333333,7250783,4154310,5698602,3995426,5036642,5263369,5102253,4659700
9,7401102,4170901,5718217,3996484,5128924,5351517,5183794,4658270
9.166666667,7433125,4233708,5773990,4024163,5206721,5408347,5212183,4736081
9.333333333,7413738,4246926,5831740,4062009,5185054,5434729,5202261,4823240
9.5,7551782,4262384,5864308,4062453,5183505,5453035,5273982,4819283
9.666666667,7651415,4399272,5998308,4127348,5366921,5627563,5410852,4942018
9.833333333,7654695,4399272,5998308,4127348,5366921,5627563,5410852,4942018
10,7901803,4463480,6237560,4185621.75,5501665,5780813,5614623,5079737
10.16666667,8113892,4523871,6418765,4241596,5648071,5932092,5794003,5250744
10.33333333,8211708,4620342,6454748,4230387,5691433,6016006,5872563,5347289
10.5,8231210,4619809,6456859,4225905,5690506,6125484,5955754,5389261
10.66666667,8239919,4643060,6500145,4272343,5732525,6203043,5984530,5469717
10.83333333,8265716,4677130,6467199,4274386,5760735,6252806,5985138,5512333
11,8360914,4667201,6444964,4252105,5890764,6221003,6025886,5577597
11.16666667,8360914,4667201,6444964,4252105,5890764,6221003,6025886,5577597
11.33333333,8286259,4634594,6328630,4318682,5922256,6265630,6047419,5567844
11.5,8321622,4607705,6277217,4312704,5964996,6320986,6070926,5538228
11.66666667,8271863,4636499,6293503,4314781,5977896,6344841,6106342,5579664
11.83333333,8194565,4647612,6257653,4239815,5995386,6265900,6008113,5593980
12,8180910,4619175,6215400,4194250,5978064,6215681,6041880,5569632
12.16666667,8184895,4588900,6231067,4231501,5992341,6199165,6076669,5517668
12.33333333,8175435,4574315,6206687,4219300,5993942,6155190,6043539,5468949
12.5,8128084,4566002,6193025,4235974,6042039,6108562,6023352,5458081
12.66666667,8140483,4570470,6172179,4212909,6064298,6091822,6041830,5447845
12.83333333,8129157,4515650,6103082,4192742.75,6037227,6070959,6046033,5457274
13,8012910,4502597,6094544,4157739,6104657,6019624,6034497,5445349
13.16666667,7929553,4448484,6071408,4182186.75,6181492,5971080,6011452,5443907
13.33333333,7882975,4412758,6021666,4201267,6181734,5963563,6044183,5509026
13.5,7768628,4402750,6002492,4180691.25,6099286,5943228,6036771,5478602
13.66666667,7720085,4427553,5948174,4145237,6060022,5885947,6041254,5443158
13.83333333,7787501,4409911,5941486,4165119,6111010,5859969,6039699,5439175
14,7786167,4422446,5994978,4187220,6151263,5847293,6060576,5456965
14.16666667,7675959,4442944,6008695,4163777,6161690,5842494,6108961,5470938
14.33333333,7643617,4414051,5940252,4155192,6192009,5859153,6066810,5464250
14.5,7604956,4393113,5926313,4142248,6167282,5863257,6040833,5432463
14.66666667,7497282,4435065,5919229,4132023,6110723,5850763,6006213,5420392
14.83333333,7480509,4411420,5962505,4152163,6095174,5862866,5997034,5503067
15,7455141,4399505,5940751,4171522,6129937,5872072,6074375,5444924
15.16666667,7455141,4399505,5940751,4171522,6129937,5872072,6074375,5444924
15.33333333,7419198,4385983,5884585,4185707,6078331,5841948,6061796,5504516
15.5,7460407,4374274,5864602,4164802,6071251,5836055,6019199,5526821
15.66666667,7469072,4398436,5883218,4170621,6103975,5846266,5994422,5471414
15.83333333,7486627,4378986,5873285,4161016,6142624,5829405,6041382,5493374
16,7566802,4351964,5833178,4146034,6113876,5829265,6075340,5583346
16.16666667,7523596,4399558,5753071,4143029,6046697,5816054,5997983,5550560
16.33333333,7523596,4399558,5753071,4143029,6046697,5816054,5997983,5550560
16.5,7593055,4386033,5723238,4138274,6016065,5852188,6012543,5559690
16.66666667,7492884,4387990,5748019,4142859,6019329,5843092,6076787,5537033
16.83333333,7520779,4361597,5740947,4142283,6098655,5799357,6003795,5550076
17,7507551,4334584,5716800,4135508,6104184,5794035,5982246,5578058
17.16666667,7545686,4369325,5720074,4111596,6046947,5809716,6032189,5605052
17.33333333,7571265,4390321,5707070,4110911,6092889,5839543,5989883,5574012
17.5,7688130,4419319,5662019,4118540,6038372,5801687,5912373,5568987
17.66666667,7657082,4432333,5705768,4083152,6063186,5796105,5992671,5629892
17.83333333,7657082,4432333,5705768,4083152,6063186,5796105,5992671,5629892
18,7612381,4444484,5673847,4075219,6039603,5705607,5970687,5612817
18.16666667,7612760,4447392,5618332,4086603,5995449,5731641,5887756,5671268
18.33333333,7729199,4432642,5594347,4077812,6022218,5721578,5896609,5604947
18.5,7754517,4435478,5572034,4098029,6065618,5685785,5887069,5604346
18.66666667,7727927,4442749,5532959,4130919,5987071,5764258,5895092,5606314
18.83333333,7736728,4476105,5500972,4088978,6009266,5787342,5909037,5602070
19,7786912,4521884,5485260,4086275,6026481,5751293,5922247,5617757
19.16666667,7848545,4514781,5538213,4107713,5981247,5747175,5941533,5607020
19.33333333,7898314,4498911,5562003,4141014,5961579,5755352,5879099,5617251
19.5,7919125,4520373,5560461,4094417,5985599,5820693,5811368,5614975
19.66666667,7988470,4471009,5446094,4073074,5913140,5730160,5806741,5575599
19.83333333,7877076,4410852,5231906,4066533,5691325,5493443,5619787,5414564
20,7493510,4286558,4947730,3994860,5476542,5280578,5305348,5205757
20.16666667,7373315,4225582,4847703,3944194,5393240,5215707,5213870,5147451
20.33333333,7596045,4313841,4929821,3958647,5492829,5285907,5290597,5197549
20.5,8004016,4429466,5056123,4026149,5667020,5421558,5468754,5295497
20.66666667,8260356,4512081,5214408,4066858,5803581,5513181,5662106,5376389
20.83333333,8331705,4545495,5221509,4118114,5836315,5605396,5718640,5350456
21,8277559,4495297,5221449,4116374,5882783,5656723,5654684,5375044
21.16666667,8370867,4511407,5281510,4122062,5989146,5662226,5675603,5413762
21.33333333,8514262,4559289,5313616,4131788,6029757,5739755,5763962,5487828
21.5,8590152,4557824,5308740,4168908,6068374,5665322,5781363,5448152
21.66666667,8590152,4557824,5308740,4168908,6068374,5665322,5781363,5448152
21.83333333,8611312,4555937,5299198,4187395.75,6112636,5691744,5800242,5410850
22,8583127,4585938,5296641,4152275,6153599,5695387,5821176,5433757
22.16666667,8632742,4563450,5295535,4156218,6194117,5657310,5817631,5532783
22.33333333,8632742,4563450,5295535,4156218,6194117,5657310,5817631,5532783
22.5,8680988,4560406,5280475,4160904,6207717,5653134,5838162,5551140
22.66666667,8693639,4544591,5244109,4169593,6296652,5686419,5752277,5485068
22.83333333,8664797,4617987,5227955,4193207,6221118,5709252,5741473,5457054
