LumiCycle: 20140421WT$CRPB10+UL7$shCx43-9$shCx45-23_2 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
04/21/2014,10:27,000.43542,31722.916,32257.920
04/21/2014,10:37,000.44236,31722.916,32229.242
04/21/2014,10:47,000.44931,31029.539,32200.564
04/21/2014,10:57,000.45625,30599.449,32171.887
04/21/2014,11:07,000.46319,30144.824,32143.209
04/21/2014,11:17,000.47014,29490.117,32114.531
04/21/2014,11:27,000.47708,28359.818,32085.854
04/21/2014,11:37,000.48403,26848.035,32057.176
04/21/2014,11:47,000.49097,25976.863,32028.498
04/21/2014,11:57,000.49792,25556.084,31999.820
04/21/2014,12:07,000.50486,25393.725,31971.143
04/21/2014,12:17,000.51181,25393.725,31942.465
04/21/2014,12:27,000.51875,25562.379,31913.787
04/21/2014,12:37,000.52569,25876.350,31885.109
04/21/2014,12:47,000.53264,26291.762,31856.432
04/21/2014,12:57,000.53958,26798.660,31827.754
04/21/2014,13:07,000.54653,27418.133,31799.076
04/21/2014,13:17,000.55347,28228.262,31770.398
04/21/2014,13:27,000.56042,29252.217,31741.721
04/21/2014,13:37,000.56736,30261.855,31713.043
04/21/2014,13:47,000.57431,31063.629,31684.365
04/21/2014,13:57,000.58125,31614.656,31655.687
04/21/2014,14:07,000.58819,31992.982,31627.010
04/21/2014,14:17,000.59514,32092.404,31598.332
04/21/2014,14:27,000.60208,32092.404,31569.654
04/21/2014,14:37,000.60903,31824.883,31540.977
04/21/2014,14:47,000.61597,31311.900,31512.299
04/21/2014,14:57,000.62292,30338.486,31483.621
04/21/2014,15:07,000.62986,28603.633,31454.943
04/21/2014,15:17,000.63681,26963.129,31426.266
04/21/2014,15:27,000.64375,26126.186,31397.588
04/21/2014,15:37,000.65069,25651.623,31368.910
04/21/2014,15:47,000.65764,25651.623,31340.232
04/21/2014,15:57,000.66458,25723.203,31311.555
04/21/2014,16:07,000.67153,26030.516,31282.877
04/21/2014,16:17,000.67847,26906.018,31254.199
