LumiCycle: 20140421WT$CRPB10+UL7$shCx43-9_2 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
04/21/2014,10:23,000.43264,26580.225,27073.199
04/21/2014,10:33,000.43958,26580.225,27044.398
04/21/2014,10:43,000.44653,25987.215,27015.598
04/21/2014,10:53,000.45347,25816.070,26986.797
04/21/2014,11:03,000.46042,25723.322,26957.996
04/21/2014,11:13,000.46736,25334.398,26929.195
04/21/2014,11:23,000.47431,24113.711,26900.395
04/21/2014,11:33,000.48125,22881.611,26871.594
04/21/2014,11:43,000.48819,22379.863,26842.793
04/21/2014,11:53,000.49514,22235.408,26813.992
04/21/2014,12:03,000.50208,22235.408,26785.191
04/21/2014,12:13,000.50903,22325.930,26756.391
04/21/2014,12:23,000.51597,22512.785,26727.588
04/21/2014,12:33,000.52292,22800.971,26698.787
04/21/2014,12:43,000.52986,23096.762,26669.986
04/21/2014,12:53,000.53681,23446.531,26641.186
04/21/2014,13:03,000.54375,23715.193,26612.385
04/21/2014,13:13,000.55069,23985.629,26583.584
04/21/2014,13:23,000.55764,24331.797,26554.783
04/21/2014,13:33,000.56458,24601.492,26525.982
04/21/2014,13:43,000.57153,24879.859,26497.182
04/21/2014,13:53,000.57847,25123.828,26468.381
04/21/2014,14:03,000.58542,25333.467,26439.580
04/21/2014,14:13,000.59236,25553.980,26410.779
04/21/2014,14:23,000.59931,25851.057,26381.979
04/21/2014,14:33,000.60625,26277.154,26353.178
04/21/2014,14:43,000.61319,26754.125,26324.375
04/21/2014,14:53,000.62014,27315.002,26295.574
04/21/2014,15:03,000.62708,27910.350,26266.773
04/21/2014,15:13,000.63403,28475.406,26237.973
04/21/2014,15:23,000.64097,28705.957,26209.172
04/21/2014,15:33,000.64792,28705.957,26180.371
04/21/2014,15:43,000.65486,28284.734,26151.570
04/21/2014,15:53,000.66181,27409.734,26122.770
04/21/2014,16:03,000.66875,26335.773,26093.969
04/21/2014,16:13,000.67569,25097.984,26065.168
04/21/2014,16:23,000.68264,24007.193,26036.367
04/21/2014,16:33,000.68958,23452.113,26007.566
04/21/2014,16:43,000.69653,23175.400,25978.766
04/21/2014,16:53,000.70347,23175.400,25949.965
04/21/2014,17:03,000.71042,23190.518,25921.162
04/21/2014,17:13,000.71736,23367.646,25892.361
04/21/2014,17:23,000.72431,23622.977,25863.561
04/21/2014,17:33,000.73125,23998.486,25834.760
04/21/2014,17:43,000.73819,24440.139,25805.959
04/21/2014,17:53,000.74514,25157.400,25777.158
04/21/2014,18:03,000.75208,25924.531,25748.357
04/21/2014,18:13,000.75903,26622.816,25719.557
04/21/2014,18:23,000.76597,27298.855,25690.756
04/21/2014,18:33,000.77292,28045.781,25661.955
04/21/2014,18:43,000.77986,28417.545,25633.154
04/21/2014,18:53,000.78681,28626.301,25604.354
04/21/2014,19:03,000.79375,28626.301,25575.553
04/21/2014,19:13,000.80069,28163.699,25546.752
04/21/2014,19:23,000.80764,27194.443,25517.949
04/21/2014,19:33,000.81458,26055.715,25489.148
04/21/2014,19:43,000.82153,24952.301,25460.348
04/21/2014,19:53,000.82847,23841.699,25431.547
04/21/2014,20:03,000.83542,23064.514,25402.746
04/21/2014,20:13,000.84236,22659.807,25373.945
04/21/2014,20:23,000.84931,22559.281,25345.145
04/21/2014,20:33,000.85625,22559.281,25316.344
04/21/2014,20:43,000.86319,22685.322,25287.543
04/21/2014,20:53,000.87014,22901.150,25258.742
04/21/2014,21:03,000.87708,23234.082,25229.941
04/21/2014,21:13,000.88403,23645.129,25201.141
04/21/2014,21:23,000.89097,24309.326,25172.340
04/21/2014,21:33,000.89792,25023.336,25143.539
04/21/2014,21:43,000.90486,25621.992,25114.736
04/21/2014,21:53,000.91181,26162.660,25085.936
04/21/2014,22:03,000.91875,26735.299,25057.135
04/21/2014,22:13,000.92569,27308.135,25028.334
04/21/2014,22:23,000.93264,27628.299,24999.533
04/21/2014,22:33,000.93958,27628.299,24970.732
04/21/2014,22:43,000.94653,27575.291,24941.932
04/21/2014,22:53,000.95347,27008.863,24913.131
04/21/2014,23:03,000.96042,26199.746,24884.330
04/21/2014,23:13,000.96736,25264.023,24855.529
04/21/2014,23:23,000.97431,24469.285,24826.729
04/21/2014,23:33,000.98125,23642.828,24797.928
04/21/2014,23:43,000.98819,22893.957,24769.127
04/21/2014,23:53,000.99514,22358.033,24740.326
04/22/2014,00:03,001.00208,22150.494,24711.523
04/22/2014,00:13,001.00903,22150.494,24682.723
04/22/2014,00:23,001.01597,22188.533,24653.922
04/22/2014,00:33,001.02292,22418.662,24625.121
04/22/2014,00:43,001.02986,22820.066,24596.320
04/22/2014,00:53,001.03681,23411.230,24567.520
04/22/2014,01:03,001.04375,24033.070,24538.719
04/22/2014,01:13,001.05069,24607.000,24509.918
04/22/2014,01:23,001.05764,25171.775,24481.117
04/22/2014,01:33,001.06458,25663.553,24452.316
04/22/2014,01:43,001.07153,26206.729,24423.516
04/22/2014,01:53,001.07847,26525.111,24394.715
04/22/2014,02:03,001.08542,26781.947,24365.914
04/22/2014,02:13,001.09236,26781.947,24337.113
04/22/2014,02:23,001.09931,26659.631,24308.311
04/22/2014,02:33,001.10625,26116.088,24279.510
04/22/2014,02:43,001.11319,25387.598,24250.709
04/22/2014,02:53,001.12014,24687.592,24221.908
04/22/2014,03:03,001.12708,23960.062,24193.107
04/22/2014,03:13,001.13403,23343.367,24164.307
04/22/2014,03:23,001.14097,22747.150,24135.506
04/22/2014,03:33,001.14792,22362.094,24106.705
04/22/2014,03:43,001.15486,22131.711,24077.904
04/22/2014,03:53,001.16181,22131.711,24049.104
04/22/2014,04:03,001.16875,22277.869,24020.303
04/22/2014,04:13,001.17569,22621.660,23991.502
04/22/2014,04:23,001.18264,23190.275,23962.701
04/22/2014,04:33,001.18958,23724.699,23933.900
04/22/2014,04:43,001.19653,24256.814,23905.098
04/22/2014,04:53,001.20347,24724.287,23876.297
04/22/2014,05:03,001.21042,25213.725,23847.496
04/22/2014,05:13,001.21736,25604.250,23818.695
04/22/2014,05:23,001.22431,26024.619,23789.895
04/22/2014,05:33,001.23125,26318.227,23761.094
04/22/2014,05:43,001.23819,26354.291,23732.293
04/22/2014,05:53,001.24514,26354.291,23703.492
04/22/2014,06:03,001.25208,26118.385,23674.691
04/22/2014,06:13,001.25903,25514.580,23645.891
04/22/2014,06:23,001.26597,24827.695,23617.090
04/22/2014,06:33,001.27292,24257.398,23588.289
04/22/2014,06:43,001.27986,23741.314,23559.488
04/22/2014,06:53,001.28681,23204.254,23530.687
04/22/2014,07:03,001.29375,22784.902,23501.885
04/22/2014,07:13,001.30069,22450.486,23473.084
04/22/2014,07:23,001.30764,22432.857,23444.283
04/22/2014,07:33,001.31458,22432.857,23415.482
04/22/2014,07:43,001.32153,22802.592,23386.682
04/22/2014,07:53,001.32847,23327.566,23357.881
04/22/2014,08:03,001.33542,23792.479,23329.080
04/22/2014,08:13,001.34236,24226.984,23300.279
04/22/2014,08:23,001.34931,24652.666,23271.479
04/22/2014,08:33,001.35625,25093.652,23242.678
04/22/2014,08:43,001.36319,25430.275,23213.877
04/22/2014,08:53,001.37014,25736.297,23185.076
04/22/2014,09:03,001.37708,25985.805,23156.275
04/22/2014,09:13,001.38403,26001.484,23127.475
04/22/2014,09:23,001.39097,26001.484,23098.672
04/22/2014,09:33,001.39792,25753.803,23069.871
04/22/2014,09:43,001.40486,25264.338,23041.070
04/22/2014,09:53,001.41181,24657.975,23012.270
04/22/2014,10:03,001.41875,24151.264,22983.469
04/22/2014,10:13,001.42569,23638.535,22954.668
04/22/2014,10:23,001.43264,23183.180,22925.867
04/22/2014,10:33,001.43958,22802.723,22897.066
04/22/2014,10:43,001.44653,22505.678,22868.266
04/22/2014,10:53,001.45347,22383.812,22839.465
04/22/2014,11:03,001.46042,22383.812,22810.664
04/22/2014,11:13,001.46736,22767.527,22781.863
