LumiCycle: 20140421WT$CRPB10+UL7_1 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
04/21/2014,10:21,000.43125,31358.234,36308.789
04/21/2014,10:31,000.43819,31358.234,36290.168
04/21/2014,10:41,000.44514,30507.797,36271.547
04/21/2014,10:51,000.45208,30080.369,36252.926
04/21/2014,11:01,000.45903,29431.137,36234.309
04/21/2014,11:11,000.46597,27706.402,36215.687
04/21/2014,11:21,000.47292,24444.809,36197.066
04/21/2014,11:31,000.47986,23397.596,36178.445
04/21/2014,11:41,000.48681,23000.486,36159.824
04/21/2014,11:51,000.49375,23000.486,36141.207
04/21/2014,12:01,000.50069,23051.850,36122.586
04/21/2014,12:11,000.50764,23220.664,36103.965
04/21/2014,12:21,000.51458,23489.129,36085.344
04/21/2014,12:31,000.52153,23796.252,36066.727
04/21/2014,12:41,000.52847,24095.549,36048.105
04/21/2014,12:51,000.53542,24465.092,36029.484
04/21/2014,13:01,000.54236,24815.365,36010.863
04/21/2014,13:11,000.54931,25131.779,35992.246
04/21/2014,13:21,000.55625,25458.459,35973.625
04/21/2014,13:31,000.56319,25819.336,35955.004
04/21/2014,13:41,000.57014,26129.432,35936.383
04/21/2014,13:51,000.57708,26443.238,35917.766
04/21/2014,14:01,000.58403,26757.840,35899.145
04/21/2014,14:11,000.59097,27019.336,35880.523
04/21/2014,14:21,000.59792,27248.799,35861.902
04/21/2014,14:31,000.60486,27501.668,35843.281
04/21/2014,14:41,000.61181,27813.932,35824.664
04/21/2014,14:51,000.61875,28047.010,35806.043
04/21/2014,15:01,000.62569,28352.271,35787.422
04/21/2014,15:11,000.63264,28689.869,35768.801
04/21/2014,15:21,000.63958,29274.920,35750.184
04/21/2014,15:31,000.64653,30153.857,35731.562
04/21/2014,15:41,000.65347,30992.418,35712.941
04/21/2014,15:51,000.66042,32284.664,35694.320
04/21/2014,16:01,000.66736,33568.559,35675.703
04/21/2014,16:11,000.67431,34349.727,35657.082
04/21/2014,16:21,000.68125,34349.727,35638.461
04/21/2014,16:31,000.68819,34212.527,35619.840
04/21/2014,16:41,000.69514,33111.328,35601.223
04/21/2014,16:51,000.70208,31578.641,35582.602
04/21/2014,17:01,000.70903,29259.682,35563.980
04/21/2014,17:11,000.71597,27594.043,35545.359
