LumiCycle: 20140424WT$CRPB10+UL7$shCx43-9$shCx45-4_2 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
04/24/2014,10:00,000.41667,35360.645,27413.332
04/24/2014,10:10,000.42361,35360.645,27378.604
04/24/2014,10:20,000.43056,34765.687,27343.875
04/24/2014,10:30,000.43750,34612.402,27309.146
04/24/2014,10:40,000.44444,34325.707,27274.418
04/24/2014,10:50,000.45139,33934.887,27239.689
04/24/2014,11:00,000.45833,32946.797,27204.961
04/24/2014,11:10,000.46528,31289.805,27170.232
04/24/2014,11:20,000.47222,30266.139,27135.504
04/24/2014,11:30,000.47917,29717.650,27100.777
04/24/2014,11:40,000.48611,29257.885,27066.049
04/24/2014,11:50,000.49306,29049.037,27031.320
04/24/2014,12:00,000.50000,28874.986,26996.592
04/24/2014,12:10,000.50694,28874.986,26961.863
04/24/2014,12:20,000.51389,28900.365,26927.135
04/24/2014,12:30,000.52083,28931.402,26892.406
04/24/2014,12:40,000.52778,29070.084,26857.678
04/24/2014,12:50,000.53472,29257.127,26822.949
04/24/2014,13:00,000.54167,29663.834,26788.221
04/24/2014,13:10,000.54861,30279.680,26753.492
04/24/2014,13:20,000.55556,30921.789,26718.764
04/24/2014,13:30,000.56250,31510.340,26684.035
04/24/2014,13:40,000.56944,31716.293,26649.307
04/24/2014,13:50,000.57639,31716.293,26614.578
04/24/2014,14:00,000.58333,31547.818,26579.850
04/24/2014,14:10,000.59028,31259.111,26545.121
04/24/2014,14:20,000.59722,30850.287,26510.395
04/24/2014,14:30,000.60417,30449.016,26475.666
04/24/2014,14:40,000.61111,29863.604,26440.937
04/24/2014,14:50,000.61806,28831.039,26406.209
04/24/2014,15:00,000.62500,27407.449,26371.480
04/24/2014,15:10,000.63194,25980.391,26336.752
04/24/2014,15:20,000.63889,25371.258,26302.023
04/24/2014,15:30,000.64583,25144.195,26267.295
04/24/2014,15:40,000.65278,24975.934,26232.566
04/24/2014,15:50,000.65972,24975.934,26197.838
04/24/2014,16:00,000.66667,25012.139,26163.109
04/24/2014,16:10,000.67361,25254.961,26128.381
04/24/2014,16:20,000.68056,25661.748,26093.652
04/24/2014,16:30,000.68750,26258.627,26058.924
04/24/2014,16:40,000.69444,27018.168,26024.195
04/24/2014,16:50,000.70139,27772.109,25989.467
04/24/2014,17:00,000.70833,28139.012,25954.738
04/24/2014,17:10,000.71528,28141.219,25920.010
04/24/2014,17:20,000.72222,28141.219,25885.283
04/24/2014,17:30,000.72917,28042.961,25850.555
04/24/2014,17:40,000.73611,27777.322,25815.826
04/24/2014,17:50,000.74306,27411.520,25781.098
04/24/2014,18:00,000.75000,26982.676,25746.369
04/24/2014,18:10,000.75694,26233.033,25711.641
04/24/2014,18:20,000.76389,24769.482,25676.912
04/24/2014,18:30,000.77083,23560.199,25642.184
04/24/2014,18:40,000.77778,22991.316,25607.455
04/24/2014,18:50,000.78472,22846.164,25572.727
04/24/2014,19:00,000.79167,22754.070,25537.998
04/24/2014,19:10,000.79861,22754.070,25503.270
04/24/2014,19:20,000.80556,22870.314,25468.541
04/24/2014,19:30,000.81250,23138.412,25433.812
04/24/2014,19:40,000.81944,23755.021,25399.084
04/24/2014,19:50,000.82639,24697.742,25364.355
04/24/2014,20:00,000.83333,25701.082,25329.627
04/24/2014,20:10,000.84028,26188.715,25294.898
04/24/2014,20:20,000.84722,26389.555,25260.172
04/24/2014,20:30,000.85417,26415.963,25225.443
04/24/2014,20:40,000.86111,26415.963,25190.715
04/24/2014,20:50,000.86806,26343.150,25155.986
04/24/2014,21:00,000.87500,26096.320,25121.258
04/24/2014,21:10,000.88194,25837.553,25086.529
04/24/2014,21:20,000.88889,25513.971,25051.801
04/24/2014,21:30,000.89583,25212.693,25017.072
04/24/2014,21:40,000.90278,24859.004,24982.344
04/24/2014,21:50,000.90972,24620.658,24947.615
04/24/2014,22:00,000.91667,24008.426,24912.887
04/24/2014,22:10,000.92361,23491.045,24878.158
04/24/2014,22:20,000.93056,23201.168,24843.430
04/24/2014,22:30,000.93750,23106.547,24808.701
04/24/2014,22:40,000.94444,22961.094,24773.973
04/24/2014,22:50,000.95139,22914.305,24739.244
04/24/2014,23:00,000.95833,22914.305,24704.516
04/24/2014,23:10,000.96528,22972.500,24669.789
04/24/2014,23:20,000.97222,23210.500,24635.061
04/24/2014,23:30,000.97917,23904.779,24600.332
04/24/2014,23:40,000.98611,24254.756,24565.604
04/24/2014,23:50,000.99306,24368.986,24530.875
04/24/2014,00:00,001.00000,24471.893,24496.146
04/25/2014,00:10,001.00694,24505.855,24461.418
04/25/2014,00:20,001.01389,24505.855,24426.689
04/25/2014,00:30,001.02083,24499.109,24391.961
04/25/2014,00:40,001.02778,24416.576,24357.232
04/25/2014,00:50,001.03472,24296.219,24322.504
04/25/2014,01:00,001.04167,24198.041,24287.775
04/25/2014,01:10,001.04861,24090.107,24253.047
04/25/2014,01:20,001.05556,23956.268,24218.318
04/25/2014,01:30,001.06250,23922.561,24183.590
04/25/2014,01:40,001.06944,23908.293,24148.861
04/25/2014,01:50,001.07639,23865.645,24114.133
04/25/2014,02:00,001.08333,23862.773,24079.404
04/25/2014,02:10,001.09028,23837.566,24044.678
04/25/2014,02:20,001.09722,23817.328,24009.949
04/25/2014,02:30,001.10417,23817.328,23975.221
04/25/2014,02:40,001.11111,23810.930,23940.492
04/25/2014,02:50,001.11806,23827.055,23905.764
04/25/2014,03:00,001.12500,23802.717,23871.035
04/25/2014,03:10,001.13194,23802.717,23836.307
04/25/2014,03:20,001.13889,23802.717,23801.578
04/25/2014,03:30,001.14583,23793.818,23766.850
04/25/2014,03:40,001.15278,23793.818,23732.121
04/25/2014,03:50,001.15972,23793.818,23697.393
04/25/2014,04:00,001.16667,23792.275,23662.664
04/25/2014,04:10,001.17361,23773.822,23627.936
04/25/2014,04:20,001.18056,23773.822,23593.207
04/25/2014,04:30,001.18750,23781.551,23558.479
04/25/2014,04:40,001.19444,23787.057,23523.750
04/25/2014,04:50,001.20139,23781.551,23489.021
04/25/2014,05:00,001.20833,23787.057,23454.293
04/25/2014,05:10,001.21528,23791.182,23419.566
04/25/2014,05:20,001.22222,23799.084,23384.838
04/25/2014,05:30,001.22917,23799.084,23350.109
04/25/2014,05:40,001.23611,23765.025,23315.381
04/25/2014,05:50,001.24306,23765.025,23280.652
04/25/2014,06:00,001.25000,23752.500,23245.924
04/25/2014,06:10,001.25694,23752.500,23211.195
04/25/2014,06:20,001.26389,23742.230,23176.467
04/25/2014,06:30,001.27083,23737.666,23141.738
04/25/2014,06:40,001.27778,23686.328,23107.010
04/25/2014,06:50,001.28472,23684.172,23072.281
04/25/2014,07:00,001.29167,23665.305,23037.553
04/25/2014,07:10,001.29861,23647.209,23002.824
04/25/2014,07:20,001.30556,23623.430,22968.096
04/25/2014,07:30,001.31250,23591.207,22933.367
04/25/2014,07:40,001.31944,23587.637,22898.639
04/25/2014,07:50,001.32639,23551.859,22863.910
04/25/2014,08:00,001.33333,23515.482,22829.182
04/25/2014,08:10,001.34028,23445.012,22794.455
04/25/2014,08:20,001.34722,23432.943,22759.727
04/25/2014,08:30,001.35417,23425.316,22724.998
04/25/2014,08:40,001.36111,23335.961,22690.270
04/25/2014,08:50,001.36806,23301.887,22655.541
04/25/2014,09:00,001.37500,23244.115,22620.812
04/25/2014,09:10,001.38194,23177.109,22586.084
04/25/2014,09:20,001.38889,23134.262,22551.355
04/25/2014,09:30,001.39583,23092.207,22516.627
04/25/2014,09:40,001.40278,23066.342,22481.898
04/25/2014,09:50,001.40972,23044.359,22447.170
04/25/2014,10:00,001.41667,22992.674,22412.441
04/25/2014,10:10,001.42361,22932.072,22377.713
04/25/2014,10:20,001.43056,22883.385,22342.984
04/25/2014,10:30,001.43750,22859.232,22308.256
04/25/2014,10:40,001.44444,22738.047,22273.527
04/25/2014,10:50,001.45139,22736.346,22238.799
04/25/2014,11:00,001.45833,22683.492,22204.072
04/25/2014,11:10,001.46528,22627.023,22169.344
04/25/2014,11:20,001.47222,22540.076,22134.615
04/25/2014,11:30,001.47917,22516.238,22099.887
04/25/2014,11:40,001.48611,22445.783,22065.158
04/25/2014,11:50,001.49306,22384.469,22030.430
04/25/2014,12:00,001.50000,22374.072,21995.701
04/25/2014,12:10,001.50694,22305.287,21960.973
04/25/2014,12:20,001.51389,22253.244,21926.244
04/25/2014,12:30,001.52083,22232.352,21891.516
04/25/2014,12:40,001.52778,22161.791,21856.787
04/25/2014,12:50,001.53472,22118.258,21822.059
04/25/2014,13:00,001.54167,22055.459,21787.330
04/25/2014,13:10,001.54861,21968.979,21752.602
04/25/2014,13:20,001.55556,21949.426,21717.873
04/25/2014,13:30,001.56250,21893.795,21683.145
04/25/2014,13:40,001.56944,21814.299,21648.416
04/25/2014,13:50,001.57639,21728.562,21613.687
04/25/2014,14:00,001.58333,21711.023,21578.961
04/25/2014,14:10,001.59028,21689.371,21544.232
04/25/2014,14:20,001.59722,21593.479,21509.504
04/25/2014,14:30,001.60417,21541.791,21474.775
04/25/2014,14:40,001.61111,21491.658,21440.047
04/25/2014,14:50,001.61806,21426.256,21405.318
04/25/2014,15:00,001.62500,21405.768,21370.590
04/25/2014,15:10,001.63194,21303.969,21335.861
04/25/2014,15:20,001.63889,21299.348,21301.133
04/25/2014,15:30,001.64583,21252.229,21266.404
04/25/2014,15:40,001.65278,21178.389,21231.676
04/25/2014,15:50,001.65972,21118.316,21196.947
04/25/2014,16:00,001.66667,21046.846,21162.219
04/25/2014,16:10,001.67361,21002.842,21127.490
04/25/2014,16:20,001.68056,20939.400,21092.762
04/25/2014,16:30,001.68750,20909.949,21058.033
04/25/2014,16:40,001.69444,20829.467,21023.305
04/25/2014,16:50,001.70139,20802.803,20988.576
04/25/2014,17:00,001.70833,20763.982,20953.850
04/25/2014,17:10,001.71528,20667.646,20919.121
04/25/2014,17:20,001.72222,20606.090,20884.393
04/25/2014,17:30,001.72917,20599.377,20849.664
04/25/2014,17:40,001.73611,20533.350,20814.936
04/25/2014,17:50,001.74306,20443.273,20780.207
04/25/2014,18:00,001.75000,20426.820,20745.479
04/25/2014,18:10,001.75694,20366.631,20710.750
