LumiCycle: 20140424WT$CRPB10+UL7$shCx43-9_1 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
04/24/2014,09:56,000.41389,15880.812,13286.653
04/24/2014,10:06,000.42083,15880.812,13271.933
04/24/2014,10:16,000.42778,15453.052,13257.211
04/24/2014,10:26,000.43472,15343.544,13242.489
04/24/2014,10:36,000.44167,15194.942,13227.769
04/24/2014,10:46,000.44861,14861.707,13213.047
04/24/2014,10:56,000.45556,13710.426,13198.325
04/24/2014,11:06,000.46250,12822.657,13183.604
04/24/2014,11:16,000.46944,12433.997,13168.883
04/24/2014,11:26,000.47639,12230.180,13154.161
04/24/2014,11:36,000.48333,12144.139,13139.439
04/24/2014,11:46,000.49028,12144.139,13124.719
04/24/2014,11:56,000.49722,12194.979,13109.997
04/24/2014,12:06,000.50417,12249.797,13095.275
04/24/2014,12:16,000.51111,12348.555,13080.555
04/24/2014,12:26,000.51806,12470.024,13065.833
04/24/2014,12:36,000.52500,12589.576,13051.111
04/24/2014,12:46,000.53194,12758.729,13036.391
04/24/2014,12:56,000.53889,12911.721,13021.669
04/24/2014,13:06,000.54583,13188.320,13006.947
04/24/2014,13:16,000.55278,13534.638,12992.226
04/24/2014,13:26,000.55972,14099.671,12977.505
04/24/2014,13:36,000.56667,14685.334,12962.783
04/24/2014,13:46,000.57361,14901.812,12948.062
04/24/2014,13:56,000.58056,14997.505,12933.341
04/24/2014,14:06,000.58750,14997.505,12918.619
04/24/2014,14:16,000.59444,14879.687,12903.897
04/24/2014,14:26,000.60139,14718.028,12889.177
04/24/2014,14:36,000.60833,14352.670,12874.455
04/24/2014,14:46,000.61528,13681.212,12859.733
04/24/2014,14:56,000.62222,12603.642,12845.012
04/24/2014,15:06,000.62917,11527.010,12830.291
04/24/2014,15:16,000.63611,11210.704,12815.569
04/24/2014,15:26,000.64306,11053.706,12800.848
04/24/2014,15:36,000.65000,10992.443,12786.127
04/24/2014,15:46,000.65694,10992.443,12771.405
04/24/2014,15:56,000.66389,11000.472,12756.684
04/24/2014,16:06,000.67083,11104.114,12741.963
04/24/2014,16:16,000.67778,11273.592,12727.241
04/24/2014,16:26,000.68472,11466.731,12712.520
04/24/2014,16:36,000.69167,11822.729,12697.798
04/24/2014,16:46,000.69861,12436.421,12683.077
