LumiCycle: 20140424WT$CRPB10+UL7_1 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
04/24/2014,09:56,000.41389,20470.750,17215.475
04/24/2014,10:06,000.42083,20470.750,17206.752
04/24/2014,10:16,000.42778,19906.375,17198.031
04/24/2014,10:26,000.43472,19684.562,17189.309
04/24/2014,10:36,000.44167,19283.686,17180.586
04/24/2014,10:46,000.44861,17925.621,17171.863
04/24/2014,10:56,000.45556,15766.798,17163.143
04/24/2014,11:06,000.46250,14877.347,17154.420
04/24/2014,11:16,000.46944,14603.100,17145.697
04/24/2014,11:26,000.47639,14514.620,17136.977
04/24/2014,11:36,000.48333,14504.828,17128.254
04/24/2014,11:46,000.49028,14504.828,17119.531
04/24/2014,11:56,000.49722,14560.058,17110.811
04/24/2014,12:06,000.50417,14661.753,17102.088
04/24/2014,12:16,000.51111,14754.295,17093.365
04/24/2014,12:26,000.51806,14879.343,17084.643
04/24/2014,12:36,000.52500,14944.442,17075.922
04/24/2014,12:46,000.53194,15086.041,17067.199
04/24/2014,12:56,000.53889,15156.514,17058.477
04/24/2014,13:06,000.54583,15316.562,17049.756
04/24/2014,13:16,000.55278,15444.890,17041.033
04/24/2014,13:26,000.55972,15648.879,17032.311
04/24/2014,13:36,000.56667,15964.001,17023.590
04/24/2014,13:46,000.57361,16529.348,17014.867
04/24/2014,13:56,000.58056,17343.693,17006.145
04/24/2014,14:06,000.58750,18134.629,16997.422
04/24/2014,14:16,000.59444,18661.076,16988.701
04/24/2014,14:26,000.60139,18755.365,16979.979
04/24/2014,14:36,000.60833,18755.365,16971.256
04/24/2014,14:46,000.61528,18601.213,16962.535
04/24/2014,14:56,000.62222,18145.094,16953.812
04/24/2014,15:06,000.62917,17435.650,16945.090
04/24/2014,15:16,000.63611,16228.839,16936.369
04/24/2014,15:26,000.64306,14772.017,16927.646
04/24/2014,15:36,000.65000,13583.168,16918.924
04/24/2014,15:46,000.65694,13373.048,16910.201
04/24/2014,15:56,000.66389,13355.143,16901.480
04/24/2014,16:06,000.67083,13355.143,16892.758
04/24/2014,16:16,000.67778,13379.022,16884.035
04/24/2014,16:26,000.68472,13389.187,16875.314
04/24/2014,16:36,000.69167,13529.191,16866.592
04/24/2014,16:46,000.69861,13629.861,16857.869
04/24/2014,16:56,000.70556,13779.187,16849.148
04/24/2014,17:06,000.71250,14003.122,16840.426
04/24/2014,17:16,000.71944,14439.159,16831.703
04/24/2014,17:26,000.72639,15218.700,16822.980
04/24/2014,17:36,000.73333,16417.758,16814.260
04/24/2014,17:46,000.74028,17258.867,16805.537
04/24/2014,17:56,000.74722,17501.318,16796.814
04/24/2014,18:06,000.75417,17501.318,16788.094
04/24/2014,18:16,000.76111,17499.223,16779.371
04/24/2014,18:26,000.76806,17209.143,16770.648
04/24/2014,18:36,000.77500,16448.369,16761.928
04/24/2014,18:46,000.78194,15031.151,16753.205
04/24/2014,18:56,000.78889,13307.210,16744.482
04/24/2014,19:06,000.79583,12835.546,16735.760
04/24/2014,19:16,000.80278,12737.771,16727.039
04/24/2014,19:26,000.80972,12690.908,16718.316
04/24/2014,19:36,000.81667,12690.908,16709.594
04/24/2014,19:46,000.82361,12720.243,16700.873
04/24/2014,19:56,000.83056,12751.458,16692.150
04/24/2014,20:06,000.83750,12902.582,16683.428
04/24/2014,20:16,000.84444,13051.696,16674.707
04/24/2014,20:26,000.85139,13241.000,16665.984
04/24/2014,20:36,000.85833,13575.027,16657.262
04/24/2014,20:46,000.86528,14330.406,16648.541
04/24/2014,20:56,000.87222,15574.528,16639.818
04/24/2014,21:06,000.87917,16366.831,16631.096
04/24/2014,21:16,000.88611,16738.143,16622.373
04/24/2014,21:26,000.89306,16785.988,16613.652
04/24/2014,21:36,000.90000,16785.988,16604.930
04/24/2014,21:46,000.90694,16696.754,16596.207
04/24/2014,21:56,000.91389,16439.828,16587.486
04/24/2014,22:06,000.92083,15527.224,16578.764
04/24/2014,22:16,000.92778,13471.593,16570.041
04/24/2014,22:26,000.93472,12473.660,16561.320
04/24/2014,22:36,000.94167,12278.938,16552.598
04/24/2014,22:46,000.94861,12172.635,16543.875
04/24/2014,22:56,000.95556,12172.635,16535.152
04/24/2014,23:06,000.96250,12193.129,16526.432
04/24/2014,23:16,000.96944,12258.929,16517.709
04/24/2014,23:26,000.97639,12386.906,16508.986
04/24/2014,23:36,000.98333,12524.216,16500.266
04/24/2014,23:46,000.99028,12744.215,16491.543
04/24/2014,23:56,000.99722,13015.198,16482.820
04/25/2014,00:06,001.00417,13596.513,16474.100
04/25/2014,00:16,001.01111,14647.311,16465.377
04/25/2014,00:26,001.01806,15505.942,16456.654
04/25/2014,00:36,001.02500,16174.491,16447.932
04/25/2014,00:46,001.03194,16379.336,16439.211
04/25/2014,00:56,001.03889,16469.740,16430.488
04/25/2014,01:06,001.04583,16469.740,16421.766
04/25/2014,01:16,001.05278,16352.562,16413.045
04/25/2014,01:26,001.05972,16046.107,16404.322
04/25/2014,01:36,001.06667,15161.176,16395.600
04/25/2014,01:46,001.07361,13219.907,16386.879
04/25/2014,01:56,001.08056,12371.323,16378.156
04/25/2014,02:06,001.08750,12162.339,16369.434
04/25/2014,02:16,001.09444,12142.998,16360.712
04/25/2014,02:26,001.10139,12142.998,16351.989
04/25/2014,02:36,001.10833,12202.691,16343.268
04/25/2014,02:46,001.11528,12299.420,16334.546
04/25/2014,02:56,001.12222,12487.689,16325.823
04/25/2014,03:06,001.12917,12704.908,16317.102
04/25/2014,03:16,001.13611,13007.485,16308.379
04/25/2014,03:26,001.14306,13597.882,16299.657
04/25/2014,03:36,001.15000,14594.303,16290.936
04/25/2014,03:46,001.15694,15454.043,16282.213
04/25/2014,03:56,001.16389,16275.402,16273.491
04/25/2014,04:06,001.17083,16609.387,16264.769
04/25/2014,04:16,001.17778,16754.281,16256.047
04/25/2014,04:26,001.18472,16754.281,16247.325
04/25/2014,04:36,001.19167,16752.713,16238.603
04/25/2014,04:46,001.19861,16596.764,16229.881
04/25/2014,04:56,001.20556,16167.229,16221.159
04/25/2014,05:06,001.21250,14714.558,16212.437
04/25/2014,05:16,001.21944,13242.900,16203.715
04/25/2014,05:26,001.22639,12664.732,16194.992
04/25/2014,05:36,001.23333,12522.562,16186.271
04/25/2014,05:46,001.24028,12522.562,16177.549
04/25/2014,05:56,001.24722,12558.076,16168.826
04/25/2014,06:06,001.25417,12666.229,16160.104
04/25/2014,06:16,001.26111,12839.358,16151.382
04/25/2014,06:26,001.26806,13085.243,16142.660
04/25/2014,06:36,001.27500,13396.915,16133.938
04/25/2014,06:46,001.28194,14177.842,16125.216
04/25/2014,06:56,001.28889,15165.737,16116.494
04/25/2014,07:06,001.29583,16025.990,16107.771
04/25/2014,07:16,001.30278,16865.340,16099.050
04/25/2014,07:26,001.30972,17273.064,16090.328
04/25/2014,07:36,001.31667,17460.785,16081.605
04/25/2014,07:46,001.32361,17509.146,16072.884
04/25/2014,07:56,001.33056,17509.146,16064.161
04/25/2014,08:06,001.33750,17377.168,16055.439
04/25/2014,08:16,001.34444,17122.937,16046.718
04/25/2014,08:26,001.35139,16135.355,16037.995
04/25/2014,08:36,001.35833,14612.250,16029.273
04/25/2014,08:46,001.36528,13504.015,16020.551
04/25/2014,08:56,001.37222,13199.415,16011.829
04/25/2014,09:06,001.37917,13190.200,16003.107
04/25/2014,09:16,001.38611,13190.200,15994.385
04/25/2014,09:26,001.39306,13296.603,15985.663
04/25/2014,09:36,001.40000,13432.500,15976.940
04/25/2014,09:46,001.40694,13705.429,15968.219
04/25/2014,09:56,001.41389,14040.176,15959.497
04/25/2014,10:06,001.42083,14880.641,15950.774
04/25/2014,10:16,001.42778,16015.896,15942.053
04/25/2014,10:26,001.43472,16904.791,15933.330
04/25/2014,10:36,001.44167,17689.482,15924.608
04/25/2014,10:46,001.44861,18117.818,15915.887
04/25/2014,10:56,001.45556,18299.115,15907.164
04/25/2014,11:06,001.46250,18336.992,15898.442
04/25/2014,11:16,001.46944,18336.992,15889.720
04/25/2014,11:26,001.47639,18204.502,15880.998
04/25/2014,11:36,001.48333,17950.514,15872.276
04/25/2014,11:46,001.49028,17482.000,15863.554
04/25/2014,11:56,001.49722,16085.984,15854.832
04/25/2014,12:06,001.50417,14500.121,15846.109
04/25/2014,12:16,001.51111,13916.269,15837.388
04/25/2014,12:26,001.51806,13812.657,15828.666
04/25/2014,12:36,001.52500,13812.657,15819.943
04/25/2014,12:46,001.53194,13868.107,15811.222
04/25/2014,12:56,001.53889,13997.776,15802.499
04/25/2014,13:06,001.54583,14220.421,15793.777
04/25/2014,13:16,001.55278,14575.697,15785.056
04/25/2014,13:26,001.55972,15297.715,15776.333
04/25/2014,13:36,001.56667,16448.168,15767.611
04/25/2014,13:46,001.57361,17594.959,15758.889
04/25/2014,13:56,001.58056,18389.016,15750.167
04/25/2014,14:06,001.58750,18736.074,15741.445
04/25/2014,14:16,001.59444,18976.049,15732.723
04/25/2014,14:26,001.60139,19052.252,15724.001
04/25/2014,14:36,001.60833,19052.252,15715.278
04/25/2014,14:46,001.61528,18920.855,15706.557
04/25/2014,14:56,001.62222,18632.900,15697.835
04/25/2014,15:06,001.62917,18270.656,15689.112
04/25/2014,15:16,001.63611,17872.199,15680.391
04/25/2014,15:26,001.64306,16445.773,15671.668
04/25/2014,15:36,001.65000,14766.399,15662.946
04/25/2014,15:46,001.65694,14399.495,15654.225
04/25/2014,15:56,001.66389,14292.582,15645.502
04/25/2014,16:06,001.67083,14292.582,15636.780
04/25/2014,16:16,001.67778,14366.276,15628.058
04/25/2014,16:26,001.68472,14525.214,15619.336
04/25/2014,16:36,001.69167,14745.057,15610.614
04/25/2014,16:46,001.69861,15141.259,15601.892
04/25/2014,16:56,001.70556,16091.958,15593.170
04/25/2014,17:06,001.71250,17555.553,15584.447
04/25/2014,17:16,001.71944,18635.492,15575.726
04/25/2014,17:26,001.72639,19031.607,15567.004
04/25/2014,17:36,001.73333,19300.709,15558.281
04/25/2014,17:46,001.74028,19446.486,15549.560
04/25/2014,17:56,001.74722,19446.486,15540.837
04/25/2014,18:06,001.75417,19396.168,15532.115
04/25/2014,18:16,001.76111,19213.285,15523.394
04/25/2014,18:26,001.76806,18908.328,15514.671
04/25/2014,18:36,001.77500,18555.437,15505.949
04/25/2014,18:46,001.78194,18160.342,15497.227
04/25/2014,18:56,001.78889,17464.734,15488.505
04/25/2014,19:06,001.79583,15853.110,15479.783
04/25/2014,19:16,001.80278,14877.177,15471.061
04/25/2014,19:26,001.80972,14646.854,15462.339
04/25/2014,19:36,001.81667,14643.889,15453.616
04/25/2014,19:46,001.82361,14643.889,15444.895
04/25/2014,19:56,001.83056,14728.946,15436.173
04/25/2014,20:06,001.83750,14929.656,15427.450
04/25/2014,20:16,001.84444,15262.842,15418.729
04/25/2014,20:26,001.85139,15895.839,15410.006
04/25/2014,20:36,001.85833,17503.244,15401.284
04/25/2014,20:46,001.86528,18737.885,15392.562
04/25/2014,20:56,001.87222,19205.814,15383.840
04/25/2014,21:06,001.87917,19448.824,15375.118
04/25/2014,21:16,001.88611,19621.605,15366.396
04/25/2014,21:26,001.89306,19651.031,15357.674
04/25/2014,21:36,001.90000,19651.031,15348.952
04/25/2014,21:46,001.90694,19498.809,15340.229
04/25/2014,21:56,001.91389,19200.572,15331.508
04/25/2014,22:06,001.92083,18849.643,15322.785
04/25/2014,22:16,001.92778,18471.744,15314.063
04/25/2014,22:26,001.93472,18182.889,15305.342
04/25/2014,22:36,001.94167,17579.275,15296.619
04/25/2014,22:46,001.94861,16443.279,15287.897
